id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748182,0.00,,,Start 1:e halvleg,,,,,,,,
2,748182,0.39,1-0,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,3,Maria Berger WIERZBA,1,Sofie BÖRJESSON
3,748182,1.34,,NFH,Regelfejl,,18,Alberte KIELSTRUP,,,,,
4,748182,2.00,,RIN,Fejlaflevering,,3,Maria Berger WIERZBA,,,,,
5,748182,2.08,1-1,NFH,Mål,2:e,26,Mona OBAIDLI,,,,88,Rakul WARDUM
6,748182,3.03,2-1,RIN,Mål,PL,2,Cecilie BJERRE,,,,1,Sofie BÖRJESSON
7,748182,3.19,2-2,NFH,Mål,ST,34,Sofie BARDRUM,Assist,7,Amalie WULFF,88,Rakul WARDUM
8,748182,4.18,3-2,RIN,Mål,PL,2,Cecilie BJERRE,,,,1,Sofie BÖRJESSON
9,748182,4.54,,NFH,Skud på stolpe,ST,34,Sofie BARDRUM,,,,88,Rakul WARDUM
10,748182,5.25,,RIN,Fejlaflevering,,2,Cecilie BJERRE,,,,,
11,748182,5.52,,NFH,Skud forbi,HF,11,Rosa SCHMIDT,,,,88,Rakul WARDUM
12,748182,6.08,,RIN,Tilkendt straffe,,5,Caroline SVARRE,Forårs. str.,18,Alberte KIELSTRUP,,
13,748182,6.18,4-2,RIN,Mål på straffe,,2,Cecilie BJERRE,,,,1,Sofie BÖRJESSON
14,748182,6.55,,NFH,Fejlaflevering,,7,Amalie WULFF,Bold erobret,5,Caroline SVARRE,,
15,748182,7.01,5-2,RIN,Mål,1:e,18,Emilie ROSBORG,Assist,3,Maria Berger WIERZBA,1,Sofie BÖRJESSON
16,748182,7.29,5-3,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,88,Rakul WARDUM
17,748182,8.10,6-3,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,2,Cecilie BJERRE,1,Sofie BÖRJESSON
18,748182,8.42,6-4,NFH,Mål,PL,7,Amalie WULFF,,,,88,Rakul WARDUM
19,748182,9.24,7-4,RIN,Mål,Gbr,3,Maria Berger WIERZBA,,,,1,Sofie BÖRJESSON
20,748182,10.11,,NFH,Skud forbi,ST,34,Sofie BARDRUM,,,,88,Rakul WARDUM
21,748182,10.44,8-4,RIN,Mål,HF,22,Sofie ØSTERGAARD,Assist,10,Frida Høgaard NIELSEN,1,Sofie BÖRJESSON
22,748182,10.48,,NFH,Time out,,,,,,,,
23,748182,11.15,8-5,NFH,Mål,VF,21,Matilde VESTERGAARD,Assist,26,Mona OBAIDLI,88,Rakul WARDUM
24,748182,12.03,,RIN,Skud blokeret,PL,2,Cecilie BJERRE,Blokeret af,8,Stine EIBERG,,
25,748182,12.36,,NFH,Fejlaflevering,,7,Amalie WULFF,Bold erobret,3,Maria Berger WIERZBA,,
26,748182,13.05,,RIN,Fejlaflevering,,2,Cecilie BJERRE,,,,,
27,748182,13.09,8-6,NFH,Mål,1:e,49,Aimée VON PEREIRA,,,,,
28,748182,13.41,,RIN,Tilkendt straffe,,23,Nanna HINNERFELDT,Forårs. str.,49,Aimée VON PEREIRA,,
29,748182,13.51,9-6,RIN,Mål på straffe,,2,Cecilie BJERRE,,,,12,Catharina BROCH
30,748182,14.38,,RIN,Advarsel,,5,Caroline SVARRE,,,,,
31,748182,15.03,,NFH,Tilkendt straffe,,18,Alberte KIELSTRUP,Forårs. str.,18,Emilie ROSBORG,,
32,748182,15.27,9-7,NFH,Mål på straffe,,49,Aimée VON PEREIRA,,,,88,Rakul WARDUM
33,748182,16.13,10-7,RIN,Mål,ST,5,Caroline SVARRE,Assist,2,Cecilie BJERRE,1,Sofie BÖRJESSON
34,748182,16.20,,NFH,Regelfejl,,26,Mona OBAIDLI,,,,,
35,748182,17.04,11-7,RIN,Mål,VF,18,Emilie ROSBORG,Assist,3,Maria Berger WIERZBA,1,Sofie BÖRJESSON
36,748182,17.17,11-8,NFH,Mål,VF,21,Matilde VESTERGAARD,Assist,15,Kalidiatou NIAKATE,88,Rakul WARDUM
37,748182,17.57,,RIN,Tilkendt straffe,,22,Sofie ØSTERGAARD,Forårs. str.,21,Matilde VESTERGAARD,,
38,748182,18.00,12-8,RIN,Mål på straffe,,2,Cecilie BJERRE,,,,12,Catharina BROCH
39,748182,19.11,12-9,NFH,Mål,HF,11,Rosa SCHMIDT,Assist,18,Alberte KIELSTRUP,88,Rakul WARDUM
40,748182,19.48,13-9,RIN,Mål,HB,2,Cecilie BJERRE,,,,12,Catharina BROCH
41,748182,20.30,13-10,NFH,Mål,Gbr,7,Amalie WULFF,,,,16,Stephanie ANDERSEN
42,748182,20.30,,RIN,Udvisning,,10,Frida Høgaard NIELSEN,,,,,
43,748182,20.40,,RIN,Time out,,,,,,,,
