id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748183,0.00,,,Start 1:e halvleg,,,,,,,,
2,748183,0.31,1-0,ODE,Mål,ST,20,Lysa DEFO,Assist,32,Mie HØJLUND,16,Johanne GRAUGAARD
3,748183,1.19,,EHA,Skud reddet,Gbr,5,Anna BANG,,,,16,Althea REINHARDT
4,748183,1.26,2-0,ODE,Mål,1:e,10,Anna GRUNDTVIG,Assist,32,Mie HØJLUND,16,Johanne GRAUGAARD
5,748183,2.11,,EHA,Skud reddet,PL,21,Frederikke GULMARK,,,,16,Althea REINHARDT
6,748183,2.22,,ODE,Regelfejl,,28,Clara Skyum THOMSEN,,,,,
7,748183,2.31,,EHA,Skud reddet,2:e,30,Clara LERBY,,,,16,Althea REINHARDT
8,748183,3.17,,ODE,Fejlaflevering,,68,Helena ELVER,,,,,
9,748183,4.37,,EHA,Passivt spil,,0,,,,,,
10,748183,5.04,3-0,ODE,Mål,HB,28,Clara Skyum THOMSEN,,,,16,Johanne GRAUGAARD
11,748183,5.15,3-1,EHA,Mål,Gbr,10,Sofie LASSEN,Assist,5,Anna BANG,16,Althea REINHARDT
12,748183,5.24,,ODE,Skud reddet,PL,33,Thale Rushfeldt DEILA,Retur,0,,16,Johanne GRAUGAARD
13,748183,5.54,,ODE,Skud reddet,HB,28,Clara Skyum THOMSEN,,,,16,Johanne GRAUGAARD
14,748183,5.59,,EHA,Fejlaflevering,,10,Sofie LASSEN,,,,,
15,748183,6.39,,ODE,Skud reddet,PL,32,Mie HØJLUND,,,,16,Johanne GRAUGAARD
16,748183,7.17,,EHA,Tabt bold,,7,Marlene DAHLMANN,,,,,
17,748183,7.26,4-1,ODE,Mål,2:e,6,Malin AUNE,Assist,28,Clara Skyum THOMSEN,16,Johanne GRAUGAARD
18,748183,8.05,,EHA,Skud reddet,PL,23,Silje BRØNS,Retur,0,,16,Althea REINHARDT
19,748183,8.09,4-2,EHA,Mål,Gbr,23,Silje BRØNS,Assist,30,Clara LERBY,16,Althea REINHARDT
20,748183,8.53,5-2,ODE,Mål,HF,6,Malin AUNE,Assist,68,Helena ELVER,16,Johanne GRAUGAARD
21,748183,9.02,,EHA,Regelfejl,,5,Anna BANG,,,,,
22,748183,9.58,6-2,ODE,Mål,Gbr,32,Mie HØJLUND,Assist,28,Clara Skyum THOMSEN,16,Johanne GRAUGAARD
23,748183,10.20,,EHA,Time out,,,,,,,,
24,748183,10.53,,EHA,Skud reddet,VB,21,Frederikke GULMARK,,,,16,Althea REINHARDT
25,748183,11.00,7-2,ODE,Mål,2:e,33,Thale Rushfeldt DEILA,,,,16,Johanne GRAUGAARD
26,748183,11.14,,ODE,Advarsel,,28,Clara Skyum THOMSEN,,,,,
27,748183,11.34,,EHA,Fejlaflevering,,21,Frederikke GULMARK,,,,,
28,748183,11.42,,ODE,Skud reddet,1:e,32,Mie HØJLUND,,,,16,Johanne GRAUGAARD
29,748183,12.17,,EHA,Fejlaflevering,,23,Silje BRØNS,,,,,
30,748183,12.52,,ODE,Skud reddet,ST,20,Lysa DEFO,,,,16,Johanne GRAUGAARD
31,748183,14.07,7-3,EHA,Mål,PL,23,Silje BRØNS,,,,16,Althea REINHARDT
32,748183,14.19,8-3,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,Assist,20,Lysa DEFO,16,Johanne GRAUGAARD
33,748183,14.52,8-4,EHA,Mål,ST,9,Camilla THORHAUGE,Assist,23,Silje BRØNS,16,Althea REINHARDT
34,748183,15.27,,ODE,Tabt bold,,28,Clara Skyum THOMSEN,Bold erobret,9,Camilla THORHAUGE,,
35,748183,15.31,8-5,EHA,Mål,1:e,9,Camilla THORHAUGE,,,,16,Althea REINHARDT
36,748183,16.00,,ODE,Skud reddet,VB,22,Ragnhild DAHL,Retur,0,,16,Johanne GRAUGAARD
