id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748185,0.00,,,Start 1:e halvleg,,,,,,,,
2,748185,0.40,0-1,ODE,Mål,ST,3,Maren AARDAHL,Assist,32,Mie HØJLUND,1,Sofie BÖRJESSON
3,748185,0.50,,NFH,Fejlaflevering,,15,Kalidiatou NIAKATE,,,,,
4,748185,0.55,0-2,ODE,Mål,1:e,10,Anna GRUNDTVIG,,,,1,Sofie BÖRJESSON
5,748185,1.51,,NFH,Fejlaflevering,,18,Alberte KIELSTRUP,,,,,
6,748185,2.28,0-3,ODE,Mål,PL,33,Thale Rushfeldt DEILA,,,,1,Sofie BÖRJESSON
7,748185,2.58,,NFH,Skud forbi,PL,18,Alberte KIELSTRUP,,,,38,Yara TEN HOLTE
8,748185,3.23,0-4,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,1,Sofie BÖRJESSON
9,748185,3.54,1-4,NFH,Mål,PL,26,Mona OBAIDLI,,,,38,Yara TEN HOLTE
10,748185,4.05,1-5,ODE,Mål,2:e,68,Helena ELVER,,,,1,Sofie BÖRJESSON
11,748185,4.38,,ODE,Advarsel,,3,Maren AARDAHL,,,,,
12,748185,4.59,,NFH,Skud forbi,PL,26,Mona OBAIDLI,,,,38,Yara TEN HOLTE
13,748185,5.04,,ODE,Fejlaflevering,,38,Yara TEN HOLTE,,,,,
14,748185,5.13,,NFH,Time out,,,,,,,,
15,748185,5.46,,NFH,Skud reddet,PL,7,Amalie WULFF,,,,38,Yara TEN HOLTE
16,748185,5.58,,ODE,Regelfejl,,68,Helena ELVER,,,,,
17,748185,6.03,2-5,NFH,Mål,2:e,15,Kalidiatou NIAKATE,,,,38,Yara TEN HOLTE
18,748185,6.36,2-6,ODE,Mål,PL,33,Thale Rushfeldt DEILA,,,,1,Sofie BÖRJESSON
19,748185,7.24,,ODE,Udvisning,,20,Lysa DEFO,,,,,
20,748185,7.53,,NFH,Fejlaflevering,,79,Kristina KRISTIANSEN,,,,,
