id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748187,0.00,,,Start 1:e halvleg,,,,,,,,
2,748187,0.25,1-0,SKB,Mål,PL,3,Clara BANG,,,,20,Anne Christine BOSSEN
3,748187,0.57,,KBH,Skud reddet,PL,22,Stine JØRGENSEN,,,,12,Sarah ERNEBJERG
4,748187,1.32,,SKB,Skud reddet,PL,14,Verona REXHEPI,,,,20,Anne Christine BOSSEN
5,748187,2.07,,KBH,Skud reddet,VB,22,Stine JØRGENSEN,,,,12,Sarah ERNEBJERG
6,748187,2.14,2-0,SKB,Mål,2:e,2,Boline LAURSEN,Assist,22,Anne-Sofie FILTENBORG,20,Anne Christine BOSSEN
7,748187,2.46,,KBH,Skud reddet,Gbr,22,Stine JØRGENSEN,Retur,0,,12,Sarah ERNEBJERG
8,748187,3.06,2-1,KBH,Mål,PL,22,Stine JØRGENSEN,,,,12,Sarah ERNEBJERG
9,748187,3.55,,SKB,Regelfejl,,2,Boline LAURSEN,,,,,
10,748187,4.56,,KBH,Skud reddet,PL,15,Emma NAVNE,,,,12,Sarah ERNEBJERG
11,748187,5.05,,SKB,Skud reddet,2:e,20,Suna HANSEN,,,,20,Anne Christine BOSSEN
12,748187,5.17,2-2,KBH,Mål,2:e,17,Tabea SCHMID,Assist,22,Stine JØRGENSEN,12,Sarah ERNEBJERG
13,748187,5.50,3-2,SKB,Mål,PL,14,Verona REXHEPI,,,,20,Anne Christine BOSSEN
14,748187,6.19,3-3,KBH,Mål,HF,5,Clara SKØTT,Assist,15,Emma NAVNE,12,Sarah ERNEBJERG
15,748187,7.11,,SKB,Skud reddet,PL,3,Clara BANG,Retur,0,,20,Anne Christine BOSSEN
16,748187,7.19,,SKB,Tilkendt straffe,,2,Boline LAURSEN,Forårs. str.,15,Emma NAVNE,,
17,748187,7.39,,SKB,Straffekast forbi,,25,Astrid LYNNERUP,,,,20,Anne Christine BOSSEN
18,748187,8.01,3-4,KBH,Mål,VB,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
19,748187,8.59,4-4,SKB,Mål,PL,14,Verona REXHEPI,,,,20,Anne Christine BOSSEN
20,748187,10.02,,KBH,Skud på stolpe,PL,15,Emma NAVNE,,,,12,Sarah ERNEBJERG
21,748187,10.08,5-4,SKB,Mål,1:e,22,Anne-Sofie FILTENBORG,Assist,25,Astrid LYNNERUP,20,Anne Christine BOSSEN
22,748187,10.43,,KBH,Tilkendt straffe,,17,Tabea SCHMID,Forårs. str.,22,Anne-Sofie FILTENBORG,,
23,748187,11.04,5-5,KBH,Mål på straffe,,22,Stine JØRGENSEN,,,,12,Sarah ERNEBJERG
24,748187,11.42,6-5,SKB,Mål,PL,14,Verona REXHEPI,,,,20,Anne Christine BOSSEN
25,748187,12.13,6-6,KBH,Mål,ST,17,Tabea SCHMID,Assist,15,Emma NAVNE,12,Sarah ERNEBJERG
26,748187,12.44,7-6,SKB,Mål,PL,14,Verona REXHEPI,,,,20,Anne Christine BOSSEN
27,748187,12.54,,KBH,Skud reddet,2:e,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
28,748187,13.05,8-6,SKB,Mål,2:e,25,Astrid LYNNERUP,Assist,20,Suna HANSEN,20,Anne Christine BOSSEN
29,748187,13.34,8-7,KBH,Mål,PL,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
30,748187,14.04,9-7,SKB,Mål,Gbr,20,Suna HANSEN,Assist,3,Clara BANG,20,Anne Christine BOSSEN
31,748187,14.46,,KBH,Regelfejl,,15,Emma NAVNE,,,,,
32,748187,15.16,,SKB,Skud på stolpe,ST,2,Boline LAURSEN,,,,20,Anne Christine BOSSEN
33,748187,15.47,9-8,KBH,Mål,PL,15,Emma NAVNE,,,,12,Sarah ERNEBJERG
34,748187,16.37,10-8,SKB,Mål,Gbr,3,Clara BANG,,,,20,Anne Christine BOSSEN
35,748187,17.25,,KBH,Skud reddet,Gbr,15,Emma NAVNE,,,,12,Sarah ERNEBJERG
36,748187,18.04,,SKB,Skud reddet,PL,14,Verona REXHEPI,Retur,0,,20,Anne Christine BOSSEN
37,748187,18.11,,SKB,Skud reddet,HF,22,Anne-Sofie FILTENBORG,,,,20,Anne Christine BOSSEN
38,748187,18.35,,KBH,Skud reddet,HB,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
39,748187,19.16,11-8,SKB,Mål,HB,20,Suna HANSEN,,,,20,Anne Christine BOSSEN
40,748187,19.25,11-9,KBH,Mål,2:e,4,Catharina MOLENAAR,Assist,15,Emma NAVNE,12,Sarah ERNEBJERG
41,748187,20.02,,SKB,Fejlaflevering,,3,Clara BANG,,,,,
42,748187,20.11,,KBH,Fejlaflevering,,4,Catharina MOLENAAR,,,,,
43,748187,20.36,12-9,SKB,Mål,ST,10,Filippa NEDOVIC,Assist,14,Verona REXHEPI,20,Anne Christine BOSSEN
44,748187,20.48,12-10,KBH,Mål,2:e,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
45,748187,21.20,,SKB,Skud reddet,PL,14,Verona REXHEPI,,,,20,Anne Christine BOSSEN
46,748187,21.34,,KBH,Time out,,,,,,,,
47,748187,21.52,12-11,KBH,Mål,VB,4,Catharina MOLENAAR,,,,12,Sarah ERNEBJERG
48,748187,23.13,,SKB,Skud reddet,VF,25,Astrid LYNNERUP,,,,20,Anne Christine BOSSEN
49,748187,23.39,,KBH,Skud blokeret,VB,4,Catharina MOLENAAR,Blok af (ret),2,Boline LAURSEN,,
50,748187,23.57,12-12,KBH,Mål,VF,7,Emilie Ytting PEDERSEN,Assist,15,Emma NAVNE,12,Sarah ERNEBJERG
51,748187,24.10,13-12,SKB,Mål,HF,22,Anne-Sofie FILTENBORG,Assist,3,Clara BANG,20,Anne Christine BOSSEN
52,748187,24.20,,KBH,Skud reddet,2:e,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
53,748187,24.35,,SKB,Tilkendt straffe,,14,Verona REXHEPI,Forårs. str.,10,Pernille BRANDENBORG,,
54,748187,24.51,14-12,SKB,Mål på straffe,,25,Astrid LYNNERUP,,,,20,Anne Christine BOSSEN
55,748187,25.27,,KBH,Skud reddet,HB,15,Emma NAVNE,,,,12,Sarah ERNEBJERG
56,748187,26.23,15-12,SKB,Mål,Gbr,3,Clara BANG,,,,20,Anne Christine BOSSEN
57,748187,27.00,15-13,KBH,Mål,Gbr,4,Catharina MOLENAAR,Assist,15,Emma NAVNE,12,Sarah ERNEBJERG
58,748187,27.11,,SKB,Time out,,,,,,,,
59,748187,27.31,,SKB,Tilkendt straffe,,14,Verona REXHEPI,Forårs. str.,15,Emma NAVNE,,
60,748187,27.48,16-13,SKB,Mål på straffe,,25,Astrid LYNNERUP,,,,20,Anne Christine BOSSEN
61,748187,28.19,,KBH,Skud på stolpe,PL,15,Emma NAVNE,Retur,0,,12,Sarah ERNEBJERG
62,748187,28.28,16-14,KBH,Mål,Gbr,4,Catharina MOLENAAR,Assist,15,Emma NAVNE,12,Sarah ERNEBJERG
63,748187,29.00,,KBH,Udvisning,,4,Catharina MOLENAAR,,,,,
64,748187,29.20,,SKB,Tilkendt straffe,,44,Nicoline LAURITSEN,Forårs. str.,15,Emma NAVNE,,
65,748187,29.27,,SKB,Straffekast reddet,,25,Astrid LYNNERUP,,,,2,Bianca SCHANSSEMA
66,748187,29.58,,KBH,Skud reddet,PL,15,Emma NAVNE,,,,12,Sarah ERNEBJERG
67,748187,30.00,16-14,,Halvleg,,,,,,,,
68,748187,30.00,,,Start 2:e halvleg,,,,,,,,
69,748187,30.41,16-15,KBH,Mål,PL,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
70,748187,31.04,,SKB,Tilkendt straffe,,10,Filippa NEDOVIC,Forårs. str.,17,Tabea SCHMID,,
71,748187,31.05,,KBH,Udvisning,,17,Tabea SCHMID,,,,,
72,748187,31.15,,SKB,Straffekast på stolpe,,14,Verona REXHEPI,Retur,0,,2,Bianca SCHANSSEMA
73,748187,31.17,17-15,SKB,Mål,ST,14,Verona REXHEPI,,,,2,Bianca SCHANSSEMA
74,748187,31.34,17-16,KBH,Mål,Gbr,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
75,748187,32.21,,SKB,Regelfejl,,25,Astrid LYNNERUP,,,,,
76,748187,33.04,17-17,KBH,Mål,PL,22,Stine JØRGENSEN,,,,12,Sarah ERNEBJERG
77,748187,33.54,,SKB,Fejlaflevering,,14,Verona REXHEPI,Bold erobret,21,Helene KINDBERG,,
78,748187,34.02,,KBH,Skud på stolpe,2:e,5,Clara SKØTT,,,,12,Sarah ERNEBJERG
79,748187,34.07,,SKB,Time out,,,,,,,,
80,748187,34.21,18-17,SKB,Mål,PL,20,Suna HANSEN,,,,20,Anne Christine BOSSEN
81,748187,34.49,,KBH,Skud reddet,PL,22,Stine JØRGENSEN,,,,12,Sarah ERNEBJERG
82,748187,34.55,19-17,SKB,Mål,1:e,4,Emilie BECH,Assist,12,Sarah ERNEBJERG,20,Anne Christine BOSSEN
83,748187,35.09,,KBH,Tabt bold,,6,Freja COHRT,,,,,
84,748187,35.43,,SKB,Skud reddet,Gbr,14,Verona REXHEPI,,,,20,Anne Christine BOSSEN
85,748187,35.51,,KBH,Skud på stolpe,2:e,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
86,748187,36.17,,SKB,Skud på stolpe,PL,20,Suna HANSEN,,,,20,Anne Christine BOSSEN
87,748187,36.23,19-18,KBH,Mål,1:e,6,Freja COHRT,,,,12,Sarah ERNEBJERG
88,748187,37.08,,SKB,Fejlaflevering,,3,Clara BANG,,,,,
89,748187,37.53,,KBH,Skud reddet,Gbr,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
90,748187,38.27,,SKB,Fejlaflevering,,14,Verona REXHEPI,,,,,
91,748187,38.52,,KBH,Tabt bold,,21,Helene KINDBERG,,,,,
92,748187,38.53,,KBH,Udvisning,,15,Emma NAVNE,,,,,
93,748187,39.15,20-18,SKB,Mål,ST,10,Filippa NEDOVIC,Assist,15,Astrid LESLIE,20,Anne Christine BOSSEN
94,748187,39.51,20-19,KBH,Mål,Gbr,4,Catharina MOLENAAR,,,,12,Sarah ERNEBJERG
95,748187,39.53,,SKB,Udvisning,,10,Filippa NEDOVIC,,,,,
96,748187,40.12,21-19,SKB,Mål,HF,4,Emilie BECH,Assist,15,Astrid LESLIE,20,Anne Christine BOSSEN
97,748187,40.34,21-20,KBH,Mål,HF,5,Clara SKØTT,Assist,21,Helene KINDBERG,12,Sarah ERNEBJERG
98,748187,40.51,22-20,SKB,Mål,VF,25,Astrid LYNNERUP,Assist,15,Astrid LESLIE,20,Anne Christine BOSSEN
99,748187,41.17,22-21,KBH,Mål,VF,6,Freja COHRT,Assist,22,Stine JØRGENSEN,12,Sarah ERNEBJERG
100,748187,41.54,23-21,SKB,Mål,VF,25,Astrid LYNNERUP,Assist,14,Verona REXHEPI,20,Anne Christine BOSSEN
101,748187,42.05,,KBH,Skud reddet,2:e,15,Emma NAVNE,,,,12,Sarah ERNEBJERG
102,748187,42.37,24-21,SKB,Mål,ST,2,Boline LAURSEN,Assist,14,Verona REXHEPI,20,Anne Christine BOSSEN
103,748187,43.03,,KBH,Skud på stolpe,PL,22,Stine JØRGENSEN,,,,12,Sarah ERNEBJERG
104,748187,44.06,24-22,KBH,Mål,ST,10,Pernille BRANDENBORG,Assist,22,Stine JØRGENSEN,12,Sarah ERNEBJERG
105,748187,44.12,25-22,SKB,Mål,2:e,14,Verona REXHEPI,,,,0,
106,748187,44.37,,KBH,Tilkendt straffe,,10,Pernille BRANDENBORG,Forårs. str.,20,Suna HANSEN,,
107,748187,44.52,25-23,KBH,Mål på straffe,,22,Stine JØRGENSEN,,,,12,Sarah ERNEBJERG
108,748187,45.31,26-23,SKB,Mål,PL,3,Clara BANG,,,,2,Bianca SCHANSSEMA
109,748187,45.53,26-24,KBH,Mål,Gbr,22,Stine JØRGENSEN,Assist,15,Emma NAVNE,12,Sarah ERNEBJERG
110,748187,46.25,27-24,SKB,Mål,Gbr,14,Verona REXHEPI,,,,2,Bianca SCHANSSEMA
111,748187,46.45,27-25,KBH,Mål,Gbr,21,Helene KINDBERG,,,,12,Sarah ERNEBJERG
112,748187,47.20,,SKB,Skud reddet,ST,10,Filippa NEDOVIC,,,,2,Bianca SCHANSSEMA
