id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748188,0.00,,,Start 1:e halvleg,,,,,,,,
2,748188,0.46,,AHB,Fejlaflevering,,77,Alberte EBLER,,,,,
3,748188,1.56,,TES,Fejlaflevering,,4,Michala MØLLER,,,,,
4,748188,2.24,,AHB,Skud på stolpe,VF,18,Mathilde ØSTERGAARD,,,,16,Amalie MILLING
5,748188,3.05,,TES,Regelfejl,,20,Marit Røsberg JACOBSEN,,,,,
6,748188,3.14,0-1,AHB,Mål,2:e,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,16,Amalie MILLING
7,748188,3.24,,TES,Skud på stolpe,2:e,22,Line HAUGSTED,,,,1,Elin THORSTEINSDOTTIR
8,748188,4.19,,AHB,Skud forbi,HF,25,Ida GÖTZSCHE,,,,16,Amalie MILLING
9,748188,5.00,,TES,Skud blokeret,PL,8,Live DEILA,Blokeret af,5,Katarina BERENS,,
10,748188,5.19,,AHB,Skud på stolpe,1:e,18,Mathilde ØSTERGAARD,,,,16,Amalie MILLING
11,748188,5.22,1-1,TES,Mål,2:e,4,Michala MØLLER,,,,1,Elin THORSTEINSDOTTIR
12,748188,5.30,,TES,Advarsel,,25,Henny REISTAD,,,,,
13,748188,5.58,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,,,,16,Amalie MILLING
14,748188,6.09,2-1,TES,Mål,2:e,25,Henny REISTAD,,,,1,Elin THORSTEINSDOTTIR
15,748188,6.48,2-2,AHB,Mål,Gbr,77,Alberte EBLER,,,,16,Amalie MILLING
16,748188,7.00,,AHB,Advarsel,,15,Sofia DEEN,,,,,
17,748188,7.24,,TES,Fejlaflevering,,8,Live DEILA,,,,,
18,748188,7.33,2-3,AHB,Mål,2:e,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,16,Amalie MILLING
19,748188,8.30,3-3,TES,Mål,Gbr,8,Live DEILA,,,,1,Elin THORSTEINSDOTTIR
20,748188,8.58,3-4,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,16,Amalie MILLING
21,748188,9.13,4-4,TES,Mål,2:e,20,Marit Røsberg JACOBSEN,Assist,8,Live DEILA,1,Elin THORSTEINSDOTTIR
22,748188,9.56,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
23,748188,10.30,5-4,TES,Mål,Gbr,25,Henny REISTAD,,,,1,Elin THORSTEINSDOTTIR
24,748188,10.41,5-5,AHB,Mål,2:e,3,Sarah Vest KIRKELØKKE,Assist,77,Alberte EBLER,16,Amalie MILLING
25,748188,10.51,6-5,TES,Mål,2:e,17,Elin HANSSON,Assist,25,Henny REISTAD,1,Elin THORSTEINSDOTTIR
26,748188,11.26,,AHB,Tilkendt straffe,,77,Alberte EBLER,Forårs. str.,25,Henny REISTAD,,
27,748188,11.26,,TES,Udvisning,,25,Henny REISTAD,,,,,
28,748188,11.29,6-6,AHB,Mål på straffe,,15,Sofia DEEN,,,,16,Amalie MILLING
29,748188,12.02,,TES,Fejlaflevering,,4,Michala MØLLER,,,,,
30,748188,12.13,6-7,AHB,Mål,2:e,77,Alberte EBLER,,,,16,Amalie MILLING
31,748188,12.55,7-7,TES,Mål,VB,18,Mette TRANBORG,,,,1,Elin THORSTEINSDOTTIR
32,748188,13.30,,AHB,Skud på stolpe,Gbr,17,Line Berggren LARSEN,,,,16,Amalie MILLING
33,748188,13.39,8-7,TES,Mål,2:e,8,Live DEILA,Assist,25,Henny REISTAD,1,Elin THORSTEINSDOTTIR
34,748188,14.08,8-8,AHB,Mål,HB,77,Alberte EBLER,,,,16,Amalie MILLING
35,748188,14.21,,TES,Time out,,,,,,,,
36,748188,14.39,,TES,Skud forbi,PL,4,Michala MØLLER,,,,1,Elin THORSTEINSDOTTIR
37,748188,14.49,8-9,AHB,Mål,2:e,18,Mathilde ØSTERGAARD,Assist,15,Sofia DEEN,16,Amalie MILLING
38,748188,15.28,9-9,TES,Mål,PL,18,Mette TRANBORG,,,,1,Elin THORSTEINSDOTTIR
39,748188,15.36,9-10,AHB,Mål,2:e,15,Sofia DEEN,,,,16,Amalie MILLING
40,748188,15.45,,TES,Fejlaflevering,,18,Mette TRANBORG,,,,,
41,748188,16.27,9-11,AHB,Mål,HB,15,Sofia DEEN,,,,16,Amalie MILLING
42,748188,16.35,10-11,TES,Mål,2:e,22,Line HAUGSTED,,,,86,Sabine ENGLERT
43,748188,17.07,,AHB,Skud forbi,HB,77,Alberte EBLER,,,,16,Amalie MILLING
44,748188,17.16,11-11,TES,Mål,2:e,22,Line HAUGSTED,,,,86,Sabine ENGLERT
45,748188,17.33,,AHB,Time out,,,,,,,,
46,748188,19.08,,AHB,Skud reddet,HB,77,Alberte EBLER,,,,16,Amalie MILLING
47,748188,19.14,12-11,TES,Mål,2:e,17,Elin HANSSON,Assist,22,Line HAUGSTED,86,Sabine ENGLERT
48,748188,20.05,,AHB,Tilkendt straffe,,14,Anna Berger WIERZBA,Forårs. str.,22,Line HAUGSTED,,
49,748188,20.11,,TES,Advarsel,,10,Kathrine HEINDAHL,,,,,
50,748188,20.14,12-12,AHB,Mål på straffe,,15,Sofia DEEN,,,,16,Amalie MILLING
51,748188,20.42,,TES,Skud reddet,PL,18,Mette TRANBORG,,,,86,Sabine ENGLERT
52,748188,21.16,12-13,AHB,Mål,Gbr,17,Line Berggren LARSEN,,,,16,Amalie MILLING
53,748188,21.58,13-13,TES,Mål,VF,17,Elin HANSSON,Assist,25,Henny REISTAD,86,Sabine ENGLERT
54,748188,22.09,,AHB,Skud reddet,2:e,4,Katrine JACOBSEN,,,,12,Anna KRISTENSEN
55,748188,22.20,,TES,Skud på stolpe,2:e,18,Mette TRANBORG,,,,86,Sabine ENGLERT
56,748188,23.01,,AHB,Skud reddet,Gbr,17,Line Berggren LARSEN,Retur,0,Anna KRISTENSEN,12,Anna KRISTENSEN
57,748188,23.08,,AHB,Skud reddet,HF,25,Ida GÖTZSCHE,Retur,0,Anna KRISTENSEN,12,Anna KRISTENSEN
58,748188,23.14,13-14,AHB,Mål,ST,17,Line Berggren LARSEN,,,,12,Anna KRISTENSEN
59,748188,23.45,14-14,TES,Mål,Gbr,22,Line HAUGSTED,,,,86,Sabine ENGLERT
60,748188,24.26,,AHB,Skud på stolpe,HF,10,Frederikke WAAGE-JENSEN,,,,12,Anna KRISTENSEN
61,748188,24.52,,TES,Skud reddet,Gbr,18,Mette TRANBORG,,,,86,Sabine ENGLERT
62,748188,25.03,,AHB,Regelfejl,,17,Line Berggren LARSEN,,,,,
63,748188,25.45,15-14,TES,Mål,ST,10,Kathrine HEINDAHL,Assist,25,Henny REISTAD,86,Sabine ENGLERT
64,748188,25.55,15-15,AHB,Mål,2:e,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
65,748188,26.26,,TES,Skud reddet,PL,25,Henny REISTAD,,,,86,Sabine ENGLERT
66,748188,27.14,,AHB,Skud blokeret,PL,23,Nikoline SAX,Blok af (ret),22,Line HAUGSTED,,
67,748188,27.25,,AHB,Skud reddet,VB,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
68,748188,27.54,,TES,Tilkendt straffe,,25,Henny REISTAD,Forårs. str.,17,Line Berggren LARSEN,,
69,748188,28.18,16-15,TES,Mål på straffe,,4,Michala MØLLER,,,,86,Sabine ENGLERT
70,748188,29.00,16-16,AHB,Mål,Gbr,23,Nikoline SAX,,,,12,Anna KRISTENSEN
71,748188,29.59,17-16,TES,Mål,PL,25,Henny REISTAD,,,,86,Sabine ENGLERT
72,748188,30.00,17-16,,Halvleg,,,,,,,,
73,748188,30.00,,,Start 2:e halvleg,,,,,,,,
74,748188,30.46,18-16,TES,Mål,VB,22,Line HAUGSTED,,,,86,Sabine ENGLERT
75,748188,30.59,,TES,Udvisning,,22,Line HAUGSTED,,,,,
76,748188,30.59,,TES,Udvisning,,25,Henny REISTAD,,,,,
77,748188,31.20,,AHB,Skud reddet,VF,2,Majken Hedegaard NIELSEN,,,,12,Anna KRISTENSEN
78,748188,32.08,,TES,Tilkendt straffe,,8,Live DEILA,Forårs. str.,77,Alberte EBLER,,
79,748188,32.08,,AHB,Udvisning,,77,Alberte EBLER,,,,,
80,748188,32.12,,TES,Straffekast forbi,,4,Michala MØLLER,,,,86,Sabine ENGLERT
81,748188,32.28,18-17,AHB,Mål,Gbr,17,Line Berggren LARSEN,,,,12,Anna KRISTENSEN
82,748188,33.19,19-17,TES,Mål,Gbr,4,Michala MØLLER,Assist,25,Henny REISTAD,86,Sabine ENGLERT
83,748188,33.48,19-18,AHB,Mål,Gbr,17,Line Berggren LARSEN,Assist,23,Nikoline SAX,12,Anna KRISTENSEN
84,748188,34.06,,TES,Tilkendt straffe,,4,Michala MØLLER,Forårs. str.,2,Majken Hedegaard NIELSEN,,
85,748188,34.06,,AHB,Udvisning,,2,Majken Hedegaard NIELSEN,,,,,
86,748188,34.06,,AHB,Advarsel,A,,Jeppe Vestergaard KRISTENSEN,,,,,
87,748188,34.10,20-18,TES,Mål på straffe,,25,Henny REISTAD,,,,86,Sabine ENGLERT
88,748188,34.54,20-19,AHB,Mål,HF,10,Frederikke WAAGE-JENSEN,Assist,14,Anna Berger WIERZBA,12,Anna KRISTENSEN
89,748188,35.23,,TES,Skud reddet,HF,27,Anne Tolstrup PETERSEN,,,,86,Sabine ENGLERT
90,748188,36.18,,AHB,Regelfejl,,77,Alberte EBLER,,,,,
91,748188,36.46,21-19,TES,Mål,ST,10,Kathrine HEINDAHL,Assist,25,Henny REISTAD,86,Sabine ENGLERT
92,748188,37.39,,AHB,Skud på stolpe,HF,10,Frederikke WAAGE-JENSEN,,,,12,Anna KRISTENSEN
93,748188,37.47,,TES,Skud reddet,2:e,17,Elin HANSSON,,,,86,Sabine ENGLERT
94,748188,37.58,21-20,AHB,Mål,2:e,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
95,748188,38.24,22-20,TES,Mål,HF,27,Anne Tolstrup PETERSEN,Assist,4,Michala MØLLER,86,Sabine ENGLERT
96,748188,39.01,,AHB,Fejlaflevering,,23,Nikoline SAX,,,,,
97,748188,39.06,23-20,TES,Mål,1:e,17,Elin HANSSON,,,,86,Sabine ENGLERT
98,748188,39.39,,AHB,Tabt bold,,77,Alberte EBLER,,,,,
99,748188,39.44,24-20,TES,Mål,1:e,3,Kaja Kamp NIELSEN,Assist,22,Line HAUGSTED,86,Sabine ENGLERT
100,748188,39.44,,AHB,Udvisning,,77,Alberte EBLER,,,,,
101,748188,39.59,,AHB,Time out,,,,,,,,
102,748188,40.13,,AHB,Skud blokeret,PL,15,Sofia DEEN,Blok af (ret),22,Line HAUGSTED,,
103,748188,40.26,,AHB,Skud reddet,Gbr,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
104,748188,41.00,25-20,TES,Mål,,,,,,,,
105,748188,41.49,,AHB,Skud reddet,HF,10,Frederikke WAAGE-JENSEN,Retur,0,,12,Anna KRISTENSEN
106,748188,42.22,,AHB,Regelfejl,,3,Sarah Vest KIRKELØKKE,,,,,
107,748188,42.56,,TES,Skud reddet,HF,27,Anne Tolstrup PETERSEN,,,,86,Sabine ENGLERT
108,748188,43.30,,AHB,Tilkendt straffe,,14,Anna Berger WIERZBA,Forårs. str.,3,Kaja Kamp NIELSEN,,
109,748188,43.49,25-21,AHB,Mål på straffe,,15,Sofia DEEN,,,,12,Anna KRISTENSEN
110,748188,44.15,,TES,Skud reddet,HB,18,Mette TRANBORG,,,,86,Sabine ENGLERT
111,748188,44.25,,AHB,Regelfejl,,17,Line Berggren LARSEN,,,,,
112,748188,44.56,,TES,Skud forbi,PL,4,Michala MØLLER,,,,86,Sabine ENGLERT
113,748188,45.50,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,Bold erobret,3,Kaja Kamp NIELSEN,,
114,748188,46.24,26-21,TES,Mål,Gbr,25,Henny REISTAD,,,,86,Sabine ENGLERT
115,748188,46.38,,AHB,Skud reddet,2:e,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
116,748188,47.09,,TES,Tabt bold,,18,Mette TRANBORG,,,,,
117,748188,47.13,26-22,AHB,Mål,1:e,14,Anna Berger WIERZBA,Assist,18,Mathilde ØSTERGAARD,12,Anna KRISTENSEN
118,748188,47.54,,TES,Time out,,,,,,,,
119,748188,47.56,27-22,TES,Mål,Gbr,25,Henny REISTAD,,,,86,Sabine ENGLERT
120,748188,48.08,,AHB,Skud reddet,Gbr,17,Line Berggren LARSEN,Retur,0,,12,Anna KRISTENSEN
121,748188,48.37,,AHB,Skud reddet,ST,3,Sarah Vest KIRKELØKKE,,,,12,Anna KRISTENSEN
122,748188,48.47,28-22,TES,Mål,1:e,25,Henny REISTAD,,,,,
123,748188,49.14,,AHB,Skud reddet,PL,17,Line Berggren LARSEN,,,,12,Anna KRISTENSEN
124,748188,49.52,,TES,Tilkendt straffe,,4,Michala MØLLER,Forårs. str.,14,Anna Berger WIERZBA,,
125,748188,50.11,,TES,Straffekast reddet,,25,Henny REISTAD,,,,86,Sabine ENGLERT
126,748188,50.35,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,,,,12,Anna KRISTENSEN
127,748188,51.22,,TES,Tilkendt straffe,,4,Michala MØLLER,Forårs. str.,14,Anna Berger WIERZBA,,
128,748188,51.22,,AHB,Udvisning,,14,Anna Berger WIERZBA,,,,,
129,748188,51.27,,TES,Straffekast reddet,,8,Live DEILA,Retur,0,,86,Sabine ENGLERT
130,748188,51.31,,TES,Regelfejl,,8,Live DEILA,,,,,
131,748188,52.21,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
132,748188,52.25,29-22,TES,Mål,1:e,27,Anne Tolstrup PETERSEN,Assist,3,Kaja Kamp NIELSEN,86,Sabine ENGLERT
133,748188,53.25,,AHB,Skud reddet,PL,15,Sofia DEEN,,,,12,Anna KRISTENSEN
134,748188,53.35,30-22,TES,Mål,2:e,3,Kaja Kamp NIELSEN,Assist,18,Mette TRANBORG,86,Sabine ENGLERT
135,748188,53.52,,AHB,Time out,,,,,,,,
136,748188,54.13,,AHB,Regelfejl,,14,Anna Berger WIERZBA,,,,,
137,748188,55.07,,TES,Skud reddet,HF,27,Anne Tolstrup PETERSEN,,,,86,Sabine ENGLERT
138,748188,55.20,,AHB,Regelfejl,,14,Anna Berger WIERZBA,,,,,
139,748188,55.24,,TES,Time out,,,,,,,,
140,748188,55.48,,TES,Skud reddet,VB,22,Line HAUGSTED,,,,86,Sabine ENGLERT
141,748188,56.18,30-23,AHB,Mål,HF,25,Ida GÖTZSCHE,Assist,14,Anna Berger WIERZBA,12,Anna KRISTENSEN
142,748188,57.16,,TES,Skud reddet,ST,3,Kaja Kamp NIELSEN,,,,86,Sabine ENGLERT
143,748188,57.59,30-24,AHB,Mål,HF,25,Ida GÖTZSCHE,Assist,14,Anna Berger WIERZBA,12,Anna KRISTENSEN
144,748188,58.25,31-24,TES,Mål,PL,7,Luciana REBELO,,,,86,Sabine ENGLERT
145,748188,58.34,31-25,AHB,Mål,2:e,15,Sofia DEEN,,,,12,Anna KRISTENSEN
146,748188,59.10,,TES,Skud reddet,ST,3,Kaja Kamp NIELSEN,Retur,0,,86,Sabine ENGLERT
147,748188,59.34,,TES,Tilkendt straffe,,3,Kaja Kamp NIELSEN,Forårs. str.,15,Sofia DEEN,,
148,748188,59.39,,TES,Straffekast reddet,,4,Michala MØLLER,,,,86,Sabine ENGLERT
149,748188,59.57,31-26,AHB,Mål,ST,4,Katrine JACOBSEN,Assist,23,Nikoline SAX,12,Anna KRISTENSEN
