id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748189,0.00,,,Start 1:e halvleg,,,,,,,,
2,748189,0.34,,SJE,Fejlaflevering,,28,Sarah PAULSEN,Bold erobret,23,Thilde FRANDSEN,,
3,748189,0.41,0-1,SVK,Mål,2:e,31,Andrea West BENDTSEN,,,,12,Stine BROLØS
4,748189,0.51,1-1,SJE,Mål,Gbr,28,Sarah PAULSEN,Assist,10,Nicoline OLSEN,22,Stine BONDE
5,748189,1.30,1-2,SVK,Mål,VF,7,Maja Munch LAURSEN,Assist,18,Natasja ANDREASEN,12,Stine BROLØS
6,748189,2.40,,SJE,Regelfejl,,7,Melissa PETRÉN,,,,,
7,748189,2.47,1-3,SVK,Mål,1:e,15,Karen KLOKKER,Assist,18,Natasja ANDREASEN,12,Stine BROLØS
8,748189,3.14,,SJE,Skud reddet,2:e,7,Melissa PETRÉN,,,,22,Stine BONDE
9,748189,3.24,,SVK,Skud reddet,ST,15,Karen KLOKKER,,,,12,Stine BROLØS
10,748189,3.30,2-3,SJE,Mål,2:e,10,Nicoline OLSEN,Assist,22,Olivia SIMONSEN,22,Stine BONDE
11,748189,3.40,2-4,SVK,Mål,1:e,18,Natasja ANDREASEN,Assist,15,Karen KLOKKER,12,Stine BROLØS
12,748189,4.14,,SJE,Skud forbi,Gbr,10,Nicoline OLSEN,,,,22,Stine BONDE
13,748189,4.24,,SVK,Skud på stolpe,VB,31,Andrea West BENDTSEN,,,,12,Stine BROLØS
14,748189,5.02,,SJE,Fejlaflevering,,10,Nicoline OLSEN,,,,,
15,748189,5.15,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,Bold erobret,10,Nicoline OLSEN,,
16,748189,5.55,,SJE,Skud blokeret,PL,7,Melissa PETRÉN,Blok af (ret),31,Andrea West BENDTSEN,,
17,748189,6.07,,SJE,Skud forbi,ST,31,Ida-Marie DAHL,,,,22,Stine BONDE
18,748189,6.29,2-5,SVK,Mål,PL,6,Thea RASMUSSEN,Assist,18,Natasja ANDREASEN,12,Stine BROLØS
19,748189,6.41,3-5,SJE,Mål,ST,9,Filippa NYMAN,Assist,22,Olivia SIMONSEN,22,Stine BONDE
20,748189,6.51,,SVK,Skud på stolpe,VB,18,Natasja ANDREASEN,Retur,18,Natasja ANDREASEN,12,Stine BROLØS
21,748189,6.52,3-6,SVK,Mål,VB,18,Natasja ANDREASEN,,,,12,Stine BROLØS
22,748189,7.22,,SJE,Tabt bold,,7,Melissa PETRÉN,Bold erobret,23,Thilde FRANDSEN,,
23,748189,7.28,3-7,SVK,Mål,2:e,23,Thilde FRANDSEN,Assist,31,Andrea West BENDTSEN,12,Stine BROLØS
24,748189,7.29,,SJE,Time out,,,,,,,,
25,748189,8.01,4-7,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,22,Stine BONDE
26,748189,8.40,,SVK,Skud reddet,HF,23,Thilde FRANDSEN,,,,12,Stine BROLØS
27,748189,9.05,5-7,SJE,Mål,PL,7,Melissa PETRÉN,,,,22,Stine BONDE
28,748189,9.15,,SVK,Skud forbi,2:e,18,Natasja ANDREASEN,,,,12,Stine BROLØS
29,748189,9.55,6-7,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,22,Stine BONDE
30,748189,10.10,,SVK,Skud på stolpe,1:e,6,Thea RASMUSSEN,,,,12,Stine BROLØS
31,748189,10.43,7-7,SJE,Mål,HF,6,Lea HANSEN,Assist,28,Sarah PAULSEN,22,Stine BONDE
32,748189,11.32,,SVK,Fejlaflevering,,18,Natasja ANDREASEN,Bold erobret,7,Melissa PETRÉN,,
33,748189,11.38,,SJE,Skud forbi,2:e,7,Melissa PETRÉN,,,,22,Stine BONDE
34,748189,12.06,,SVK,Skud reddet,Gbr,11,Sara MADSEN,,,,12,Stine BROLØS
