id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748190,0.00,,,Start 1:e halvleg,,,,,,,,
2,748190,1.14,,EHA,Advarsel,,10,Sofie LASSEN,,,,,
3,748190,1.49,,BFH,Skud forbi,VB,31,Marianne HAUGSTED,,,,1,Annika FRIDHEIM
4,748190,2.33,,EHA,Tilkendt straffe,,4,Cecilie TERMANSEN,Forårs. str.,5,Sofie LUND,,
5,748190,2.47,1-0,EHA,Mål på straffe,,30,Clara LERBY,,,,20,Clara BAK
6,748190,3.59,1-1,BFH,Mål,VB,31,Marianne HAUGSTED,,,,1,Annika FRIDHEIM
7,748190,4.09,,EHA,Tabt bold,,30,Clara LERBY,,,,,
8,748190,4.50,1-2,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,72,Line FRANDSEN,1,Annika FRIDHEIM
9,748190,5.22,,EHA,Skud reddet,PL,21,Frederikke GULMARK,,,,20,Clara BAK
10,748190,5.32,1-3,BFH,Mål,2:e,4,Emilie BANGSHØI,Assist,31,Marianne HAUGSTED,1,Annika FRIDHEIM
11,748190,6.02,,EHA,Tilkendt straffe,,5,Anna Hviid BANG,Forårs. str.,19,Rikke Dahl NIELSEN,,
12,748190,6.33,2-3,EHA,Mål på straffe,,23,Silje BRØNS,,,,20,Clara BAK
13,748190,6.58,,BFH,Regelfejl,,7,Line GYLDENLØVE,,,,,
14,748190,7.09,,EHA,Skud reddet,2:e,21,Frederikke GULMARK,,,,20,Clara BAK
15,748190,8.07,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
16,748190,8.17,,EHA,Skud reddet,2:e,28,Maiken SKOV,,,,20,Clara BAK
17,748190,8.47,,BFH,Skud reddet,PL,31,Marianne HAUGSTED,,,,1,Annika FRIDHEIM
18,748190,9.02,,EHA,Skud på stolpe,2:e,30,Clara LERBY,,,,20,Clara BAK
19,748190,9.37,2-4,BFH,Mål,Gbr,31,Marianne HAUGSTED,Assist,72,Line FRANDSEN,1,Annika FRIDHEIM
20,748190,10.20,,EHA,Fejlaflevering,,23,Silje BRØNS,Bold erobret,7,Line GYLDENLØVE,,
21,748190,10.50,2-5,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,31,Marianne HAUGSTED,1,Annika FRIDHEIM
22,748190,11.26,,EHA,Fejlaflevering,,5,Anna Hviid BANG,Bold erobret,72,Line FRANDSEN,,
23,748190,11.30,2-6,BFH,Mål,1:e,72,Line FRANDSEN,,,,1,Annika FRIDHEIM
24,748190,11.40,,EHA,Tilkendt straffe,,5,Anna Hviid BANG,Forårs. str.,31,Marianne HAUGSTED,,
25,748190,11.40,,BFH,Udvisning,,31,Marianne HAUGSTED,,,,,
26,748190,11.43,3-6,EHA,Mål på straffe,,30,Clara LERBY,,,,24,Josephine NORDSTRØM
27,748190,12.27,,BFH,Tilkendt straffe,,4,Emilie BANGSHØI,Forårs. str.,28,Maiken SKOV,,
28,748190,12.31,,BFH,Straffekast reddet,,7,Line GYLDENLØVE,,,,16,Johanne GRAUGAARD
29,748190,12.55,4-6,EHA,Mål,VF,30,Clara LERBY,Assist,23,Silje BRØNS,20,Clara BAK
30,748190,13.25,4-7,BFH,Mål,HF,44,Louise HALD,Assist,7,Line GYLDENLØVE,16,Johanne GRAUGAARD
31,748190,13.39,5-7,EHA,Mål,ST,22,Mirja LYNGSØ,Assist,10,Sofie LASSEN,20,Clara BAK
32,748190,14.13,,BFH,Skud forbi,PL,21,Emma ERNST,,,,16,Johanne GRAUGAARD
33,748190,14.24,,EHA,Tilkendt straffe,,10,Sofie LASSEN,Forårs. str.,21,Emma ERNST,,
34,748190,14.46,,EHA,Straffekast forbi,,23,Silje BRØNS,,,,20,Clara BAK
35,748190,15.46,,BFH,Fejlaflevering,,21,Emma ERNST,,,,,
36,748190,15.50,6-7,EHA,Mål,1:e,10,Sofie LASSEN,,,,,
37,748190,16.18,,BFH,Regelfejl,,21,Emma ERNST,,,,,
38,748190,16.47,,EHA,Tabt bold,,8,Tine GEERTSEN,,,,,
39,748190,16.52,,BFH,Tilkendt straffe,,11,Arlinda HAJDARI,Forårs. str.,23,Silje BRØNS,,
40,748190,16.52,,EHA,Udvisning,,23,Silje BRØNS,,,,,
41,748190,16.55,6-8,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,16,Johanne GRAUGAARD
42,748190,18.16,,EHA,Skud blokeret,PL,21,Frederikke GULMARK,Blok af (ret),11,Arlinda HAJDARI,,
43,748190,18.24,,EHA,Passivt spil,,0,,,,,,
44,748190,18.58,,BFH,Skud reddet,PL,7,Line GYLDENLØVE,,,,16,Johanne GRAUGAARD
45,748190,19.04,,EHA,Skud forbi,1:e,16,Johanne GRAUGAARD,,,,0,
46,748190,19.36,,BFH,Skud på stolpe,ST,18,Sidsel POULSEN,,,,16,Johanne GRAUGAARD
47,748190,20.08,,EHA,Skud på stolpe,HF,28,Maiken SKOV,,,,20,Clara BAK
48,748190,20.48,,BFH,Skud reddet,PL,11,Arlinda HAJDARI,,,,16,Johanne GRAUGAARD
49,748190,20.59,,EHA,Tilkendt straffe,,10,Sofie LASSEN,Forårs. str.,19,Rikke Dahl NIELSEN,,
50,748190,21.18,7-8,EHA,Mål på straffe,,30,Clara LERBY,,,,20,Clara BAK
51,748190,21.53,7-9,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,16,Johanne GRAUGAARD
52,748190,22.03,,EHA,Time out,,,,,,,,
53,748190,22.23,,EHA,Skud reddet,VB,23,Silje BRØNS,,,,20,Clara BAK
54,748190,22.52,,BFH,Fejlaflevering,,11,Arlinda HAJDARI,,,,,
55,748190,23.18,,EHA,Fejlaflevering,,8,Tine GEERTSEN,,,,,
56,748190,24.18,,BFH,Skud blokeret,PL,11,Arlinda HAJDARI,Blok af (ret),4,Cecilie TERMANSEN,,
57,748190,24.30,7-10,BFH,Mål,PL,11,Arlinda HAJDARI,,,,16,Johanne GRAUGAARD
58,748190,24.42,8-10,EHA,Mål,2:e,23,Silje BRØNS,Assist,10,Sofie LASSEN,20,Clara BAK
59,748190,25.14,,BFH,Skud forbi,PL,7,Line GYLDENLØVE,,,,16,Johanne GRAUGAARD
60,748190,25.23,,EHA,Fejlaflevering,,10,Sofie LASSEN,,,,,
61,748190,25.26,,BFH,Fejlaflevering,,20,Clara BAK,,,,,
62,748190,25.58,9-10,EHA,Mål,Gbr,21,Frederikke GULMARK,,,,20,Clara BAK
63,748190,26.36,,BFH,Time out,,,,,,,,
64,748190,26.57,,BFH,Tabt bold,,11,Arlinda HAJDARI,,,,,
65,748190,27.01,10-10,EHA,Mål,1:e,30,Clara LERBY,,,,,
66,748190,27.35,,BFH,Skud reddet,HF,10,Melina KRISTENSEN,,,,16,Johanne GRAUGAARD
67,748190,28.04,,EHA,Skud på stolpe,Gbr,21,Frederikke GULMARK,,,,20,Clara BAK
68,748190,29.13,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
69,748190,29.59,,EHA,Skud reddet,PL,21,Frederikke GULMARK,,,,20,Clara BAK
70,748190,30.00,10-10,,Halvleg,,,,,,,,
71,748190,30.00,,,Start 2:e halvleg,,,,,,,,
72,748190,30.27,11-10,EHA,Mål,HB,23,Silje BRØNS,,,,20,Clara BAK
73,748190,30.59,,BFH,Tabt bold,,11,Arlinda HAJDARI,,,,,
74,748190,31.06,12-10,EHA,Mål,1:e,30,Clara LERBY,Assist,21,Frederikke GULMARK,20,Clara BAK
75,748190,32.05,12-11,BFH,Mål,HF,10,Melina KRISTENSEN,Assist,11,Arlinda HAJDARI,16,Johanne GRAUGAARD
76,748190,32.46,,EHA,Tilkendt straffe,,23,Silje BRØNS,Forårs. str.,31,Marianne HAUGSTED,,
77,748190,33.06,13-11,EHA,Mål på straffe,,30,Clara LERBY,,,,20,Clara BAK
78,748190,33.56,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,,,,,
79,748190,34.04,,EHA,Regelfejl,,21,Frederikke GULMARK,,,,,
80,748190,34.10,13-12,BFH,Mål,1:e,10,Melina KRISTENSEN,Assist,11,Arlinda HAJDARI,16,Johanne GRAUGAARD
81,748190,35.10,,EHA,Skud reddet,PL,23,Silje BRØNS,,,,20,Clara BAK
82,748190,35.51,,BFH,Skud reddet,PL,72,Line FRANDSEN,Retur,0,,16,Johanne GRAUGAARD
83,748190,36.10,,BFH,Regelfejl,,72,Line FRANDSEN,,,,,
84,748190,36.23,,EHA,Fejlaflevering,,23,Silje BRØNS,,,,,
85,748190,36.26,,BFH,Skud reddet,1:e,31,Marianne HAUGSTED,,,,16,Johanne GRAUGAARD
86,748190,37.01,,EHA,Tabt bold,,5,Anna Hviid BANG,,,,,
