id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748192,0.00,,,Start 1:e halvleg,,,,,,,,
2,748192,0.37,,IKA,Skud på stolpe,PL,21,Ingvild BAKKERUD,,,,22,Stine BONDE
3,748192,1.31,1-0,SVK,Mål,PL,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
4,748192,2.08,,IKA,Fejlaflevering,,7,Stine SKOGRAND,Bold erobret,4,Maria HOLM,,
5,748192,2.43,,SVK,Skud reddet,ST,15,Karen KLOKKER,,,,12,Filippa IDÉHN
6,748192,2.55,,SVK,Udvisning,,31,Andrea West BENDTSEN,,,,,
7,748192,3.08,,IKA,Tabt bold,,19,Amanda Loft HANSEN,,,,,
8,748192,3.43,,SVK,Skud forbi,Gbr,18,Natasja ANDREASEN,,,,12,Filippa IDÉHN
9,748192,3.50,,IKA,Fejlaflevering,,21,Ingvild BAKKERUD,Bold erobret,18,Natasja ANDREASEN,,
10,748192,4.21,2-0,SVK,Mål,VB,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
11,748192,4.28,2-1,IKA,Mål,2:e,11,Sarah Aaberg IVERSEN,Assist,14,Emma LINDQVIST,22,Stine BONDE
12,748192,5.40,,SVK,Skud reddet,PL,4,Maria HOLM,,,,12,Filippa IDÉHN
13,748192,6.43,2-2,IKA,Mål,Gbr,14,Emma LINDQVIST,,,,22,Stine BONDE
14,748192,7.13,,SVK,Fejlaflevering,,18,Natasja ANDREASEN,Bold erobret,22,Lærke NOLSØE,,
15,748192,7.18,,IKA,Skud reddet,1:e,22,Lærke NOLSØE,,,,22,Stine BONDE
16,748192,8.04,3-2,SVK,Mål,VB,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
17,748192,8.49,3-3,IKA,Mål,ST,11,Sarah Aaberg IVERSEN,Assist,21,Ingvild BAKKERUD,22,Stine BONDE
18,748192,9.29,,SVK,Skud blokeret,PL,6,Thea RASMUSSEN,Blokeret af,21,Ingvild BAKKERUD,,
19,748192,9.34,3-4,IKA,Mål,1:e,77,Line Mai HOUGAARD,Assist,11,Sarah Aaberg IVERSEN,22,Stine BONDE
20,748192,10.06,,SVK,Skud forbi,HB,4,Maria HOLM,,,,12,Filippa IDÉHN
21,748192,10.16,,IKA,Regelfejl,,7,Stine SKOGRAND,,,,,
22,748192,10.23,4-4,SVK,Mål,1:e,4,Maria HOLM,Assist,31,Andrea West BENDTSEN,12,Filippa IDÉHN
23,748192,10.58,,IKA,Skud forbi,ST,11,Sarah Aaberg IVERSEN,,,,22,Stine BONDE
24,748192,11.41,,IKA,Advarsel,,21,Ingvild BAKKERUD,,,,,
25,748192,11.54,,SVK,Skud reddet,PL,18,Natasja ANDREASEN,,,,12,Filippa IDÉHN
26,748192,12.32,4-5,IKA,Mål,Gbr,7,Stine SKOGRAND,,,,22,Stine BONDE
27,748192,13.26,5-5,SVK,Mål,VB,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
28,748192,13.37,,IKA,Tilkendt straffe,,7,Stine SKOGRAND,Forårs. str.,7,Maja Munch LAURSEN,,
29,748192,14.02,,IKA,Straffekast på stolpe,,7,Stine SKOGRAND,,,,22,Stine BONDE
30,748192,14.32,,SVK,Skud reddet,PL,6,Thea RASMUSSEN,,,,12,Filippa IDÉHN
31,748192,14.38,5-6,IKA,Mål,2:e,21,Ingvild BAKKERUD,Assist,7,Stine SKOGRAND,22,Stine BONDE
32,748192,15.28,,SVK,Skud blokeret,PL,4,Maria HOLM,Blok af (ret),21,Ingvild BAKKERUD,,
33,748192,15.56,,SVK,Skud forbi,PL,4,Maria HOLM,,,,12,Filippa IDÉHN
34,748192,16.35,,IKA,Skud forbi,VB,21,Ingvild BAKKERUD,,,,22,Stine BONDE
35,748192,17.33,,SVK,Skud reddet,ST,15,Karen KLOKKER,,,,12,Filippa IDÉHN
36,748192,17.38,,IKA,Fejlaflevering,,21,Ingvild BAKKERUD,Bold erobret,4,Maria HOLM,,
37,748192,17.47,6-6,SVK,Mål,2:e,15,Karen KLOKKER,Assist,4,Maria HOLM,12,Filippa IDÉHN
38,748192,18.41,,IKA,Tilkendt straffe,,11,Sarah Aaberg IVERSEN,Forårs. str.,15,Karen KLOKKER,,
39,748192,19.01,,IKA,Straffekast forbi,,7,Stine SKOGRAND,,,,22,Stine BONDE
40,748192,19.50,7-6,SVK,Mål,PL,11,Sara MADSEN,,,,12,Filippa IDÉHN
41,748192,19.59,7-7,IKA,Mål,2:e,21,Ingvild BAKKERUD,,,,22,Stine BONDE
42,748192,21.05,8-7,SVK,Mål,HB,11,Sara MADSEN,,,,12,Filippa IDÉHN
43,748192,21.13,8-8,IKA,Mål,2:e,7,Stine SKOGRAND,,,,22,Stine BONDE
44,748192,21.22,9-8,SVK,Mål,2:e,11,Sara MADSEN,,,,12,Filippa IDÉHN
45,748192,21.52,,IKA,Regelfejl,,21,Ingvild BAKKERUD,,,,,
46,748192,22.02,,SVK,Skud reddet,2:e,31,Andrea West BENDTSEN,,,,12,Filippa IDÉHN
47,748192,22.37,9-9,IKA,Mål,VB,21,Ingvild BAKKERUD,,,,22,Stine BONDE
48,748192,23.06,,SVK,Skud reddet,PL,31,Andrea West BENDTSEN,,,,12,Filippa IDÉHN
49,748192,23.12,,IKA,Fejlaflevering,,7,Stine SKOGRAND,Bold erobret,27,Marigona HAJDARI,,
50,748192,23.16,,SVK,Skud på stolpe,2:e,31,Andrea West BENDTSEN,,,,12,Filippa IDÉHN
51,748192,23.23,,IKA,Time out,,,,,,,,
52,748192,23.53,,SVK,Udvisning,,15,Karen KLOKKER,,,,,
53,748192,24.16,9-10,IKA,Mål,HF,77,Line Mai HOUGAARD,Assist,14,Emma LINDQVIST,22,Stine BONDE
54,748192,24.53,10-10,SVK,Mål,VB,27,Marigona HAJDARI,,,,12,Filippa IDÉHN
55,748192,25.21,10-11,IKA,Mål,Gbr,14,Emma LINDQVIST,,,,16,Anna VENG
56,748192,26.12,11-11,SVK,Mål,HB,11,Sara MADSEN,,,,12,Filippa IDÉHN
57,748192,26.39,11-12,IKA,Mål,Gbr,7,Stine SKOGRAND,,,,16,Anna VENG
58,748192,27.16,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,Bold erobret,22,Lærke NOLSØE,,
59,748192,27.42,11-13,IKA,Mål,VF,22,Lærke NOLSØE,Assist,21,Ingvild BAKKERUD,16,Anna VENG
60,748192,27.50,,SVK,Time out,,,,,,,,
61,748192,28.30,,SVK,Fejlaflevering,,27,Marigona HAJDARI,Bold erobret,22,Lærke NOLSØE,,
62,748192,28.59,,IKA,Skud forbi,HF,77,Line Mai HOUGAARD,,,,16,Anna VENG
63,748192,29.34,12-13,SVK,Mål,PL,11,Sara MADSEN,,,,12,Filippa IDÉHN
64,748192,29.56,12-14,IKA,Mål,ST,11,Sarah Aaberg IVERSEN,Assist,21,Ingvild BAKKERUD,16,Anna VENG
65,748192,30.00,12-14,,Halvleg,,,,,,,,
66,748192,30.00,,,Start 2:e halvleg,,,,,,,,
67,748192,30.45,13-14,SVK,Mål,Gbr,11,Sara MADSEN,,,,12,Filippa IDÉHN
68,748192,31.16,13-15,IKA,Mål,Gbr,7,Stine SKOGRAND,Assist,11,Sarah Aaberg IVERSEN,16,Anna VENG
69,748192,31.22,14-15,SVK,Mål,2:e,31,Andrea West BENDTSEN,Assist,15,Karen KLOKKER,12,Filippa IDÉHN
70,748192,31.50,14-16,IKA,Mål,HF,6,Cecilie BRANDT,Assist,21,Ingvild BAKKERUD,16,Anna VENG
71,748192,32.46,,SVK,Skud reddet,Gbr,18,Natasja ANDREASEN,,,,12,Filippa IDÉHN
72,748192,33.35,14-17,IKA,Mål,PL,14,Emma LINDQVIST,,,,16,Anna VENG
73,748192,34.08,15-17,SVK,Mål,HB,11,Sara MADSEN,,,,12,Filippa IDÉHN
74,748192,34.37,,IKA,Skud reddet,VB,21,Ingvild BAKKERUD,,,,16,Anna VENG
75,748192,34.49,,SVK,Skud reddet,2:e,15,Karen KLOKKER,,,,12,Filippa IDÉHN
76,748192,34.56,,SVK,Udvisning,,31,Andrea West BENDTSEN,,,,,
