id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748193,0.00,,,Start 1:e halvleg,,,,,,,,
2,748193,0.31,,AHB,Skud reddet,Gbr,17,Line Berggren LARSEN,,,,12,Stine BROLØS
3,748193,0.44,0-1,SJE,Mål,2:e,6,Lea HANSEN,Assist,22,Olivia SIMONSEN,86,Sabine ENGLERT
4,748193,0.53,,AHB,Regelfejl,,17,Line Berggren LARSEN,,,,,
5,748193,1.28,0-2,SJE,Mål,HF,6,Lea HANSEN,Assist,28,Sarah PAULSEN,86,Sabine ENGLERT
6,748193,1.40,1-2,AHB,Mål,2:e,77,Alberte EBLER,,,,12,Stine BROLØS
7,748193,2.12,,SJE,Skud på stolpe,VB,14,Louise ELLEBÆK,,,,86,Sabine ENGLERT
8,748193,2.20,,AHB,Skud på stolpe,2:e,17,Line Berggren LARSEN,,,,12,Stine BROLØS
9,748193,2.32,1-3,SJE,Mål,2:e,6,Lea HANSEN,Assist,22,Olivia SIMONSEN,86,Sabine ENGLERT
10,748193,3.02,,AHB,Skud reddet,HB,77,Alberte EBLER,,,,12,Stine BROLØS
11,748193,3.36,,SJE,Skud reddet,Gbr,28,Sarah PAULSEN,,,,86,Sabine ENGLERT
12,748193,3.44,2-3,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,12,Stine BROLØS
13,748193,4.32,2-4,SJE,Mål,HF,6,Lea HANSEN,Assist,14,Louise ELLEBÆK,86,Sabine ENGLERT
14,748193,5.09,,SJE,Advarsel,,14,Louise ELLEBÆK,,,,,
15,748193,5.53,3-4,AHB,Mål,Gbr,77,Alberte EBLER,,,,12,Stine BROLØS
16,748193,6.00,3-5,SJE,Mål,2:e,31,Ida-Marie DAHL,Assist,22,Olivia SIMONSEN,86,Sabine ENGLERT
17,748193,6.48,,AHB,Skud på stolpe,VF,18,Mathilde ØSTERGAARD,,,,12,Stine BROLØS
18,748193,7.37,,SJE,Skud reddet,VB,14,Louise ELLEBÆK,,,,86,Sabine ENGLERT
19,748193,7.46,,AHB,Skud forbi,2:e,14,Anna Berger WIERZBA,,,,12,Stine BROLØS
20,748193,8.19,,SJE,Skud på stolpe,PL,7,Melissa PETRÉN,,,,86,Sabine ENGLERT
21,748193,8.30,,AHB,Tabt bold,,3,Sarah Vest KIRKELØKKE,,,,,
22,748193,8.35,3-6,SJE,Mål,1:e,6,Lea HANSEN,Assist,14,Louise ELLEBÆK,86,Sabine ENGLERT
23,748193,8.44,4-6,AHB,Mål,2:e,14,Anna Berger WIERZBA,,,,12,Stine BROLØS
24,748193,9.20,,SJE,Tilkendt straffe,,28,Sarah PAULSEN,Forårs. str.,3,Sarah Vest KIRKELØKKE,,
25,748193,9.36,4-7,SJE,Mål på straffe,,7,Melissa PETRÉN,,,,86,Sabine ENGLERT
26,748193,10.25,,AHB,Tilkendt straffe,,17,Line Berggren LARSEN,Forårs. str.,31,Ida-Marie DAHL,,
27,748193,10.52,5-7,AHB,Mål på straffe,,15,Sofia DEEN,,,,12,Stine BROLØS
28,748193,11.17,,SJE,Skud reddet,PL,28,Sarah PAULSEN,,,,86,Sabine ENGLERT
29,748193,11.23,6-7,AHB,Mål,1:e,18,Mathilde ØSTERGAARD,Assist,86,Sabine ENGLERT,12,Stine BROLØS
30,748193,11.51,6-8,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,86,Sabine ENGLERT
31,748193,12.25,,AHB,Skud reddet,HF,25,Ida GÖTZSCHE,,,,12,Stine BROLØS
