id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748194,0.00,,,Start 1:e halvleg,,,,,,,,
2,748194,0.33,,TES,Skud reddet,PL,4,Michala MØLLER,,,,20,Anne Christine BOSSEN
3,748194,1.06,,KBH,Fejlaflevering,,21,Helene KINDBERG,Bold erobret,20,Marit Røsberg JACOBSEN,,
4,748194,1.54,,TES,Skud reddet,VB,22,Line HAUGSTED,,,,20,Anne Christine BOSSEN
5,748194,2.06,,KBH,Skud reddet,Gbr,4,Catharina MOLENAAR,,,,16,Amalie MILLING
6,748194,2.12,0-1,TES,Mål,2:e,4,Michala MØLLER,,,,20,Anne Christine BOSSEN
7,748194,3.17,,KBH,Fejlaflevering,,15,Emma NAVNE,,,,,
8,748194,3.22,0-2,TES,Mål,2:e,22,Line HAUGSTED,,,,20,Anne Christine BOSSEN
9,748194,4.03,,KBH,Skud reddet,Gbr,21,Helene KINDBERG,Retur,0,,16,Amalie MILLING
10,748194,4.26,1-2,KBH,Mål,PL,15,Emma NAVNE,,,,16,Amalie MILLING
11,748194,4.38,,TES,Skud reddet,2:e,22,Line HAUGSTED,,,,20,Anne Christine BOSSEN
12,748194,4.46,2-2,KBH,Mål,2:e,21,Helene KINDBERG,Assist,15,Emma NAVNE,16,Amalie MILLING
13,748194,5.43,,TES,Skud forbi,ST,10,Kathrine HEINDAHL,,,,20,Anne Christine BOSSEN
14,748194,5.54,,KBH,Skud reddet,HF,5,Clara SKØTT,,,,16,Amalie MILLING
15,748194,6.27,2-3,TES,Mål,Gbr,8,Live DEILA,,,,20,Anne Christine BOSSEN
16,748194,7.14,,KBH,Skud reddet,VB,4,Catharina MOLENAAR,,,,16,Amalie MILLING
17,748194,7.19,2-4,TES,Mål,2:e,4,Michala MØLLER,Assist,22,Line HAUGSTED,20,Anne Christine BOSSEN
18,748194,8.05,3-4,KBH,Mål,PL,15,Emma NAVNE,,,,16,Amalie MILLING
19,748194,8.16,3-5,TES,Mål,Gbr,4,Michala MØLLER,Assist,22,Line HAUGSTED,20,Anne Christine BOSSEN
20,748194,8.30,,KBH,Tilkendt straffe,,4,Catharina MOLENAAR,Forårs. str.,8,Live DEILA,,
21,748194,8.56,,KBH,Straffekast reddet,,5,Clara SKØTT,,,,16,Amalie MILLING
22,748194,9.29,,TES,Skud reddet,Gbr,8,Live DEILA,,,,20,Anne Christine BOSSEN
23,748194,9.41,,KBH,Skud reddet,2:e,17,Tabea SCHMID,Retur,0,,16,Amalie MILLING
24,748194,10.08,4-5,KBH,Mål,Gbr,15,Emma NAVNE,,,,16,Amalie MILLING
25,748194,10.16,4-6,TES,Mål,2:e,10,Kathrine HEINDAHL,Assist,8,Live DEILA,20,Anne Christine BOSSEN
26,748194,11.04,,KBH,Skud reddet,HB,15,Emma NAVNE,Retur,0,,16,Amalie MILLING
27,748194,11.16,5-6,KBH,Mål,ST,17,Tabea SCHMID,Assist,15,Emma NAVNE,16,Amalie MILLING
28,748194,11.50,,TES,Fejlaflevering,,8,Live DEILA,,,,,
29,748194,12.20,6-6,KBH,Mål,Gbr,21,Helene KINDBERG,,,,16,Amalie MILLING
30,748194,12.30,6-7,TES,Mål,2:e,17,Elin HANSSON,Assist,4,Michala MØLLER,20,Anne Christine BOSSEN
31,748194,13.04,,KBH,Fejlaflevering,,4,Catharina MOLENAAR,,,,,
32,748194,13.46,,TES,Skud reddet,ST,10,Kathrine HEINDAHL,Retur,0,,20,Anne Christine BOSSEN
33,748194,14.09,,TES,Skud reddet,PL,4,Michala MØLLER,,,,20,Anne Christine BOSSEN
34,748194,14.41,7-7,KBH,Mål,ST,10,Pernille BRANDENBORG,Assist,4,Catharina MOLENAAR,16,Amalie MILLING
35,748194,14.48,,TES,Time out,,,,,,,,
36,748194,15.25,,TES,Skud reddet,Gbr,18,Mette TRANBORG,,,,20,Anne Christine BOSSEN
37,748194,16.28,,KBH,Skud forbi,PL,15,Emma NAVNE,,,,16,Amalie MILLING
38,748194,16.35,7-8,TES,Mål,2:e,25,Henny REISTAD,,,,20,Anne Christine BOSSEN
39,748194,17.31,,KBH,Passivt spil,,0,,,,,,
40,748194,18.22,,TES,Regelfejl,,3,Kaja Kamp NIELSEN,,,,,
41,748194,18.56,8-8,KBH,Mål,ST,10,Pernille BRANDENBORG,Assist,4,Catharina MOLENAAR,16,Amalie MILLING
42,748194,19.04,,TES,Skud reddet,2:e,3,Kaja Kamp NIELSEN,,,,20,Anne Christine BOSSEN
43,748194,19.15,9-8,KBH,Mål,2:e,5,Clara SKØTT,Assist,15,Emma NAVNE,16,Amalie MILLING
44,748194,19.47,9-9,TES,Mål,Gbr,25,Henny REISTAD,Assist,4,Michala MØLLER,20,Anne Christine BOSSEN
45,748194,20.22,10-9,KBH,Mål,VF,7,Emilie Ytting PEDERSEN,Assist,4,Catharina MOLENAAR,16,Amalie MILLING
46,748194,20.35,10-10,TES,Mål,HF,20,Marit Røsberg JACOBSEN,Assist,18,Mette TRANBORG,20,Anne Christine BOSSEN
47,748194,21.07,,KBH,Skud reddet,HF,44,Meret OSSENKOPP,,,,16,Amalie MILLING
48,748194,21.12,10-11,TES,Mål,2:e,25,Henny REISTAD,,,,20,Anne Christine BOSSEN
49,748194,21.51,,KBH,Skud reddet,Gbr,21,Helene KINDBERG,,,,16,Amalie MILLING
50,748194,22.05,,TES,Regelfejl,,25,Henny REISTAD,,,,,
51,748194,22.27,,KBH,Skud reddet,Gbr,4,Catharina MOLENAAR,,,,16,Amalie MILLING
52,748194,22.33,10-12,TES,Mål,1:e,25,Henny REISTAD,,,,20,Anne Christine BOSSEN
53,748194,23.10,,KBH,Fejlaflevering,,15,Emma NAVNE,,,,,
54,748194,23.21,,TES,Skud reddet,2:e,22,Line HAUGSTED,,,,20,Anne Christine BOSSEN
55,748194,23.57,11-12,KBH,Mål,VF,7,Emilie Ytting PEDERSEN,Assist,15,Emma NAVNE,16,Amalie MILLING
56,748194,24.31,11-13,TES,Mål,Gbr,18,Mette TRANBORG,,,,20,Anne Christine BOSSEN
57,748194,24.41,12-13,KBH,Mål,Gbr,21,Helene KINDBERG,,,,16,Amalie MILLING
58,748194,25.20,,TES,Skud på stolpe,Gbr,4,Michala MØLLER,,,,20,Anne Christine BOSSEN
59,748194,25.57,13-13,KBH,Mål,Gbr,21,Helene KINDBERG,,,,16,Amalie MILLING
60,748194,26.33,13-14,TES,Mål,ST,3,Kaja Kamp NIELSEN,Assist,25,Henny REISTAD,20,Anne Christine BOSSEN
61,748194,27.07,,KBH,Skud på stolpe,VF,7,Emilie Ytting PEDERSEN,,,,16,Amalie MILLING
62,748194,27.36,,TES,Skud forbi,PL,4,Michala MØLLER,,,,20,Anne Christine BOSSEN
63,748194,27.43,,KBH,Fejlaflevering,,20,Anne Christine BOSSEN,Bold erobret,25,Henny REISTAD,,
64,748194,28.08,13-15,TES,Mål,PL,18,Mette TRANBORG,,,,20,Anne Christine BOSSEN
65,748194,28.40,14-15,KBH,Mål,ST,17,Tabea SCHMID,,,,16,Amalie MILLING
66,748194,29.11,,TES,Fejlaflevering,,24,Sanna SOLBERG,,,,,
67,748194,29.55,,KBH,Time out,,,,,,,,
68,748194,30.00,,KBH,Skud reddet,ST,17,Tabea SCHMID,,,,16,Amalie MILLING
69,748194,30.00,14-15,,Halvleg,,,,,,,,
70,748194,30.00,,,Start 2:e halvleg,,,,,,,,
71,748194,30.39,,KBH,Skud reddet,Gbr,21,Helene KINDBERG,,,,12,Anna KRISTENSEN
72,748194,30.45,,TES,Regelfejl,,25,Henny REISTAD,,,,,
73,748194,31.27,,KBH,Skud reddet,PL,22,Stine JØRGENSEN,,,,12,Anna KRISTENSEN
74,748194,32.03,,TES,Tabt bold,,24,Sanna SOLBERG,,,,,
75,748194,32.11,,KBH,Skud reddet,2:e,21,Helene KINDBERG,,,,12,Anna KRISTENSEN
76,748194,32.22,14-16,TES,Mål,HF,20,Marit Røsberg JACOBSEN,Assist,4,Michala MØLLER,20,Anne Christine BOSSEN
77,748194,33.00,,KBH,Fejlaflevering,,15,Emma NAVNE,Bold erobret,11,Rikke IVERSEN,,
78,748194,33.12,14-17,TES,Mål,HF,20,Marit Røsberg JACOBSEN,Assist,18,Mette TRANBORG,20,Anne Christine BOSSEN
79,748194,33.49,,KBH,Skud reddet,Gbr,22,Stine JØRGENSEN,,,,12,Anna KRISTENSEN
80,748194,34.19,14-18,TES,Mål,PL,25,Henny REISTAD,,,,20,Anne Christine BOSSEN
81,748194,34.46,15-18,KBH,Mål,ST,17,Tabea SCHMID,Assist,21,Helene KINDBERG,12,Anna KRISTENSEN
82,748194,35.54,15-19,TES,Mål,Gbr,4,Michala MØLLER,,,,20,Anne Christine BOSSEN
83,748194,36.06,,KBH,Fejlaflevering,,22,Stine JØRGENSEN,Bold erobret,25,Henny REISTAD,,
84,748194,36.11,15-20,TES,Mål,1:e,25,Henny REISTAD,,,,20,Anne Christine BOSSEN
85,748194,36.44,,KBH,Fejlaflevering,,21,Helene KINDBERG,,,,,
86,748194,37.18,,TES,Skud reddet,Gbr,25,Henny REISTAD,Retur,0,,20,Anne Christine BOSSEN
87,748194,37.41,,TES,Regelfejl,,18,Mette TRANBORG,,,,,
88,748194,37.51,,KBH,Time out,,,,,,,,
89,748194,38.11,,KBH,Tilkendt straffe,,10,Pernille BRANDENBORG,Forårs. str.,11,Rikke IVERSEN,,
90,748194,38.28,16-20,KBH,Mål på straffe,,22,Stine JØRGENSEN,,,,12,Anna KRISTENSEN
91,748194,39.02,16-21,TES,Mål,Gbr,25,Henny REISTAD,,,,20,Anne Christine BOSSEN
92,748194,39.27,,KBH,Skud reddet,Gbr,21,Helene KINDBERG,,,,12,Anna KRISTENSEN
93,748194,39.57,,TES,Fejlaflevering,,25,Henny REISTAD,,,,,
94,748194,40.03,,KBH,Skud reddet,2:e,10,Pernille BRANDENBORG,,,,12,Anna KRISTENSEN
95,748194,40.11,16-22,TES,Mål,2:e,25,Henny REISTAD,,,,20,Anne Christine BOSSEN
96,748194,41.15,,KBH,Skud forbi,ST,10,Pernille BRANDENBORG,,,,12,Anna KRISTENSEN
97,748194,41.20,16-23,TES,Mål,HF,20,Marit Røsberg JACOBSEN,Assist,18,Mette TRANBORG,20,Anne Christine BOSSEN
98,748194,42.08,17-23,KBH,Mål,Gbr,22,Stine JØRGENSEN,,,,12,Anna KRISTENSEN
99,748194,42.19,17-24,TES,Mål,2:e,22,Line HAUGSTED,,,,20,Anne Christine BOSSEN
100,748194,42.58,18-24,KBH,Mål,ST,17,Tabea SCHMID,Assist,15,Emma NAVNE,12,Anna KRISTENSEN
101,748194,43.11,,TES,Fejlaflevering,,22,Line HAUGSTED,,,,,
102,748194,43.42,,KBH,Skud reddet,PL,15,Emma NAVNE,,,,12,Anna KRISTENSEN
103,748194,43.48,18-25,TES,Mål,1:e,4,Michala MØLLER,,,,0,
104,748194,44.26,18-26,TES,Mål,1:e,24,Sanna SOLBERG,,,,0,
105,748194,44.50,,KBH,Skud reddet,VF,6,Freja COHRT,,,,12,Anna KRISTENSEN
106,748194,45.24,,TES,Skud reddet,Gbr,8,Live DEILA,,,,20,Anne Christine BOSSEN
107,748194,46.06,,KBH,Fejlaflevering,,22,Stine JØRGENSEN,,,,,
108,748194,46.11,18-27,TES,Mål,1:e,11,Rikke IVERSEN,,,,0,
109,748194,46.48,19-27,KBH,Mål,VF,6,Freja COHRT,Assist,11,Martha NICKELSEN,12,Anna KRISTENSEN
110,748194,47.28,19-28,TES,Mål,ST,11,Rikke IVERSEN,Assist,4,Michala MØLLER,20,Anne Christine BOSSEN
111,748194,47.59,,TES,Udvisning,,17,Elin HANSSON,,,,,
112,748194,48.09,20-28,KBH,Mål,VF,6,Freja COHRT,Assist,22,Stine JØRGENSEN,12,Anna KRISTENSEN
113,748194,49.04,20-29,TES,Mål,HB,22,Line HAUGSTED,,,,20,Anne Christine BOSSEN
