id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748196,0.00,,,Start 1:e halvleg,,,,,,,,
2,748196,0.54,0-1,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,14,Mai KRAGBALLE,38,Yara TEN HOLTE
3,748196,1.05,,ODE,Skud reddet,2:e,28,Clara Skyum THOMSEN,Retur,0,,16,Andrea AUSTMO
4,748196,1.48,,ODE,Tabt bold,,68,Helena ELVER,,,,,
5,748196,2.31,,HHE,Skud reddet,PL,11,Fanny ELOVSSON,,,,38,Yara TEN HOLTE
6,748196,2.44,,ODE,Tabt bold,,68,Helena ELVER,,,,,
7,748196,3.17,0-2,HHE,Mål,HF,10,Mathilda LUNDSTRØM,Assist,19,Frida Haug HOEL,38,Yara TEN HOLTE
8,748196,3.28,,ODE,Skud på stolpe,2:e,68,Helena ELVER,,,,16,Andrea AUSTMO
9,748196,4.24,,HHE,Skud reddet,PL,19,Frida Haug HOEL,,,,38,Yara TEN HOLTE
10,748196,4.31,1-2,ODE,Mål,2:e,6,Malin AUNE,Assist,28,Clara Skyum THOMSEN,16,Andrea AUSTMO
11,748196,5.29,,HHE,Regelfejl,,14,Mai KRAGBALLE,,,,,
12,748196,6.02,2-2,ODE,Mål,ST,3,Maren AARDAHL,Assist,32,Mie HØJLUND,16,Andrea AUSTMO
13,748196,6.16,,HHE,Skud reddet,2:e,14,Mai KRAGBALLE,Retur,0,,38,Yara TEN HOLTE
14,748196,6.39,,HHE,Skud blokeret,HB,19,Frida Haug HOEL,Blokeret af,33,Thale Rushfeldt DEILA,,
15,748196,6.50,3-2,ODE,Mål,1:e,23,Elma HALILCEVIC,Assist,32,Mie HØJLUND,16,Andrea AUSTMO
16,748196,7.21,3-3,HHE,Mål,ST,21,Romee MAARSCHALKEWEERD,Assist,14,Mai KRAGBALLE,38,Yara TEN HOLTE
17,748196,7.30,,ODE,Fejlaflevering,,33,Thale Rushfeldt DEILA,,,,,
18,748196,7.38,,HHE,Fejlaflevering,,21,Romee MAARSCHALKEWEERD,,,,,
19,748196,7.50,,ODE,Skud på stolpe,HF,6,Malin AUNE,,,,16,Andrea AUSTMO
20,748196,8.21,,HHE,Fejlaflevering,,11,Fanny ELOVSSON,Bold erobret,6,Malin AUNE,,
21,748196,8.28,,ODE,Skud på stolpe,1:e,6,Malin AUNE,Retur,0,,16,Andrea AUSTMO
22,748196,8.33,,ODE,Regelfejl,,6,Malin AUNE,,,,,
23,748196,8.38,3-4,HHE,Mål,2:e,33,Laura Holm ANDERSEN,Assist,14,Mai KRAGBALLE,38,Yara TEN HOLTE
24,748196,9.07,4-4,ODE,Mål,Gbr,68,Helena ELVER,,,,16,Andrea AUSTMO
25,748196,9.23,,HHE,Regelfejl,,11,Fanny ELOVSSON,,,,,
26,748196,9.30,,ODE,Skud reddet,2:e,32,Mie HØJLUND,,,,16,Andrea AUSTMO
27,748196,10.32,,HHE,Regelfejl,,7,Maria Palsdottir NÓLSOY,,,,,
28,748196,10.37,5-4,ODE,Mål,1:e,23,Elma HALILCEVIC,Assist,3,Maren AARDAHL,16,Andrea AUSTMO
29,748196,11.08,5-5,HHE,Mål,ST,21,Romee MAARSCHALKEWEERD,Assist,11,Fanny ELOVSSON,38,Yara TEN HOLTE
30,748196,11.18,,ODE,Skud forbi,2:e,23,Elma HALILCEVIC,,,,16,Andrea AUSTMO
31,748196,11.54,,HHE,Time out,,,,,,,,
32,748196,12.49,,HHE,Passivt spil,,0,,,,,,
33,748196,12.59,,ODE,Tilkendt straffe,,3,Maren AARDAHL,Forårs. str.,11,Fanny ELOVSSON,,
34,748196,13.02,,HHE,Advarsel,,11,Fanny ELOVSSON,,,,,
35,748196,13.30,,ODE,Straffekast på stolpe,,34,Andrea HANSEN,,,,16,Andrea AUSTMO
36,748196,14.02,5-6,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,7,Maria Palsdottir NÓLSOY,38,Yara TEN HOLTE
37,748196,14.08,6-6,ODE,Mål,2:e,33,Thale Rushfeldt DEILA,,,,16,Andrea AUSTMO
38,748196,14.40,,HHE,Tabt bold,,21,Romee MAARSCHALKEWEERD,,,,,
39,748196,15.15,,ODE,Skud forbi,HB,28,Clara Skyum THOMSEN,,,,16,Andrea AUSTMO
40,748196,15.48,6-7,HHE,Mål,PL,14,Mai KRAGBALLE,,,,38,Yara TEN HOLTE
41,748196,16.24,,ODE,Skud reddet,Gbr,32,Mie HØJLUND,,,,16,Andrea AUSTMO
