id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748198,0.00,,,Start 1:e halvleg,,,,,,,,
2,748198,0.41,1-0,IKA,Mål,PL,21,Ingvild BAKKERUD,,,,1,Elin THORSTEINSDOTTIR
3,748198,1.44,,AHB,Passivt spil,,0,,,,,,
4,748198,1.52,,IKA,Skud på stolpe,2:e,14,Emma LINDQVIST,Retur,6,Cecilie BRANDT,1,Elin THORSTEINSDOTTIR
5,748198,2.10,,IKA,Skud blokeret,PL,21,Ingvild BAKKERUD,Blokeret af,4,Katrine JACOBSEN,,
6,748198,2.24,,IKA,Advarsel,,21,Ingvild BAKKERUD,,,,,
7,748198,2.46,,AHB,Tilkendt straffe,,14,Anna Berger WIERZBA,Forårs. str.,14,Emma LINDQVIST,,
8,748198,3.02,1-1,AHB,Mål på straffe,,15,Sofia DEEN,,,,12,Filippa IDÉHN
9,748198,3.36,2-1,IKA,Mål,ST,11,Sarah Aaberg IVERSEN,Assist,14,Emma LINDQVIST,1,Elin THORSTEINSDOTTIR
10,748198,4.24,,AHB,Fejlaflevering,,14,Anna Berger WIERZBA,Bold erobret,21,Ingvild BAKKERUD,,
11,748198,4.29,3-1,IKA,Mål,1:e,21,Ingvild BAKKERUD,,,,1,Elin THORSTEINSDOTTIR
12,748198,4.45,,AHB,Tilkendt straffe,,15,Sofia DEEN,Forårs. str.,7,Stine SKOGRAND,,
13,748198,5.01,3-2,AHB,Mål på straffe,,14,Anna Berger WIERZBA,,,,12,Filippa IDÉHN
14,748198,5.33,,AHB,Advarsel,,3,Sarah Vest KIRKELØKKE,,,,,
15,748198,5.55,4-2,IKA,Mål,PL,21,Ingvild BAKKERUD,,,,1,Elin THORSTEINSDOTTIR
16,748198,6.50,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,Bold erobret,11,Sarah Aaberg IVERSEN,,
17,748198,7.19,5-2,IKA,Mål,ST,14,Emma LINDQVIST,Assist,21,Ingvild BAKKERUD,1,Elin THORSTEINSDOTTIR
18,748198,7.30,5-3,AHB,Mål,2:e,15,Sofia DEEN,,,,12,Filippa IDÉHN
19,748198,7.59,6-3,IKA,Mål,ST,11,Sarah Aaberg IVERSEN,Assist,14,Emma LINDQVIST,1,Elin THORSTEINSDOTTIR
20,748198,8.52,,AHB,Skud reddet,PL,14,Anna Berger WIERZBA,,,,12,Filippa IDÉHN
21,748198,9.48,,IKA,Tilkendt straffe,,11,Sarah Aaberg IVERSEN,Forårs. str.,4,Katrine JACOBSEN,,
22,748198,10.08,7-3,IKA,Mål på straffe,,51,Markéta JERÁBKOVÁ,,,,1,Elin THORSTEINSDOTTIR
23,748198,10.56,,AHB,Skud på stolpe,VB,15,Sofia DEEN,,,,12,Filippa IDÉHN
24,748198,11.01,8-3,IKA,Mål,1:e,6,Cecilie BRANDT,Assist,21,Ingvild BAKKERUD,1,Elin THORSTEINSDOTTIR
25,748198,11.35,,AHB,Time out,,,,,,,,
26,748198,12.16,,AHB,Skud reddet,PL,15,Sofia DEEN,,,,12,Filippa IDÉHN
27,748198,12.27,,IKA,Skud forbi,2:e,21,Ingvild BAKKERUD,,,,1,Elin THORSTEINSDOTTIR
28,748198,12.35,,AHB,Tilkendt straffe,,17,Line Berggren LARSEN,Forårs. str.,7,Stine SKOGRAND,,
29,748198,12.35,,IKA,Udvisning,,7,Stine SKOGRAND,,,,,
30,748198,12.36,8-4,AHB,Mål på straffe,,15,Sofia DEEN,,,,1,Irma SCHJÖTT
31,748198,13.12,,IKA,Skud reddet,Gbr,21,Ingvild BAKKERUD,Retur,0,,1,Elin THORSTEINSDOTTIR
32,748198,13.46,,IKA,Skud på stolpe,VB,21,Ingvild BAKKERUD,,,,1,Elin THORSTEINSDOTTIR
33,748198,13.57,8-5,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,12,Filippa IDÉHN
34,748198,14.42,,IKA,Skud reddet,HF,6,Cecilie BRANDT,,,,1,Elin THORSTEINSDOTTIR
35,748198,15.17,,AHB,Tabt bold,,14,Anna Berger WIERZBA,,,,,
36,748198,15.22,,AHB,Udvisning,,18,Mathilde ØSTERGAARD,,,,,
37,748198,15.47,9-5,IKA,Mål,Gbr,14,Emma LINDQVIST,,,,1,Elin THORSTEINSDOTTIR
38,748198,16.32,9-6,AHB,Mål,VB,15,Sofia DEEN,,,,12,Filippa IDÉHN
39,748198,17.07,10-6,IKA,Mål,Gbr,7,Stine SKOGRAND,Assist,14,Emma LINDQVIST,1,Elin THORSTEINSDOTTIR
40,748198,18.04,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
41,748198,18.43,,IKA,Tilkendt straffe,,11,Sarah Aaberg IVERSEN,Forårs. str.,4,Katrine JACOBSEN,,
42,748198,19.00,11-6,IKA,Mål på straffe,,51,Markéta JERÁBKOVÁ,,,,1,Elin THORSTEINSDOTTIR
43,748198,19.55,,AHB,Skud reddet,HF,10,Frederikke WAAGE-JENSEN,,,,12,Filippa IDÉHN
44,748198,20.04,12-6,IKA,Mål,2:e,21,Ingvild BAKKERUD,,,,1,Elin THORSTEINSDOTTIR
45,748198,20.47,,AHB,Skud forbi,VF,2,Majken Hedegaard NIELSEN,,,,12,Filippa IDÉHN
46,748198,21.18,,IKA,Tilkendt straffe,,18,Maria LYKKEGAARD,Forårs. str.,15,Sofia DEEN,,
47,748198,21.26,13-6,IKA,Mål på straffe,,51,Markéta JERÁBKOVÁ,,,,86,Sabine ENGLERT
48,748198,21.57,,AHB,Skud blokeret,PL,15,Sofia DEEN,Blok af (ret),18,Maria LYKKEGAARD,,
49,748198,22.07,,AHB,Skud reddet,PL,2,Majken Hedegaard NIELSEN,,,,12,Filippa IDÉHN
50,748198,22.19,14-6,IKA,Mål,2:e,21,Ingvild BAKKERUD,,,,1,Elin THORSTEINSDOTTIR
51,748198,22.24,,AHB,Time out,,,,,,,,
52,748198,22.40,14-7,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,12,Filippa IDÉHN
53,748198,23.14,15-7,IKA,Mål,HF,6,Cecilie BRANDT,Assist,51,Markéta JERÁBKOVÁ,1,Elin THORSTEINSDOTTIR
54,748198,23.29,,AHB,Skud reddet,ST,4,Katrine JACOBSEN,,,,12,Filippa IDÉHN
55,748198,24.17,,IKA,Passivt spil,,0,,,,,,
56,748198,24.28,,AHB,Regelfejl,,14,Anna Berger WIERZBA,,,,,
57,748198,25.09,16-7,IKA,Mål,Gbr,51,Markéta JERÁBKOVÁ,Assist,7,Stine SKOGRAND,1,Elin THORSTEINSDOTTIR
58,748198,25.20,,AHB,Skud på stolpe,2:e,17,Line Berggren LARSEN,,,,12,Filippa IDÉHN
59,748198,25.55,,IKA,Skud reddet,VF,22,Lærke NOLSØE,,,,1,Elin THORSTEINSDOTTIR
60,748198,26.04,,AHB,Skud reddet,1:e,10,Frederikke WAAGE-JENSEN,,,,12,Filippa IDÉHN
61,748198,26.37,17-7,IKA,Mål,ST,18,Maria LYKKEGAARD,Assist,51,Markéta JERÁBKOVÁ,1,Elin THORSTEINSDOTTIR
62,748198,26.50,17-8,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,12,Filippa IDÉHN
63,748198,27.00,18-8,IKA,Mål,2:e,6,Cecilie BRANDT,Assist,7,Stine SKOGRAND,1,Elin THORSTEINSDOTTIR
64,748198,27.45,,AHB,Tilkendt straffe,,14,Anna Berger WIERZBA,Forårs. str.,18,Maria LYKKEGAARD,,
65,748198,27.45,,AHB,Straffekast reddet,,15,Sofia DEEN,,,,12,Filippa IDÉHN
66,748198,28.00,19-8,IKA,Mål,HB,7,Stine SKOGRAND,,,,1,Elin THORSTEINSDOTTIR
67,748198,28.45,,AHB,Skud reddet,Gbr,23,Nikoline SAX,,,,12,Filippa IDÉHN
68,748198,29.15,,IKA,Skud reddet,ST,51,Markéta JERÁBKOVÁ,,,,1,Elin THORSTEINSDOTTIR
69,748198,29.47,,AHB,Regelfejl,,15,Sofia DEEN,,,,,
70,748198,29.51,,IKA,Time out,,,,,,,,
71,748198,29.57,,IKA,Regelfejl,,11,Sarah Aaberg IVERSEN,,,,,
72,748198,30.00,19-8,IKA,Halvleg,,,,,,,,
73,748198,30.00,,IKA,Start 2:e halvleg,,,,,,,,
74,748198,30.50,,AHB,Skud forbi,HF,10,Frederikke WAAGE-JENSEN,,,,1,Irma SCHJÖTT
75,748198,30.57,20-8,IKA,Mål,2:e,7,Stine SKOGRAND,,,,1,Elin THORSTEINSDOTTIR
76,748198,31.46,,AHB,Skud blokeret,PL,15,Sofia DEEN,Blok af (ret),7,Stine SKOGRAND,1,Irma SCHJÖTT
77,748198,32.12,,AHB,Skud reddet,PL,14,Anna Berger WIERZBA,,,,1,Irma SCHJÖTT
78,748198,33.06,21-8,IKA,Mål,ST,11,Sarah Aaberg IVERSEN,Assist,21,Ingvild BAKKERUD,1,Elin THORSTEINSDOTTIR
79,748198,33.15,,AHB,Skud reddet,2:e,23,Nikoline SAX,,,,1,Irma SCHJÖTT
80,748198,33.55,,IKA,Fejlaflevering,,14,Emma LINDQVIST,,,,,
81,748198,34.28,,AHB,Skud forbi,HB,23,Nikoline SAX,,,,1,Irma SCHJÖTT
82,748198,34.34,,IKA,Skud forbi,1:e,6,Cecilie BRANDT,,,,1,Elin THORSTEINSDOTTIR
83,748198,35.23,,AHB,Fejlaflevering,,18,Mathilde ØSTERGAARD,Bold erobret,7,Stine SKOGRAND,,
84,748198,35.29,22-8,IKA,Mål,1:e,14,Emma LINDQVIST,Assist,11,Sarah Aaberg IVERSEN,1,Elin THORSTEINSDOTTIR
