id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748200,0.00,,,Start 1:e halvleg,,,,,,,,
2,748200,0.51,,NFH,Fejlaflevering,,20,Maja MAGNUSSEN,,,,,
3,748200,1.00,,HHE,Skud forbi,2:e,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
4,748200,1.31,,NFH,Skud reddet,Gbr,18,Alberte KIELSTRUP,Retur,0,,16,Andrea AUSTMO
5,748200,1.37,0-1,NFH,Mål,ST,2,Caroline AAR,Assist,22,Zoë SPRENGERS,16,Andrea AUSTMO
6,748200,2.12,,HHE,Skud på stolpe,VB,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
7,748200,2.25,,NFH,Skud på stolpe,2:e,20,Maja MAGNUSSEN,,,,16,Andrea AUSTMO
8,748200,2.33,,HHE,Regelfejl,,21,Romee MAARSCHALKEWEERD,,,,,
9,748200,3.03,,NFH,Skud reddet,PL,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
10,748200,3.18,1-1,HHE,Mål,Gbr,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
11,748200,4.25,,NFH,Skud reddet,ST,2,Caroline AAR,Retur,0,,16,Andrea AUSTMO
12,748200,4.26,,HHE,Udvisning,,21,Romee MAARSCHALKEWEERD,,,,,
13,748200,4.40,,NFH,Skud reddet,VF,22,Zoë SPRENGERS,,,,16,Andrea AUSTMO
14,748200,5.12,,HHE,Tilkendt straffe,,9,Annika MEYER,Forårs. str.,8,Stine EIBERG,,
15,748200,5.16,2-1,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
16,748200,5.42,,NFH,Skud reddet,Gbr,79,Kristina KRISTIANSEN,,,,16,Andrea AUSTMO
17,748200,6.15,,HHE,Skud blokeret,PL,19,Frida Haug HOEL,Blok af (ret),49,Aimée VON PEREIRA,,
18,748200,6.43,,HHE,Skud blokeret,PL,14,Mai KRAGBALLE,Blokeret af,8,Stine EIBERG,,
19,748200,7.40,,NFH,Skud reddet,Gbr,18,Alberte KIELSTRUP,,,,16,Andrea AUSTMO
20,748200,7.47,3-1,HHE,Mål,1:e,19,Frida Haug HOEL,,,,1,Sofie BÖRJESSON
21,748200,8.33,3-2,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,16,Andrea AUSTMO
22,748200,9.09,,HHE,Skud reddet,VF,33,Laura Holm ANDERSEN,,,,1,Sofie BÖRJESSON
23,748200,9.15,,NFH,Skud reddet,1:e,2,Caroline AAR,Retur,22,Zoë SPRENGERS,16,Andrea AUSTMO
24,748200,9.47,,NFH,Skud reddet,PL,7,Amalie WULFF,,,,16,Andrea AUSTMO
25,748200,10.04,,HHE,Skud reddet,HF,10,Mathilda LUNDSTRØM,,,,1,Sofie BÖRJESSON
26,748200,10.51,,NFH,Skud på stolpe,Gbr,18,Alberte KIELSTRUP,,,,16,Andrea AUSTMO
27,748200,10.57,,HHE,Fejlaflevering,,11,Fanny ELOVSSON,Bold erobret,26,Mona OBAIDLI,,
28,748200,11.02,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
29,748200,11.39,,HHE,Tabt bold,,19,Frida Haug HOEL,,,,,
30,748200,11.48,,NFH,Skud reddet,1:e,8,Stine EIBERG,,,,16,Andrea AUSTMO
31,748200,12.40,4-2,HHE,Mål,Gbr,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
32,748200,13.23,4-3,NFH,Mål,PL,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
33,748200,13.32,5-3,HHE,Mål,2:e,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
34,748200,14.07,,NFH,Skud på stolpe,PL,18,Alberte KIELSTRUP,,,,16,Andrea AUSTMO
35,748200,14.47,,NFH,Udvisning,,18,Alberte KIELSTRUP,,,,,
36,748200,15.12,6-3,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,14,Mai KRAGBALLE,1,Sofie BÖRJESSON
37,748200,15.49,6-4,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
38,748200,16.12,7-4,HHE,Mål,ST,9,Annika MEYER,Assist,14,Mai KRAGBALLE,1,Sofie BÖRJESSON
39,748200,16.52,7-5,NFH,Mål,Gbr,7,Amalie WULFF,,,,16,Andrea AUSTMO
40,748200,16.54,,HHE,Udvisning,,24,Dicte Sønderskov ANDERSEN,,,,,
41,748200,17.19,,HHE,Regelfejl,,7,Maria Palsdottir NÓLSOY,,,,,
42,748200,17.23,7-6,NFH,Mål,1:e,2,Caroline AAR,Assist,26,Mona OBAIDLI,0,
43,748200,18.15,8-6,HHE,Mål,PL,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
44,748200,18.46,8-7,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
45,748200,19.29,,HHE,Skud på stolpe,PL,14,Mai KRAGBALLE,Retur,11,Fanny ELOVSSON,1,Sofie BÖRJESSON
46,748200,19.56,,HHE,Skud reddet,HF,7,Maria Palsdottir NÓLSOY,,,,1,Sofie BÖRJESSON
47,748200,20.03,,NFH,Regelfejl,,26,Mona OBAIDLI,,,,,
48,748200,20.10,9-7,HHE,Mål,1:e,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
49,748200,20.47,9-8,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,16,Andrea AUSTMO
50,748200,20.56,,HHE,Fejlaflevering,,14,Mai KRAGBALLE,Bold erobret,2,Caroline AAR,,
51,748200,20.59,,NFH,Regelfejl,,2,Caroline AAR,,,,,
52,748200,21.39,10-8,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,7,Maria Palsdottir NÓLSOY,1,Sofie BÖRJESSON
53,748200,22.18,,NFH,Skud forbi,HF,20,Maja MAGNUSSEN,,,,16,Andrea AUSTMO
54,748200,22.51,,HHE,Skud reddet,HF,10,Mathilda LUNDSTRØM,,,,1,Sofie BÖRJESSON
55,748200,23.08,,NFH,Tilkendt straffe,,2,Caroline AAR,Forårs. str.,3,Alma SKRETTING,,
56,748200,23.17,10-9,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,16,Andrea AUSTMO
57,748200,23.45,11-9,HHE,Mål,HB,19,Frida Haug HOEL,,,,1,Sofie BÖRJESSON
58,748200,24.26,11-10,NFH,Mål,VF,22,Zoë SPRENGERS,Assist,79,Kristina KRISTIANSEN,16,Andrea AUSTMO
59,748200,24.56,,HHE,Fejlaflevering,,19,Frida Haug HOEL,Bold erobret,22,Zoë SPRENGERS,,
60,748200,25.01,11-11,NFH,Mål,1:e,20,Maja MAGNUSSEN,Assist,79,Kristina KRISTIANSEN,16,Andrea AUSTMO
61,748200,25.48,,HHE,Skud reddet,HB,19,Frida Haug HOEL,,,,1,Sofie BÖRJESSON
62,748200,26.19,11-12,NFH,Mål,Gbr,18,Alberte KIELSTRUP,Assist,79,Kristina KRISTIANSEN,16,Andrea AUSTMO
63,748200,26.56,12-12,HHE,Mål,HF,10,Mathilda LUNDSTRØM,Assist,39,Melanie BAK,1,Sofie BÖRJESSON
64,748200,27.10,12-13,NFH,Mål,2:e,20,Maja MAGNUSSEN,Assist,0,,16,Andrea AUSTMO
65,748200,27.50,13-13,HHE,Mål,HF,10,Mathilda LUNDSTRØM,Assist,7,Maria Palsdottir NÓLSOY,1,Sofie BÖRJESSON
66,748200,28.09,,NFH,Time out,,,,,,,,
67,748200,28.28,13-14,NFH,Mål,PL,7,Amalie WULFF,,,,16,Andrea AUSTMO
68,748200,29.28,,HHE,Skud på stolpe,HF,10,Mathilda LUNDSTRØM,,,,1,Sofie BÖRJESSON
69,748200,29.58,,NFH,Skud reddet,PL,79,Kristina KRISTIANSEN,,,,16,Andrea AUSTMO
70,748200,30.00,13-14,,Halvleg,,,,,,,,
71,748200,30.00,,,Start 2:e halvleg,,,,,,,,
72,748200,30.30,,HHE,Fejlaflevering,,11,Fanny ELOVSSON,Bold erobret,21,Matilde VESTERGAARD,,
73,748200,30.34,13-15,NFH,Mål,1:e,2,Caroline AAR,Assist,21,Matilde VESTERGAARD,16,Andrea AUSTMO
74,748200,31.21,,HHE,Skud reddet,PL,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
75,748200,31.53,13-16,NFH,Mål,Gbr,18,Alberte KIELSTRUP,Assist,2,Caroline AAR,16,Andrea AUSTMO
76,748200,32.58,,HHE,Regelfejl,,10,Mathilda LUNDSTRØM,,,,,
77,748200,33.25,,NFH,Fejlaflevering,,7,Amalie WULFF,,,,,
78,748200,34.12,,HHE,Fejlaflevering,,24,Dicte Sønderskov ANDERSEN,Bold erobret,21,Matilde VESTERGAARD,,
79,748200,34.39,,NFH,Regelfejl,,18,Alberte KIELSTRUP,,,,,
80,748200,34.48,,HHE,Skud reddet,1:e,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
81,748200,35.13,,NFH,Skud reddet,PL,7,Amalie WULFF,Retur,0,,16,Andrea AUSTMO
82,748200,35.28,13-17,NFH,Mål,Gbr,7,Amalie WULFF,,,,16,Andrea AUSTMO
83,748200,35.28,,HHE,Udvisning,,24,Dicte Sønderskov ANDERSEN,,,,,
84,748200,36.21,,HHE,Skud blokeret,VB,3,Alma SKRETTING,Blokeret af,18,Alberte KIELSTRUP,,
85,748200,36.56,,NFH,Skud reddet,HF,20,Maja MAGNUSSEN,,,,16,Andrea AUSTMO
86,748200,37.25,,HHE,Skud forbi,HF,10,Mathilda LUNDSTRØM,,,,1,Sofie BÖRJESSON
87,748200,38.02,13-18,NFH,Mål,PL,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
88,748200,38.34,14-18,HHE,Mål,Gbr,27,Annette WIRÉN LARSEN,,,,1,Sofie BÖRJESSON
89,748200,38.39,,NFH,Udvisning,,2,Caroline AAR,,,,,
90,748200,39.08,,NFH,Skud reddet,Gbr,18,Alberte KIELSTRUP,,,,16,Andrea AUSTMO
91,748200,39.17,,HHE,Fejlaflevering,,11,Fanny ELOVSSON,Bold erobret,26,Mona OBAIDLI,,
92,748200,39.45,,HHE,Udvisning,,11,Fanny ELOVSSON,,,,,
93,748200,40.09,,NFH,Tilkendt straffe,,26,Mona OBAIDLI,Forårs. str.,10,Mathilda LUNDSTRØM,,
94,748200,40.14,14-19,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,16,Andrea AUSTMO
95,748200,40.33,,HHE,Tabt bold,,10,Mathilda LUNDSTRØM,,,,,
96,748200,41.12,14-20,NFH,Mål,HF,20,Maja MAGNUSSEN,Assist,79,Kristina KRISTIANSEN,16,Andrea AUSTMO
97,748200,41.47,,HHE,Time out,,,,,,,,
98,748200,41.47,,HHE,Time out,,,,,,,,
99,748200,41.59,,HHE,Fejlaflevering,,7,Maria Palsdottir NÓLSOY,Bold erobret,21,Matilde VESTERGAARD,,
100,748200,42.04,14-21,NFH,Mål,1:e,21,Matilde VESTERGAARD,,0,,,
101,748200,42.33,,HHE,Skud forbi,VF,33,Laura Holm ANDERSEN,,,,1,Sofie BÖRJESSON
102,748200,43.15,14-22,NFH,Mål,VF,21,Matilde VESTERGAARD,Assist,7,Amalie WULFF,16,Andrea AUSTMO
103,748200,43.39,,HHE,Fejlaflevering,,7,Maria Palsdottir NÓLSOY,Bold erobret,21,Matilde VESTERGAARD,,
104,748200,43.44,14-23,NFH,Mål,,,,,,,,
105,748200,44.19,,HHE,Fejlaflevering,,19,Frida Haug HOEL,Bold erobret,20,Maja MAGNUSSEN,,
106,748200,44.24,14-24,NFH,Mål,,20,Maja MAGNUSSEN,,,,16,Andrea AUSTMO
107,748200,44.50,,HHE,Skud blokeret,HB,19,Frida Haug HOEL,Blok af (ret),2,Caroline AAR,,
108,748200,45.24,,HHE,Skud blokeret,PL,11,Fanny ELOVSSON,Blokeret af,8,Stine EIBERG,,
109,748200,45.34,,NFH,Skud reddet,,20,Maja MAGNUSSEN,,,,16,Andrea AUSTMO
110,748200,45.44,15-24,HHE,Mål,Gbr,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
111,748200,46.35,,NFH,Regelfejl,,21,Matilde VESTERGAARD,,,,,
112,748200,46.46,,HHE,Skud reddet,,33,Laura Holm ANDERSEN,,,,1,Sofie BÖRJESSON
113,748200,47.18,15-25,NFH,Mål,PL,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
114,748200,47.29,,NFH,Udvisning,,2,Caroline AAR,,,,,
115,748200,47.53,,HHE,Fejlaflevering,,39,Melanie BAK,Bold erobret,20,Maja MAGNUSSEN,,
116,748200,47.59,,NFH,Tabt bold,,20,Maja MAGNUSSEN,,,,,
117,748200,48.03,16-25,HHE,Mål,Gbr,39,Melanie BAK,,,,1,Sofie BÖRJESSON
118,748200,48.26,,NFH,Fejlaflevering,,79,Kristina KRISTIANSEN,Bold erobret,10,Mathilda LUNDSTRØM,,
119,748200,48.29,17-25,HHE,Mål,,10,Mathilda LUNDSTRØM,,,,,
120,748200,49.00,,NFH,Skud på stolpe,ST,21,Matilde VESTERGAARD,,,,16,Andrea AUSTMO
121,748200,49.31,,HHE,Tilkendt straffe,,14,Mai KRAGBALLE,Forårs. str.,26,Mona OBAIDLI,,
122,748200,49.34,,HHE,Straffekast reddet,,39,Melanie BAK,,,,1,Sofie BÖRJESSON
123,748200,49.39,,NFH,Time out,,,,,,,,
124,748200,49.59,17-26,NFH,Mål,PL,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
125,748200,50.27,,HHE,Skud blokeret,VB,11,Fanny ELOVSSON,Blokeret af,26,Mona OBAIDLI,,
126,748200,50.34,17-27,NFH,Mål,,20,Maja MAGNUSSEN,Assist,34,Sofie BARDRUM,16,Andrea AUSTMO
127,748200,51.25,,HHE,Skud reddet,PL,11,Fanny ELOVSSON,,,,1,Sofie BÖRJESSON
128,748200,52.27,,NFH,Skud reddet,Gbr,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
129,748200,52.41,,HHE,Tilkendt straffe,,10,Mathilda LUNDSTRØM,Forårs. str.,29,Julie Vibe SEEBERG,,
130,748200,53.04,18-27,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,1,Sofie BÖRJESSON
131,748200,53.37,,NFH,Tabt bold,,34,Sofie BARDRUM,,,,,
132,748200,54.40,,HHE,Skud på stolpe,PL,39,Melanie BAK,,,,1,Sofie BÖRJESSON
133,748200,54.45,18-28,NFH,Mål,,34,Sofie BARDRUM,Assist,26,Mona OBAIDLI,16,Andrea AUSTMO
134,748200,55.15,,HHE,Tilkendt straffe,,39,Melanie BAK,Forårs. str.,26,Mona OBAIDLI,,
135,748200,55.35,19-28,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,12,Catharina BROCH
136,748200,56.22,,NFH,Skud blokeret,PL,79,Kristina KRISTIANSEN,Blokeret af,3,Alma SKRETTING,,
137,748200,56.38,,HHE,Fejlaflevering,,11,Fanny ELOVSSON,,,,,
138,748200,57.17,19-29,NFH,Mål,Gbr,7,Amalie WULFF,,,,16,Andrea AUSTMO
139,748200,57.30,20-29,HHE,Mål,,27,Annette WIRÉN LARSEN,,,,1,Sofie BÖRJESSON
140,748200,58.39,,NFH,Skud forbi,PL,26,Mona OBAIDLI,,,,16,Andrea AUSTMO
141,748200,59.12,,HHE,Skud på stolpe,Gbr,10,Mathilda LUNDSTRØM,,,,1,Sofie BÖRJESSON
142,748200,59.41,20-30,NFH,Mål,ST,34,Sofie BARDRUM,Assist,7,Amalie WULFF,16,Andrea AUSTMO
143,748200,60.00,21-30,HHE,Mål,VF,6,Maria HØJGAARD,Assist,39,Melanie BAK,1,Sofie BÖRJESSON
