id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748203,0.00,,,Start 1:e halvleg,,,,,,,,
2,748203,0.32,,SJE,Regelfejl,,7,Melissa PETRÉN,,,,,
3,748203,1.07,,KBH,Skud reddet,ST,17,Tabea SCHMID,,,,12,Stine BROLØS
4,748203,1.12,,SJE,Skud reddet,2:e,28,Sarah PAULSEN,,,,20,Anne Christine BOSSEN
5,748203,2.02,,KBH,Skud på stolpe,PL,21,Helene KINDBERG,,,,12,Stine BROLØS
6,748203,2.35,,SJE,Skud forbi,VB,7,Melissa PETRÉN,,,,20,Anne Christine BOSSEN
7,748203,2.45,,KBH,Fejlaflevering,,21,Helene KINDBERG,,,,,
8,748203,2.49,,SJE,Fejlaflevering,,7,Melissa PETRÉN,,,,,
9,748203,2.55,0-1,KBH,Mål,1:e,15,Emma NAVNE,Assist,17,Tabea SCHMID,12,Stine BROLØS
10,748203,3.43,,SJE,Skud reddet,Gbr,28,Sarah PAULSEN,,,,20,Anne Christine BOSSEN
11,748203,3.55,,KBH,Skud reddet,2:e,7,Emilie Ytting PEDERSEN,,,,12,Stine BROLØS
12,748203,4.38,,SJE,Fejlaflevering,,7,Melissa PETRÉN,Bold erobret,15,Emma NAVNE,,
13,748203,4.45,0-2,KBH,Mål,1:e,15,Emma NAVNE,,,,12,Stine BROLØS
14,748203,4.56,,SJE,Skud reddet,2:e,7,Melissa PETRÉN,Retur,0,,20,Anne Christine BOSSEN
15,748203,5.21,1-2,SJE,Mål,ST,9,Filippa NYMAN,Assist,7,Melissa PETRÉN,20,Anne Christine BOSSEN
16,748203,5.34,,SJE,Advarsel,,22,Olivia SIMONSEN,,,,,
17,748203,6.28,1-3,KBH,Mål,PL,22,Stine JØRGENSEN,,,,12,Stine BROLØS
18,748203,7.00,,SJE,Fejlaflevering,,7,Melissa PETRÉN,,,,,
19,748203,7.35,1-4,KBH,Mål,PL,15,Emma NAVNE,,,,12,Stine BROLØS
20,748203,8.04,,SJE,Fejlaflevering,,10,Nicoline OLSEN,,,,,
21,748203,8.48,,KBH,Skud forbi,PL,21,Helene KINDBERG,,,,12,Stine BROLØS
22,748203,9.01,,SJE,Time out,,,,,,,,
23,748203,9.20,2-4,SJE,Mål,VB,14,Louise ELLEBÆK,,,,20,Anne Christine BOSSEN
24,748203,9.49,2-5,KBH,Mål,VB,22,Stine JØRGENSEN,,,,12,Stine BROLØS
25,748203,10.13,,SJE,Regelfejl,,14,Louise ELLEBÆK,,,,,
26,748203,10.27,,KBH,Skud reddet,VB,22,Stine JØRGENSEN,,,,12,Stine BROLØS
27,748203,10.37,,SJE,Fejlaflevering,,22,Olivia SIMONSEN,Bold erobret,21,Helene KINDBERG,,
28,748203,10.44,2-6,KBH,Mål,1:e,21,Helene KINDBERG,,,,12,Stine BROLØS
29,748203,11.18,,KBH,Udvisning,,17,Tabea SCHMID,,,,,
30,748203,11.43,3-6,SJE,Mål,ST,9,Filippa NYMAN,Assist,7,Melissa PETRÉN,20,Anne Christine BOSSEN
31,748203,12.18,,KBH,Skud reddet,Gbr,22,Stine JØRGENSEN,,,,12,Stine BROLØS
