id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748204,0.00,,,Start 1:e halvleg,,,,,,,,
2,748204,0.40,,VHK,Skud reddet,HF,18,Henriette HANSEN,,,,1,Annika FRIDHEIM
3,748204,0.49,1-0,EHA,Mål,2:e,7,Marlene DAHLMANN,Assist,5,Anna Hviid BANG,16,Louise Bak JENSEN
4,748204,0.59,1-1,VHK,Mål,2:e,5,Marielle MARTINSEN,,,,1,Annika FRIDHEIM
5,748204,1.51,2-1,EHA,Mål,Gbr,5,Anna Hviid BANG,,,,16,Louise Bak JENSEN
6,748204,2.23,2-2,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,1,Annika FRIDHEIM
7,748204,2.27,,EHA,Udvisning,,21,Frederikke GULMARK,,,,,
8,748204,3.16,,VHK,Advarsel,,19,Sara HALD,,,,,
9,748204,3.34,3-2,EHA,Mål,HF,7,Marlene DAHLMANN,Assist,5,Anna Hviid BANG,16,Louise Bak JENSEN
10,748204,4.04,,VHK,Skud reddet,VF,14,Camilla DEGN,,,,1,Annika FRIDHEIM
11,748204,4.45,,EHA,Skud blokeret,PL,23,Silje BRØNS,Blok af (ret),19,Sara HALD,,
12,748204,4.54,4-2,EHA,Mål,PL,23,Silje BRØNS,,,,16,Louise Bak JENSEN
13,748204,5.09,,VHK,Skud reddet,VF,14,Camilla DEGN,,,,1,Annika FRIDHEIM
14,748204,5.20,,EHA,Tilkendt straffe,,5,Anna Hviid BANG,Forårs. str.,19,Sara HALD,,
15,748204,5.38,5-2,EHA,Mål på straffe,,30,Clara LERBY,,,,16,Louise Bak JENSEN
16,748204,6.19,,VHK,Fejlaflevering,,77,Jana MITTÚN,,,,,
17,748204,6.29,6-2,EHA,Mål,2:e,10,Sofie LASSEN,,,,16,Louise Bak JENSEN
18,748204,6.38,,VHK,Skud reddet,2:e,26,Christina PEDERSEN,,,,1,Annika FRIDHEIM
19,748204,7.08,,EHA,Skud reddet,Gbr,5,Anna Hviid BANG,Retur,0,,16,Louise Bak JENSEN
20,748204,7.46,,EHA,Skud reddet,Gbr,23,Silje BRØNS,,,,16,Louise Bak JENSEN
21,748204,7.55,6-3,VHK,Mål,2:e,14,Camilla DEGN,Assist,9,Laura THESTRUP,1,Annika FRIDHEIM
22,748204,8.26,7-3,EHA,Mål,PL,5,Anna Hviid BANG,,,,16,Louise Bak JENSEN
23,748204,9.03,7-4,VHK,Mål,Gbr,5,Marielle MARTINSEN,,,,1,Annika FRIDHEIM
24,748204,9.59,,EHA,Skud reddet,Gbr,5,Anna Hviid BANG,,,,16,Louise Bak JENSEN
25,748204,10.06,,VHK,Skud reddet,1:e,19,Sara HALD,,,,1,Annika FRIDHEIM
26,748204,10.45,,VHK,Udvisning,,5,Marielle MARTINSEN,,,,,
27,748204,11.06,8-4,EHA,Mål,VF,30,Clara LERBY,Assist,23,Silje BRØNS,16,Louise Bak JENSEN
28,748204,11.48,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,4,Cecilie TERMANSEN,,
29,748204,11.48,,EHA,Udvisning,,4,Cecilie TERMANSEN,,,,,
30,748204,11.51,8-5,VHK,Mål på straffe,,26,Christina PEDERSEN,,,,1,Annika FRIDHEIM
31,748204,12.37,9-5,EHA,Mål,ST,22,Mirja LYNGSØ,Assist,5,Anna Hviid BANG,16,Louise Bak JENSEN
32,748204,13.06,9-6,VHK,Mål,VF,14,Camilla DEGN,Assist,62,Louise SØNDERGAARD,16,Johanne GRAUGAARD
33,748204,13.42,,EHA,Tabt bold,,23,Silje BRØNS,,,,,
34,748204,13.48,9-7,VHK,Mål,1:e,26,Christina PEDERSEN,,,,0,
35,748204,14.44,,EHA,Skud blokeret,PL,21,Frederikke GULMARK,Blok af (ret),19,Sara HALD,,
36,748204,14.53,,EHA,Passivt spil,,0,,,,,,
