id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748205,0.00,,,Start 1:e halvleg,,,,,,,,
2,748205,0.52,0-1,VHK,Mål,HF,18,Henriette HANSEN,Assist,5,Marielle MARTINSEN,22,Stine BONDE
3,748205,1.36,,VHK,Advarsel,,19,Sara HALD,,,,,
4,748205,1.51,1-1,SVK,Mål,PL,6,Thea RASMUSSEN,,,,16,Louise Bak JENSEN
5,748205,2.38,,SVK,Advarsel,,18,Natasja ANDREASEN,,,,,
6,748205,3.02,1-2,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,22,Stine BONDE
7,748205,3.10,,SVK,Skud forbi,2:e,23,Thilde FRANDSEN,,,,16,Louise Bak JENSEN
8,748205,3.37,1-3,VHK,Mål,PL,26,Christina PEDERSEN,,,,22,Stine BONDE
9,748205,3.47,,SVK,Skud på stolpe,2:e,11,Sara MADSEN,,,,16,Louise Bak JENSEN
10,748205,4.16,,VHK,Skud reddet,VF,14,Camilla DEGN,,,,22,Stine BONDE
11,748205,5.07,2-3,SVK,Mål,ST,15,Karen KLOKKER,Assist,18,Natasja ANDREASEN,16,Louise Bak JENSEN
12,748205,5.41,,SVK,Advarsel,,15,Karen KLOKKER,,,,,
13,748205,5.55,2-4,VHK,Mål,PL,26,Christina PEDERSEN,,,,22,Stine BONDE
14,748205,6.02,3-4,SVK,Mål,2:e,15,Karen KLOKKER,Assist,31,Andrea West BENDTSEN,16,Louise Bak JENSEN
15,748205,6.11,,SVK,Udvisning,,23,Thilde FRANDSEN,,,,,
16,748205,6.30,,SVK,Udvisning,,31,Andrea West BENDTSEN,,,,,
17,748205,6.48,,VHK,Skud på stolpe,HF,18,Henriette HANSEN,,,,22,Stine BONDE
18,748205,7.36,,SVK,Regelfejl,,6,Thea RASMUSSEN,,,,,
19,748205,7.53,3-5,VHK,Mål,VF,14,Camilla DEGN,Assist,26,Christina PEDERSEN,22,Stine BONDE
20,748205,8.36,,SVK,Skud reddet,Gbr,18,Natasja ANDREASEN,,,,16,Louise Bak JENSEN
21,748205,9.02,,VHK,Fejlaflevering,,26,Christina PEDERSEN,,,,,
22,748205,9.35,,SVK,Tilkendt straffe,,15,Karen KLOKKER,Forårs. str.,19,Sara HALD,,
23,748205,9.35,,VHK,Udvisning,,19,Sara HALD,,,,,
24,748205,9.38,,SVK,Straffekast reddet,,21,Maja EDLING,,,,16,Louise Bak JENSEN
25,748205,10.17,,VHK,Tilkendt straffe,,5,Marielle MARTINSEN,Forårs. str.,15,Karen KLOKKER,,
26,748205,10.29,3-6,VHK,Mål på straffe,,26,Christina PEDERSEN,,,,22,Stine BONDE
27,748205,11.09,,SVK,Skud reddet,Gbr,18,Natasja ANDREASEN,,,,16,Louise Bak JENSEN
28,748205,11.44,3-7,VHK,Mål,HF,18,Henriette HANSEN,Assist,5,Marielle MARTINSEN,22,Stine BONDE
29,748205,11.50,,SVK,Time out,,,,,,,,
30,748205,12.13,4-7,SVK,Mål,VB,6,Thea RASMUSSEN,,,,16,Louise Bak JENSEN
31,748205,12.53,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,11,Sara MADSEN,,
32,748205,13.12,,VHK,Straffekast reddet,,26,Christina PEDERSEN,,,,16,Anna VENG
33,748205,14.09,,SVK,Passivt spil,,0,,,,,,
34,748205,14.15,,VHK,Skud reddet,1:e,5,Marielle MARTINSEN,,,,16,Anna VENG
35,748205,14.45,,SVK,Skud forbi,PL,6,Thea RASMUSSEN,,,,16,Louise Bak JENSEN
36,748205,15.26,4-8,VHK,Mål,PL,26,Christina PEDERSEN,,,,16,Anna VENG
37,748205,15.35,,VHK,Udvisning,,19,Sara HALD,,,,,
38,748205,15.53,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,Bold erobret,5,Marielle MARTINSEN,,
39,748205,16.32,4-9,VHK,Mål,ST,3,Alberte SIMONSEN,Assist,26,Christina PEDERSEN,16,Anna VENG
40,748205,16.51,5-9,SVK,Mål,Gbr,4,Maria HOLM,Assist,6,Thea RASMUSSEN,16,Louise Bak JENSEN
41,748205,17.32,5-10,VHK,Mål,PL,5,Marielle MARTINSEN,,,,16,Anna VENG
42,748205,18.10,6-10,SVK,Mål,ST,7,Maja Munch LAURSEN,Assist,4,Maria HOLM,16,Louise Bak JENSEN
43,748205,18.47,,VHK,Skud blokeret,VB,9,Laura THESTRUP,Blok af (ret),31,Andrea West BENDTSEN,,
44,748205,19.14,,VHK,Fejlaflevering,,26,Christina PEDERSEN,Bold erobret,13,Mathilde KRISTENSEN,,
45,748205,19.55,,SVK,Skud reddet,HF,23,Thilde FRANDSEN,,,,16,Louise Bak JENSEN
46,748205,20.05,,VHK,Time out,,,,,,,,
47,748205,20.26,6-11,VHK,Mål,ST,19,Sara HALD,Assist,77,Jana MITTÚN,16,Anna VENG
48,748205,21.26,,SVK,Skud reddet,HB,4,Maria HOLM,,,,16,Louise Bak JENSEN
49,748205,22.21,,VHK,Tilkendt straffe,,5,Marielle MARTINSEN,Forårs. str.,13,Mathilde KRISTENSEN,,
50,748205,22.39,6-12,VHK,Mål på straffe,,62,Louise SØNDERGAARD,,,,16,Anna VENG
51,748205,23.34,,SVK,Skud reddet,HF,23,Thilde FRANDSEN,,,,16,Louise Bak JENSEN
52,748205,24.11,,VHK,Skud reddet,VF,14,Camilla DEGN,,,,16,Anna VENG
53,748205,25.02,7-12,SVK,Mål,PL,4,Maria HOLM,,,,16,Louise Bak JENSEN
54,748205,25.09,,VHK,Fejlaflevering,,5,Marielle MARTINSEN,Bold erobret,4,Maria HOLM,,
55,748205,25.17,8-12,SVK,Mål,1:e,31,Andrea West BENDTSEN,Assist,4,Maria HOLM,16,Louise Bak JENSEN
56,748205,25.18,,VHK,Udvisning,,5,Marielle MARTINSEN,,,,,
57,748205,26.09,,VHK,Skud reddet,HB,62,Louise SØNDERGAARD,,,,16,Anna VENG
58,748205,26.49,,SVK,Tilkendt straffe,,6,Thea RASMUSSEN,Forårs. str.,19,Sara HALD,,
59,748205,27.01,9-12,SVK,Mål på straffe,,21,Maja EDLING,,,,12,Ida Marie KAYSEN
60,748205,27.38,,VHK,Tilkendt straffe,,8,Elma ÖRTEMARK,Forårs. str.,15,Karen KLOKKER,,
61,748205,27.58,,VHK,Straffekast på stolpe,,62,Louise SØNDERGAARD,,,,16,Anna VENG
62,748205,28.34,,SVK,Regelfejl,,15,Karen KLOKKER,,,,,
63,748205,28.40,9-13,VHK,Mål,2:e,26,Christina PEDERSEN,,,,16,Anna VENG
64,748205,28.50,10-13,SVK,Mål,2:e,31,Andrea West BENDTSEN,,,,16,Louise Bak JENSEN
65,748205,29.39,10-14,VHK,Mål,ST,19,Sara HALD,Assist,62,Louise SØNDERGAARD,16,Anna VENG
66,748205,29.59,,SVK,Skud forbi,HB,4,Maria HOLM,,,,16,Louise Bak JENSEN
67,748205,30.00,10-14,,Halvleg,,,,,,,,
68,748205,30.00,,,Start 2:e halvleg,,,,,,,,
69,748205,30.38,,SVK,Passivt spil,,0,,,,,,
70,748205,31.15,10-15,VHK,Mål,Gbr,77,Jana MITTÚN,,,,16,Anna VENG
71,748205,31.27,,SVK,Skud blokeret,VB,31,Andrea West BENDTSEN,Blok af (ret),5,Marielle MARTINSEN,,
72,748205,31.55,,SVK,Skud reddet,ST,13,Mathilde KRISTENSEN,,,,16,Louise Bak JENSEN
73,748205,32.29,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,15,Karen KLOKKER,,
74,748205,32.47,10-16,VHK,Mål på straffe,,26,Christina PEDERSEN,,,,16,Anna VENG
75,748205,33.18,,SVK,Regelfejl,,19,Laura Galle HANSEN,,,,,
76,748205,33.52,,VHK,Skud reddet,VF,14,Camilla DEGN,Retur,0,,16,Anna VENG
77,748205,34.12,,VHK,Skud forbi,VF,14,Camilla DEGN,,,,16,Anna VENG
78,748205,34.48,11-16,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,16,Louise Bak JENSEN
79,748205,35.21,11-17,VHK,Mål,ST,19,Sara HALD,Assist,77,Jana MITTÚN,16,Anna VENG
80,748205,36.08,,SVK,Skud reddet,VF,21,Maja EDLING,,,,16,Louise Bak JENSEN
81,748205,36.43,,VHK,Skud forbi,PL,26,Christina PEDERSEN,,,,16,Anna VENG
82,748205,36.50,12-17,SVK,Mål,2:e,4,Maria HOLM,,,,16,Louise Bak JENSEN
83,748205,37.35,,VHK,Skud forbi,HF,18,Henriette HANSEN,,,,16,Anna VENG
84,748205,38.16,,SVK,Skud reddet,VB,6,Thea RASMUSSEN,,,,16,Louise Bak JENSEN
85,748205,39.00,12-18,VHK,Mål,HB,5,Marielle MARTINSEN,,,,16,Anna VENG
86,748205,39.12,,SVK,Skud reddet,ST,15,Karen KLOKKER,,,,16,Louise Bak JENSEN
87,748205,39.17,12-19,VHK,Mål,1:e,77,Jana MITTÚN,,,,0,
88,748205,39.21,,SVK,Time out,,,,,,,,
89,748205,39.45,13-19,SVK,Mål,VF,21,Maja EDLING,Assist,6,Thea RASMUSSEN,16,Louise Bak JENSEN
90,748205,40.20,13-20,VHK,Mål,Gbr,77,Jana MITTÚN,,,,16,Anna VENG
