id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748206,0.00,,,Start 1:e halvleg,,,,,,,,
2,748206,1.01,,BFH,Passivt spil,,,,,,,,
3,748206,1.07,,BFH,Advarsel,,72,Line FRANDSEN,,,,,
4,748206,1.52,1-0,AHB,Mål,Gbr,77,Alberte EBLER,,,,20,Clara BAK
5,748206,2.32,1-1,BFH,Mål,PL,31,Marianne HAUGSTED,,,,86,Sabine ENGLERT
6,748206,2.40,2-1,AHB,Mål,2:e,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,20,Clara BAK
7,748206,3.11,2-2,BFH,Mål,ST,19,Rikke Dahl NIELSEN,Assist,31,Marianne HAUGSTED,86,Sabine ENGLERT
8,748206,3.23,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
9,748206,4.03,,BFH,Skud reddet,VF,9,Mathilde PIIL,,,,86,Sabine ENGLERT
10,748206,4.30,,AHB,Skud blokeret,HB,77,Alberte EBLER,Blok af (ret),19,Rikke Dahl NIELSEN,,
11,748206,4.47,,AHB,Tilkendt straffe,,77,Alberte EBLER,Forårs. str.,31,Marianne HAUGSTED,,
12,748206,5.12,3-2,AHB,Mål på straffe,,15,Sofia DEEN,,,,20,Clara BAK
13,748206,6.01,,BFH,Regelfejl,,7,Line GYLDENLØVE,,,,,
14,748206,6.14,,AHB,Skud reddet,2:e,14,Anna Berger WIERZBA,,,,20,Clara BAK
15,748206,6.55,,BFH,Skud reddet,PL,72,Line FRANDSEN,,,,86,Sabine ENGLERT
16,748206,7.05,4-2,AHB,Mål,2:e,25,Ida GÖTZSCHE,Assist,77,Alberte EBLER,20,Clara BAK
17,748206,7.49,,BFH,Skud reddet,PL,7,Line GYLDENLØVE,,,,86,Sabine ENGLERT
18,748206,8.00,,AHB,Skud reddet,2:e,25,Ida GÖTZSCHE,,,,20,Clara BAK
19,748206,8.14,4-3,BFH,Mål,HF,44,Louise HALD,Assist,7,Line GYLDENLØVE,86,Sabine ENGLERT
20,748206,8.40,5-3,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,20,Clara BAK
21,748206,9.17,,BFH,Skud reddet,PL,31,Marianne HAUGSTED,,,,86,Sabine ENGLERT
22,748206,9.24,6-3,AHB,Mål,2:e,14,Anna Berger WIERZBA,,,,20,Clara BAK
23,748206,10.07,,BFH,Skud reddet,ST,19,Rikke Dahl NIELSEN,,,,86,Sabine ENGLERT
24,748206,10.14,,AHB,Skud reddet,1:e,77,Alberte EBLER,,,,20,Clara BAK
25,748206,10.44,,BFH,Skud reddet,ST,18,Sidsel POULSEN,,,,86,Sabine ENGLERT
26,748206,10.48,7-3,AHB,Mål,1:e,14,Anna Berger WIERZBA,,,,,
27,748206,11.39,,BFH,Skud reddet,PL,31,Marianne HAUGSTED,,,,86,Sabine ENGLERT
28,748206,11.44,8-3,AHB,Mål,1:e,25,Ida GÖTZSCHE,Assist,86,Sabine ENGLERT,20,Clara BAK
29,748206,11.51,,BFH,Time out,,,,,,,,
30,748206,12.07,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,77,Alberte EBLER,,
31,748206,12.14,,AHB,Regelfejl,,77,Alberte EBLER,,,,,
32,748206,12.54,8-4,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,86,Sabine ENGLERT
33,748206,13.30,,AHB,Tilkendt straffe,,77,Alberte EBLER,Forårs. str.,21,Emma ERNST,,
34,748206,13.53,,AHB,Straffekast på stolpe,,15,Sofia DEEN,,,,20,Clara BAK
35,748206,14.25,8-5,BFH,Mål,VF,21,Emma ERNST,,,,86,Sabine ENGLERT
36,748206,14.29,,AHB,Fejlaflevering,,77,Alberte EBLER,,,,,
37,748206,15.05,8-6,BFH,Mål,PL,21,Emma ERNST,,,,86,Sabine ENGLERT
38,748206,15.16,,AHB,Skud reddet,2:e,18,Mathilde ØSTERGAARD,,,,20,Clara BAK
39,748206,15.27,,BFH,Skud forbi,2:e,21,Emma ERNST,,,,86,Sabine ENGLERT
40,748206,16.15,9-6,AHB,Mål,PL,17,Line Berggren LARSEN,,,,20,Clara BAK
41,748206,16.30,9-7,BFH,Mål,HF,44,Louise HALD,Assist,7,Line GYLDENLØVE,86,Sabine ENGLERT
42,748206,16.40,10-7,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,20,Clara BAK
43,748206,17.24,10-8,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,86,Sabine ENGLERT
44,748206,17.37,,AHB,Regelfejl,,14,Anna Berger WIERZBA,,,,,
45,748206,18.36,10-9,BFH,Mål,HF,44,Louise HALD,Assist,72,Line FRANDSEN,86,Sabine ENGLERT
46,748206,18.49,11-9,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,20,Clara BAK
47,748206,19.42,11-10,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,86,Sabine ENGLERT
48,748206,19.58,,AHB,Skud på stolpe,HF,25,Ida GÖTZSCHE,,,,20,Clara BAK
49,748206,20.35,,BFH,Skud reddet,HB,7,Line GYLDENLØVE,,,,86,Sabine ENGLERT
50,748206,21.16,,AHB,Skud reddet,Gbr,14,Anna Berger WIERZBA,,,,20,Clara BAK
51,748206,21.55,,AHB,Advarsel,,10,Frederikke WAAGE-JENSEN,,,,,
52,748206,22.03,11-11,BFH,Mål,PL,72,Line FRANDSEN,,,,86,Sabine ENGLERT
53,748206,22.16,,AHB,Regelfejl,,3,Sarah Vest KIRKELØKKE,,,,,
54,748206,22.57,,BFH,Skud reddet,VF,21,Emma ERNST,,,,86,Sabine ENGLERT
55,748206,23.06,,AHB,Regelfejl,,15,Sofia DEEN,,,,,
56,748206,23.49,,BFH,Regelfejl,,21,Emma ERNST,,,,,
57,748206,24.02,12-11,AHB,Mål,HF,10,Frederikke WAAGE-JENSEN,Assist,17,Line Berggren LARSEN,20,Clara BAK
58,748206,24.40,12-12,BFH,Mål,HF,44,Louise HALD,Assist,7,Line GYLDENLØVE,86,Sabine ENGLERT
59,748206,24.48,,AHB,Time out,,,,,,,,
60,748206,25.25,,AHB,Tilkendt straffe,,18,Mathilde ØSTERGAARD,Forårs. str.,19,Rikke Dahl NIELSEN,,
61,748206,25.39,13-12,AHB,Mål på straffe,,15,Sofia DEEN,,,,24,Josephine NORDSTRØM
62,748206,26.37,,BFH,Skud reddet,Gbr,7,Line GYLDENLØVE,Retur,0,,86,Sabine ENGLERT
63,748206,27.00,,BFH,Skud på stolpe,Gbr,7,Line GYLDENLØVE,,,,86,Sabine ENGLERT
64,748206,27.47,14-12,AHB,Mål,VB,15,Sofia DEEN,,,,20,Clara BAK
65,748206,28.31,,AHB,Udvisning,,5,Katarina BERENS,,,,,
66,748206,28.42,14-13,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,86,Sabine ENGLERT
67,748206,29.32,,AHB,Skud på stolpe,PL,17,Line Berggren LARSEN,,,,20,Clara BAK
68,748206,29.55,,BFH,Skud reddet,Gbr,7,Line GYLDENLØVE,,,,86,Sabine ENGLERT
69,748206,29.58,,AHB,Skud forbi,1:e,0,,,,,86,Sabine ENGLERT
70,748206,30.00,14-13,,Halvleg,,,,,,,,
71,748206,30.00,,,Start 2:e halvleg,,,,,,,,
72,748206,30.28,15-13,AHB,Mål,PL,14,Anna Berger WIERZBA,,,,20,Clara BAK
73,748206,30.37,15-14,BFH,Mål,1:e,18,Sidsel POULSEN,,,,0,
74,748206,31.06,16-14,AHB,Mål,Gbr,15,Sofia DEEN,,,,20,Clara BAK
75,748206,31.54,16-15,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,86,Sabine ENGLERT
76,748206,32.20,,AHB,Skud på stolpe,PL,77,Alberte EBLER,,,,20,Clara BAK
