id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748207,0.00,,,Start 1:e halvleg,,,,,,,,
2,748207,0.34,,KBH,Skud reddet,HF,5,Clara SKØTT,,,,12,Filippa IDÉHN
3,748207,0.50,,IKA,Tilkendt straffe,,14,Emma LINDQVIST,Forårs. str.,15,Emma NAVNE,,
4,748207,0.54,,IKA,Straffekast på stolpe,,51,Markéta JERÁBKOVÁ,,,,2,Bianca SCHANSSEMA
5,748207,1.38,,IKA,Advarsel,,14,Emma LINDQVIST,,,,,
6,748207,2.07,,IKA,Udvisning,,11,Sarah Aaberg IVERSEN,,,,,
7,748207,2.26,,KBH,Skud reddet,HF,5,Clara SKØTT,,,,12,Filippa IDÉHN
8,748207,2.57,,IKA,Skud reddet,Gbr,7,Stine SKOGRAND,,,,20,Anne Christine BOSSEN
9,748207,3.04,1-0,KBH,Mål,1:e,15,Emma NAVNE,,,,,
10,748207,3.29,1-1,IKA,Mål,VB,21,Ingvild BAKKERUD,,,,20,Anne Christine BOSSEN
11,748207,3.49,,KBH,Skud reddet,VB,22,Stine JØRGENSEN,,,,12,Filippa IDÉHN
12,748207,4.16,1-2,IKA,Mål,Gbr,21,Ingvild BAKKERUD,,,,20,Anne Christine BOSSEN
13,748207,5.12,2-2,KBH,Mål,VF,7,Emilie Ytting PEDERSEN,Assist,22,Stine JØRGENSEN,12,Filippa IDÉHN
14,748207,5.43,,IKA,Skud reddet,VB,21,Ingvild BAKKERUD,Retur,0,,20,Anne Christine BOSSEN
15,748207,6.01,,IKA,Skud reddet,Gbr,21,Ingvild BAKKERUD,,,,20,Anne Christine BOSSEN
16,748207,6.09,3-2,KBH,Mål,2:e,21,Helene KINDBERG,Assist,15,Emma NAVNE,12,Filippa IDÉHN
17,748207,6.28,,IKA,Tilkendt straffe,,7,Stine SKOGRAND,Forårs. str.,7,Emilie Ytting PEDERSEN,,
18,748207,6.36,,IKA,Straffekast reddet,,51,Markéta JERÁBKOVÁ,,,,2,Bianca SCHANSSEMA
19,748207,7.19,,KBH,Regelfejl,,21,Helene KINDBERG,,,,,
20,748207,7.51,,IKA,Regelfejl,,11,Sarah Aaberg IVERSEN,,,,,
21,748207,8.05,,KBH,Tilkendt straffe,,22,Stine JØRGENSEN,Forårs. str.,7,Stine SKOGRAND,,
22,748207,8.28,4-2,KBH,Mål på straffe,,22,Stine JØRGENSEN,,,,12,Filippa IDÉHN
23,748207,8.56,4-3,IKA,Mål,Gbr,21,Ingvild BAKKERUD,,,,20,Anne Christine BOSSEN
