id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748208,0.00,,,Start 1:e halvleg,,,,,,,,
2,748208,0.36,,SJE,Fejlaflevering,,28,Sarah PAULSEN,,,,,
3,748208,0.48,,RIN,Skud forbi,2:e,22,Sofie ØSTERGAARD,,,,12,Stine BROLØS
4,748208,1.10,,SJE,Skud på stolpe,Gbr,10,Nicoline OLSEN,,,,16,Stephanie ANDERSEN
5,748208,1.43,,RIN,Skud reddet,PL,2,Cecilie BJERRE,,,,12,Stine BROLØS
6,748208,1.54,0-1,SJE,Mål,2:e,14,Louise ELLEBÆK,,,,16,Stephanie ANDERSEN
7,748208,2.28,,RIN,Skud reddet,Gbr,3,Maria Berger WIERZBA,,,,12,Stine BROLØS
8,748208,2.38,,RIN,Advarsel,,3,Maria Berger WIERZBA,,,,,
9,748208,3.09,0-2,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,16,Stephanie ANDERSEN
10,748208,3.44,1-2,RIN,Mål,Gbr,3,Maria Berger WIERZBA,,,,12,Stine BROLØS
11,748208,3.55,,SJE,Skud på stolpe,2:e,10,Nicoline OLSEN,,,,16,Stephanie ANDERSEN
12,748208,4.06,2-2,RIN,Mål,2:e,19,Rikke JOCHUMSEN,Assist,3,Maria Berger WIERZBA,12,Stine BROLØS
13,748208,5.09,2-3,SJE,Mål,PL,28,Sarah PAULSEN,,,,16,Stephanie ANDERSEN
14,748208,5.19,,RIN,Skud forbi,2:e,10,Frida Høgaard NIELSEN,,,,12,Stine BROLØS
15,748208,5.33,,SJE,Skud reddet,ST,22,Olivia SIMONSEN,,,,16,Stephanie ANDERSEN
16,748208,5.38,3-3,RIN,Mål,2:e,3,Maria Berger WIERZBA,,,,12,Stine BROLØS
17,748208,6.34,,SJE,Skud reddet,PL,7,Melissa PETRÉN,,,,16,Stephanie ANDERSEN
18,748208,7.03,4-3,RIN,Mål,Gbr,3,Maria Berger WIERZBA,,,,12,Stine BROLØS
19,748208,7.40,4-4,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,16,Stephanie ANDERSEN
20,748208,7.54,,RIN,Tilkendt straffe,,5,Caroline SVARRE,Forårs. str.,22,Olivia SIMONSEN,,
21,748208,8.12,5-4,RIN,Mål på straffe,,2,Cecilie BJERRE,,,,12,Stine BROLØS
22,748208,8.39,5-5,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,16,Stephanie ANDERSEN
23,748208,9.16,,RIN,Regelfejl,,8,Camilla PEDERSEN,,,,,
24,748208,9.27,,SJE,Skud reddet,ST,22,Olivia SIMONSEN,,,,16,Stephanie ANDERSEN
