id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748209,0.00,,,Start 1:e halvleg,,,,,,,,
2,748209,0.47,,ODE,Skud på stolpe,Gbr,68,Helena ELVER,,,,12,Anna KRISTENSEN
3,748209,1.34,,TES,Tilkendt straffe,,25,Henny REISTAD,Forårs. str.,33,Thale Rushfeldt DEILA,,
4,748209,1.37,0-1,TES,Mål på straffe,,8,Live RUSHFELDT DEILA,,,,38,Yara TEN HOLTE
5,748209,2.12,1-1,ODE,Mål,ST,3,Maren AARDAHL,Assist,32,Mie HØJLUND,12,Anna KRISTENSEN
6,748209,2.47,,TES,Skud reddet,HF,20,Marit Røsberg JACOBSEN,,,,38,Yara TEN HOLTE
7,748209,2.56,,ODE,Fejlaflevering,,33,Thale Rushfeldt DEILA,Bold erobret,0,,,
8,748209,3.05,,TES,Tabt bold,,8,Live RUSHFELDT DEILA,Bold erobret,0,,,
9,748209,3.31,,ODE,Skud reddet,PL,32,Mie HØJLUND,,,,12,Anna KRISTENSEN
10,748209,3.44,,TES,Regelfejl,,22,Line HAUGSTED,,,,,
11,748209,3.49,,ODE,Fejlaflevering,,32,Mie HØJLUND,,,,,
12,748209,4.35,1-2,TES,Mål,PL,25,Henny REISTAD,,,,38,Yara TEN HOLTE
13,748209,5.02,2-2,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,12,Anna KRISTENSEN
14,748209,5.58,,ODE,Advarsel,,20,Lysa DEFO,,,,,
15,748209,6.17,,TES,Skud reddet,PL,8,Live RUSHFELDT DEILA,,,,38,Yara TEN HOLTE
16,748209,6.29,,ODE,Skud reddet,ST,3,Maren AARDAHL,,,,12,Anna KRISTENSEN
17,748209,6.31,,TES,Advarsel,,25,Henny REISTAD,,,,,
18,748209,7.12,2-3,TES,Mål,HF,20,Marit Røsberg JACOBSEN,Assist,4,Michala MØLLER,38,Yara TEN HOLTE
