id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748210,0.00,,,Start 1:e halvleg,,,,,,,,
2,748210,0.22,0-1,SKB,Mål,PL,3,Clara BANG,,,,1,Sofie BÖRJESSON
3,748210,0.35,1-1,NFH,Mål,2:e,18,Alberte KIELSTRUP,,,,23,Stine ALMIND
4,748210,1.03,1-2,SKB,Mål,Gbr,3,Clara BANG,,,,1,Sofie BÖRJESSON
5,748210,1.45,2-2,NFH,Mål,Gbr,7,Amalie WULFF,,,,23,Stine ALMIND
6,748210,2.22,,SKB,Tilkendt straffe,,3,Clara BANG,Forårs. str.,2,Caroline AAR,,
7,748210,2.38,,SKB,Straffekast reddet,,25,Astrid LYNNERUP,,,,1,Sofie BÖRJESSON
8,748210,3.05,,NFH,Regelfejl,,26,Mona OBAIDLI,,,,,
9,748210,3.14,2-3,SKB,Mål,2:e,11,Mia LAGUMDZIJA,,,,1,Sofie BÖRJESSON
10,748210,3.56,,NFH,Skud forbi,PL,18,Alberte KIELSTRUP,,,,23,Stine ALMIND
11,748210,4.01,,SKB,Tabt bold,,4,Emilie BECH,,,,,
12,748210,4.28,,NFH,Fejlaflevering,,26,Mona OBAIDLI,Bold erobret,4,Emilie BECH,,
13,748210,4.32,2-4,SKB,Mål,1:e,4,Emilie BECH,Assist,2,Boline LAURSEN,1,Sofie BÖRJESSON
14,748210,5.01,3-4,NFH,Mål,ST,2,Caroline AAR,Assist,26,Mona OBAIDLI,23,Stine ALMIND
15,748210,5.14,,SKB,Fejlaflevering,,14,Verona REXHEPI,,,,,
16,748210,5.17,4-4,NFH,Mål,1:e,20,Maja MAGNUSSEN,Assist,1,Sofie BÖRJESSON,23,Stine ALMIND
17,748210,5.30,4-5,SKB,Mål,ST,2,Boline LAURSEN,Assist,11,Mia LAGUMDZIJA,1,Sofie BÖRJESSON
18,748210,5.54,5-5,NFH,Mål,ST,21,Matilde VESTERGAARD,Assist,18,Alberte KIELSTRUP,23,Stine ALMIND
19,748210,6.39,,SKB,Skud på stolpe,VF,25,Astrid LYNNERUP,,,,1,Sofie BÖRJESSON
20,748210,6.49,6-5,NFH,Mål,HF,20,Maja MAGNUSSEN,Assist,18,Alberte KIELSTRUP,23,Stine ALMIND
21,748210,7.54,6-6,SKB,Mål,VF,25,Astrid LYNNERUP,Assist,11,Mia LAGUMDZIJA,1,Sofie BÖRJESSON
22,748210,8.33,,NFH,Regelfejl,,21,Matilde VESTERGAARD,,,,,
23,748210,9.03,,SKB,Fejlaflevering,,3,Clara BANG,,,,,
24,748210,9.16,,NFH,Regelfejl,,49,Aimée VON PEREIRA,,,,,
25,748210,9.53,,NFH,Advarsel,,49,Aimée VON PEREIRA,,,,,
26,748210,10.15,,SKB,Fejlaflevering,,14,Verona REXHEPI,,,,,
27,748210,10.18,7-6,NFH,Mål,1:e,21,Matilde VESTERGAARD,Assist,26,Mona OBAIDLI,23,Stine ALMIND
28,748210,10.45,,SKB,Fejlaflevering,,11,Mia LAGUMDZIJA,Bold erobret,8,Stine EIBERG,,
29,748210,10.50,8-6,NFH,Mål,1:e,2,Caroline AAR,Assist,26,Mona OBAIDLI,23,Stine ALMIND
