id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748211,0.00,,,Start 1:e halvleg,,,,,,,,
2,748211,0.39,1-0,HHE,Mål,PL,11,Fanny ELOVSSON,,,,16,Johanne GRAUGAARD
3,748211,0.55,,EHA,Skud reddet,Gbr,21,Frederikke GULMARK,,,,16,Andrea AUSTMO
4,748211,1.05,2-0,HHE,Mål,2:e,21,Romee MAARSCHALKEWEERD,Assist,11,Fanny ELOVSSON,16,Johanne GRAUGAARD
5,748211,1.56,2-1,EHA,Mål,PL,23,Silje BRØNS,,,,16,Andrea AUSTMO
6,748211,2.51,3-1,HHE,Mål,PL,14,Mai KRAGBALLE,,,,16,Johanne GRAUGAARD
7,748211,3.30,,EHA,Skud reddet,Gbr,5,Anna Hviid BANG,Retur,0,,16,Andrea AUSTMO
8,748211,3.54,,EHA,Skud på stolpe,Gbr,23,Silje BRØNS,,,,16,Andrea AUSTMO
9,748211,4.02,,HHE,Skud på stolpe,1:e,9,Annika MEYER,,,,16,Johanne GRAUGAARD
10,748211,4.11,3-2,EHA,Mål,2:e,23,Silje BRØNS,,,,16,Andrea AUSTMO
11,748211,4.25,,HHE,Fejlaflevering,,11,Fanny ELOVSSON,,,,,
12,748211,5.02,,EHA,Skud reddet,HB,5,Anna Hviid BANG,,,,16,Andrea AUSTMO
13,748211,5.36,,HHE,Tilkendt straffe,,10,Mathilda LUNDSTRØM,Forårs. str.,30,Clara LERBY,,
14,748211,5.36,,EHA,Udvisning,,30,Clara LERBY,,,,,
15,748211,5.38,4-2,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,16,Johanne GRAUGAARD
16,748211,6.14,4-3,EHA,Mål,Gbr,5,Anna Hviid BANG,,,,16,Andrea AUSTMO
17,748211,6.40,5-3,HHE,Mål,ST,21,Romee MAARSCHALKEWEERD,Assist,14,Mai KRAGBALLE,16,Johanne GRAUGAARD
18,748211,7.26,5-4,EHA,Mål,Gbr,23,Silje BRØNS,,,,16,Andrea AUSTMO
19,748211,7.40,6-4,HHE,Mål,2:e,33,Laura Holm ANDERSEN,Assist,14,Mai KRAGBALLE,16,Johanne GRAUGAARD
20,748211,8.08,,EHA,Skud blokeret,PL,23,Silje BRØNS,Blok af (ret),11,Fanny ELOVSSON,,
21,748211,8.33,,EHA,Tabt bold,,21,Frederikke GULMARK,,,,,
22,748211,8.38,,HHE,Fejlaflevering,,16,Andrea AUSTMO,,,,,
23,748211,9.23,6-5,EHA,Mål,PL,23,Silje BRØNS,,,,16,Andrea AUSTMO
24,748211,10.09,,HHE,Skud reddet,PL,19,Frida Haug HOEL,,,,16,Johanne GRAUGAARD
25,748211,10.20,6-6,EHA,Mål,2:e,10,Sofie LASSEN,,,,16,Andrea AUSTMO
26,748211,11.15,7-6,HHE,Mål,VB,11,Fanny ELOVSSON,,,,16,Johanne GRAUGAARD
27,748211,11.28,,EHA,Tabt bold,,4,Cecilie TERMANSEN,,,,,
28,748211,11.33,8-6,HHE,Mål,2:e,9,Annika MEYER,Assist,19,Frida Haug HOEL,16,Johanne GRAUGAARD
29,748211,12.09,8-7,EHA,Mål,Gbr,23,Silje BRØNS,,,,16,Andrea AUSTMO
30,748211,12.46,,HHE,Fejlaflevering,,14,Mai KRAGBALLE,,,,,
31,748211,12.57,8-8,EHA,Mål,2:e,30,Clara LERBY,Assist,10,Sofie LASSEN,16,Andrea AUSTMO
32,748211,13.51,,HHE,Skud på stolpe,ST,9,Annika MEYER,,,,16,Johanne GRAUGAARD
33,748211,14.00,8-9,EHA,Mål,1:e,7,Marlene DAHLMANN,Assist,21,Frederikke GULMARK,16,Andrea AUSTMO
34,748211,15.01,,HHE,Skud reddet,HB,19,Frida Haug HOEL,,,,16,Johanne GRAUGAARD
35,748211,15.38,,EHA,Tilkendt straffe,,5,Anna Hviid BANG,Forårs. str.,14,Mai KRAGBALLE,,
36,748211,15.54,,EHA,Straffekast reddet,,30,Clara LERBY,,,,16,Andrea AUSTMO
37,748211,16.37,9-9,HHE,Mål,HF,10,Mathilda LUNDSTRØM,Assist,19,Frida Haug HOEL,16,Johanne GRAUGAARD
38,748211,16.48,9-10,EHA,Mål,2:e,30,Clara LERBY,Assist,10,Sofie LASSEN,16,Andrea AUSTMO
39,748211,17.02,,HHE,Skud på stolpe,Gbr,27,Annette WIRÉN LARSEN,,,,16,Johanne GRAUGAARD
40,748211,17.40,,HHE,Advarsel,,11,Fanny ELOVSSON,,,,,
41,748211,17.58,,EHA,Regelfejl,,22,Mirja LYNGSØ,,,,,
42,748211,18.41,,EHA,Udvisning,,22,Mirja LYNGSØ,,,,,
43,748211,19.03,10-10,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,19,Frida Haug HOEL,16,Johanne GRAUGAARD
44,748211,19.36,,EHA,Tilkendt straffe,,23,Silje BRØNS,Forårs. str.,3,Alma SKRETTING,,
45,748211,19.42,10-11,EHA,Mål på straffe,,30,Clara LERBY,,,,16,Andrea AUSTMO
