id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748213,0.00,,,Start 1:e halvleg,,,,,,,,
2,748213,0.31,1-0,BFH,Mål,PL,7,Line GYLDENLØVE,,,,20,Anne Christine BOSSEN
3,748213,1.07,1-1,KBH,Mål,HB,15,Emma NAVNE,,,,20,Clara BAK
4,748213,1.16,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,5,Clara SKØTT,,
5,748213,1.26,1-2,KBH,Mål,2:e,17,Tabea SCHMID,Assist,0,,20,Clara BAK
6,748213,2.02,2-2,BFH,Mål,PL,7,Line GYLDENLØVE,,,,20,Anne Christine BOSSEN
7,748213,2.13,2-3,KBH,Mål,Gbr,4,Catharina MOLENAAR,,,,20,Clara BAK
8,748213,2.47,3-3,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,7,Line GYLDENLØVE,20,Anne Christine BOSSEN
9,748213,3.17,3-4,KBH,Mål,ST,17,Tabea SCHMID,Assist,21,Helene KINDBERG,20,Clara BAK
10,748213,3.26,4-4,BFH,Mål,VB,7,Line GYLDENLØVE,,,,20,Anne Christine BOSSEN
11,748213,3.40,,KBH,Regelfejl,,21,Helene KINDBERG,,,,,
12,748213,3.45,5-4,BFH,Mål,1:e,44,Louise HALD,Assist,72,Line FRANDSEN,20,Anne Christine BOSSEN
13,748213,4.19,,KBH,Tabt bold,,4,Catharina MOLENAAR,,,,,
14,748213,4.22,6-4,BFH,Mål,1:e,72,Line FRANDSEN,Assist,0,,20,Anne Christine BOSSEN
15,748213,4.22,,KBH,Udvisning,,21,Helene KINDBERG,,,,,
16,748213,5.07,6-5,KBH,Mål,HF,5,Clara SKØTT,Assist,11,Martha NICKELSEN,20,Clara BAK
17,748213,5.30,7-5,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,20,Anne Christine BOSSEN
18,748213,6.01,7-6,KBH,Mål,ST,17,Tabea SCHMID,Assist,4,Catharina MOLENAAR,20,Clara BAK
19,748213,6.22,8-6,BFH,Mål,ST,19,Rikke Dahl NIELSEN,Assist,72,Line FRANDSEN,20,Anne Christine BOSSEN
20,748213,6.57,,BFH,Advarsel,,19,Rikke Dahl NIELSEN,,,,,
21,748213,7.14,,KBH,Skud reddet,ST,17,Tabea SCHMID,,,,20,Clara BAK
22,748213,7.21,9-6,BFH,Mål,1:e,44,Louise HALD,Assist,31,Marianne HAUGSTED,20,Anne Christine BOSSEN
23,748213,7.43,,KBH,Skud blokeret,VB,4,Catharina MOLENAAR,Blok af (ret),11,Arlinda HAJDARI,,
24,748213,8.01,,KBH,Skud på stolpe,VF,7,Emilie Ytting PEDERSEN,,,,20,Clara BAK
25,748213,8.33,,BFH,Skud reddet,PL,72,Line FRANDSEN,,,,20,Anne Christine BOSSEN
26,748213,8.57,9-7,KBH,Mål,ST,17,Tabea SCHMID,Assist,4,Catharina MOLENAAR,20,Clara BAK
27,748213,9.38,10-7,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,72,Line FRANDSEN,20,Anne Christine BOSSEN
28,748213,10.30,10-8,KBH,Mål,PL,15,Emma NAVNE,,,,20,Clara BAK
29,748213,11.26,11-8,BFH,Mål,ST,18,Sidsel POULSEN,Assist,11,Arlinda HAJDARI,20,Anne Christine BOSSEN
30,748213,11.38,,KBH,Skud blokeret,PL,15,Emma NAVNE,Blokeret af,18,Sidsel POULSEN,,
31,748213,12.06,,KBH,Udvisning,,10,Pernille BRANDENBORG,,,,,
32,748213,12.23,12-8,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,20,Anne Christine BOSSEN
33,748213,12.58,12-9,KBH,Mål,ST,17,Tabea SCHMID,Assist,15,Emma NAVNE,24,Josephine NORDSTRØM
34,748213,13.40,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,0,,,
35,748213,13.50,12-10,KBH,Mål,2:e,15,Emma NAVNE,,,,24,Josephine NORDSTRØM
36,748213,14.00,,BFH,Regelfejl,,72,Line FRANDSEN,,,,,
37,748213,14.11,12-11,KBH,Mål,1:e,7,Emilie Ytting PEDERSEN,Assist,17,Tabea SCHMID,24,Josephine NORDSTRØM
38,748213,15.01,,BFH,Skud blokeret,PL,7,Line GYLDENLØVE,Blokeret af,10,Pernille BRANDENBORG,,
39,748213,15.12,12-12,KBH,Mål,1:e,5,Clara SKØTT,Assist,4,Catharina MOLENAAR,24,Josephine NORDSTRØM
40,748213,15.45,13-12,BFH,Mål,HB,11,Arlinda HAJDARI,,,,20,Anne Christine BOSSEN
41,748213,16.16,,KBH,Fejlaflevering,,21,Helene KINDBERG,Bold erobret,18,Sidsel POULSEN,,
42,748213,16.20,14-12,BFH,Mål,1:e,4,Emilie BANGSHØI,,,,20,Anne Christine BOSSEN
43,748213,16.49,,KBH,Regelfejl,,7,Emilie Ytting PEDERSEN,,,,,
44,748213,17.16,,BFH,Skud reddet,ST,19,Rikke Dahl NIELSEN,,,,20,Anne Christine BOSSEN
45,748213,17.24,14-13,KBH,Mål,2:e,10,Pernille BRANDENBORG,Assist,4,Catharina MOLENAAR,24,Josephine NORDSTRØM
46,748213,18.00,15-13,BFH,Mål,VB,7,Line GYLDENLØVE,,,,20,Anne Christine BOSSEN
47,748213,18.08,15-14,KBH,Mål,2:e,15,Emma NAVNE,,,,24,Josephine NORDSTRØM
48,748213,18.34,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,,,,,
49,748213,19.17,15-15,KBH,Mål,VF,7,Emilie Ytting PEDERSEN,Assist,11,Martha NICKELSEN,24,Josephine NORDSTRØM
50,748213,19.59,,BFH,Regelfejl,,21,Emma ERNST,,,,,
51,748213,20.09,15-16,KBH,Mål,2:e,10,Pernille BRANDENBORG,Assist,21,Helene KINDBERG,24,Josephine NORDSTRØM
52,748213,20.16,,BFH,Time out,,,,,,,,
53,748213,20.58,16-16,BFH,Mål,PL,72,Line FRANDSEN,,,,20,Anne Christine BOSSEN
54,748213,21.35,,KBH,Skud reddet,PL,4,Catharina MOLENAAR,,,,24,Josephine NORDSTRØM
55,748213,21.58,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,15,Emma NAVNE,,
56,748213,22.07,16-17,KBH,Mål,1:e,7,Emilie Ytting PEDERSEN,Assist,15,Emma NAVNE,24,Josephine NORDSTRØM
57,748213,22.43,,BFH,Skud reddet,Gbr,21,Emma ERNST,,,,20,Anne Christine BOSSEN
58,748213,22.54,,KBH,Skud reddet,HF,5,Clara SKØTT,,,,24,Josephine NORDSTRØM
59,748213,23.34,17-17,BFH,Mål,PL,31,Marianne HAUGSTED,,,,20,Anne Christine BOSSEN
60,748213,24.08,17-18,KBH,Mål,ST,5,Clara SKØTT,Assist,15,Emma NAVNE,24,Josephine NORDSTRØM
61,748213,25.17,,BFH,Skud reddet,PL,31,Marianne HAUGSTED,,,,20,Anne Christine BOSSEN
62,748213,25.28,17-19,KBH,Mål,HF,5,Clara SKØTT,Assist,21,Helene KINDBERG,24,Josephine NORDSTRØM
63,748213,26.16,,BFH,Skud på stolpe,HB,21,Emma ERNST,,,,20,Anne Christine BOSSEN
64,748213,26.22,17-20,KBH,Mål,1:e,7,Emilie Ytting PEDERSEN,Assist,0,,24,Josephine NORDSTRØM
65,748213,26.49,18-20,BFH,Mål,Gbr,31,Marianne HAUGSTED,,,,20,Anne Christine BOSSEN
66,748213,27.24,,KBH,Tilkendt straffe,,15,Emma NAVNE,Forårs. str.,21,Emma ERNST,,
67,748213,27.43,,KBH,Straffekast reddet,,5,Clara SKØTT,,,,24,Josephine NORDSTRØM
68,748213,28.11,,BFH,Skud reddet,VB,31,Marianne HAUGSTED,,,,2,Bianca SCHANSSEMA
69,748213,28.19,18-21,KBH,Mål,1:e,5,Clara SKØTT,Assist,4,Catharina MOLENAAR,24,Josephine NORDSTRØM
70,748213,29.26,,BFH,Regelfejl,,31,Marianne HAUGSTED,,,,,
71,748213,29.41,,KBH,Time out,,,,,,,,
72,748213,29.56,,KBH,Skud reddet,PL,15,Emma NAVNE,,,,24,Josephine NORDSTRØM
73,748213,30.00,19-21,BFH,Mål,1:e,24,Josephine NORDSTRØM,,,,2,Bianca SCHANSSEMA
74,748213,30.00,19-21,,Halvleg,,,,,,,,
75,748213,30.00,,,Start 2:e halvleg,,,,,,,,
76,748213,30.36,,KBH,Fejlaflevering,,21,Helene KINDBERG,Bold erobret,11,Arlinda HAJDARI,,
77,748213,31.20,,BFH,Skud reddet,PL,31,Marianne HAUGSTED,,,,2,Bianca SCHANSSEMA
78,748213,31.56,19-22,KBH,Mål,ST,17,Tabea SCHMID,Assist,15,Emma NAVNE,24,Josephine NORDSTRØM
79,748213,32.38,,BFH,Tilkendt straffe,,19,Rikke Dahl NIELSEN,Forårs. str.,17,Tabea SCHMID,,
80,748213,32.56,20-22,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,2,Bianca SCHANSSEMA
81,748213,33.26,,BFH,Udvisning,,9,Mathilde PIIL,,,,,
82,748213,33.40,,KBH,Skud reddet,ST,17,Tabea SCHMID,,,,24,Josephine NORDSTRØM
