id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748216,0.00,,,Start 1:e halvleg,,,,,,,,
2,748216,1.15,,NFH,Fejlaflevering,,18,Alberte KIELSTRUP,,,,,
3,748216,1.49,,TES,Regelfejl,,18,Mette TRANBORG,,,,,
4,748216,1.58,,NFH,Skud reddet,2:e,2,Caroline AAR,,,,16,Amalie MILLING
5,748216,2.04,,TES,Fejlaflevering,,4,Michala MØLLER,,,,,
6,748216,2.35,,NFH,Skud forbi,VF,22,Zoë SPRENGERS,,,,16,Amalie MILLING
7,748216,3.16,,TES,Skud blokeret,PL,8,Live RUSHFELDT DEILA,Blokeret af,2,Caroline AAR,,
8,748216,3.36,0-1,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,16,Amalie MILLING
9,748216,4.12,,TES,Skud forbi,HB,18,Mette TRANBORG,,,,1,Sofie BÖRJESSON
10,748216,4.43,0-2,NFH,Mål,ST,2,Caroline AAR,Assist,26,Mona OBAIDLI,16,Amalie MILLING
11,748216,4.55,,TES,Skud reddet,2:e,17,Elin HANSSON,,,,1,Sofie BÖRJESSON
12,748216,5.04,,NFH,Skud forbi,2:e,18,Alberte KIELSTRUP,,,,16,Amalie MILLING
13,748216,5.52,,TES,Skud reddet,ST,11,Rikke IVERSEN,,,,1,Sofie BÖRJESSON
14,748216,6.02,,NFH,Skud reddet,2:e,20,Maja MAGNUSSEN,,,,16,Amalie MILLING
15,748216,6.08,1-2,TES,Mål,2:e,18,Mette TRANBORG,,,,1,Sofie BÖRJESSON
16,748216,6.45,,NFH,Tilkendt straffe,,18,Alberte KIELSTRUP,Forårs. str.,17,Elin HANSSON,,
17,748216,7.02,1-3,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,16,Amalie MILLING
18,748216,7.31,,TES,Skud reddet,PL,18,Mette TRANBORG,,,,1,Sofie BÖRJESSON
19,748216,8.09,,NFH,Skud på stolpe,ST,2,Caroline AAR,,,,16,Amalie MILLING
