id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748217,0.00,,,Start 1:e halvleg,,,,,,,,
2,748217,1.11,,SJE,Skud forbi,VB,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
3,748217,1.45,,ODE,Skud reddet,Gbr,28,Clara Skyum THOMSEN,,,,12,Stine BROLØS
4,748217,1.52,,SJE,Fejlaflevering,,10,Nicoline OLSEN,Bold erobret,22,Ragnhild DAHL,,
5,748217,2.20,,ODE,Skud reddet,HB,28,Clara Skyum THOMSEN,,,,12,Stine BROLØS
6,748217,2.51,,SJE,Skud reddet,Gbr,28,Sarah PAULSEN,Retur,22,Olivia SIMONSEN,38,Yara TEN HOLTE
7,748217,2.57,,SJE,Skud på stolpe,ST,22,Olivia SIMONSEN,,,,38,Yara TEN HOLTE
8,748217,3.05,,ODE,Regelfejl,,22,Ragnhild DAHL,,,,,
9,748217,3.52,,SJE,Fejlaflevering,,7,Melissa PETRÉN,Bold erobret,44,Nikita Van Der VLIET,,
10,748217,4.02,,ODE,Regelfejl,,28,Clara Skyum THOMSEN,,,,,
11,748217,4.11,,SJE,Skud blokeret,PL,7,Melissa PETRÉN,Blokeret af,8,Helene FAUSKE,,
12,748217,4.19,0-1,ODE,Mål,2:e,8,Helene FAUSKE,Assist,22,Ragnhild DAHL,12,Stine BROLØS
13,748217,4.53,1-1,SJE,Mål,PL,10,Nicoline OLSEN,,,,38,Yara TEN HOLTE
14,748217,5.21,,ODE,Skud reddet,ST,44,Nikita Van Der VLIET,Retur,0,,12,Stine BROLØS
15,748217,5.43,1-2,ODE,Mål,VB,22,Ragnhild DAHL,,,,12,Stine BROLØS
16,748217,6.42,,SJE,Regelfejl,,22,Olivia SIMONSEN,,,,,
17,748217,6.47,1-3,ODE,Mål,1:e,6,Malin AUNE,Assist,28,Clara Skyum THOMSEN,12,Stine BROLØS
18,748217,7.07,,SJE,Time out,,,,,,,,
19,748217,7.25,,SJE,Skud reddet,HB,6,Lea HANSEN,,,,38,Yara TEN HOLTE
20,748217,7.55,,ODE,Tilkendt straffe,,44,Nikita Van Der VLIET,Forårs. str.,10,Nicoline OLSEN,,
21,748217,8.06,1-4,ODE,Mål på straffe,,34,Andrea HANSEN,,,,12,Stine BROLØS
22,748217,8.37,,SJE,Skud reddet,Gbr,28,Sarah PAULSEN,,,,38,Yara TEN HOLTE
23,748217,9.18,1-5,ODE,Mål,PL,8,Helene FAUSKE,,,,12,Stine BROLØS
24,748217,10.03,,SJE,Fejlaflevering,,7,Melissa PETRÉN,Bold erobret,23,Elma HALILCEVIC,,
25,748217,10.08,1-6,ODE,Mål,1:e,23,Elma HALILCEVIC,,,,0,
26,748217,10.39,,SJE,Fejlaflevering,,28,Sarah PAULSEN,Bold erobret,23,Elma HALILCEVIC,,
27,748217,10.45,,ODE,Tabt bold,,44,Nikita Van Der VLIET,Bold erobret,28,Sarah PAULSEN,,
28,748217,11.15,,SJE,Skud reddet,HB,28,Sarah PAULSEN,,,,38,Yara TEN HOLTE
29,748217,11.22,,ODE,Skud på stolpe,1:e,44,Nikita Van Der VLIET,,,,12,Stine BROLØS
30,748217,11.48,2-6,SJE,Mål,VF,17,June BØTTGER,Assist,14,Louise ELLEBÆK,38,Yara TEN HOLTE
31,748217,11.59,2-7,ODE,Mål,HB,22,Ragnhild DAHL,,,,12,Stine BROLØS
32,748217,12.07,3-7,SJE,Mål,2:e,28,Sarah PAULSEN,Assist,14,Louise ELLEBÆK,38,Yara TEN HOLTE
33,748217,12.43,,ODE,Skud på stolpe,ST,44,Nikita Van Der VLIET,,,,12,Stine BROLØS
34,748217,13.13,,SJE,Skud reddet,HF,6,Lea HANSEN,,,,38,Yara TEN HOLTE
35,748217,13.25,,ODE,Skud reddet,Gbr,28,Clara Skyum THOMSEN,,,,12,Stine BROLØS
36,748217,13.58,4-7,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
37,748217,14.32,,ODE,Skud forbi,VB,22,Ragnhild DAHL,,,,12,Stine BROLØS
38,748217,14.59,5-7,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
39,748217,15.08,,ODE,Skud reddet,2:e,28,Clara Skyum THOMSEN,Retur,23,Elma HALILCEVIC,12,Stine BROLØS
40,748217,15.42,,ODE,Skud reddet,PL,8,Helene FAUSKE,,,,12,Stine BROLØS
41,748217,15.50,6-7,SJE,Mål,2:e,22,Olivia SIMONSEN,Assist,14,Louise ELLEBÆK,38,Yara TEN HOLTE
42,748217,15.52,,ODE,Time out,,,,,,,,
43,748217,16.17,6-8,ODE,Mål,VF,23,Elma HALILCEVIC,Assist,8,Helene FAUSKE,12,Stine BROLØS
44,748217,16.54,,SJE,Regelfejl,,10,Nicoline OLSEN,,,,,
45,748217,16.57,6-9,ODE,Mål,1:e,23,Elma HALILCEVIC,Assist,22,Ragnhild DAHL,12,Stine BROLØS
46,748217,17.56,,SJE,Skud reddet,HB,14,Louise ELLEBÆK,Retur,0,,38,Yara TEN HOLTE
47,748217,18.19,7-9,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
48,748217,19.03,7-10,ODE,Mål,VB,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
49,748217,19.33,,SJE,Skud forbi,VB,28,Sarah PAULSEN,,,,38,Yara TEN HOLTE
50,748217,19.44,,ODE,Skud på stolpe,2:e,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
51,748217,20.39,,ODE,Udvisning,,20,Lysa DEFO,,,,,
52,748217,20.54,,SJE,Skud reddet,ST,22,Olivia SIMONSEN,Retur,0,,38,Yara TEN HOLTE
53,748217,21.15,8-10,SJE,Mål,PL,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
54,748217,22.09,8-11,ODE,Mål,PL,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
55,748217,22.31,9-11,SJE,Mål,Gbr,7,Melissa PETRÉN,Assist,10,Nicoline OLSEN,38,Yara TEN HOLTE
56,748217,23.04,9-12,ODE,Mål,ST,44,Nikita Van Der VLIET,Assist,33,Thale Rushfeldt DEILA,12,Stine BROLØS
57,748217,23.34,10-12,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,38,Yara TEN HOLTE
58,748217,23.51,10-13,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
59,748217,25.03,,SJE,Skud reddet,VF,17,June BØTTGER,,,,38,Yara TEN HOLTE
60,748217,25.11,10-14,ODE,Mål,ST,44,Nikita Van Der VLIET,Assist,33,Thale Rushfeldt DEILA,12,Stine BROLØS
61,748217,26.05,11-14,SJE,Mål,PL,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
62,748217,26.37,,ODE,Skud forbi,PL,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
63,748217,27.20,,SJE,Tabt bold,,7,Melissa PETRÉN,Bold erobret,22,Ragnhild DAHL,,
64,748217,27.27,11-15,ODE,Mål,1:e,23,Elma HALILCEVIC,Assist,22,Ragnhild DAHL,12,Stine BROLØS
65,748217,28.10,,SJE,Skud reddet,PL,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
66,748217,28.42,,SJE,Advarsel,,31,Ida-Marie DAHL,,,,,
67,748217,29.03,,ODE,Regelfejl,,33,Thale Rushfeldt DEILA,,,,,
68,748217,29.55,12-15,SJE,Mål,VB,7,Melissa PETRÉN,,,,38,Yara TEN HOLTE
69,748217,30.00,,ODE,Skud på stolpe,2:e,33,Thale Rushfeldt DEILA,,,,12,Stine BROLØS
70,748217,30.00,12-15,,Halvleg,,,,,,,,
71,748217,30.00,,,Start 2:e halvleg,,,,,,,,
72,748217,30.30,,ODE,Skud reddet,VB,22,Ragnhild DAHL,,,,12,Stine BROLØS
73,748217,30.43,,SJE,Fejlaflevering,,10,Nicoline OLSEN,,,,,
74,748217,30.51,,ODE,Skud forbi,PL,68,Helena ELVER,,,,12,Stine BROLØS
