id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748219,0.00,,,Start 1:e halvleg,,,,,,,,
2,748219,0.30,0-1,SVK,Mål,PL,6,Thea RASMUSSEN,,,,86,Sabine ENGLERT
3,748219,1.27,,AHB,Skud reddet,HF,10,Frederikke WAAGE-JENSEN,,,,22,Stine BONDE
4,748219,2.22,,SVK,Skud forbi,PL,4,Maria HOLM,,,,86,Sabine ENGLERT
5,748219,2.37,1-1,AHB,Mål,2:e,10,Frederikke WAAGE-JENSEN,Assist,77,Alberte EBLER,22,Stine BONDE
6,748219,2.49,,SVK,Skud reddet,2:e,6,Thea RASMUSSEN,,,,86,Sabine ENGLERT
7,748219,3.15,,AHB,Fejlaflevering,,14,Anna Berger WIERZBA,Bold erobret,23,Thilde FRANDSEN,,
8,748219,3.26,1-2,SVK,Mål,2:e,7,Maja Munch LAURSEN,Assist,4,Maria HOLM,86,Sabine ENGLERT
9,748219,4.00,,AHB,Skud forbi,HB,77,Alberte EBLER,,,,22,Stine BONDE
10,748219,4.36,,SVK,Skud forbi,Gbr,27,Marigona HAJDARI,,,,86,Sabine ENGLERT
11,748219,5.14,,SVK,Advarsel,,13,Mathilde KRISTENSEN,,,,,
12,748219,5.29,2-2,AHB,Mål,Gbr,14,Anna Berger WIERZBA,,,,22,Stine BONDE
13,748219,6.15,,SVK,Skud blokeret,PL,27,Marigona HAJDARI,Blokeret af,14,Anna Berger WIERZBA,,
14,748219,6.25,3-2,AHB,Mål,1:e,18,Mathilde ØSTERGAARD,Assist,10,Frederikke WAAGE-JENSEN,22,Stine BONDE
15,748219,6.59,,SVK,Skud blokeret,PL,4,Maria HOLM,Blok af (ret),3,Sarah Vest KIRKELØKKE,,
16,748219,7.16,3-3,SVK,Mål,ST,15,Karen KLOKKER,Assist,27,Marigona HAJDARI,86,Sabine ENGLERT
17,748219,7.31,4-3,AHB,Mål,2:e,17,Line Berggren LARSEN,,,,22,Stine BONDE
18,748219,8.06,,SVK,Tilkendt straffe,,6,Thea RASMUSSEN,Forårs. str.,3,Sarah Vest KIRKELØKKE,,
19,748219,8.06,,AHB,Udvisning,,3,Sarah Vest KIRKELØKKE,,,,,
20,748219,8.09,4-4,SVK,Mål på straffe,,21,Maja EDLING,,,,86,Sabine ENGLERT
21,748219,8.53,,AHB,Regelfejl,,17,Line Berggren LARSEN,,,,,
22,748219,9.33,4-5,SVK,Mål,Gbr,4,Maria HOLM,,,,86,Sabine ENGLERT
23,748219,10.06,,AHB,Tilkendt straffe,,14,Anna Berger WIERZBA,Forårs. str.,13,Mathilde KRISTENSEN,,
24,748219,10.06,,SVK,Udvisning,,13,Mathilde KRISTENSEN,,,,,
25,748219,10.09,,AHB,Straffekast reddet,,15,Sofia DEEN,,,,22,Stine BONDE
26,748219,10.46,,SVK,Skud forbi,PL,6,Thea RASMUSSEN,,,,86,Sabine ENGLERT
27,748219,10.56,5-5,AHB,Mål,2:e,15,Sofia DEEN,,,,22,Stine BONDE
28,748219,11.58,5-6,SVK,Mål,HB,27,Marigona HAJDARI,,,,86,Sabine ENGLERT
29,748219,12.26,6-6,AHB,Mål,Gbr,77,Alberte EBLER,,,,22,Stine BONDE
30,748219,13.21,6-7,SVK,Mål,PL,27,Marigona HAJDARI,,,,86,Sabine ENGLERT
