id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748223,0.00,,,Start 1:e halvleg,,,,,,,,
2,748223,0.50,,SJE,Regelfejl,,28,Sarah PAULSEN,,,,,
3,748223,1.27,,NFH,Regelfejl,,26,Mona OBAIDLI,,,,,
4,748223,1.38,0-1,SJE,Mål,2:e,22,Olivia SIMONSEN,,,,1,Sofie BÖRJESSON
5,748223,2.39,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
6,748223,2.42,0-2,SJE,Mål,1:e,31,Ida-Marie DAHL,Assist,10,Nicoline OLSEN,1,Sofie BÖRJESSON
7,748223,3.27,1-2,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,12,Stine BROLØS
8,748223,3.37,,SJE,Skud reddet,2:e,7,Melissa PETRÉN,,,,1,Sofie BÖRJESSON
9,748223,3.53,,NFH,Skud reddet,HF,20,Maja MAGNUSSEN,,,,12,Stine BROLØS
10,748223,4.29,,SJE,Skud reddet,HB,10,Nicoline OLSEN,,,,1,Sofie BÖRJESSON
11,748223,4.40,,NFH,Regelfejl,,49,Aimée VON PEREIRA,,,,,
12,748223,5.12,,SJE,Skud forbi,VB,7,Melissa PETRÉN,,,,1,Sofie BÖRJESSON
13,748223,5.57,,SJE,Advarsel,,22,Olivia SIMONSEN,,,,,
14,748223,6.14,2-2,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,12,Stine BROLØS
15,748223,7.10,,SJE,Skud reddet,Gbr,7,Melissa PETRÉN,,,,1,Sofie BÖRJESSON
16,748223,7.22,,NFH,Skud på stolpe,2:e,26,Mona OBAIDLI,Retur,2,Caroline AAR,12,Stine BROLØS
17,748223,7.23,,SJE,Udvisning,,10,Nicoline OLSEN,,,,,
18,748223,7.51,,NFH,Skud reddet,HF,20,Maja MAGNUSSEN,,,,12,Stine BROLØS
19,748223,8.26,,SJE,Fejlaflevering,,28,Sarah PAULSEN,,,,,
20,748223,9.03,,NFH,Skud reddet,ST,2,Caroline AAR,,,,12,Stine BROLØS
21,748223,9.07,2-3,SJE,Mål,1:e,22,Olivia SIMONSEN,,,,0,
22,748223,9.48,3-3,NFH,Mål,Gbr,7,Amalie WULFF,,,,12,Stine BROLØS
23,748223,10.42,,SJE,Skud blokeret,HB,10,Nicoline OLSEN,Blokeret af,26,Mona OBAIDLI,,
24,748223,11.17,,NFH,Regelfejl,,21,Matilde VESTERGAARD,,,,,
25,748223,11.52,3-4,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,1,Sofie BÖRJESSON
26,748223,12.42,,NFH,Regelfejl,,18,Alberte KIELSTRUP,,,,,
27,748223,13.41,,SJE,Skud forbi,PL,14,Louise ELLEBÆK,,,,1,Sofie BÖRJESSON
28,748223,13.46,4-4,NFH,Mål,2:e,49,Aimée VON PEREIRA,,,,12,Stine BROLØS
29,748223,14.27,,SJE,Regelfejl,,28,Sarah PAULSEN,,,,,
30,748223,15.05,,NFH,Tilkendt straffe,,34,Sofie BARDRUM,Forårs. str.,22,Olivia SIMONSEN,,
31,748223,15.11,,NFH,Straffekast reddet,,49,Aimée VON PEREIRA,Retur,0,Nora PERSSON,,
32,748223,15.36,5-4,NFH,Mål,VB,26,Mona OBAIDLI,,,,26,Nora PERSSON
33,748223,15.50,5-5,SJE,Mål,PL,22,Olivia SIMONSEN,,,,1,Sofie BÖRJESSON
34,748223,16.25,6-5,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,12,Stine BROLØS
35,748223,17.04,,SJE,Regelfejl,,28,Sarah PAULSEN,,,,,
36,748223,17.17,,NFH,Fejlaflevering,,18,Alberte KIELSTRUP,Bold erobret,31,Ida-Marie DAHL,,
37,748223,17.32,,SJE,Time out,,,,,,,,
38,748223,18.25,,SJE,Tabt bold,,28,Sarah PAULSEN,,,,,
39,748223,19.05,,NFH,Fejlaflevering,,79,Kristina KRISTIANSEN,,,,,
40,748223,19.08,6-6,SJE,Mål,1:e,31,Ida-Marie DAHL,Assist,10,Nicoline OLSEN,1,Sofie BÖRJESSON
41,748223,19.44,,NFH,Skud reddet,HB,26,Mona OBAIDLI,,,,12,Stine BROLØS
42,748223,20.40,,SJE,Skud reddet,PL,14,Louise ELLEBÆK,Retur,0,Sofie BÖRJESSON,,
43,748223,21.05,,SJE,Skud blokeret,VB,28,Sarah PAULSEN,Blok af (ret),8,Stine EIBERG,,
44,748223,21.21,6-7,SJE,Mål,HB,10,Nicoline OLSEN,,,,1,Sofie BÖRJESSON
45,748223,21.58,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
46,748223,22.18,,SJE,Skud reddet,1:e,17,June BØTTGER,,,,1,Sofie BÖRJESSON
47,748223,22.29,,NFH,Regelfejl,,21,Matilde VESTERGAARD,,,,,
48,748223,22.32,,NFH,Udvisning,,21,Matilde VESTERGAARD,,,,,
49,748223,22.39,,SJE,Skud reddet,VF,15,Sara IBRANOVIC,,,,1,Sofie BÖRJESSON
50,748223,23.29,7-7,NFH,Mål,ST,34,Sofie BARDRUM,Assist,79,Kristina KRISTIANSEN,12,Stine BROLØS
51,748223,23.54,7-8,SJE,Mål,ST,22,Olivia SIMONSEN,Assist,7,Melissa PETRÉN,1,Sofie BÖRJESSON
52,748223,24.25,8-8,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,12,Stine BROLØS
53,748223,25.04,8-9,SJE,Mål,HF,17,June BØTTGER,Assist,10,Nicoline OLSEN,1,Sofie BÖRJESSON
54,748223,25.37,,NFH,Skud på stolpe,Gbr,79,Kristina KRISTIANSEN,,,,12,Stine BROLØS
55,748223,25.48,8-10,SJE,Mål,VF,15,Sara IBRANOVIC,Assist,14,Louise ELLEBÆK,1,Sofie BÖRJESSON
56,748223,26.30,9-10,NFH,Mål,ST,34,Sofie BARDRUM,Assist,79,Kristina KRISTIANSEN,12,Stine BROLØS
57,748223,27.07,,SJE,Regelfejl,,10,Nicoline OLSEN,,,,,
58,748223,28.09,,NFH,Skud reddet,VF,22,Zoë SPRENGERS,Retur,0,,12,Stine BROLØS
59,748223,28.17,,NFH,Time out,,,,,,,,
60,748223,28.33,,NFH,Skud reddet,VB,49,Aimée VON PEREIRA,,,,12,Stine BROLØS
61,748223,28.40,9-11,SJE,Mål,2:e,31,Ida-Marie DAHL,Assist,10,Nicoline OLSEN,1,Sofie BÖRJESSON
62,748223,29.13,,NFH,Skud blokeret,PL,79,Kristina KRISTIANSEN,Blok af (ret),22,Olivia SIMONSEN,,
63,748223,29.34,,NFH,Regelfejl,,79,Kristina KRISTIANSEN,,,,,
64,748223,29.41,,SJE,Tabt bold,,17,June BØTTGER,,,,,
65,748223,29.58,10-11,NFH,Mål,HB,26,Mona OBAIDLI,,,,12,Stine BROLØS
66,748223,30.00,10-11,,Halvleg,,,,,,,,
67,748223,30.00,,,Start 2:e halvleg,,,,,,,,
68,748223,30.40,,NFH,Skud reddet,Gbr,79,Kristina KRISTIANSEN,,,,12,Stine BROLØS
69,748223,31.12,,SJE,Fejlaflevering,,14,Louise ELLEBÆK,,,,,
70,748223,31.18,,NFH,Regelfejl,,18,Alberte KIELSTRUP,,,,,
71,748223,32.08,10-12,SJE,Mål,HB,10,Nicoline OLSEN,,,,1,Sofie BÖRJESSON
72,748223,32.43,,NFH,Skud reddet,VB,26,Mona OBAIDLI,,,,12,Stine BROLØS
73,748223,33.21,,SJE,Skud reddet,Gbr,7,Melissa PETRÉN,,,,1,Sofie BÖRJESSON
74,748223,33.29,11-12,NFH,Mål,2:e,26,Mona OBAIDLI,,,,12,Stine BROLØS
75,748223,33.36,11-13,SJE,Mål,1:e,14,Louise ELLEBÆK,,,,0,
76,748223,34.09,,NFH,Skud reddet,PL,18,Alberte KIELSTRUP,,,,12,Stine BROLØS
77,748223,34.57,,SJE,Skud blokeret,PL,7,Melissa PETRÉN,Blok af (ret),49,Aimée VON PEREIRA,,
78,748223,35.13,,SJE,Regelfejl,,28,Sarah PAULSEN,,,,,
79,748223,35.22,12-13,NFH,Mål,2:e,8,Stine EIBERG,Assist,26,Mona OBAIDLI,12,Stine BROLØS
80,748223,36.02,,SJE,Fejlaflevering,,7,Melissa PETRÉN,Bold erobret,22,Zoë SPRENGERS,,
81,748223,36.08,,NFH,Skud på stolpe,1:e,8,Stine EIBERG,,,,12,Stine BROLØS
82,748223,36.56,,SJE,Regelfejl,,28,Sarah PAULSEN,,,,,
83,748223,37.03,13-13,NFH,Mål,2:e,8,Stine EIBERG,,,,12,Stine BROLØS
84,748223,38.01,,SJE,Skud forbi,VB,14,Louise ELLEBÆK,,,,1,Sofie BÖRJESSON
85,748223,38.39,,NFH,Skud reddet,Gbr,26,Mona OBAIDLI,,,,12,Stine BROLØS
86,748223,38.46,,SJE,Skud reddet,1:e,15,Sara IBRANOVIC,,,,1,Sofie BÖRJESSON
87,748223,38.52,14-13,NFH,Mål,2:e,11,Rosa SCHMIDT,Assist,18,Alberte KIELSTRUP,12,Stine BROLØS
88,748223,39.24,,SJE,Tilkendt straffe,,10,Nicoline OLSEN,Forårs. str.,22,Zoë SPRENGERS,,
89,748223,39.31,,SJE,Straffekast reddet,,28,Sarah PAULSEN,,,,1,Sofie BÖRJESSON
90,748223,40.09,,NFH,Tilkendt straffe,,2,Caroline AAR,Forårs. str.,22,Olivia SIMONSEN,,
91,748223,40.13,,NFH,Straffekast reddet,,34,Sofie BARDRUM,Retur,34,Sofie BARDRUM,26,Nora PERSSON
92,748223,40.21,15-13,NFH,Mål,ST,34,Sofie BARDRUM,,,,26,Nora PERSSON
93,748223,40.45,,SJE,Skud reddet,PL,7,Melissa PETRÉN,,,,1,Sofie BÖRJESSON
94,748223,40.52,16-13,NFH,Mål,1:e,1,Sofie BÖRJESSON,,,,0,
95,748223,40.57,,SJE,Time out,,,,,,,,
96,748223,41.21,16-14,SJE,Mål,Gbr,10,Nicoline OLSEN,,,,1,Sofie BÖRJESSON
97,748223,42.09,17-14,NFH,Mål,HF,11,Rosa SCHMIDT,Assist,79,Kristina KRISTIANSEN,12,Stine BROLØS
98,748223,42.38,,SJE,Skud reddet,ST,22,Olivia SIMONSEN,,,,1,Sofie BÖRJESSON
99,748223,42.53,,NFH,Regelfejl,,2,Caroline AAR,,,,,
100,748223,43.02,,SJE,Skud forbi,2:e,22,Olivia SIMONSEN,,,,1,Sofie BÖRJESSON
101,748223,43.33,,NFH,Skud reddet,PL,18,Alberte KIELSTRUP,,,,12,Stine BROLØS
102,748223,43.43,,SJE,Fejlaflevering,,31,Ida-Marie DAHL,,,,,
103,748223,44.27,18-14,NFH,Mål,PL,26,Mona OBAIDLI,,,,12,Stine BROLØS
104,748223,44.40,,,,,,,,,,,
105,748223,44.44,,NFH,Skud reddet,1:e,11,Rosa SCHMIDT,Retur,,,0,Sofie BÖRJESSON
106,748223,45.15,,NFH,Tilkendt straffe,,2,Caroline AAR,Forårs. str.,22,Olivia SIMONSEN,,
107,748223,45.21,,NFH,Straffekast reddet,,34,Sofie BARDRUM,,,,26,Nora PERSSON
108,748223,46.01,,SJE,Regelfejl,,31,Ida-Marie DAHL,,,,,
109,748223,46.09,,NFH,Skud på stolpe,1:e,,,,,,1,Sofie BÖRJESSON
110,748223,46.32,18-15,SJE,Mål,VB,14,Louise ELLEBÆK,,,,1,Sofie BÖRJESSON
111,748223,46.40,,NFH,Skud blokeret,2:e,2,Caroline AAR,Blokeret af,14,Louise ELLEBÆK,,
112,748223,47.02,18-16,SJE,Mål,ST,31,Ida-Marie DAHL,Assist,7,Melissa PETRÉN,1,Sofie BÖRJESSON
113,748223,47.13,,NFH,Time out,,,,,,,,
114,748223,47.45,19-16,NFH,Mål,Gbr,18,Alberte KIELSTRUP,Assist,26,Mona OBAIDLI,26,Nora PERSSON
115,748223,48.14,19-17,SJE,Mål,HF,10,Nicoline OLSEN,Assist,14,Louise ELLEBÆK,1,Sofie BÖRJESSON
116,748223,49.18,,NFH,Skud reddet,PL,26,Mona OBAIDLI,,,,26,Nora PERSSON
117,748223,49.52,,SJE,Skud på stolpe,HF,17,June BØTTGER,,,,1,Sofie BÖRJESSON
118,748223,50.30,20-17,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,26,Nora PERSSON
119,748223,51.02,,SJE,Fejlaflevering,,28,Sarah PAULSEN,Bold erobret,8,Stine EIBERG,,
120,748223,51.06,21-17,NFH,Mål,1:e,8,Stine EIBERG,,,,0,Sofie BÖRJESSON
121,748223,51.32,,SJE,Skud på stolpe,ST,31,Ida-Marie DAHL,,,,1,Sofie BÖRJESSON
122,748223,52.12,22-17,NFH,Mål,VF,22,Zoë SPRENGERS,Assist,79,Kristina KRISTIANSEN,26,Nora PERSSON
123,748223,52.24,,SJE,Time out,,,,,,,,
124,748223,52.36,,SJE,Skud reddet,HF,10,Nicoline OLSEN,,,,1,Sofie BÖRJESSON
125,748223,53.11,,NFH,Skud reddet,Gbr,26,Mona OBAIDLI,,,,26,Nora PERSSON
126,748223,53.18,22-18,SJE,Mål,1:e,22,Olivia SIMONSEN,,,,0,Sofie BÖRJESSON
127,748223,53.56,,NFH,Skud på stolpe,Gbr,26,Mona OBAIDLI,,,,26,Nora PERSSON
128,748223,54.01,22-19,SJE,Mål,1:e,14,Louise ELLEBÆK,,,,0,Sofie BÖRJESSON
129,748223,54.37,,NFH,Fejlaflevering,,79,Kristina KRISTIANSEN,Bold erobret,14,Louise ELLEBÆK,,
130,748223,54.43,22-20,SJE,Mål,1:e,14,Louise ELLEBÆK,,,,0,Sofie BÖRJESSON
131,748223,55.10,23-20,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,26,Nora PERSSON
132,748223,55.53,23-21,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,1,Sofie BÖRJESSON
133,748223,56.33,,NFH,Fejlaflevering,,26,Mona OBAIDLI,Bold erobret,14,Louise ELLEBÆK,,
134,748223,56.40,,SJE,Skud forbi,1:e,14,Louise ELLEBÆK,,,,1,Sofie BÖRJESSON
135,748223,57.13,24-21,NFH,Mål,VF,22,Zoë SPRENGERS,,,,26,Nora PERSSON
136,748223,57.22,24-22,SJE,Mål,2:e,17,June BØTTGER,Assist,22,Olivia SIMONSEN,1,Sofie BÖRJESSON
137,748223,58.05,,NFH,Time out,,,,,,,,
138,748223,58.25,,NFH,Regelfejl,,34,Sofie BARDRUM,,,,,
139,748223,58.32,,SJE,Fejlaflevering,,22,Olivia SIMONSEN,,,,,
140,748223,59.00,25-22,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,26,Nora PERSSON
141,748223,59.51,,SJE,Skud forbi,PL,7,Melissa PETRÉN,,,,1,Sofie BÖRJESSON
142,748223,59.55,26-22,NFH,Mål,1:e,,,,,,1,Sofie BÖRJESSON
