id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748224,0.00,,,Start 1:e halvleg,,,,,,,,
2,748224,0.30,0-1,TES,Mål,Gbr,8,Live RUSHFELDT DEILA,,,,16,Andrea AUSTMO
3,748224,1.12,,HHE,Regelfejl,,19,Frida Haug HOEL,,,,,
4,748224,1.38,0-2,TES,Mål,Gbr,25,Henny REISTAD,,,,16,Andrea AUSTMO
5,748224,2.04,1-2,HHE,Mål,PL,14,Mai KRAGBALLE,,,,16,Amalie MILLING
6,748224,2.16,1-3,TES,Mål,2:e,27,Anne Tolstrup PETERSEN,Assist,8,Live RUSHFELDT DEILA,16,Andrea AUSTMO
7,748224,2.50,,HHE,Skud forbi,HF,22,Sille Cecilie SORTH,,,,16,Amalie MILLING
8,748224,3.00,,TES,Skud blokeret,2:e,25,Henny REISTAD,Blokeret af,21,Romee MAARSCHALKEWEERD,,
9,748224,3.08,,HHE,Regelfejl,,3,Alma SKRETTING,,,,,
10,748224,3.39,,TES,Fejlaflevering,,4,Michala MØLLER,,,,,
11,748224,3.48,2-3,HHE,Mål,2:e,19,Frida Haug HOEL,,,,16,Amalie MILLING
12,748224,4.25,,TES,Skud reddet,Gbr,8,Live RUSHFELDT DEILA,,,,16,Andrea AUSTMO
13,748224,4.58,,HHE,Tilkendt straffe,,19,Frida Haug HOEL,Forårs. str.,17,Elin HANSSON,,
14,748224,5.12,3-3,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,16,Amalie MILLING
15,748224,5.42,,TES,Fejlaflevering,,8,Live RUSHFELDT DEILA,Bold erobret,21,Romee MAARSCHALKEWEERD,,
16,748224,6.08,,HHE,Skud reddet,ST,21,Romee MAARSCHALKEWEERD,,,,16,Amalie MILLING
17,748224,6.48,,TES,Skud reddet,Gbr,8,Live RUSHFELDT DEILA,Retur,16,Andrea AUSTMO,,
18,748224,7.06,,TES,Regelfejl,,8,Live RUSHFELDT DEILA,,,,,
19,748224,7.54,,HHE,Skud blokeret,PL,14,Mai KRAGBALLE,Blokeret af,11,Rikke IVERSEN,,
20,748224,7.59,3-4,TES,Mål,1:e,17,Elin HANSSON,Assist,25,Henny REISTAD,16,Andrea AUSTMO
21,748224,8.30,,HHE,Skud blokeret,PL,27,Annette WIRÉN LARSEN,Blokeret af,11,Rikke IVERSEN,,
22,748224,8.36,,TES,Skud på stolpe,1:e,27,Anne Tolstrup PETERSEN,,,,16,Andrea AUSTMO
23,748224,9.32,,HHE,Fejlaflevering,,27,Annette WIRÉN LARSEN,Bold erobret,10,Kathrine HEINDAHL,,
24,748224,10.24,,TES,Skud reddet,Gbr,27,Anne Tolstrup PETERSEN,,,,16,Andrea AUSTMO
25,748224,10.36,,HHE,Regelfejl,,33,Laura Holm ANDERSEN,,,,,
26,748224,11.04,3-5,TES,Mål,PL,8,Live RUSHFELDT DEILA,,,,16,Andrea AUSTMO
27,748224,11.19,4-5,HHE,Mål,VB,14,Mai KRAGBALLE,,,,16,Amalie MILLING
28,748224,11.40,4-6,TES,Mål,Gbr,25,Henny REISTAD,,,,16,Andrea AUSTMO
29,748224,12.17,5-6,HHE,Mål,Gbr,19,Frida Haug HOEL,,,,16,Amalie MILLING
30,748224,12.34,,TES,Skud reddet,VF,17,Elin HANSSON,,,,16,Andrea AUSTMO
31,748224,13.06,,HHE,Skud reddet,Gbr,27,Annette WIRÉN LARSEN,Retur,0,,16,Amalie MILLING
32,748224,13.43,6-6,HHE,Mål,ST,21,Romee MAARSCHALKEWEERD,Assist,14,Mai KRAGBALLE,16,Amalie MILLING
33,748224,14.04,,TES,Time out,,,,,,,,
34,748224,14.20,,TES,Tilkendt straffe,,8,Live RUSHFELDT DEILA,Forårs. str.,3,Alma SKRETTING,,
35,748224,14.38,6-7,TES,Mål på straffe,,25,Henny REISTAD,,,,16,Andrea AUSTMO
36,748224,15.14,,HHE,Skud reddet,VF,33,Laura Holm ANDERSEN,Retur,39,Melanie BAK,16,Amalie MILLING
37,748224,15.38,7-7,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,19,Frida Haug HOEL,16,Amalie MILLING
38,748224,15.48,7-8,TES,Mål,2:e,27,Anne Tolstrup PETERSEN,Assist,8,Live RUSHFELDT DEILA,16,Andrea AUSTMO
39,748224,16.15,,HHE,Skud reddet,ST,21,Romee MAARSCHALKEWEERD,,,,16,Amalie MILLING
40,748224,16.20,7-9,TES,Mål,1:e,25,Henny REISTAD,,,,0,
41,748224,16.50,,HHE,Skud reddet,Gbr,39,Melanie BAK,,,,16,Amalie MILLING
42,748224,17.15,7-10,TES,Mål,Gbr,25,Henny REISTAD,,,,16,Andrea AUSTMO
43,748224,17.25,,HHE,Time out,,,,,,,,
44,748224,17.54,8-10,HHE,Mål,VB,39,Melanie BAK,,,,16,Amalie MILLING
45,748224,18.21,8-11,TES,Mål,ST,3,Kaja Kamp NIELSEN,Assist,8,Live RUSHFELDT DEILA,16,Andrea AUSTMO
46,748224,18.57,9-11,HHE,Mål,ST,21,Romee MAARSCHALKEWEERD,Assist,19,Frida Haug HOEL,16,Amalie MILLING
47,748224,19.12,,TES,Skud reddet,2:e,24,Sanna SOLBERG,,,,16,Andrea AUSTMO
48,748224,20.02,,HHE,Skud reddet,ST,21,Romee MAARSCHALKEWEERD,,,,16,Amalie MILLING
49,748224,20.26,,HHE,Advarsel,,21,Romee MAARSCHALKEWEERD,,,,,
50,748224,20.42,,TES,Tilkendt straffe,,8,Live RUSHFELDT DEILA,Forårs. str.,21,Romee MAARSCHALKEWEERD,,
51,748224,20.42,,HHE,Udvisning,,21,Romee MAARSCHALKEWEERD,,,,,
52,748224,20.44,9-12,TES,Mål på straffe,,25,Henny REISTAD,,,,16,Andrea AUSTMO
53,748224,21.21,10-12,HHE,Mål,ST,9,Annika MEYER,Assist,14,Mai KRAGBALLE,16,Amalie MILLING
54,748224,21.49,,TES,Skud reddet,HF,27,Anne Tolstrup PETERSEN,,,,16,Andrea AUSTMO
55,748224,22.34,11-12,HHE,Mål,ST,9,Annika MEYER,Assist,14,Mai KRAGBALLE,16,Amalie MILLING
56,748224,23.01,11-13,TES,Mål,PL,4,Michala MØLLER,,,,16,Andrea AUSTMO
57,748224,23.39,12-13,HHE,Mål,ST,9,Annika MEYER,Assist,39,Melanie BAK,16,Amalie MILLING
58,748224,24.13,12-14,TES,Mål,HF,27,Anne Tolstrup PETERSEN,Assist,4,Michala MØLLER,16,Andrea AUSTMO
59,748224,24.48,,HHE,Skud blokeret,PL,19,Frida Haug HOEL,Blokeret af,10,Kathrine HEINDAHL,,
60,748224,24.55,12-15,TES,Mål,1:e,25,Henny REISTAD,,,,16,Andrea AUSTMO
61,748224,24.58,,HHE,Udvisning,,19,Frida Haug HOEL,,,,,
62,748224,25.25,13-15,HHE,Mål,ST,9,Annika MEYER,Assist,39,Melanie BAK,16,Amalie MILLING
63,748224,25.59,13-16,TES,Mål,HF,27,Anne Tolstrup PETERSEN,Assist,4,Michala MØLLER,16,Andrea AUSTMO
64,748224,26.45,14-16,HHE,Mål,PL,14,Mai KRAGBALLE,,,,16,Amalie MILLING
65,748224,27.13,14-17,TES,Mål,Gbr,25,Henny REISTAD,,,,16,Andrea AUSTMO
66,748224,27.48,15-17,HHE,Mål,PL,39,Melanie BAK,Assist,9,Annika MEYER,16,Amalie MILLING
67,748224,28.25,15-18,TES,Mål,Gbr,25,Henny REISTAD,,,,16,Andrea AUSTMO
68,748224,28.55,16-18,HHE,Mål,PL,14,Mai KRAGBALLE,,,,16,Amalie MILLING
69,748224,29.33,,TES,Skud reddet,Gbr,8,Live RUSHFELDT DEILA,,,,16,Andrea AUSTMO
70,748224,30.00,17-18,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,7,Maria Palsdottir NÓLSOY,16,Amalie MILLING
71,748224,30.00,17-18,,Halvleg,,,,,,,,
72,748224,30.00,,,Start 2:e halvleg,,,,,,,,
73,748224,30.59,,HHE,Skud reddet,HB,19,Frida Haug HOEL,,,,12,Anna KRISTENSEN
74,748224,31.20,,TES,Skud reddet,PL,4,Michala MØLLER,,,,1,Mathilde BISGAARD
75,748224,31.51,,HHE,Skud reddet,ST,9,Annika MEYER,,,,12,Anna KRISTENSEN
76,748224,32.31,17-19,TES,Mål,PL,4,Michala MØLLER,,,,1,Mathilde BISGAARD
77,748224,33.04,18-19,HHE,Mål,VB,14,Mai KRAGBALLE,,,,12,Anna KRISTENSEN
78,748224,33.45,,TES,Skud reddet,PL,8,Live RUSHFELDT DEILA,,,,1,Mathilde BISGAARD
79,748224,33.57,,HHE,Skud reddet,2:e,14,Mai KRAGBALLE,,,,12,Anna KRISTENSEN
80,748224,34.01,18-20,TES,Mål,1:e,3,Kaja Kamp NIELSEN,Assist,8,Live RUSHFELDT DEILA,1,Mathilde BISGAARD
81,748224,35.01,,HHE,Skud reddet,HB,19,Frida Haug HOEL,,,,12,Anna KRISTENSEN
82,748224,35.30,,TES,Skud reddet,HF,27,Anne Tolstrup PETERSEN,,,,1,Mathilde BISGAARD
83,748224,36.07,19-20,HHE,Mål,PL,39,Melanie BAK,,,,12,Anna KRISTENSEN
84,748224,36.36,,TES,Tilkendt straffe,,8,Live RUSHFELDT DEILA,Forårs. str.,21,Romee MAARSCHALKEWEERD,,
85,748224,36.36,,HHE,Udvisning,,21,Romee MAARSCHALKEWEERD,,,,,
86,748224,36.36,19-21,TES,Mål på straffe,,25,Henny REISTAD,,,,1,Mathilde BISGAARD
