id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748227,0.00,,,Start,1:e halvleg,,,,,,,
2,748227,0.33,,ODE,Fejlaflevering,,8,Helene FAUSKE,,,,,
3,748227,1.28,,BFH,Passivt spil,,0,,,,,,
4,748227,1.52,0-1,ODE,Mål,HF,6,Malin AUNE,Assist,8,Helene FAUSKE,20,Clara BAK
5,748227,2.13,,BFH,Fejlaflevering,,11,Arlinda HAJDARI,,,,,
6,748227,2.30,0-2,ODE,Mål,HF,10,Anna GRUNDTVIG,,,,20,Clara BAK
7,748227,2.55,,BFH,Regelfejl,,11,Arlinda HAJDARI,,,,,
8,748227,3.23,0-3,ODE,Mål,PL,22,Ragnhild DAHL,,,,20,Clara BAK
9,748227,3.33,,BFH,Fejlaflevering,,11,Arlinda HAJDARI,,,,,
10,748227,3.55,,ODE,Skud reddet,PL,8,Helene FAUSKE,Retur,8,Helene FAUSKE,20,Clara BAK
11,748227,4.01,0-4,ODE,Mål,Gbr,8,Helene FAUSKE,,,,20,Clara BAK
12,748227,4.17,,BFH,Skud reddet,Gbr,72,Line FRANDSEN,,,,38,Yara TEN HOLTE
13,748227,4.27,0-5,ODE,Mål,PL,28,Clara Skyum THOMSEN,,,,20,Clara BAK
14,748227,5.40,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,6,Malin AUNE,,
15,748227,5.52,,ODE,Skud forbi,HB,8,Helene FAUSKE,,,,20,Clara BAK
16,748227,6.44,1-5,BFH,Mål,ST,18,Sidsel POULSEN,Assist,7,Line GYLDENLØVE,38,Yara TEN HOLTE
17,748227,6.54,1-6,ODE,Mål,HF,6,Malin AUNE,Assist,8,Helene FAUSKE,20,Clara BAK
18,748227,7.39,2-6,BFH,Mål,VF,9,Mathilde PIIL,Assist,72,Line FRANDSEN,38,Yara TEN HOLTE
19,748227,8.08,,ODE,Skud reddet,HB,28,Clara Skyum THOMSEN,,,,20,Clara BAK
20,748227,8.15,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,0,,,
21,748227,8.25,,ODE,Fejlaflevering,,28,Clara Skyum THOMSEN,Bold erobret,18,Sidsel POULSEN,,
22,748227,8.30,3-6,BFH,Mål,1:e,18,Sidsel POULSEN,,,,38,Yara TEN HOLTE
23,748227,9.01,,ODE,Regelfejl,,28,Clara Skyum THOMSEN,,,,,
24,748227,9.38,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,Bold erobret,22,Ragnhild DAHL,,
25,748227,9.53,3-7,ODE,Mål,PL,22,Ragnhild DAHL,,,,20,Clara BAK
26,748227,10.27,4-7,BFH,Mål,VF,9,Mathilde PIIL,Assist,7,Line GYLDENLØVE,38,Yara TEN HOLTE
27,748227,10.41,4-8,ODE,Mål,VF,10,Anna GRUNDTVIG,Assist,22,Ragnhild DAHL,20,Clara BAK
28,748227,11.20,5-8,BFH,Mål,ST,19,Rikke Dahl NIELSEN,Assist,72,Line FRANDSEN,38,Yara TEN HOLTE
29,748227,11.30,5-9,ODE,Mål,2:e,3,Maren AARDAHL,,,,20,Clara BAK
30,748227,11.58,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,,,,,
31,748227,12.10,5-10,ODE,Mål,HB,8,Helene FAUSKE,,,,20,Clara BAK
32,748227,12.46,,BFH,Regelfejl,,72,Line FRANDSEN,,,,,
33,748227,13.29,5-11,ODE,Mål,PL,28,Clara Skyum THOMSEN,,,,20,Clara BAK
34,748227,14.21,,BFH,Regelfejl,,31,Marianne HAUGSTED,,,,,
35,748227,14.32,,ODE,Time out,,,,,,,,
36,748227,14.43,,ODE,Skud forbi,VB,22,Ragnhild DAHL,,,,24,Josephine NORDSTRØM
37,748227,15.20,,BFH,Skud forbi,PL,7,Line GYLDENLØVE,,,,38,Yara TEN HOLTE
38,748227,15.31,5-12,ODE,Mål,HB,28,Clara Skyum THOMSEN,,,,24,Josephine NORDSTRØM
39,748227,16.13,,BFH,Skud reddet,VB,31,Marianne HAUGSTED,,,,38,Yara TEN HOLTE
40,748227,16.42,5-13,ODE,Mål,PL,28,Clara Skyum THOMSEN,,,,24,Josephine NORDSTRØM
41,748227,17.11,,BFH,Tilkendt straffe,,19,Rikke Dahl NIELSEN,Forårs. str.,22,Ragnhild DAHL,,
