id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748228,0.00,,,Start 1:e halvleg,,,,,,,,
2,748228,0.55,0-1,RIN,Mål,PL,2,Cecilie BJERRE,,,,16,Louise Bak JENSEN
3,748228,1.04,1-1,VHK,Mål,2:e,5,Marielle MARTINSEN,,,,16,Stephanie ANDERSEN
4,748228,1.40,,RIN,Skud reddet,ST,23,Nanna HINNERFELDT,,,,16,Louise Bak JENSEN
5,748228,2.22,2-1,VHK,Mål,VB,26,Christina PEDERSEN,,,,16,Stephanie ANDERSEN
6,748228,3.02,2-2,RIN,Mål,HF,22,Sofie ØSTERGAARD,Assist,20,Stine Opstrup KRISTENSEN,16,Louise Bak JENSEN
7,748228,3.40,3-2,VHK,Mål,Gbr,8,Elma ÖRTEMARK,,,,16,Stephanie ANDERSEN
8,748228,3.58,,VHK,Advarsel,,19,Sara HALD,,,,,
9,748228,5.26,,RIN,Skud blokeret,PL,15,Jane MEJLVANG,Blok af (ret),19,Sara HALD,,
10,748228,5.39,,RIN,Fejlaflevering,,19,Rikke JOCHUMSEN,,,,,
11,748228,5.50,4-2,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,16,Stephanie ANDERSEN
12,748228,6.20,,RIN,Skud reddet,VB,15,Jane MEJLVANG,,,,16,Louise Bak JENSEN
13,748228,6.24,5-2,VHK,Mål,1:e,19,Sara HALD,Assist,26,Christina PEDERSEN,16,Stephanie ANDERSEN
14,748228,7.06,,VHK,Udvisning,,18,Henriette HANSEN,,,,,
15,748228,7.23,,RIN,Skud på stolpe,VF,19,Rikke JOCHUMSEN,,,,16,Louise Bak JENSEN
16,748228,8.07,,VHK,Skud på stolpe,PL,26,Christina PEDERSEN,Retur,0,,16,Stephanie ANDERSEN
17,748228,8.34,,VHK,Skud reddet,PL,5,Marielle MARTINSEN,,,,16,Stephanie ANDERSEN
18,748228,8.55,5-3,RIN,Mål,Gbr,20,Stine Opstrup KRISTENSEN,,,,16,Louise Bak JENSEN
19,748228,9.32,6-3,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,16,Stephanie ANDERSEN
20,748228,10.26,6-4,RIN,Mål,VB,2,Cecilie BJERRE,,,,16,Louise Bak JENSEN
21,748228,10.34,7-4,VHK,Mål,2:e,18,Henriette HANSEN,Assist,5,Marielle MARTINSEN,16,Stephanie ANDERSEN
22,748228,11.19,7-5,RIN,Mål,PL,2,Cecilie BJERRE,,,,16,Louise Bak JENSEN
23,748228,11.31,,VHK,Fejlaflevering,,26,Christina PEDERSEN,Bold erobret,19,Rikke JOCHUMSEN,,
24,748228,11.36,7-6,RIN,Mål,1:e,19,Rikke JOCHUMSEN,,,,16,Louise Bak JENSEN
25,748228,12.12,,VHK,Skud reddet,PL,8,Elma ÖRTEMARK,,,,16,Stephanie ANDERSEN
26,748228,12.44,,RIN,Tabt bold,,2,Cecilie BJERRE,,,,,
27,748228,12.50,8-6,VHK,Mål,1:e,5,Marielle MARTINSEN,Assist,18,Henriette HANSEN,16,Stephanie ANDERSEN
28,748228,13.12,,RIN,Skud på stolpe,PL,15,Jane MEJLVANG,,,,16,Louise Bak JENSEN
29,748228,14.32,,VHK,Skud reddet,Gbr,26,Christina PEDERSEN,,,,16,Stephanie ANDERSEN
30,748228,14.42,8-7,RIN,Mål,1:e,22,Sofie ØSTERGAARD,Assist,5,Caroline SVARRE,16,Louise Bak JENSEN
31,748228,15.22,9-7,VHK,Mål,PL,26,Christina PEDERSEN,,,,16,Stephanie ANDERSEN
32,748228,15.33,,RIN,Skud forbi,2:e,2,Cecilie BJERRE,,,,16,Louise Bak JENSEN
33,748228,16.15,,VHK,Skud reddet,Gbr,77,Jana MITTÚN,,,,16,Stephanie ANDERSEN
34,748228,16.24,,RIN,Time out,,,,,,,,
35,748228,17.11,9-8,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,2,Cecilie BJERRE,16,Louise Bak JENSEN
36,748228,17.18,10-8,VHK,Mål,2:e,5,Marielle MARTINSEN,,,,16,Stephanie ANDERSEN
37,748228,17.53,10-9,RIN,Mål,VB,2,Cecilie BJERRE,,,,16,Louise Bak JENSEN
38,748228,18.06,,VHK,Tilkendt straffe,,5,Marielle MARTINSEN,Forårs. str.,3,Maria Berger WIERZBA,,
39,748228,18.14,,VHK,Straffekast reddet,,19,Sara HALD,,,,88,Rakul WARDUM
40,748228,18.45,10-10,RIN,Mål,VB,2,Cecilie BJERRE,,,,16,Louise Bak JENSEN
41,748228,19.13,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,23,Nanna HINNERFELDT,,
42,748228,19.31,11-10,VHK,Mål på straffe,,26,Christina PEDERSEN,,,,88,Rakul WARDUM
43,748228,20.03,,RIN,Tabt bold,,15,Jane MEJLVANG,,,,,
44,748228,20.15,,VHK,Skud reddet,1:e,26,Christina PEDERSEN,Retur,0,,16,Stephanie ANDERSEN
45,748228,20.23,,VHK,Skud på stolpe,ST,9,Laura THESTRUP,,,,16,Stephanie ANDERSEN
46,748228,21.41,,RIN,Skud forbi,PL,15,Jane MEJLVANG,,,,16,Louise Bak JENSEN
47,748228,21.54,,VHK,Skud reddet,2:e,77,Jana MITTÚN,,,,16,Stephanie ANDERSEN
