id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748229,0.00,,,Start 1:e halvleg,,,,,,,,
2,748229,0.30,,KBH,Skud på stolpe,Gbr,21,Helene KINDBERG,,,,22,Stine BONDE
3,748229,1.16,,SVK,Skud forbi,VB,6,Thea RASMUSSEN,,,,20,Anne Christine BOSSEN
4,748229,1.53,,KBH,Tilkendt straffe,,4,Catharina MOLENAAR,Forårs. str.,15,Karen KLOKKER,,
5,748229,2.09,0-1,KBH,Mål på straffe,,17,Tabea SCHMID,,,,22,Stine BONDE
6,748229,2.34,1-1,SVK,Mål,PL,31,Andrea West BENDTSEN,,,,20,Anne Christine BOSSEN
7,748229,2.50,,KBH,Tilkendt straffe,,4,Catharina MOLENAAR,Forårs. str.,4,Maria HOLM,,
8,748229,3.02,1-2,KBH,Mål på straffe,,17,Tabea SCHMID,,,,22,Stine BONDE
9,748229,3.25,,SVK,Fejlaflevering,,4,Maria HOLM,Bold erobret,21,Helene KINDBERG,,
10,748229,3.29,1-3,KBH,Mål,1:e,21,Helene KINDBERG,Assist,17,Tabea SCHMID,22,Stine BONDE
11,748229,3.41,2-3,SVK,Mål,2:e,31,Andrea West BENDTSEN,,,,20,Anne Christine BOSSEN
12,748229,4.10,2-4,KBH,Mål,VF,7,Emilie Ytting PEDERSEN,Assist,17,Tabea SCHMID,22,Stine BONDE
13,748229,4.21,,SVK,Skud reddet,2:e,6,Thea RASMUSSEN,Retur,0,,20,Anne Christine BOSSEN
14,748229,5.00,,KBH,Advarsel,,10,Pernille BRANDENBORG,,,,,
15,748229,5.31,,SVK,Skud forbi,PL,4,Maria HOLM,,,,20,Anne Christine BOSSEN
16,748229,6.04,2-5,KBH,Mål,Gbr,21,Helene KINDBERG,,,,22,Stine BONDE
17,748229,6.17,,SVK,Regelfejl,,23,Thilde FRANDSEN,,,,,
18,748229,6.31,,KBH,Tilkendt straffe,,11,Martha NICKELSEN,Forårs. str.,6,Thea RASMUSSEN,,
19,748229,6.45,,KBH,Straffekast på stolpe,,17,Tabea SCHMID,,,,22,Stine BONDE
20,748229,7.30,3-5,SVK,Mål,ST,15,Karen KLOKKER,Assist,31,Andrea West BENDTSEN,20,Anne Christine BOSSEN
21,748229,8.00,,SVK,Advarsel,,15,Karen KLOKKER,,,,,
22,748229,8.21,3-6,KBH,Mål,ST,17,Tabea SCHMID,Assist,21,Helene KINDBERG,22,Stine BONDE
23,748229,8.52,4-6,SVK,Mål,ST,15,Karen KLOKKER,Assist,31,Andrea West BENDTSEN,20,Anne Christine BOSSEN
24,748229,9.04,,KBH,Skud reddet,2:e,17,Tabea SCHMID,,,,22,Stine BONDE
25,748229,9.43,,SVK,Skud reddet,VB,31,Andrea West BENDTSEN,,,,20,Anne Christine BOSSEN
26,748229,10.20,4-7,KBH,Mål,VF,7,Emilie Ytting PEDERSEN,Assist,4,Catharina MOLENAAR,22,Stine BONDE
27,748229,10.26,,SVK,Time out,,,,,,,,
28,748229,11.22,5-7,SVK,Mål,Gbr,27,Marigona HAJDARI,,,,20,Anne Christine BOSSEN
29,748229,11.53,5-8,KBH,Mål,HB,21,Helene KINDBERG,,,,22,Stine BONDE
30,748229,12.05,,SVK,Tabt bold,,15,Karen KLOKKER,,,,,
31,748229,12.13,,KBH,Fejlaflevering,,21,Helene KINDBERG,,,,,
32,748229,12.18,6-8,SVK,Mål,1:e,6,Thea RASMUSSEN,Assist,13,Mathilde KRISTENSEN,20,Anne Christine BOSSEN
33,748229,12.43,,KBH,Fejlaflevering,,21,Helene KINDBERG,Bold erobret,7,Maja Munch LAURSEN,,
