id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748230,0.00,,,Start 1:e halvleg,,,,,,,,
2,748230,0.34,1-0,TES,Mål,Gbr,8,Live RUSHFELDT DEILA,Assist,4,Michala MØLLER,23,Stine ALMIND
3,748230,1.06,,SKB,Skud reddet,ST,26,Christina HANSEN,,,,12,Anna KRISTENSEN
4,748230,1.15,,TES,Skud forbi,2:e,25,Henny REISTAD,,,,23,Stine ALMIND
5,748230,1.57,,SKB,Tilkendt straffe,,44,Nicoline LAURITSEN,Forårs. str.,17,Elin HANSSON,,
6,748230,2.20,1-1,SKB,Mål på straffe,,11,Mia LAGUMDZIJA,,,,12,Anna KRISTENSEN
7,748230,3.23,,TES,Tilkendt straffe,,25,Henny REISTAD,Forårs. str.,22,Anne-Sofie FILTENBORG,,
8,748230,3.44,2-1,TES,Mål på straffe,,8,Live RUSHFELDT DEILA,,,,23,Stine ALMIND
9,748230,4.30,,SKB,Skud blokeret,VB,7,Annika Solberg DALSAGER,Blok af (ret),10,Kathrine HEINDAHL,,
10,748230,4.53,,SKB,Skud reddet,PL,11,Mia LAGUMDZIJA,,,,12,Anna KRISTENSEN
11,748230,5.02,,TES,Skud reddet,2:e,17,Elin HANSSON,,,,23,Stine ALMIND
12,748230,5.35,,TES,Advarsel,,25,Henny REISTAD,,,,,
13,748230,5.54,,SKB,Fejlaflevering,,44,Nicoline LAURITSEN,,,,,
14,748230,5.57,,TES,Regelfejl,,25,Henny REISTAD,,,,,
15,748230,6.25,2-2,SKB,Mål,Gbr,11,Mia LAGUMDZIJA,Assist,7,Annika Solberg DALSAGER,12,Anna KRISTENSEN
16,748230,6.57,,TES,Tilkendt straffe,,8,Live RUSHFELDT DEILA,Forårs. str.,26,Christina HANSEN,,
17,748230,7.08,3-2,TES,Mål på straffe,,25,Henny REISTAD,,,,23,Stine ALMIND
18,748230,7.47,,SKB,Skud reddet,Gbr,44,Nicoline LAURITSEN,,,,12,Anna KRISTENSEN
19,748230,8.01,,TES,Skud reddet,2:e,27,Anne Tolstrup PETERSEN,,,,23,Stine ALMIND
20,748230,8.32,3-3,SKB,Mål,ST,26,Christina HANSEN,Assist,7,Annika Solberg DALSAGER,12,Anna KRISTENSEN
21,748230,8.48,4-3,TES,Mål,2:e,27,Anne Tolstrup PETERSEN,Assist,8,Live RUSHFELDT DEILA,23,Stine ALMIND
22,748230,9.02,4-4,SKB,Mål,ST,26,Christina HANSEN,Assist,44,Nicoline LAURITSEN,12,Anna KRISTENSEN
23,748230,9.32,5-4,TES,Mål,HF,27,Anne Tolstrup PETERSEN,Assist,25,Henny REISTAD,23,Stine ALMIND
24,748230,10.02,5-5,SKB,Mål,PL,44,Nicoline LAURITSEN,,,,12,Anna KRISTENSEN
25,748230,10.41,,SKB,Advarsel,,26,Christina HANSEN,,,,,
26,748230,10.54,6-5,TES,Mål,ST,10,Kathrine HEINDAHL,Assist,4,Michala MØLLER,23,Stine ALMIND
27,748230,12.00,6-6,SKB,Mål,Gbr,7,Annika Solberg DALSAGER,,,,12,Anna KRISTENSEN
28,748230,12.36,,TES,Skud på stolpe,HF,27,Anne Tolstrup PETERSEN,,,,23,Stine ALMIND
29,748230,12.48,6-7,SKB,Mål,2:e,44,Nicoline LAURITSEN,,,,12,Anna KRISTENSEN
30,748230,12.56,,TES,Time out,,,,,,,,
31,748230,13.14,7-7,TES,Mål,Gbr,17,Elin HANSSON,Assist,25,Henny REISTAD,23,Stine ALMIND
32,748230,13.51,,SKB,Tilkendt straffe,,26,Christina HANSEN,Forårs. str.,25,Henny REISTAD,,
33,748230,14.15,7-8,SKB,Mål på straffe,,11,Mia LAGUMDZIJA,,,,12,Anna KRISTENSEN
34,748230,14.55,8-8,TES,Mål,Gbr,8,Live RUSHFELDT DEILA,,,,23,Stine ALMIND
35,748230,15.13,,SKB,Skud reddet,2:e,44,Nicoline LAURITSEN,,,,12,Anna KRISTENSEN
36,748230,15.44,,TES,Skud reddet,HF,27,Anne Tolstrup PETERSEN,,,,23,Stine ALMIND
37,748230,16.37,8-9,SKB,Mål,ST,26,Christina HANSEN,Assist,11,Mia LAGUMDZIJA,12,Anna KRISTENSEN
38,748230,16.46,9-9,TES,Mål,2:e,8,Live RUSHFELDT DEILA,,,,23,Stine ALMIND
39,748230,17.12,9-10,SKB,Mål,VF,6,Josefine Kaae LARSEN,Assist,11,Mia LAGUMDZIJA,12,Anna KRISTENSEN
40,748230,17.45,,TES,Skud reddet,VF,24,Sanna SOLBERG,,,,23,Stine ALMIND
41,748230,18.48,,SKB,Skud blokeret,VB,7,Annika Solberg DALSAGER,Blokeret af,8,Live RUSHFELDT DEILA,,
42,748230,18.52,10-10,TES,Mål,1:e,25,Henny REISTAD,,,,23,Stine ALMIND
43,748230,19.22,,SKB,Skud reddet,Gbr,7,Annika Solberg DALSAGER,,,,12,Anna KRISTENSEN
44,748230,19.58,11-10,TES,Mål,VF,4,Michala MØLLER,Assist,25,Henny REISTAD,23,Stine ALMIND
