id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748233,0.00,,,Start 1:e halvleg,,,,,,,,
2,748233,0.50,,AHB,Fejlaflevering,,77,Alberte EBLER,,,,,
3,748233,1.45,,KBH,Skud reddet,HB,21,Helene KINDBERG,,,,86,Sabine ENGLERT
4,748233,2.01,,AHB,Skud reddet,2:e,17,Line Berggren LARSEN,Retur,0,Bianca SCHANSSEMA,,
5,748233,2.22,0-1,AHB,Mål,HF,25,Ida GÖTZSCHE,Assist,77,Alberte EBLER,2,Bianca SCHANSSEMA
6,748233,2.53,1-1,KBH,Mål,VF,7,Emilie Ytting PEDERSEN,Assist,4,Catharina MOLENAAR,86,Sabine ENGLERT
7,748233,3.33,,AHB,Skud reddet,Gbr,17,Line Berggren LARSEN,,,,2,Bianca SCHANSSEMA
8,748233,4.12,2-1,KBH,Mål,Gbr,4,Catharina MOLENAAR,Assist,21,Helene KINDBERG,86,Sabine ENGLERT
9,748233,4.21,2-2,AHB,Mål,2:e,14,Anna Berger WIERZBA,,,,2,Bianca SCHANSSEMA
10,748233,4.52,,AHB,Advarsel,,4,Katrine JACOBSEN,,,,,
11,748233,5.01,,KBH,Skud forbi,Gbr,21,Helene KINDBERG,,,,86,Sabine ENGLERT
12,748233,5.09,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
13,748233,5.41,,AHB,Advarsel,,3,Sarah Vest KIRKELØKKE,,,,,
14,748233,5.50,3-2,KBH,Mål,Gbr,4,Catharina MOLENAAR,Assist,11,Martha NICKELSEN,86,Sabine ENGLERT
15,748233,6.18,3-3,AHB,Mål,HB,77,Alberte EBLER,,,,2,Bianca SCHANSSEMA
16,748233,6.55,,KBH,Regelfejl,,17,Tabea SCHMID,,,,,
17,748233,7.01,,AHB,Regelfejl,,14,Anna Berger WIERZBA,,,,,
18,748233,7.41,,KBH,Tilkendt straffe,,11,Martha NICKELSEN,Forårs. str.,4,Katrine JACOBSEN,,
