id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748234,0.00,,,Start 1:e halvleg,,,,,,,,
2,748234,0.58,,RIN,Skud på stolpe,ST,3,Maria Berger WIERZBA,,,,22,Stine BONDE
3,748234,1.40,,SVK,Skud på stolpe,PL,15,Karen KLOKKER,Retur,0,,16,Stephanie ANDERSEN
4,748234,1.58,,SVK,Skud på stolpe,PL,4,Maria HOLM,Retur,0,,16,Stephanie ANDERSEN
5,748234,2.36,,SVK,Regelfejl,,27,Marigona HAJDARI,,,,,
6,748234,2.59,,SVK,Advarsel,,15,Karen KLOKKER,,,,,
7,748234,3.22,1-0,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,2,Cecilie BJERRE,22,Stine BONDE
8,748234,3.33,,SVK,Regelfejl,,15,Karen KLOKKER,,,,,
9,748234,3.44,2-0,RIN,Mål,2:e,20,Stine Opstrup KRISTENSEN,,,,22,Stine BONDE
10,748234,3.55,,SVK,Skud reddet,2:e,31,Andrea West BENDTSEN,,,,16,Stephanie ANDERSEN
11,748234,4.55,3-0,RIN,Mål,Gbr,20,Stine Opstrup KRISTENSEN,,,,22,Stine BONDE
12,748234,5.31,,SVK,Tilkendt straffe,,6,Thea RASMUSSEN,Forårs. str.,23,Nanna HINNERFELDT,,
13,748234,5.45,,SVK,Straffekast reddet,,21,Maja EDLING,,,,88,Rakul WARDUM
14,748234,6.00,4-0,RIN,Mål,PL,2,Cecilie BJERRE,,,,22,Stine BONDE
15,748234,6.09,,RIN,Udvisning,,5,Caroline SVARRE,,,,,
16,748234,6.32,,SVK,Tabt bold,,6,Thea RASMUSSEN,Bold erobret,23,Nanna HINNERFELDT,,
17,748234,6.38,5-0,RIN,Mål,1:e,19,Rikke JOCHUMSEN,Assist,23,Nanna HINNERFELDT,22,Stine BONDE
18,748234,7.16,5-1,SVK,Mål,HF,23,Thilde FRANDSEN,Assist,4,Maria HOLM,16,Stephanie ANDERSEN
19,748234,7.53,,RIN,Skud reddet,PL,2,Cecilie BJERRE,,,,22,Stine BONDE
20,748234,8.00,5-2,SVK,Mål,1:e,4,Maria HOLM,,,,,
21,748234,8.32,,RIN,Fejlaflevering,,3,Maria Berger WIERZBA,Bold erobret,31,Andrea West BENDTSEN,,
22,748234,8.39,,SVK,Skud forbi,1:e,23,Thilde FRANDSEN,,,,16,Stephanie ANDERSEN
23,748234,10.09,,SVK,Udvisning,,15,Karen KLOKKER,,,,,
24,748234,10.29,6-2,RIN,Mål,HF,22,Sofie ØSTERGAARD,Assist,20,Stine Opstrup KRISTENSEN,22,Stine BONDE
25,748234,11.16,,SVK,Skud reddet,Gbr,27,Marigona HAJDARI,,,,16,Stephanie ANDERSEN
26,748234,11.37,7-2,RIN,Mål,HF,22,Sofie ØSTERGAARD,Assist,20,Stine Opstrup KRISTENSEN,22,Stine BONDE
27,748234,12.29,7-3,SVK,Mål,PL,6,Thea RASMUSSEN,,,,16,Stephanie ANDERSEN
28,748234,13.10,,RIN,Skud på stolpe,VB,2,Cecilie BJERRE,,,,22,Stine BONDE
29,748234,13.18,7-4,SVK,Mål,2:e,31,Andrea West BENDTSEN,,,,16,Stephanie ANDERSEN
30,748234,14.36,,RIN,Fejlaflevering,,20,Stine Opstrup KRISTENSEN,Bold erobret,31,Andrea West BENDTSEN,,
31,748234,14.40,7-5,SVK,Mål,1:e,7,Maja Munch LAURSEN,Assist,31,Andrea West BENDTSEN,16,Stephanie ANDERSEN
32,748234,15.12,,RIN,Skud reddet,PL,2,Cecilie BJERRE,,,,22,Stine BONDE
33,748234,15.20,,SVK,Skud reddet,2:e,4,Maria HOLM,,,,16,Stephanie ANDERSEN
34,748234,15.55,8-5,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,10,Frida Høgaard NIELSEN,22,Stine BONDE
35,748234,16.03,8-6,SVK,Mål,2:e,4,Maria HOLM,Assist,31,Andrea West BENDTSEN,16,Stephanie ANDERSEN
36,748234,16.55,9-6,RIN,Mål,Gbr,2,Cecilie BJERRE,Assist,10,Frida Høgaard NIELSEN,22,Stine BONDE
37,748234,18.28,9-7,SVK,Mål,ST,13,Mathilde KRISTENSEN,Assist,4,Maria HOLM,16,Stephanie ANDERSEN
38,748234,19.50,,RIN,Skud reddet,HB,10,Frida Høgaard NIELSEN,,,,22,Stine BONDE
39,748234,20.24,,SVK,Fejlaflevering,,27,Marigona HAJDARI,,,,,
40,748234,20.39,,RIN,Time out,,,,,,,,
41,748234,21.15,,RIN,Passivt spil,,0,,,,,,
42,748234,21.24,9-8,SVK,Mål,2:e,31,Andrea West BENDTSEN,,,,16,Stephanie ANDERSEN
43,748234,22.19,10-8,RIN,Mål,Gbr,3,Maria Berger WIERZBA,,,,22,Stine BONDE
44,748234,22.52,,SVK,Skud forbi,HB,11,Sara MADSEN,,,,16,Stephanie ANDERSEN
45,748234,23.05,,RIN,Skud reddet,PL,10,Frida Høgaard NIELSEN,,,,22,Stine BONDE
46,748234,23.42,,SVK,Regelfejl,,6,Thea RASMUSSEN,,,,,
47,748234,24.22,,RIN,Skud på stolpe,PL,3,Maria Berger WIERZBA,Retur,0,,22,Stine BONDE
48,748234,24.38,,RIN,Skud reddet,Gbr,10,Frida Høgaard NIELSEN,,,,22,Stine BONDE
49,748234,25.42,10-9,SVK,Mål,Gbr,11,Sara MADSEN,Assist,31,Andrea West BENDTSEN,16,Stephanie ANDERSEN
