id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748235,0.00,,,Start 1:e halvleg,,,,,,,,
2,748235,0.52,1-0,ODE,Mål,ST,20,Lysa DEFO,Assist,27,Louise BURGAARD,12,Ida Marie KAYSEN
3,748235,1.08,,VHK,Skud på stolpe,Gbr,9,Laura THESTRUP,,,,38,Yara TEN HOLTE
4,748235,1.18,2-0,ODE,Mål,Gbr,68,Helena ELVER,,,,12,Ida Marie KAYSEN
5,748235,1.55,,VHK,Skud reddet,VB,9,Laura THESTRUP,,,,38,Yara TEN HOLTE
6,748235,2.31,3-0,ODE,Mål,VB,22,Ragnhild DAHL,Assist,68,Helena ELVER,12,Ida Marie KAYSEN
7,748235,3.11,,VHK,Skud reddet,Gbr,62,Louise SØNDERGAARD,,,,38,Yara TEN HOLTE
8,748235,3.53,,ODE,Tabt bold,,27,Louise BURGAARD,,,,,
9,748235,3.57,3-1,VHK,Mål,1:e,26,Christina PEDERSEN,Assist,19,Sara HALD,38,Yara TEN HOLTE
10,748235,4.48,,ODE,Skud på stolpe,Gbr,68,Helena ELVER,,,,12,Ida Marie KAYSEN
11,748235,5.14,,VHK,Fejlaflevering,,77,Jana MITTÚN,,,,,
12,748235,6.00,4-1,ODE,Mål,ST,20,Lysa DEFO,Assist,27,Louise BURGAARD,12,Ida Marie KAYSEN
13,748235,6.00,,VHK,Udvisning,,19,Sara HALD,,,,,
14,748235,6.30,4-2,VHK,Mål,ST,21,Anne HYKKELBJERG,Assist,26,Christina PEDERSEN,38,Yara TEN HOLTE
15,748235,6.49,5-2,ODE,Mål,Gbr,68,Helena ELVER,Assist,20,Lysa DEFO,12,Ida Marie KAYSEN
16,748235,7.32,,VHK,Skud forbi,VF,14,Camilla DEGN,,,,38,Yara TEN HOLTE
17,748235,7.48,6-2,ODE,Mål,HF,6,Malin AUNE,Assist,27,Louise BURGAARD,12,Ida Marie KAYSEN
18,748235,8.39,,VHK,Fejlaflevering,,62,Louise SØNDERGAARD,,,,,
19,748235,8.46,,ODE,Skud reddet,1:e,10,Anna GRUNDTVIG,,,,12,Ida Marie KAYSEN
20,748235,9.24,,VHK,Tabt bold,,77,Jana MITTÚN,,,,,
21,748235,9.33,7-2,ODE,Mål,HF,6,Malin AUNE,Assist,27,Louise BURGAARD,12,Ida Marie KAYSEN
22,748235,9.42,,VHK,Time out,,,,,,,,
23,748235,10.06,,VHK,Skud reddet,HF,18,Henriette HANSEN,,,,38,Yara TEN HOLTE
24,748235,10.15,8-2,ODE,Mål,2:e,27,Louise BURGAARD,,,,12,Ida Marie KAYSEN
25,748235,10.27,,VHK,Skud reddet,VF,14,Camilla DEGN,,,,38,Yara TEN HOLTE
26,748235,10.58,9-2,ODE,Mål,ST,20,Lysa DEFO,Assist,27,Louise BURGAARD,12,Ida Marie KAYSEN
27,748235,11.09,,VHK,Skud reddet,Gbr,26,Christina PEDERSEN,,,,38,Yara TEN HOLTE
28,748235,11.19,,VHK,Udvisning,,19,Sara HALD,,,,,
29,748235,11.30,,ODE,Skud reddet,Gbr,68,Helena ELVER,Retur,0,,12,Ida Marie KAYSEN
30,748235,11.45,,ODE,Tilkendt straffe,,20,Lysa DEFO,Forårs. str.,26,Christina PEDERSEN,,
31,748235,12.02,10-2,ODE,Mål på straffe,,22,Ragnhild DAHL,,,,12,Ida Marie KAYSEN
32,748235,12.47,10-3,VHK,Mål,Gbr,18,Henriette HANSEN,Assist,8,Elma ÖRTEMARK,38,Yara TEN HOLTE
33,748235,13.07,11-3,ODE,Mål,ST,20,Lysa DEFO,Assist,68,Helena ELVER,12,Ida Marie KAYSEN
34,748235,13.39,,VHK,Skud reddet,HB,8,Elma ÖRTEMARK,,,,38,Yara TEN HOLTE
35,748235,14.09,,ODE,Skud forbi,ST,20,Lysa DEFO,,,,12,Ida Marie KAYSEN
36,748235,14.37,,VHK,Skud reddet,PL,26,Christina PEDERSEN,,,,38,Yara TEN HOLTE
37,748235,14.46,12-3,ODE,Mål,2:e,68,Helena ELVER,,,,12,Ida Marie KAYSEN
38,748235,15.30,,VHK,Skud på stolpe,HF,18,Henriette HANSEN,,,,38,Yara TEN HOLTE
39,748235,15.43,13-3,ODE,Mål,ST,3,Maren AARDAHL,Assist,27,Louise BURGAARD,16,Louise Bak JENSEN
40,748235,15.55,13-4,VHK,Mål,VF,14,Camilla DEGN,Assist,77,Jana MITTÚN,38,Yara TEN HOLTE
41,748235,16.34,14-4,ODE,Mål,HF,6,Malin AUNE,Assist,27,Louise BURGAARD,16,Louise Bak JENSEN
42,748235,16.40,,VHK,Time out,,,,,,,,
