id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748236,0.00,,,Start 1:e halvleg,,,,,,,,
2,748236,0.35,0-1,BFH,Mål,ST,18,Sidsel POULSEN,Assist,11,Arlinda HAJDARI,12,Catharina BROCH
3,748236,1.07,1-1,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,20,Clara BAK
4,748236,1.20,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
5,748236,2.00,2-1,NFH,Mål,ST,2,Caroline AAR,Assist,79,Kristina KRISTIANSEN,20,Clara BAK
6,748236,2.39,2-2,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,7,Line GYLDENLØVE,12,Catharina BROCH
7,748236,3.13,3-2,NFH,Mål,HB,26,Mona OBAIDLI,,,,20,Clara BAK
8,748236,3.39,3-3,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,7,Line GYLDENLØVE,12,Catharina BROCH
9,748236,3.51,4-3,NFH,Mål,HF,20,Maja MAGNUSSEN,Assist,18,Alberte KIELSTRUP,20,Clara BAK
10,748236,4.20,,BFH,Skud reddet,HF,44,Louise HALD,,,,12,Catharina BROCH
11,748236,4.24,5-3,NFH,Mål,1:e,49,Aimée VON PEREIRA,,,,0,
12,748236,4.49,5-4,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,12,Catharina BROCH
13,748236,4.58,6-4,NFH,Mål,2:e,49,Aimée VON PEREIRA,,,,20,Clara BAK
14,748236,5.24,,BFH,Regelfejl,,7,Line GYLDENLØVE,,,,,
15,748236,5.28,7-4,NFH,Mål,1:e,8,Stine EIBERG,,,,0,
16,748236,6.07,,BFH,Skud forbi,HF,44,Louise HALD,,,,12,Catharina BROCH
17,748236,6.22,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
18,748236,7.03,,BFH,Regelfejl,,18,Sidsel POULSEN,,,,,
19,748236,7.54,,NFH,Skud blokeret,PL,79,Kristina KRISTIANSEN,Blokeret af,19,Rikke Dahl NIELSEN,,
20,748236,8.28,,BFH,Tilkendt straffe,,4,Emilie BANGSHØI,Forårs. str.,20,Maja MAGNUSSEN,,
21,748236,8.28,,NFH,Udvisning,,20,Maja MAGNUSSEN,,,,,
22,748236,8.30,7-5,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,12,Catharina BROCH
23,748236,9.11,8-5,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,20,Clara BAK
24,748236,9.44,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
25,748236,10.14,,NFH,Skud forbi,VF,21,Matilde VESTERGAARD,,,,20,Clara BAK
26,748236,10.26,8-6,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,12,Catharina BROCH
27,748236,11.00,,NFH,Fejlaflevering,,18,Alberte KIELSTRUP,,,,,
28,748236,11.35,,BFH,Tabt bold,,72,Line FRANDSEN,Bold erobret,8,Stine EIBERG,,
29,748236,11.44,,NFH,Fejlaflevering,,21,Matilde VESTERGAARD,,,,,
30,748236,12.07,8-7,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,12,Catharina BROCH
31,748236,12.45,,NFH,Skud reddet,Gbr,18,Alberte KIELSTRUP,,,,20,Clara BAK
32,748236,13.14,,BFH,Skud reddet,HF,44,Louise HALD,,,,12,Catharina BROCH
33,748236,13.35,,NFH,Skud på stolpe,HF,20,Maja MAGNUSSEN,,,,20,Clara BAK
34,748236,14.06,,BFH,Skud på stolpe,ST,18,Sidsel POULSEN,,,,12,Catharina BROCH
35,748236,14.44,9-7,NFH,Mål,VF,21,Matilde VESTERGAARD,Assist,79,Kristina KRISTIANSEN,20,Clara BAK
36,748236,15.16,9-8,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,12,Catharina BROCH
37,748236,15.43,,NFH,Time out,,,,,,,,
38,748236,15.54,10-8,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,20,Clara BAK
39,748236,16.34,10-9,BFH,Mål,HF,10,Melina KRISTENSEN,Assist,11,Arlinda HAJDARI,12,Catharina BROCH
40,748236,16.53,,NFH,Tabt bold,,34,Sofie BARDRUM,,,,,
41,748236,16.58,10-10,BFH,Mål,1:e,20,Clara BAK,,,,0,
42,748236,17.24,,NFH,Skud forbi,ST,34,Sofie BARDRUM,,,,20,Clara BAK
43,748236,17.57,,BFH,Skud reddet,Gbr,11,Arlinda HAJDARI,,,,12,Catharina BROCH
44,748236,18.01,11-10,NFH,Mål,1:e,26,Mona OBAIDLI,,,,0,
45,748236,18.29,11-11,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,12,Catharina BROCH
46,748236,18.57,12-11,NFH,Mål,VF,21,Matilde VESTERGAARD,Assist,26,Mona OBAIDLI,20,Clara BAK
47,748236,19.27,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
48,748236,20.17,13-11,NFH,Mål,ST,34,Sofie BARDRUM,Assist,18,Alberte KIELSTRUP,24,Josephine NORDSTRØM
49,748236,20.56,13-12,BFH,Mål,PL,72,Line FRANDSEN,,,,12,Catharina BROCH
50,748236,21.37,,NFH,Skud reddet,PL,26,Mona OBAIDLI,,,,24,Josephine NORDSTRØM
51,748236,22.08,,BFH,Tilkendt straffe,,11,Arlinda HAJDARI,Forårs. str.,21,Matilde VESTERGAARD,,
52,748236,22.26,,BFH,Straffekast reddet,,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
53,748236,23.00,,NFH,Fejlaflevering,,18,Alberte KIELSTRUP,,,,,
54,748236,23.37,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
55,748236,23.42,14-12,NFH,Mål,1:e,21,Matilde VESTERGAARD,,,,,
56,748236,24.22,,BFH,Tilkendt straffe,,9,Mathilde PIIL,Forårs. str.,20,Maja MAGNUSSEN,,
57,748236,24.22,,NFH,Udvisning,,20,Maja MAGNUSSEN,,,,,
58,748236,24.23,14-13,BFH,Mål på straffe,,72,Line FRANDSEN,,,,1,Sofie BÖRJESSON
59,748236,25.11,,NFH,Tabt bold,,11,Rosa SCHMIDT,,,,,
60,748236,25.33,,BFH,Skud reddet,Gbr,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
61,748236,26.16,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
62,748236,26.20,,BFH,Time out,,,,,,,,
63,748236,26.50,14-14,BFH,Mål,PL,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
64,748236,27.27,,NFH,Skud på stolpe,ST,34,Sofie BARDRUM,,,,24,Josephine NORDSTRØM
65,748236,27.56,14-15,BFH,Mål,HF,10,Melina KRISTENSEN,Assist,11,Arlinda HAJDARI,1,Sofie BÖRJESSON
66,748236,28.28,,NFH,Skud reddet,Gbr,26,Mona OBAIDLI,,,,24,Josephine NORDSTRØM
67,748236,28.53,14-16,BFH,Mål,VF,9,Mathilde PIIL,Assist,7,Line GYLDENLØVE,1,Sofie BÖRJESSON
68,748236,29.05,,NFH,Skud reddet,VF,21,Matilde VESTERGAARD,,,,24,Josephine NORDSTRØM
69,748236,29.40,,BFH,Skud reddet,VB,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
70,748236,30.00,,NFH,Skud reddet,HB,26,Mona OBAIDLI,,,,24,Josephine NORDSTRØM
71,748236,30.00,14-16,,Halvleg,,,,,,,,
72,748236,30.00,,,Start 2:e halvleg,,,,,,,,
73,748236,30.29,,NFH,Tilkendt straffe,,2,Caroline AAR,Forårs. str.,19,Rikke Dahl NIELSEN,,
74,748236,30.29,,BFH,Udvisning,,19,Rikke Dahl NIELSEN,,,,,
75,748236,30.29,15-16,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,24,Josephine NORDSTRØM
76,748236,31.19,15-17,BFH,Mål,PL,72,Line FRANDSEN,,,,1,Sofie BÖRJESSON
77,748236,31.48,,NFH,Tilkendt straffe,,34,Sofie BARDRUM,Forårs. str.,31,Marianne HAUGSTED,,
78,748236,31.55,,NFH,Straffekast reddet,,34,Sofie BARDRUM,,,,20,Clara BAK
79,748236,32.32,,BFH,Fejlaflevering,,31,Marianne HAUGSTED,,,,,
80,748236,32.47,,NFH,Tilkendt straffe,,22,Zoë SPRENGERS,Forårs. str.,72,Line FRANDSEN,,
81,748236,32.47,,BFH,Udvisning,,72,Line FRANDSEN,,,,,
82,748236,32.47,16-17,NFH,Mål på straffe,,49,Aimée VON PEREIRA,,,,20,Clara BAK
83,748236,33.31,,BFH,Skud reddet,Gbr,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
84,748236,33.45,,NFH,Regelfejl,,11,Rosa SCHMIDT,,,,,
85,748236,33.45,,NFH,Udvisning,,11,Rosa SCHMIDT,,,,,
86,748236,34.09,,BFH,Fejlaflevering,,31,Marianne HAUGSTED,,,,,
87,748236,34.14,17-17,NFH,Mål,1:e,22,Zoë SPRENGERS,Assist,8,Stine EIBERG,,
88,748236,34.41,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,Bold erobret,8,Stine EIBERG,,
89,748236,34.47,18-17,NFH,Mål,1:e,2,Caroline AAR,Assist,49,Aimée VON PEREIRA,,
90,748236,35.23,18-18,BFH,Mål,VF,9,Mathilde PIIL,Assist,7,Line GYLDENLØVE,1,Sofie BÖRJESSON
91,748236,35.55,,NFH,Regelfejl,,2,Caroline AAR,,,,,
92,748236,36.24,18-19,BFH,Mål,HF,10,Melina KRISTENSEN,Assist,7,Line GYLDENLØVE,1,Sofie BÖRJESSON
93,748236,36.54,,NFH,Skud reddet,Gbr,18,Alberte KIELSTRUP,,,,24,Josephine NORDSTRØM
94,748236,37.43,,BFH,Fejlaflevering,,31,Marianne HAUGSTED,,,,,
95,748236,38.23,19-19,NFH,Mål,HF,20,Maja MAGNUSSEN,Assist,18,Alberte KIELSTRUP,24,Josephine NORDSTRØM
96,748236,38.51,19-20,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
97,748236,39.39,,NFH,Skud reddet,Gbr,7,Amalie WULFF,,,,24,Josephine NORDSTRØM
98,748236,40.25,19-21,BFH,Mål,HB,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
99,748236,40.35,20-21,NFH,Mål,2:e,18,Alberte KIELSTRUP,,,,24,Josephine NORDSTRØM
100,748236,41.31,,BFH,Tilkendt straffe,,72,Line FRANDSEN,Forårs. str.,8,Stine EIBERG,,
101,748236,41.38,20-22,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
102,748236,42.26,21-22,NFH,Mål,PL,18,Alberte KIELSTRUP,,,,24,Josephine NORDSTRØM
103,748236,42.57,21-23,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
104,748236,43.36,,,,,,,,,,,
105,748236,44.09,,BFH,Skud reddet,Gbr,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
106,748236,45.07,,NFH,Skud reddet,Gbr,7,Amalie WULFF,,,,24,Josephine NORDSTRØM
107,748236,46.00,21-24,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,1,Sofie BÖRJESSON
108,748236,46.19,,NFH,Skud reddet,PL,49,Aimée VON PEREIRA,,,,24,Josephine NORDSTRØM
109,748236,46.23,21-25,BFH,Mål,1:e,31,Marianne HAUGSTED,,,,0,
110,748236,46.34,,NFH,Time out,,,,,,,,
111,748236,47.03,22-25,NFH,Mål,ST,2,Caroline AAR,Assist,6,Moa HÖGDAHL,24,Josephine NORDSTRØM
112,748236,47.38,,BFH,Regelfejl,,18,Sidsel POULSEN,,,,,
113,748236,47.51,,NFH,Fejlaflevering,,6,Moa HÖGDAHL,,,,,
114,748236,48.24,,BFH,Tabt bold,,18,Sidsel POULSEN,,,,,
115,748236,48.47,,NFH,Skud reddet,HB,6,Moa HÖGDAHL,,,,24,Josephine NORDSTRØM
116,748236,49.32,,BFH,Skud reddet,Gbr,31,Marianne HAUGSTED,,,,12,Catharina BROCH
117,748236,50.52,23-25,NFH,Mål,PL,26,Mona OBAIDLI,,,,24,Josephine NORDSTRØM
118,748236,51.56,,BFH,Passivt spil,,0,,,,,,
119,748236,52.19,,NFH,Tabt bold,,7,Amalie WULFF,,,,,
120,748236,52.30,,BFH,Time out,,,,,,,,
121,748236,52.59,23-26,BFH,Mål,Gbr,31,Marianne HAUGSTED,,,,12,Catharina BROCH
122,748236,53.26,24-26,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,24,Josephine NORDSTRØM
123,748236,53.54,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,18,Alberte KIELSTRUP,,
124,748236,53.58,25-26,NFH,Mål,1:e,18,Alberte KIELSTRUP,,,,0,
125,748236,54.45,,BFH,Skud reddet,PL,7,Line GYLDENLØVE,,,,12,Catharina BROCH
126,748236,55.11,26-26,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,24,Josephine NORDSTRØM
127,748236,56.02,,BFH,Skud reddet,PL,72,Line FRANDSEN,Retur,18,Sidsel POULSEN,12,Catharina BROCH
128,748236,56.09,26-27,BFH,Mål,ST,18,Sidsel POULSEN,,,,12,Catharina BROCH
129,748236,56.38,,NFH,Tilkendt straffe,,18,Alberte KIELSTRUP,Forårs. str.,31,Marianne HAUGSTED,,
130,748236,56.44,27-27,NFH,Mål på straffe,,49,Aimée VON PEREIRA,,,,20,Clara BAK
131,748236,57.09,,BFH,Tilkendt straffe,,7,Line GYLDENLØVE,Forårs. str.,2,Caroline AAR,,
132,748236,57.14,27-28,BFH,Mål på straffe,,7,Line GYLDENLØVE,,,,1,Sofie BÖRJESSON
133,748236,57.55,,NFH,Skud forbi,PL,18,Alberte KIELSTRUP,,,,24,Josephine NORDSTRØM
134,748236,58.30,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
135,748236,59.26,28-28,NFH,Mål,HF,20,Maja MAGNUSSEN,Assist,7,Amalie WULFF,24,Josephine NORDSTRØM
136,748236,59.45,,BFH,Time out,,,,,,,,
137,748236,59.57,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
138,748236,59.57,,NFH,Time out,,,,,,,,
139,748236,60.00,,NFH,Skud reddet,1:e,26,Mona OBAIDLI,,,,24,Josephine NORDSTRØM
