id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748237,0.00,,,Start 1:e halvleg,,,,,,,,
2,748237,0.56,,HHE,Skud forbi,PL,14,Mai KRAGBALLE,,,,12,Filippa IDÉHN
3,748237,1.41,,IKA,Fejlaflevering,,21,Ingvild BAKKERUD,,,,,
4,748237,2.20,,HHE,Skud reddet,Gbr,27,Annette WIRÉN LARSEN,,,,12,Filippa IDÉHN
5,748237,2.56,,IKA,Skud reddet,VF,22,Lærke NOLSØE,,,,16,Andrea AUSTMO
6,748237,3.04,,HHE,Skud reddet,2:e,22,Sille Cecilie SORTH,,,,12,Filippa IDÉHN
7,748237,3.15,,IKA,Tilkendt straffe,,11,Sarah Aaberg IVERSEN,Forårs. str.,19,Frida Haug HOEL,,
8,748237,3.42,0-1,IKA,Mål på straffe,,17,Simone PETERSEN,,,,16,Andrea AUSTMO
9,748237,4.10,1-1,HHE,Mål,HB,27,Annette WIRÉN LARSEN,,,,12,Filippa IDÉHN
10,748237,4.19,,IKA,Skud reddet,1:e,7,Stine SKOGRAND,,,,16,Andrea AUSTMO
11,748237,4.28,2-1,HHE,Mål,1:e,3,Alma SKRETTING,Assist,27,Annette WIRÉN LARSEN,12,Filippa IDÉHN
12,748237,4.55,,IKA,Skud reddet,PL,21,Ingvild BAKKERUD,,,,16,Andrea AUSTMO
13,748237,5.04,3-1,HHE,Mål,2:e,21,Romee MAARSCHALKEWEERD,Assist,14,Mai KRAGBALLE,12,Filippa IDÉHN
14,748237,5.13,,IKA,Skud reddet,2:e,21,Ingvild BAKKERUD,,,,16,Andrea AUSTMO
15,748237,5.22,,HHE,Skud reddet,1:e,21,Romee MAARSCHALKEWEERD,Retur,19,Frida Haug HOEL,12,Filippa IDÉHN
16,748237,6.11,,HHE,Skud reddet,Gbr,19,Frida Haug HOEL,,,,12,Filippa IDÉHN
17,748237,6.19,3-2,IKA,Mål,1:e,22,Lærke NOLSØE,Assist,14,Emma LINDQVIST,16,Andrea AUSTMO
18,748237,6.49,,HHE,Skud blokeret,HB,19,Frida Haug HOEL,Blok af (ret),14,Emma LINDQVIST,,
19,748237,7.30,,HHE,Skud reddet,PL,27,Annette WIRÉN LARSEN,,,,12,Filippa IDÉHN
20,748237,7.40,,IKA,Fejlaflevering,,21,Ingvild BAKKERUD,Bold erobret,19,Frida Haug HOEL,,
21,748237,8.16,4-2,HHE,Mål,PL,14,Mai KRAGBALLE,,,,12,Filippa IDÉHN
22,748237,8.23,4-3,IKA,Mål,1:e,77,Line Mai HOUGAARD,Assist,11,Sarah Aaberg IVERSEN,16,Andrea AUSTMO
23,748237,9.11,,HHE,Skud forbi,VB,14,Mai KRAGBALLE,,,,12,Filippa IDÉHN
24,748237,9.16,4-4,IKA,Mål,1:e,11,Sarah Aaberg IVERSEN,Assist,21,Ingvild BAKKERUD,16,Andrea AUSTMO
25,748237,9.52,,HHE,Regelfejl,,21,Romee MAARSCHALKEWEERD,,,,,
26,748237,9.55,,HHE,Advarsel,,21,Romee MAARSCHALKEWEERD,,,,,
27,748237,10.18,4-5,IKA,Mål,ST,11,Sarah Aaberg IVERSEN,Assist,21,Ingvild BAKKERUD,16,Andrea AUSTMO
28,748237,11.07,,HHE,Skud forbi,VF,33,Laura Holm ANDERSEN,,,,12,Filippa IDÉHN
29,748237,11.37,,IKA,Skud reddet,ST,11,Sarah Aaberg IVERSEN,,,,16,Andrea AUSTMO
30,748237,11.50,,HHE,Skud reddet,HF,22,Sille Cecilie SORTH,,,,12,Filippa IDÉHN
31,748237,12.23,4-6,IKA,Mål,Gbr,7,Stine SKOGRAND,,,,16,Andrea AUSTMO
32,748237,12.52,5-6,HHE,Mål,VB,11,Fanny ELOVSSON,,,,12,Filippa IDÉHN
33,748237,13.31,5-7,IKA,Mål,Gbr,77,Line Mai HOUGAARD,Assist,7,Stine SKOGRAND,16,Andrea AUSTMO
34,748237,13.41,6-7,HHE,Mål,2:e,3,Alma SKRETTING,Assist,14,Mai KRAGBALLE,12,Filippa IDÉHN
35,748237,14.14,6-8,IKA,Mål,PL,14,Emma LINDQVIST,,,,16,Andrea AUSTMO
36,748237,14.53,,HHE,Skud forbi,PL,11,Fanny ELOVSSON,,,,12,Filippa IDÉHN
37,748237,15.26,,IKA,Skud reddet,VB,51,Markéta JERÁBKOVÁ,,,,16,Andrea AUSTMO
