id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748238,0.00,,,Start 1:e halvleg,,,,,,,,
2,748238,0.33,,SKB,Fejlaflevering,,44,Nicoline LAURITSEN,Bold erobret,14,Louise ELLEBÆK,,
3,748238,1.08,0-1,SJE,Mål,HB,14,Louise ELLEBÆK,,,,23,Stine ALMIND
4,748238,1.22,1-1,SKB,Mål,2:e,44,Nicoline LAURITSEN,,,,12,Stine BROLØS
5,748238,1.53,1-2,SJE,Mål,VF,17,June BØTTGER,Assist,7,Melissa PETRÉN,23,Stine ALMIND
6,748238,3.01,2-2,SKB,Mål,Gbr,11,Mia LAGUMDZIJA,,,,12,Stine BROLØS
7,748238,3.41,2-3,SJE,Mål,PL,14,Louise ELLEBÆK,,,,23,Stine ALMIND
8,748238,4.14,,SKB,Skud reddet,ST,2,Boline LAURSEN,,,,12,Stine BROLØS
9,748238,4.45,,SJE,Skud forbi,Gbr,28,Sarah PAULSEN,,,,23,Stine ALMIND
10,748238,4.51,,SKB,Skud på stolpe,2:e,25,Astrid LYNNERUP,,,,12,Stine BROLØS
11,748238,5.04,,SJE,Skud reddet,2:e,28,Sarah PAULSEN,Retur,0,,23,Stine ALMIND
12,748238,5.29,2-4,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,23,Stine ALMIND
13,748238,5.39,3-4,SKB,Mål,2:e,14,Verona REXHEPI,,,,12,Stine BROLØS
14,748238,5.50,,SJE,Fejlaflevering,,0,,,,,,
15,748238,6.19,4-4,SKB,Mål,VB,14,Verona REXHEPI,,,,12,Stine BROLØS
16,748238,6.32,,SJE,Skud reddet,2:e,22,Olivia SIMONSEN,,,,23,Stine ALMIND
17,748238,6.37,5-4,SKB,Mål,PL,11,Mia LAGUMDZIJA,,,,12,Stine BROLØS
18,748238,6.57,,SJE,Fejlaflevering,,14,Louise ELLEBÆK,Bold erobret,0,,,
19,748238,7.06,,SKB,Skud reddet,1:e,2,Boline LAURSEN,,,,12,Stine BROLØS
20,748238,7.19,,SJE,Time out,,,,,,,,
21,748238,7.40,5-5,SJE,Mål,VB,14,Louise ELLEBÆK,,,,23,Stine ALMIND
22,748238,8.10,,SKB,Skud forbi,PL,14,Verona REXHEPI,,,,12,Stine BROLØS
23,748238,8.43,5-6,SJE,Mål,HB,7,Melissa PETRÉN,,,,23,Stine ALMIND
24,748238,9.24,,SJE,Udvisning,,22,Olivia SIMONSEN,,,,,
25,748238,9.35,,SKB,Skud reddet,Gbr,44,Nicoline LAURITSEN,,,,12,Stine BROLØS
26,748238,10.08,5-7,SJE,Mål,Gbr,7,Melissa PETRÉN,,,,23,Stine ALMIND
27,748238,10.08,,SKB,Udvisning,,10,Filippa NEDOVIC,,,,,
28,748238,10.33,6-7,SKB,Mål,HF,4,Emilie BECH,Assist,11,Mia LAGUMDZIJA,12,Stine BROLØS
29,748238,10.58,6-8,SJE,Mål,Gbr,28,Sarah PAULSEN,,,,23,Stine ALMIND
30,748238,11.20,,SKB,Fejlaflevering,,44,Nicoline LAURITSEN,,,,,
31,748238,11.24,6-9,SJE,Mål,1:e,31,Ida-Marie DAHL,Assist,12,Stine BROLØS,0,
32,748238,12.03,,SKB,Skud reddet,HF,4,Emilie BECH,,,,12,Stine BROLØS
33,748238,12.18,,SKB,Advarsel,,4,Emilie BECH,,,,,
34,748238,12.41,,SJE,Skud reddet,VB,14,Louise ELLEBÆK,,,,23,Stine ALMIND
35,748238,12.46,,SKB,Tabt bold,,4,Emilie BECH,,,,,
36,748238,12.54,,SJE,Regelfejl,,22,Olivia SIMONSEN,,,,,
37,748238,13.08,,SKB,Tabt bold,,11,Mia LAGUMDZIJA,,,,,
38,748238,13.12,6-10,SJE,Mål,1:e,14,Louise ELLEBÆK,Assist,31,Ida-Marie DAHL,23,Stine ALMIND
39,748238,13.21,,SKB,Time out,,,,,,,,
40,748238,13.51,,SKB,Fejlaflevering,,11,Mia LAGUMDZIJA,Bold erobret,14,Louise ELLEBÆK,,
41,748238,13.56,6-11,SJE,Mål,1:e,31,Ida-Marie DAHL,Assist,12,Stine BROLØS,23,Stine ALMIND
42,748238,14.24,,SKB,Tabt bold,,11,Mia LAGUMDZIJA,Bold erobret,14,Louise ELLEBÆK,,
43,748238,14.28,6-12,SJE,Mål,1:e,14,Louise ELLEBÆK,,,,23,Stine ALMIND
44,748238,15.38,,SKB,Skud reddet,PL,14,Verona REXHEPI,,,,12,Stine BROLØS
45,748238,16.23,6-13,SJE,Mål,ST,31,Ida-Marie DAHL,Assist,7,Melissa PETRÉN,23,Stine ALMIND
46,748238,17.02,7-13,SKB,Mål,Gbr,20,Suna HANSEN,,,,12,Stine BROLØS
47,748238,17.39,,SJE,Skud reddet,VB,7,Melissa PETRÉN,,,,12,Sarah ERNEBJERG
48,748238,17.43,8-13,SKB,Mål,1:e,4,Emilie BECH,Assist,12,Sarah ERNEBJERG,12,Stine BROLØS
49,748238,18.13,8-14,SJE,Mål,VB,14,Louise ELLEBÆK,,,,12,Sarah ERNEBJERG
50,748238,18.19,9-14,SKB,Mål,2:e,44,Nicoline LAURITSEN,,,,12,Stine BROLØS
