id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748240,0.00,,,Start 1:e halvleg,,,,,,,,
2,748240,0.53,,IKA,Skud reddet,ST,18,Maria LYKKEGAARD,,,,1,Isabella MATHORNE
3,748240,1.01,0-1,SKB,Mål,1:e,4,Emilie BECH,Assist,20,Suna HANSEN,12,Filippa IDÉHN
4,748240,1.37,,IKA,Skud reddet,VF,22,Lærke NOLSØE,,,,1,Isabella MATHORNE
5,748240,2.15,,SKB,Fejlaflevering,,44,Nicoline LAURITSEN,Bold erobret,7,Stine SKOGRAND,,
6,748240,2.19,1-1,IKA,Mål,1:e,14,Emma LINDQVIST,Assist,7,Stine SKOGRAND,1,Isabella MATHORNE
7,748240,2.49,,SKB,Skud reddet,ST,2,Boline LAURSEN,,,,12,Filippa IDÉHN
8,748240,2.57,2-1,IKA,Mål,2:e,6,Cecilie BRANDT,Assist,7,Stine SKOGRAND,1,Isabella MATHORNE
9,748240,3.10,,SKB,Skud blokeret,PL,14,Verona REXHEPI,Blok af (ret),18,Maria LYKKEGAARD,,
10,748240,4.10,,SKB,Skud reddet,HF,4,Emilie BECH,,,,12,Filippa IDÉHN
11,748240,4.18,3-1,IKA,Mål,2:e,18,Maria LYKKEGAARD,Assist,21,Ingvild BAKKERUD,1,Isabella MATHORNE
12,748240,4.50,3-2,SKB,Mål,ST,2,Boline LAURSEN,Assist,44,Nicoline LAURITSEN,12,Filippa IDÉHN
13,748240,5.33,,IKA,Skud reddet,ST,18,Maria LYKKEGAARD,,,,1,Isabella MATHORNE
14,748240,6.31,,SKB,Skud på stolpe,ST,2,Boline LAURSEN,,,,12,Filippa IDÉHN
15,748240,6.40,,IKA,Skud forbi,2:e,6,Cecilie BRANDT,,,,1,Isabella MATHORNE
16,748240,7.12,3-3,SKB,Mål,ST,2,Boline LAURSEN,Assist,14,Verona REXHEPI,12,Filippa IDÉHN
17,748240,7.22,,IKA,Fejlaflevering,,21,Ingvild BAKKERUD,Bold erobret,14,Verona REXHEPI,,
18,748240,7.29,,SKB,Skud reddet,1:e,14,Verona REXHEPI,,,,12,Filippa IDÉHN
19,748240,7.35,4-3,IKA,Mål,1:e,6,Cecilie BRANDT,Assist,7,Stine SKOGRAND,1,Isabella MATHORNE
20,748240,8.14,,SKB,Tabt bold,,25,Astrid LYNNERUP,,,,,
21,748240,8.40,5-3,IKA,Mål,VF,22,Lærke NOLSØE,Assist,21,Ingvild BAKKERUD,1,Isabella MATHORNE
22,748240,8.53,5-4,SKB,Mål,2:e,20,Suna HANSEN,,,,12,Filippa IDÉHN
23,748240,8.59,6-4,IKA,Mål,2:e,14,Emma LINDQVIST,Assist,21,Ingvild BAKKERUD,1,Isabella MATHORNE
24,748240,9.30,,SKB,Skud blokeret,PL,14,Verona REXHEPI,Blokeret af,21,Ingvild BAKKERUD,,
25,748240,9.36,7-4,IKA,Mål,1:e,22,Lærke NOLSØE,Assist,18,Maria LYKKEGAARD,1,Isabella MATHORNE
26,748240,10.11,,SKB,Fejlaflevering,,14,Verona REXHEPI,Bold erobret,7,Stine SKOGRAND,,
27,748240,10.16,8-4,IKA,Mål,1:e,6,Cecilie BRANDT,Assist,14,Emma LINDQVIST,1,Isabella MATHORNE
28,748240,10.23,,SKB,Time out,,,,,,,,
29,748240,10.48,,SKB,Skud reddet,VB,20,Suna HANSEN,,,,12,Filippa IDÉHN
30,748240,11.11,9-4,IKA,Mål,PL,14,Emma LINDQVIST,,,,1,Isabella MATHORNE
31,748240,11.51,,SKB,Skud reddet,HF,4,Emilie BECH,,,,12,Filippa IDÉHN
32,748240,11.57,10-4,IKA,Mål,2:e,21,Ingvild BAKKERUD,,,,1,Isabella MATHORNE
33,748240,12.49,,SKB,Passivt spil,,0,,,,,,
34,748240,13.19,,IKA,Skud på stolpe,Gbr,7,Stine SKOGRAND,,,,1,Isabella MATHORNE
35,748240,13.48,10-5,SKB,Mål,VB,11,Mia LAGUMDZIJA,,,,12,Filippa IDÉHN
36,748240,14.20,,IKA,Skud reddet,PL,7,Stine SKOGRAND,Retur,0,,1,Isabella MATHORNE
37,748240,14.43,,IKA,Tabt bold,,17,Simone PETERSEN,Bold erobret,20,Suna HANSEN,,
38,748240,14.48,,SKB,Tabt bold,,4,Emilie BECH,,,,,
39,748240,15.37,,IKA,Regelfejl,,19,Amanda Loft HANSEN,,,,,
40,748240,16.04,,SKB,Skud på stolpe,VB,11,Mia LAGUMDZIJA,,,,12,Filippa IDÉHN
41,748240,16.11,,IKA,Time out,,,,,,,,
42,748240,16.31,11-5,IKA,Mål,VB,7,Stine SKOGRAND,,,,1,Isabella MATHORNE
43,748240,16.43,11-6,SKB,Mål,HF,4,Emilie BECH,,,,12,Filippa IDÉHN
44,748240,16.51,12-6,IKA,Mål,2:e,14,Emma LINDQVIST,,,,1,Isabella MATHORNE
45,748240,17.22,,SKB,Skud reddet,ST,26,Christina HANSEN,,,,12,Filippa IDÉHN
46,748240,18.01,13-6,IKA,Mål,HF,6,Cecilie BRANDT,Assist,14,Emma LINDQVIST,1,Isabella MATHORNE
