id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748242,0.00,,,Start 1:e halvleg,,,,,,,,
2,748242,1.06,,VHK,Skud reddet,PL,26,Christina PEDERSEN,,,,12,Catharina BROCH
3,748242,2.04,,NFH,Skud reddet,Gbr,18,Alberte KIELSTRUP,,,,16,Louise Bak JENSEN
4,748242,2.42,,VHK,Skud blokeret,PL,9,Laura THESTRUP,Blok af (ret),8,Stine EIBERG,,
5,748242,3.20,,VHK,Regelfejl,,5,Marielle MARTINSEN,,,,,
6,748242,4.02,0-1,NFH,Mål,ST,2,Caroline AAR,Assist,26,Mona OBAIDLI,16,Louise Bak JENSEN
7,748242,4.54,,VHK,Skud reddet,VF,14,Camilla DEGN,,,,12,Catharina BROCH
8,748242,4.57,,VHK,Advarsel,A,,Ole BITSCH,,,,,
9,748242,5.35,0-2,NFH,Mål,VF,22,Zoë SPRENGERS,Assist,26,Mona OBAIDLI,16,Louise Bak JENSEN
10,748242,6.16,1-2,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,12,Catharina BROCH
11,748242,6.26,1-3,NFH,Mål,2:e,18,Alberte KIELSTRUP,,,,16,Louise Bak JENSEN
12,748242,6.41,,VHK,Tilkendt straffe,,77,Jana MITTÚN,Forårs. str.,26,Mona OBAIDLI,,
13,748242,6.55,,NFH,Udvisning,,26,Mona OBAIDLI,,,,,
14,748242,6.58,,VHK,Straffekast reddet,,19,Sara HALD,,,,12,Catharina BROCH
15,748242,7.49,,NFH,Fejlaflevering,,79,Kristina KRISTIANSEN,,,,,
16,748242,8.12,,VHK,Skud reddet,VF,14,Camilla DEGN,,,,12,Catharina BROCH
17,748242,8.57,,NFH,Skud på stolpe,VB,79,Kristina KRISTIANSEN,,,,16,Louise Bak JENSEN
18,748242,9.07,,VHK,Skud forbi,1:e,19,Sara HALD,,,,,
19,748242,9.18,1-4,NFH,Mål,PL,26,Mona OBAIDLI,,,,16,Louise Bak JENSEN
20,748242,9.39,,VHK,Time out,,,,,,,,
21,748242,10.07,,VHK,Tabt bold,,77,Jana MITTÚN,,,,,
22,748242,10.58,1-5,NFH,Mål,HB,18,Alberte KIELSTRUP,,,,16,Louise Bak JENSEN
