id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748245,0.00,,,Start 1:e halvleg,,,,,,,,
2,748245,0.37,1-0,SJE,Mål,VB,7,Melissa PETRÉN,,,,16,Amalie MILLING
3,748245,1.16,1-1,TES,Mål,ST,3,Kaja Kamp NIELSEN,Assist,25,Henny REISTAD,12,Stine BROLØS
4,748245,2.04,2-1,SJE,Mål,PL,7,Melissa PETRÉN,,,,16,Amalie MILLING
5,748245,2.17,,TES,Skud på stolpe,HB,18,Mette TRANBORG,,,,12,Stine BROLØS
6,748245,2.51,3-1,SJE,Mål,HF,6,Lea HANSEN,Assist,28,Sarah PAULSEN,16,Amalie MILLING
7,748245,3.35,3-2,TES,Mål,HF,20,Marit Røsberg JACOBSEN,Assist,18,Mette TRANBORG,12,Stine BROLØS
8,748245,3.46,,TES,Advarsel,,18,Mette TRANBORG,,,,,
9,748245,4.12,,SJE,Skud på stolpe,ST,31,Ida-Marie DAHL,Retur,6,Lea HANSEN,16,Amalie MILLING
10,748245,4.36,,SJE,Skud reddet,VB,7,Melissa PETRÉN,,,,16,Amalie MILLING
11,748245,4.47,,TES,Fejlaflevering,,18,Mette TRANBORG,,,,,
12,748245,5.14,,SJE,Skud blokeret,PL,28,Sarah PAULSEN,Blokeret af,18,Mette TRANBORG,,
13,748245,5.22,3-3,TES,Mål,1:e,25,Henny REISTAD,,,,12,Stine BROLØS
14,748245,5.54,,SJE,Fejlaflevering,,7,Melissa PETRÉN,Bold erobret,18,Mette TRANBORG,,
15,748245,6.00,3-4,TES,Mål,1:e,3,Kaja Kamp NIELSEN,Assist,25,Henny REISTAD,12,Stine BROLØS
16,748245,6.35,,SJE,Skud reddet,VB,14,Louise ELLEBÆK,,,,16,Amalie MILLING
17,748245,6.44,3-5,TES,Mål,2:e,22,Line HAUGSTED,,,,12,Stine BROLØS
18,748245,7.39,4-5,SJE,Mål,VF,17,June BØTTGER,Assist,14,Louise ELLEBÆK,16,Amalie MILLING
19,748245,7.52,4-6,TES,Mål,Gbr,18,Mette TRANBORG,Assist,25,Henny REISTAD,12,Stine BROLØS
20,748245,8.24,,SJE,Regelfejl,,28,Sarah PAULSEN,,,,,
