id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748246,0.00,,,Start 1:e halvleg,,,,,,,,
2,748246,0.31,,KBH,Skud reddet,PL,15,Emma NAVNE,,,,16,Johanne GRAUGAARD
3,748246,0.39,,EHA,Skud reddet,2:e,30,Clara LERBY,,,,2,Bianca SCHANSSEMA
4,748246,0.48,0-1,KBH,Mål,2:e,5,Clara SKØTT,Assist,21,Helene KINDBERG,16,Johanne GRAUGAARD
5,748246,1.26,1-1,EHA,Mål,Gbr,5,Anna Hviid BANG,,,,2,Bianca SCHANSSEMA
6,748246,2.24,,KBH,Tilkendt straffe,,5,Clara SKØTT,Forårs. str.,10,Sofie LASSEN,,
7,748246,2.29,1-2,KBH,Mål på straffe,,17,Tabea SCHMID,,,,16,Johanne GRAUGAARD
8,748246,3.01,,EHA,Tabt bold,,23,Silje BRØNS,,,,,
9,748246,3.08,1-3,KBH,Mål,2:e,17,Tabea SCHMID,Assist,21,Helene KINDBERG,16,Johanne GRAUGAARD
10,748246,3.18,,EHA,Skud reddet,2:e,21,Frederikke GULMARK,Retur,0,,2,Bianca SCHANSSEMA
11,748246,3.29,,EHA,Skud reddet,2:e,28,Maiken SKOV,Retur,0,,2,Bianca SCHANSSEMA
12,748246,4.17,,EHA,Skud på stolpe,PL,23,Silje BRØNS,,,,2,Bianca SCHANSSEMA
13,748246,4.58,,KBH,Skud reddet,Gbr,11,Martha NICKELSEN,,,,16,Johanne GRAUGAARD
14,748246,5.05,2-3,EHA,Mål,2:e,30,Clara LERBY,Assist,21,Frederikke GULMARK,2,Bianca SCHANSSEMA
15,748246,5.50,,KBH,Skud reddet,ST,17,Tabea SCHMID,,,,16,Johanne GRAUGAARD
16,748246,6.49,,EHA,Fejlaflevering,,23,Silje BRØNS,,,,,
17,748246,6.55,2-4,KBH,Mål,2:e,7,Emilie Ytting PEDERSEN,Assist,11,Martha NICKELSEN,16,Johanne GRAUGAARD
18,748246,7.49,,EHA,Fejlaflevering,,5,Anna Hviid BANG,,,,,
19,748246,8.35,2-5,KBH,Mål,Gbr,21,Helene KINDBERG,,,,16,Johanne GRAUGAARD
20,748246,9.56,,EHA,Skud reddet,VB,21,Frederikke GULMARK,,,,2,Bianca SCHANSSEMA
21,748246,10.27,2-6,KBH,Mål,Gbr,11,Martha NICKELSEN,Assist,21,Helene KINDBERG,16,Johanne GRAUGAARD
22,748246,10.37,,EHA,Time out,,,,,,,,
23,748246,10.59,,EHA,Skud reddet,Gbr,23,Silje BRØNS,Retur,0,,2,Bianca SCHANSSEMA
24,748246,11.47,,EHA,Regelfejl,,3,Liv SVEINBJØRNSDÓTTIR,,,,,
25,748246,12.13,,KBH,Tilkendt straffe,,17,Tabea SCHMID,Forårs. str.,10,Sofie LASSEN,,
26,748246,12.24,2-7,KBH,Mål på straffe,,17,Tabea SCHMID,,,,16,Johanne GRAUGAARD
27,748246,12.51,,EHA,Skud reddet,Gbr,21,Frederikke GULMARK,,,,2,Bianca SCHANSSEMA
28,748246,13.03,,KBH,Tilkendt straffe,,7,Emilie Ytting PEDERSEN,Forårs. str.,10,Sofie LASSEN,,
29,748246,13.21,2-8,KBH,Mål på straffe,,17,Tabea SCHMID,,,,1,Annika FRIDHEIM
30,748246,13.46,3-8,EHA,Mål,Gbr,21,Frederikke GULMARK,,,,2,Bianca SCHANSSEMA
31,748246,13.57,,KBH,Skud reddet,2:e,17,Tabea SCHMID,,,,16,Johanne GRAUGAARD
32,748246,14.33,,EHA,Skud reddet,ST,22,Mirja LYNGSØ,,,,2,Bianca SCHANSSEMA
33,748246,14.39,,KBH,Skud på stolpe,1:e,7,Emilie Ytting PEDERSEN,,,,16,Johanne GRAUGAARD
34,748246,15.03,,EHA,Skud reddet,PL,23,Silje BRØNS,Retur,0,,2,Bianca SCHANSSEMA
35,748246,15.17,4-8,EHA,Mål,VF,30,Clara LERBY,,,,2,Bianca SCHANSSEMA
36,748246,15.35,,KBH,Regelfejl,,15,Emma NAVNE,,,,,
37,748246,15.42,,EHA,Skud reddet,2:e,3,Liv SVEINBJØRNSDÓTTIR,,,,2,Bianca SCHANSSEMA
38,748246,15.51,,KBH,Fejlaflevering,,21,Helene KINDBERG,,,,,
39,748246,16.49,5-8,EHA,Mål,Gbr,23,Silje BRØNS,,,,2,Bianca SCHANSSEMA
40,748246,17.39,,KBH,Skud blokeret,PL,15,Emma NAVNE,Blok af (ret),0,,,
41,748246,17.53,5-9,KBH,Mål,Gbr,11,Martha NICKELSEN,Assist,7,Emilie Ytting PEDERSEN,16,Johanne GRAUGAARD
42,748246,18.39,,EHA,Skud reddet,Gbr,8,Tine GEERTSEN,,,,2,Bianca SCHANSSEMA
43,748246,18.48,,KBH,Regelfejl,,21,Helene KINDBERG,,,,,
44,748246,19.20,,EHA,Skud reddet,ST,22,Mirja LYNGSØ,,,,2,Bianca SCHANSSEMA
45,748246,19.30,5-10,KBH,Mål,Gbr,21,Helene KINDBERG,,,,16,Johanne GRAUGAARD
46,748246,19.50,,KBH,Advarsel,,15,Emma NAVNE,,,,,
47,748246,21.00,,EHA,Skud reddet,PL,19,Mette BRANDT,,,,2,Bianca SCHANSSEMA
48,748246,21.41,,KBH,Skud reddet,HF,9,Ditte BACH,,,,16,Johanne GRAUGAARD
49,748246,21.52,,EHA,Skud reddet,2:e,8,Tine GEERTSEN,,,,2,Bianca SCHANSSEMA
50,748246,22.03,5-11,KBH,Mål,2:e,21,Helene KINDBERG,,,,16,Johanne GRAUGAARD
51,748246,22.31,,KBH,Udvisning,,15,Emma NAVNE,,,,,
52,748246,22.45,6-11,EHA,Mål,HF,28,Maiken SKOV,Assist,19,Mette BRANDT,2,Bianca SCHANSSEMA
53,748246,23.38,6-12,KBH,Mål,PL,11,Martha NICKELSEN,,,,16,Johanne GRAUGAARD
54,748246,24.13,7-12,EHA,Mål,Gbr,19,Mette BRANDT,,,,2,Bianca SCHANSSEMA
55,748246,24.53,,KBH,Skud reddet,HF,9,Ditte BACH,,,,16,Johanne GRAUGAARD
56,748246,25.32,,EHA,Skud reddet,ST,9,Camilla THORHAUGE,,,,2,Bianca SCHANSSEMA
57,748246,26.10,7-13,KBH,Mål,PL,4,Catharina MOLENAAR,,,,16,Johanne GRAUGAARD
58,748246,26.56,8-13,EHA,Mål,Gbr,19,Mette BRANDT,Assist,9,Camilla THORHAUGE,2,Bianca SCHANSSEMA
59,748246,27.23,8-14,KBH,Mål,Gbr,15,Emma NAVNE,,,,16,Johanne GRAUGAARD
60,748246,28.21,9-14,EHA,Mål,HF,28,Maiken SKOV,Assist,19,Mette BRANDT,2,Bianca SCHANSSEMA
