id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748248,0.00,,,Start 1:e halvleg,,,,,,,,
2,748248,0.50,,ODE,Tilkendt straffe,,32,Mie HØJLUND,Forårs. str.,77,Alberte EBLER,,
3,748248,0.50,,AHB,Udvisning,,77,Alberte EBLER,,,,,
4,748248,0.52,1-0,ODE,Mål på straffe,,22,Ragnhild DAHL,,,,86,Sabine ENGLERT
5,748248,1.53,,AHB,Skud reddet,HF,25,Ida GÖTZSCHE,,,,38,Yara TEN HOLTE
6,748248,2.10,,ODE,Skud reddet,HF,6,Malin AUNE,,,,86,Sabine ENGLERT
7,748248,3.03,,AHB,Skud reddet,PL,14,Anna Berger WIERZBA,,,,38,Yara TEN HOLTE
8,748248,3.39,,ODE,Skud reddet,PL,68,Helena ELVER,,,,86,Sabine ENGLERT
9,748248,4.04,,AHB,Skud forbi,PL,15,Sofia DEEN,,,,38,Yara TEN HOLTE
10,748248,4.37,,ODE,Fejlaflevering,,32,Mie HØJLUND,,,,,
11,748248,5.35,,AHB,Regelfejl,,3,Sarah Vest KIRKELØKKE,,,,,
12,748248,6.12,,AHB,Advarsel,,15,Sofia DEEN,,,,,
13,748248,6.29,2-0,ODE,Mål,Gbr,33,Thale Rushfeldt DEILA,,,,86,Sabine ENGLERT
14,748248,7.12,,AHB,Fejlaflevering,,15,Sofia DEEN,Bold erobret,23,Elma HALILCEVIC,,
15,748248,7.18,3-0,ODE,Mål,1:e,23,Elma HALILCEVIC,Assist,44,Nikita Van Der VLIET,86,Sabine ENGLERT
16,748248,7.33,,AHB,Skud reddet,VB,15,Sofia DEEN,Retur,3,Sarah Vest KIRKELØKKE,38,Yara TEN HOLTE
17,748248,7.40,,AHB,Skud reddet,ST,3,Sarah Vest KIRKELØKKE,,,,38,Yara TEN HOLTE
18,748248,8.01,,ODE,Skud reddet,ST,44,Nikita Van Der VLIET,Retur,0,,86,Sabine ENGLERT
19,748248,8.23,,ODE,Skud reddet,PL,33,Thale Rushfeldt DEILA,Retur,0,,86,Sabine ENGLERT
20,748248,8.35,4-0,ODE,Mål,HF,6,Malin AUNE,Assist,68,Helena ELVER,86,Sabine ENGLERT
21,748248,9.10,4-1,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,14,Anna Berger WIERZBA,38,Yara TEN HOLTE
22,748248,9.42,,ODE,Skud reddet,PL,32,Mie HØJLUND,,,,86,Sabine ENGLERT
23,748248,9.53,,AHB,Skud reddet,2:e,77,Alberte EBLER,,,,38,Yara TEN HOLTE
24,748248,9.59,,ODE,Skud forbi,1:e,23,Elma HALILCEVIC,,,,86,Sabine ENGLERT
25,748248,10.33,,AHB,Skud reddet,PL,15,Sofia DEEN,,,,38,Yara TEN HOLTE
26,748248,10.52,,ODE,Skud reddet,ST,44,Nikita Van Der VLIET,,,,86,Sabine ENGLERT
27,748248,11.15,,AHB,Skud forbi,PL,77,Alberte EBLER,,,,38,Yara TEN HOLTE
28,748248,11.54,5-1,ODE,Mål,HF,6,Malin AUNE,Assist,68,Helena ELVER,86,Sabine ENGLERT
29,748248,12.47,5-2,AHB,Mål,HB,14,Anna Berger WIERZBA,,,,38,Yara TEN HOLTE
30,748248,12.59,,ODE,Tilkendt straffe,,68,Helena ELVER,Forårs. str.,3,Sarah Vest KIRKELØKKE,,
31,748248,13.23,6-2,ODE,Mål på straffe,,22,Ragnhild DAHL,,,,86,Sabine ENGLERT
32,748248,14.43,,AHB,Tilkendt straffe,,15,Sofia DEEN,Forårs. str.,20,Lysa DEFO,,
33,748248,15.00,6-3,AHB,Mål på straffe,,15,Sofia DEEN,,,,38,Yara TEN HOLTE
34,748248,15.35,7-3,ODE,Mål,Gbr,27,Louise BURGAARD,Assist,68,Helena ELVER,86,Sabine ENGLERT
35,748248,15.44,7-4,AHB,Mål,2:e,14,Anna Berger WIERZBA,,,,38,Yara TEN HOLTE
36,748248,15.57,8-4,ODE,Mål,ST,20,Lysa DEFO,Assist,27,Louise BURGAARD,86,Sabine ENGLERT
37,748248,16.28,,AHB,Tabt bold,,77,Alberte EBLER,Bold erobret,27,Louise BURGAARD,,
38,748248,16.33,,ODE,Fejlaflevering,,32,Mie HØJLUND,,,,,
39,748248,17.03,,AHB,Skud reddet,Gbr,77,Alberte EBLER,,,,38,Yara TEN HOLTE
40,748248,17.43,,ODE,Skud reddet,HF,6,Malin AUNE,Retur,0,,86,Sabine ENGLERT
41,748248,18.00,,ODE,Fejlaflevering,,6,Malin AUNE,Bold erobret,4,Katrine JACOBSEN,,
42,748248,18.05,8-5,AHB,Mål,1:e,4,Katrine JACOBSEN,,,,38,Yara TEN HOLTE
43,748248,18.25,,ODE,Skud reddet,Gbr,68,Helena ELVER,,,,86,Sabine ENGLERT
