id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748249,0.00,,,Start 1:e halvleg,,,,,,,,
2,748249,0.31,0-1,SVK,Mål,VF,7,Maja Munch LAURSEN,Assist,6,Thea RASMUSSEN,12,Catharina BROCH
3,748249,1.00,1-1,NFH,Mål,PL,26,Mona OBAIDLI,,,,16,Anna VENG
4,748249,1.46,1-2,SVK,Mål,Gbr,31,Andrea West BENDTSEN,,,,12,Catharina BROCH
5,748249,2.18,2-2,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,16,Anna VENG
6,748249,3.12,,SVK,Skud på stolpe,ST,15,Karen KLOKKER,,,,12,Catharina BROCH
7,748249,3.28,3-2,NFH,Mål,2:e,2,Caroline AAR,Assist,26,Mona OBAIDLI,16,Anna VENG
8,748249,4.07,,SVK,Regelfejl,,15,Karen KLOKKER,,,,,
9,748249,4.38,,NFH,Skud forbi,PL,79,Kristina KRISTIANSEN,,,,16,Anna VENG
10,748249,4.46,3-3,SVK,Mål,2:e,6,Thea RASMUSSEN,,,,12,Catharina BROCH
11,748249,5.05,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
12,748249,5.44,3-4,SVK,Mål,HB,4,Maria HOLM,,,,12,Catharina BROCH
13,748249,5.58,4-4,NFH,Mål,2:e,2,Caroline AAR,Assist,18,Alberte KIELSTRUP,16,Anna VENG
14,748249,6.36,4-5,SVK,Mål,PL,31,Andrea West BENDTSEN,,,,12,Catharina BROCH
15,748249,7.05,,NFH,Regelfejl,,2,Caroline AAR,,,,,
16,748249,8.22,,SVK,Skud blokeret,PL,31,Andrea West BENDTSEN,Blokeret af,8,Stine EIBERG,,
17,748249,8.32,,NFH,Fejlaflevering,,79,Kristina KRISTIANSEN,,,,,
18,748249,8.44,4-6,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,12,Catharina BROCH
19,748249,9.11,5-6,NFH,Mål,ST,2,Caroline AAR,Assist,26,Mona OBAIDLI,16,Anna VENG
20,748249,9.51,5-7,SVK,Mål,PL,4,Maria HOLM,,,,12,Catharina BROCH
21,748249,10.02,6-7,NFH,Mål,2:e,2,Caroline AAR,Assist,26,Mona OBAIDLI,16,Anna VENG
22,748249,10.04,,SVK,Udvisning,,31,Andrea West BENDTSEN,,,,,
23,748249,10.29,,SVK,Skud reddet,ST,15,Karen KLOKKER,Retur,0,,12,Catharina BROCH
24,748249,11.20,,SVK,Skud reddet,VB,6,Thea RASMUSSEN,,,,12,Catharina BROCH
25,748249,11.49,,NFH,Skud reddet,ST,2,Caroline AAR,,,,16,Anna VENG
26,748249,12.39,,SVK,Regelfejl,,15,Karen KLOKKER,,,,,
27,748249,12.49,,NFH,Skud på stolpe,2:e,7,Amalie WULFF,Retur,0,,16,Anna VENG
28,748249,12.52,,NFH,Tabt bold,,22,Zoë SPRENGERS,,,,16,Anna VENG
29,748249,12.59,,SVK,Skud reddet,2:e,31,Andrea West BENDTSEN,,,,12,Catharina BROCH
30,748249,13.31,7-7,NFH,Mål,HF,20,Maja MAGNUSSEN,Assist,18,Alberte KIELSTRUP,16,Anna VENG
31,748249,13.57,7-8,SVK,Mål,PL,6,Thea RASMUSSEN,,,,12,Catharina BROCH
32,748249,14.10,,NFH,Skud reddet,2:e,18,Alberte KIELSTRUP,Retur,0,,16,Anna VENG
33,748249,14.15,,NFH,Time out,,,,,,,,
34,748249,14.31,8-8,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,16,Anna VENG
35,748249,15.19,,SVK,Skud reddet,HB,4,Maria HOLM,,,,12,Catharina BROCH
36,748249,15.32,,NFH,Skud forbi,2:e,34,Sofie BARDRUM,,,,16,Anna VENG
37,748249,16.34,,SVK,Skud på stolpe,PL,4,Maria HOLM,,,,12,Catharina BROCH
38,748249,17.12,9-8,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,16,Anna VENG
39,748249,17.45,,SVK,Skud på stolpe,Gbr,15,Karen KLOKKER,,,,12,Catharina BROCH
40,748249,17.58,10-8,NFH,Mål,2:e,26,Mona OBAIDLI,,,,16,Anna VENG
41,748249,18.08,,SVK,Time out,,,,,,,,
42,748249,18.43,,SVK,Skud på stolpe,HB,11,Sara MADSEN,Retur,12,,12,Catharina BROCH
43,748249,19.07,10-9,SVK,Mål,VB,6,Thea RASMUSSEN,,,,12,Catharina BROCH
44,748249,19.20,11-9,NFH,Mål,2:e,22,Zoë SPRENGERS,Assist,7,Amalie WULFF,22,Stine BONDE
45,748249,19.53,,SVK,Skud reddet,PL,11,Sara MADSEN,,,,12,Catharina BROCH
46,748249,20.29,12-9,NFH,Mål,ST,34,Sofie BARDRUM,Assist,26,Mona OBAIDLI,22,Stine BONDE
47,748249,21.04,,SVK,Skud reddet,PL,11,Sara MADSEN,,,,12,Catharina BROCH
48,748249,21.19,13-9,NFH,Mål,2:e,22,Zoë SPRENGERS,Assist,7,Amalie WULFF,22,Stine BONDE
49,748249,21.33,13-10,SVK,Mål,2:e,6,Thea RASMUSSEN,,,,12,Catharina BROCH
50,748249,21.44,,NFH,Skud reddet,2:e,20,Maja MAGNUSSEN,,,,22,Stine BONDE
51,748249,22.19,,SVK,Skud blokeret,VB,11,Sara MADSEN,Blok af (ret),6,Moa HÖGDAHL,,
52,748249,22.59,,SVK,Skud forbi,HB,3,Isabella POULSEN,,,,12,Catharina BROCH
53,748249,23.05,14-10,NFH,Mål,2:e,7,Amalie WULFF,,,,22,Stine BONDE
54,748249,23.51,,NFH,Advarsel,,34,Sofie BARDRUM,,,,,
55,748249,24.16,14-11,SVK,Mål,Gbr,11,Sara MADSEN,,,,12,Catharina BROCH
56,748249,24.42,,NFH,Tabt bold,,7,Amalie WULFF,Bold erobret,31,Andrea West BENDTSEN,,
57,748249,25.25,14-12,SVK,Mål,ST,13,Mathilde KRISTENSEN,Assist,27,Marigona HAJDARI,12,Catharina BROCH
58,748249,26.24,15-12,NFH,Mål,PL,26,Mona OBAIDLI,,,,22,Stine BONDE
