id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748250,0.00,,,Start 1:e halvleg,,,,,,,,
2,748250,0.56,0-1,VHK,Mål,HF,18,Henriette HANSEN,Assist,62,Louise SØNDERGAARD,16,Andrea AUSTMO
3,748250,1.40,1-1,HHE,Mål,HB,19,Frida Haug HOEL,,,,16,Louise Bak JENSEN
4,748250,2.19,,VHK,Tilkendt straffe,,77,Jana MITTÚN,Forårs. str.,21,Romee MAARSCHALKEWEERD,,
5,748250,2.27,,HHE,Advarsel,,21,Romee MAARSCHALKEWEERD,,,,,
6,748250,2.38,1-2,VHK,Mål på straffe,,19,Sara HALD,,,,16,Andrea AUSTMO
7,748250,3.34,,HHE,Skud på stolpe,Gbr,39,Melanie BAK,,,,16,Louise Bak JENSEN
8,748250,4.20,1-3,VHK,Mål,HB,62,Louise SØNDERGAARD,,,,16,Andrea AUSTMO
9,748250,4.32,,HHE,Skud reddet,2:e,14,Mai KRAGBALLE,,,,16,Louise Bak JENSEN
10,748250,4.47,,VHK,Tilkendt straffe,,77,Jana MITTÚN,Forårs. str.,11,Fanny ELOVSSON,,
11,748250,5.03,1-4,VHK,Mål på straffe,,19,Sara HALD,,,,16,Andrea AUSTMO
12,748250,5.38,,HHE,Tilkendt straffe,,39,Melanie BAK,Forårs. str.,26,Christina PEDERSEN,,
13,748250,5.38,,VHK,Udvisning,,26,Christina PEDERSEN,,,,,
14,748250,5.40,2-4,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,16,Louise Bak JENSEN
15,748250,6.18,2-5,VHK,Mål,Gbr,77,Jana MITTÚN,,,,16,Andrea AUSTMO
16,748250,6.28,,HHE,Skud forbi,2:e,21,Romee MAARSCHALKEWEERD,,,,,
17,748250,6.56,,VHK,Skud reddet,VF,14,Camilla DEGN,,,,16,Andrea AUSTMO
18,748250,7.38,,VHK,Advarsel,,19,Sara HALD,,,,,
19,748250,8.00,,HHE,Skud reddet,PL,14,Mai KRAGBALLE,Retur,,,16,Louise Bak JENSEN
20,748250,8.10,,HHE,Tilkendt straffe,,9,Annika MEYER,Forårs. str.,19,Sara HALD,,
21,748250,8.12,3-5,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,12,Ida Marie KAYSEN
22,748250,9.00,3-6,VHK,Mål,Gbr,62,Louise SØNDERGAARD,,,,16,Andrea AUSTMO
23,748250,9.53,,HHE,Skud forbi,HB,19,Frida Haug HOEL,,,,16,Louise Bak JENSEN
24,748250,10.04,3-7,VHK,Mål,2:e,14,Camilla DEGN,Assist,5,Marielle MARTINSEN,16,Andrea AUSTMO
25,748250,10.48,,HHE,Regelfejl,,19,Frida Haug HOEL,,,,,
26,748250,10.59,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,21,Romee MAARSCHALKEWEERD,,
27,748250,11.19,,VHK,Straffekast reddet,,62,Louise SØNDERGAARD,,,,16,Andrea AUSTMO
28,748250,12.02,,HHE,Skud reddet,ST,21,Romee MAARSCHALKEWEERD,,,,16,Louise Bak JENSEN
29,748250,12.13,,VHK,Skud forbi,2:e,18,Henriette HANSEN,,,,16,Andrea AUSTMO
30,748250,12.18,,HHE,Time out,,,,,,,,
31,748250,12.50,,HHE,Skud reddet,HB,19,Frida Haug HOEL,Retur,,,16,Louise Bak JENSEN
32,748250,13.32,4-7,HHE,Mål,HB,19,Frida Haug HOEL,,,,16,Louise Bak JENSEN
33,748250,13.44,,VHK,Skud blokeret,2:e,5,Marielle MARTINSEN,Blokeret af,9,Annika MEYER,,
34,748250,13.51,5-7,HHE,Mål,2:e,11,Fanny ELOVSSON,,,,16,Louise Bak JENSEN
35,748250,14.44,5-8,VHK,Mål,VF,14,Camilla DEGN,Assist,26,Christina PEDERSEN,16,Andrea AUSTMO
36,748250,15.15,6-8,HHE,Mål,ST,9,Annika MEYER,Assist,11,Fanny ELOVSSON,16,Louise Bak JENSEN
37,748250,16.02,,VHK,Fejlaflevering,,62,Louise SØNDERGAARD,,,,,
38,748250,16.43,,HHE,Skud reddet,PL,11,Fanny ELOVSSON,,,,16,Louise Bak JENSEN
39,748250,16.50,,VHK,Skud reddet,1:e,26,Christina PEDERSEN,Retur,,,16,Andrea AUSTMO
40,748250,17.31,,VHK,Tilkendt straffe,,77,Jana MITTÚN,Forårs. str.,21,Romee MAARSCHALKEWEERD,,
41,748250,17.46,6-9,VHK,Mål på straffe,,19,Sara HALD,,,,16,Andrea AUSTMO
42,748250,18.24,7-9,HHE,Mål,Gbr,14,Mai KRAGBALLE,,,,16,Louise Bak JENSEN
43,748250,18.32,7-10,VHK,Mål,2:e,5,Marielle MARTINSEN,,,,16,Andrea AUSTMO
44,748250,19.20,,HHE,Skud reddet,Gbr,39,Melanie BAK,Retur,,,16,Louise Bak JENSEN
