id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748251,0.00,,,Start 1:e halvleg,,,,,,,,
2,748251,0.32,,BFH,Skud reddet,VB,31,Marianne HAUGSTED,,,,12,Sarah ERNEBJERG
3,748251,1.03,,SKB,Skud reddet,Gbr,14,Verona REXHEPI,Retur,0,,24,Josephine NORDSTRØM
4,748251,1.35,1-0,SKB,Mål,ST,2,Boline LAURSEN,Assist,14,Verona REXHEPI,24,Josephine NORDSTRØM
5,748251,2.15,,BFH,Skud reddet,ST,18,Sidsel POULSEN,,,,12,Sarah ERNEBJERG
6,748251,2.37,,SKB,Skud blokeret,VB,14,Verona REXHEPI,Blok af (ret),11,Arlinda HAJDARI,,
7,748251,2.59,,SKB,Skud reddet,PL,3,Clara BANG,,,,24,Josephine NORDSTRØM
8,748251,3.08,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,2,Boline LAURSEN,,
9,748251,3.57,,SKB,Fejlaflevering,,20,Suna HANSEN,Bold erobret,11,Arlinda HAJDARI,,
10,748251,4.01,1-1,BFH,Mål,1:e,19,Rikke Dahl NIELSEN,Assist,11,Arlinda HAJDARI,12,Sarah ERNEBJERG
11,748251,4.33,,SKB,Tabt bold,,4,Emilie BECH,,,,,
12,748251,5.06,,BFH,Regelfejl,,18,Sidsel POULSEN,,,,,
13,748251,5.13,2-1,SKB,Mål,2:e,20,Suna HANSEN,,,,24,Josephine NORDSTRØM
14,748251,5.55,,BFH,Skud forbi,PL,31,Marianne HAUGSTED,,,,12,Sarah ERNEBJERG
15,748251,6.00,,SKB,Tabt bold,,14,Verona REXHEPI,,,,,
16,748251,6.37,2-2,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,12,Sarah ERNEBJERG
17,748251,6.47,,SKB,Skud på stolpe,1:e,14,Verona REXHEPI,,,,24,Josephine NORDSTRØM
18,748251,7.16,,BFH,Skud blokeret,PL,7,Line GYLDENLØVE,Blokeret af,10,Filippa NEDOVIC,,
19,748251,7.49,3-2,SKB,Mål,PL,3,Clara BANG,,,,24,Josephine NORDSTRØM
20,748251,8.27,,BFH,Skud reddet,VB,7,Line GYLDENLØVE,,,,12,Sarah ERNEBJERG
21,748251,9.03,,SKB,Fejlaflevering,,20,Suna HANSEN,,,,,
22,748251,9.36,,BFH,Skud forbi,PL,31,Marianne HAUGSTED,,,,12,Sarah ERNEBJERG
23,748251,9.44,4-2,SKB,Mål,2:e,2,Boline LAURSEN,Assist,3,Clara BANG,24,Josephine NORDSTRØM
24,748251,10.30,4-3,BFH,Mål,HF,44,Louise HALD,Assist,7,Line GYLDENLØVE,12,Sarah ERNEBJERG
25,748251,10.30,,SKB,Udvisning,,25,Astrid LYNNERUP,,,,,
26,748251,11.16,,SKB,Skud blokeret,PL,20,Suna HANSEN,Blokeret af,18,Sidsel POULSEN,,
27,748251,11.49,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,14,Verona REXHEPI,,
28,748251,11.52,5-3,SKB,Mål,1:e,14,Verona REXHEPI,,,,0,
29,748251,12.40,5-4,BFH,Mål,HF,44,Louise HALD,Assist,72,Line FRANDSEN,12,Sarah ERNEBJERG
