id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748256,0.00,,,Start 1:e halvleg,,,,,,,,
2,748256,0.43,,VHK,Skud på stolpe,HF,18,Henriette HANSEN,,,,12,Sarah ERNEBJERG
3,748256,1.16,0-1,SKB,Mål,PL,3,Clara BANG,,,,16,Louise Bak JENSEN
4,748256,1.30,,VHK,Tabt bold,,5,Marielle MARTINSEN,,,,,
5,748256,1.39,,SKB,Fejlaflevering,,14,Verona REXHEPI,,,,,
6,748256,2.14,1-1,VHK,Mål,PL,26,Christina PEDERSEN,,,,12,Sarah ERNEBJERG
7,748256,2.22,1-2,SKB,Mål,2:e,20,Suna HANSEN,,,,16,Louise Bak JENSEN
8,748256,3.17,,VHK,Fejlaflevering,,62,Louise SØNDERGAARD,Bold erobret,14,Verona REXHEPI,,
9,748256,3.27,,SKB,Tilkendt straffe,,20,Suna HANSEN,Forårs. str.,77,Jana MITTÚN,,
10,748256,3.33,1-3,SKB,Mål på straffe,,11,Mia LAGUMDZIJA,,,,12,Ida Marie KAYSEN
11,748256,4.03,,VHK,Skud reddet,Gbr,62,Louise SØNDERGAARD,,,,12,Sarah ERNEBJERG
12,748256,4.15,1-4,SKB,Mål,2:e,3,Clara BANG,,,,16,Louise Bak JENSEN
13,748256,4.45,2-4,VHK,Mål,Gbr,77,Jana MITTÚN,,,,12,Sarah ERNEBJERG
14,748256,5.21,,SKB,Tilkendt straffe,,3,Clara BANG,Forårs. str.,5,Marielle MARTINSEN,,
15,748256,5.30,2-5,SKB,Mål på straffe,,11,Mia LAGUMDZIJA,,,,12,Ida Marie KAYSEN
16,748256,6.03,3-5,VHK,Mål,VF,14,Camilla DEGN,Assist,26,Christina PEDERSEN,12,Sarah ERNEBJERG
17,748256,6.40,,SKB,Skud reddet,VB,14,Verona REXHEPI,,,,16,Louise Bak JENSEN
18,748256,7.10,,VHK,Tabt bold,,62,Louise SØNDERGAARD,,,,,
19,748256,7.53,3-6,SKB,Mål,Gbr,14,Verona REXHEPI,,,,16,Louise Bak JENSEN
20,748256,8.41,4-6,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,12,Sarah ERNEBJERG
21,748256,8.56,,SKB,Tabt bold,,25,Astrid LYNNERUP,,,,,
22,748256,9.04,,VHK,Skud reddet,HF,18,Henriette HANSEN,,,,12,Sarah ERNEBJERG
23,748256,9.44,4-7,SKB,Mål,PL,3,Clara BANG,,,,16,Louise Bak JENSEN
24,748256,9.56,,VHK,Skud reddet,2:e,19,Sara HALD,,,,12,Sarah ERNEBJERG
25,748256,10.51,,VHK,Advarsel,,9,Laura THESTRUP,,,,,
26,748256,11.12,4-8,SKB,Mål,ST,10,Filippa NEDOVIC,Assist,20,Suna HANSEN,16,Louise Bak JENSEN
27,748256,11.15,,VHK,Time out,,,,,,,,
28,748256,11.54,5-8,VHK,Mål,Gbr,26,Christina PEDERSEN,,,,12,Sarah ERNEBJERG
29,748256,12.35,,SKB,Skud reddet,ST,10,Filippa NEDOVIC,,,,16,Louise Bak JENSEN
30,748256,12.59,,VHK,Fejlaflevering,,77,Jana MITTÚN,Bold erobret,14,Verona REXHEPI,,
31,748256,13.29,5-9,SKB,Mål,HF,22,Anne-Sofie FILTENBORG,Assist,14,Verona REXHEPI,16,Louise Bak JENSEN
32,748256,14.00,6-9,VHK,Mål,PL,62,Louise SØNDERGAARD,,,,12,Sarah ERNEBJERG
33,748256,14.35,6-10,SKB,Mål,Gbr,20,Suna HANSEN,,,,16,Louise Bak JENSEN
34,748256,15.15,,VHK,Tilkendt straffe,,21,Anne HYKKELBJERG,Forårs. str.,22,Anne-Sofie FILTENBORG,,
35,748256,15.23,,SKB,Advarsel,,22,Anne-Sofie FILTENBORG,,,,,
36,748256,15.39,,VHK,Straffekast reddet,,19,Sara HALD,,,,12,Sarah ERNEBJERG
37,748256,16.15,,VHK,Advarsel,,5,Marielle MARTINSEN,,,,,
38,748256,16.43,,SKB,Tabt bold,,14,Verona REXHEPI,,,,,
39,748256,16.48,,VHK,Tabt bold,,14,Camilla DEGN,,,,,
40,748256,17.20,6-11,SKB,Mål,HF,22,Anne-Sofie FILTENBORG,Assist,3,Clara BANG,16,Louise Bak JENSEN
41,748256,17.29,7-11,VHK,Mål,2:e,21,Anne HYKKELBJERG,Assist,5,Marielle MARTINSEN,12,Sarah ERNEBJERG
42,748256,17.49,,SKB,Fejlaflevering,,20,Suna HANSEN,,,,,
43,748256,17.56,,VHK,Skud reddet,1:e,18,Henriette HANSEN,Retur,0,,12,Sarah ERNEBJERG
44,748256,18.00,,VHK,Skud reddet,2:e,14,Camilla DEGN,,,,12,Sarah ERNEBJERG
45,748256,18.27,,SKB,Fejlaflevering,,3,Clara BANG,Bold erobret,26,Christina PEDERSEN,,
46,748256,18.31,8-11,VHK,Mål,1:e,26,Christina PEDERSEN,,,,12,Sarah ERNEBJERG
47,748256,19.06,,SKB,Skud reddet,Gbr,3,Clara BANG,,,,16,Louise Bak JENSEN
