id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748257,0.00,,,Start 1:e halvleg,,,,,,,,
2,748257,0.34,,SVK,Skud reddet,VB,31,Andrea West BENDTSEN,,,,16,Andrea AUSTMO
3,748257,1.15,,HHE,Skud reddet,Gbr,19,Frida Haug HOEL,,,,22,Stine BONDE
4,748257,1.25,,SVK,Skud forbi,2:e,23,Thilde FRANDSEN,,,,16,Andrea AUSTMO
5,748257,1.52,0-1,HHE,Mål,ST,9,Annika MEYER,Assist,39,Melanie BAK,22,Stine BONDE
6,748257,2.00,,SVK,Skud blokeret,PL,31,Andrea West BENDTSEN,Blokeret af,21,Romee MAARSCHALKEWEERD,,
7,748257,2.13,,HHE,Skud reddet,2:e,22,Sille Cecilie SORTH,,,,22,Stine BONDE
8,748257,2.49,1-1,SVK,Mål,HB,31,Andrea West BENDTSEN,,,,16,Andrea AUSTMO
9,748257,3.29,,HHE,Skud reddet,PL,39,Melanie BAK,,,,22,Stine BONDE
10,748257,3.58,2-1,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,16,Andrea AUSTMO
11,748257,4.39,,HHE,Regelfejl,,39,Melanie BAK,,,,,
12,748257,4.45,,SVK,Skud reddet,1:e,15,Karen KLOKKER,,,,16,Andrea AUSTMO
13,748257,4.56,2-2,HHE,Mål,2:e,22,Sille Cecilie SORTH,Assist,14,Mai KRAGBALLE,22,Stine BONDE
14,748257,5.29,,SVK,Tabt bold,,15,Karen KLOKKER,,,,,
15,748257,5.37,2-3,HHE,Mål,2:e,19,Frida Haug HOEL,,,,22,Stine BONDE
16,748257,5.46,,SVK,Fejlaflevering,,4,Maria HOLM,,,,,
17,748257,6.24,2-4,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,14,Mai KRAGBALLE,22,Stine BONDE
18,748257,7.44,,SVK,Skud reddet,HB,4,Maria HOLM,Retur,0,,16,Andrea AUSTMO
19,748257,8.10,3-4,SVK,Mål,VB,31,Andrea West BENDTSEN,,,,16,Andrea AUSTMO
20,748257,8.42,,HHE,Skud reddet,Gbr,19,Frida Haug HOEL,,,,22,Stine BONDE
21,748257,8.52,,SVK,Tilkendt straffe,,6,Thea RASMUSSEN,Forårs. str.,9,Annika MEYER,16,Andrea AUSTMO
22,748257,9.22,,SVK,Straffekast på stolpe,,21,Maja EDLING,,,,16,Andrea AUSTMO
23,748257,10.07,,HHE,Skud reddet,HB,19,Frida Haug HOEL,,,,22,Stine BONDE
24,748257,10.22,,SVK,Skud forbi,2:e,31,Andrea West BENDTSEN,,,,16,Andrea AUSTMO
25,748257,10.31,3-5,HHE,Mål,2:e,14,Mai KRAGBALLE,,,,22,Stine BONDE
26,748257,11.33,4-5,SVK,Mål,PL,11,Sara MADSEN,,,,16,Andrea AUSTMO
27,748257,12.05,,HHE,Regelfejl,,39,Melanie BAK,,,,,
28,748257,12.10,5-5,SVK,Mål,1:e,7,Maja Munch LAURSEN,Assist,31,Andrea West BENDTSEN,16,Andrea AUSTMO
29,748257,12.52,,SVK,Advarsel,,13,Mathilde KRISTENSEN,,,,,
30,748257,13.00,5-6,HHE,Mål,Gbr,19,Frida Haug HOEL,,,,22,Stine BONDE
31,748257,13.08,,SVK,Skud reddet,2:e,7,Maja Munch LAURSEN,,,,16,Andrea AUSTMO
32,748257,13.43,5-7,HHE,Mål,PL,19,Frida Haug HOEL,,,,22,Stine BONDE
33,748257,13.55,,SVK,Skud på stolpe,2:e,7,Maja Munch LAURSEN,,,,16,Andrea AUSTMO
34,748257,14.38,5-8,HHE,Mål,PL,7,Maria Palsdottir NÓLSOY,,,,22,Stine BONDE
35,748257,14.50,,HHE,Advarsel,,20,Ditte TOKKESDAL,,,,,
36,748257,15.29,,SVK,Skud reddet,PL,11,Sara MADSEN,,,,16,Andrea AUSTMO
37,748257,16.01,,HHE,Fejlaflevering,,7,Maria Palsdottir NÓLSOY,,,,,
38,748257,16.08,,HHE,Udvisning,,21,Romee MAARSCHALKEWEERD,,,,,
39,748257,16.25,6-8,SVK,Mål,HF,23,Thilde FRANDSEN,Assist,4,Maria HOLM,16,Andrea AUSTMO
40,748257,16.59,,HHE,Skud forbi,HF,22,Sille Cecilie SORTH,,,,22,Stine BONDE
41,748257,17.23,,SVK,Tabt bold,,6,Thea RASMUSSEN,,,,,
42,748257,18.04,,HHE,Skud reddet,HB,19,Frida Haug HOEL,,,,22,Stine BONDE
43,748257,18.16,,SVK,Skud forbi,2:e,6,Thea RASMUSSEN,,,,16,Andrea AUSTMO
44,748257,18.44,6-9,HHE,Mål,Gbr,7,Maria Palsdottir NÓLSOY,Assist,14,Mai KRAGBALLE,22,Stine BONDE
45,748257,19.22,7-9,SVK,Mål,PL,11,Sara MADSEN,,,,16,Andrea AUSTMO
46,748257,19.57,,HHE,Skud forbi,Gbr,19,Frida Haug HOEL,,,,22,Stine BONDE
47,748257,20.02,,SVK,Fejlaflevering,,22,Stine BONDE,,,,,
48,748257,20.10,,HHE,Time out,,,,,,,,
49,748257,20.34,,HHE,Tilkendt straffe,,33,Laura Holm ANDERSEN,Forårs. str.,23,Thilde FRANDSEN,22,Stine BONDE
50,748257,20.51,7-10,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,22,Stine BONDE
51,748257,21.44,8-10,SVK,Mål,Gbr,27,Marigona HAJDARI,,,,16,Andrea AUSTMO
52,748257,22.25,8-11,HHE,Mål,VB,14,Mai KRAGBALLE,,,,22,Stine BONDE
53,748257,23.22,9-11,SVK,Mål,PL,11,Sara MADSEN,,,,16,Andrea AUSTMO
54,748257,24.01,9-12,HHE,Mål,Gbr,7,Maria Palsdottir NÓLSOY,Assist,39,Melanie BAK,22,Stine BONDE
55,748257,24.38,10-12,SVK,Mål,Gbr,11,Sara MADSEN,,,,16,Andrea AUSTMO
56,748257,25.25,10-13,HHE,Mål,VB,14,Mai KRAGBALLE,,,,22,Stine BONDE
57,748257,25.36,,SVK,Skud reddet,2:e,21,Maja EDLING,,,,16,Andrea AUSTMO
58,748257,26.07,10-14,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,39,Melanie BAK,22,Stine BONDE
59,748257,26.45,,SVK,Skud på stolpe,VB,3,Isabella POULSEN,Retur,23,Thilde FRANDSEN,16,Andrea AUSTMO
60,748257,27.02,,SVK,Skud blokeret,PL,11,Sara MADSEN,Blok af (ret),21,Romee MAARSCHALKEWEERD,,
61,748257,27.24,,SVK,Skud reddet,VF,21,Maja EDLING,,,,16,Andrea AUSTMO
62,748257,27.49,10-15,HHE,Mål,PL,14,Mai KRAGBALLE,,,,16,Anna VENG
