id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748258,0.00,,,Start 1:e halvleg,,,,,,,,
2,748258,0.46,,NFH,Skud blokeret,PL,26,Mona OBAIDLI,Blokeret af,17,Line Berggren LARSEN,,
3,748258,1.00,,AHB,Regelfejl,,17,Line Berggren LARSEN,,,,,
4,748258,1.31,,NFH,Tilkendt straffe,,2,Caroline AAR,Forårs. str.,7,Emma MOGENSEN,,
5,748258,1.38,,AHB,Advarsel,,7,Emma MOGENSEN,,,,,
6,748258,2.14,,NFH,Straffekast forbi,,34,Sofie BARDRUM,,,,86,Sabine ENGLERT
7,748258,2.38,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,,,,1,Sofie BÖRJESSON
8,748258,2.45,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
9,748258,2.52,,AHB,Tilkendt straffe,,3,Sarah Vest KIRKELØKKE,Forårs. str.,22,Zoë SPRENGERS,,
10,748258,3.16,1-0,AHB,Mål på straffe,,15,Sofia DEEN,,,,1,Sofie BÖRJESSON
11,748258,3.42,1-1,NFH,Mål,ST,2,Caroline AAR,Assist,20,Maja MAGNUSSEN,86,Sabine ENGLERT
12,748258,4.26,,AHB,Fejlaflevering,,77,Alberte EBLER,Bold erobret,49,Aimée VON PEREIRA,,
13,748258,4.34,,NFH,Skud reddet,1:e,2,Caroline AAR,,,,86,Sabine ENGLERT
14,748258,4.43,,NFH,Advarsel,,20,Maja MAGNUSSEN,,,,,
15,748258,5.10,,AHB,Skud forbi,Gbr,17,Line Berggren LARSEN,,,,1,Sofie BÖRJESSON
16,748258,5.20,1-2,NFH,Mål,2:e,20,Maja MAGNUSSEN,Assist,49,Aimée VON PEREIRA,86,Sabine ENGLERT
17,748258,5.53,2-2,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,1,Sofie BÖRJESSON
18,748258,6.48,,NFH,Skud forbi,HB,18,Alberte KIELSTRUP,,,,86,Sabine ENGLERT
19,748258,7.23,,AHB,Skud reddet,ST,3,Sarah Vest KIRKELØKKE,,,,1,Sofie BÖRJESSON
20,748258,7.57,2-3,NFH,Mål,ST,2,Caroline AAR,Assist,20,Maja MAGNUSSEN,86,Sabine ENGLERT
21,748258,8.08,,AHB,Skud på stolpe,2:e,25,Ida GÖTZSCHE,,,,1,Sofie BÖRJESSON
22,748258,8.19,,NFH,Skud reddet,PL,18,Alberte KIELSTRUP,,,,86,Sabine ENGLERT
23,748258,8.25,3-3,AHB,Mål,1:e,18,Mathilde ØSTERGAARD,Assist,86,Sabine ENGLERT,1,Sofie BÖRJESSON
24,748258,8.59,3-4,NFH,Mål,PL,79,Kristina KRISTIANSEN,,,,86,Sabine ENGLERT
25,748258,9.12,,AHB,Tilkendt straffe,,3,Sarah Vest KIRKELØKKE,Forårs. str.,26,Mona OBAIDLI,,
26,748258,9.33,4-4,AHB,Mål på straffe,,15,Sofia DEEN,,,,1,Sofie BÖRJESSON
27,748258,9.58,,NFH,Skud reddet,PL,18,Alberte KIELSTRUP,,,,86,Sabine ENGLERT
28,748258,10.06,,AHB,Fejlaflevering,,86,Sabine ENGLERT,Bold erobret,26,Mona OBAIDLI,,
29,748258,10.36,,NFH,Regelfejl,,22,Zoë SPRENGERS,,,,,
30,748258,10.52,,AHB,Skud forbi,2:e,77,Alberte EBLER,,,,1,Sofie BÖRJESSON
31,748258,11.03,,NFH,Skud forbi,2:e,26,Mona OBAIDLI,,,,86,Sabine ENGLERT
32,748258,11.12,,AHB,Skud reddet,2:e,25,Ida GÖTZSCHE,,,,1,Sofie BÖRJESSON
33,748258,11.42,4-5,NFH,Mål,ST,18,Alberte KIELSTRUP,Assist,79,Kristina KRISTIANSEN,86,Sabine ENGLERT
34,748258,12.13,,AHB,Skud blokeret,HB,77,Alberte EBLER,Blokeret af,26,Mona OBAIDLI,,
35,748258,12.54,,NFH,Fejlaflevering,,79,Kristina KRISTIANSEN,,,,,
36,748258,13.04,,AHB,Skud forbi,2:e,25,Ida GÖTZSCHE,,,,1,Sofie BÖRJESSON
37,748258,13.38,,NFH,Regelfejl,,2,Caroline AAR,,,,,
38,748258,13.48,5-5,AHB,Mål,2:e,18,Mathilde ØSTERGAARD,Assist,14,Anna Berger WIERZBA,1,Sofie BÖRJESSON
39,748258,14.33,,NFH,Skud reddet,HF,20,Maja MAGNUSSEN,,,,86,Sabine ENGLERT
40,748258,15.32,,AHB,Fejlaflevering,,14,Anna Berger WIERZBA,Bold erobret,20,Maja MAGNUSSEN,,
41,748258,16.09,5-6,NFH,Mål,ST,34,Sofie BARDRUM,Assist,26,Mona OBAIDLI,86,Sabine ENGLERT
42,748258,16.19,,AHB,Time out,,,,,,,,
43,748258,16.54,6-6,AHB,Mål,VB,15,Sofia DEEN,,,,1,Sofie BÖRJESSON
44,748258,17.40,6-7,NFH,Mål,ST,34,Sofie BARDRUM,Assist,26,Mona OBAIDLI,86,Sabine ENGLERT
45,748258,18.19,,AHB,Tilkendt straffe,,17,Line Berggren LARSEN,Forårs. str.,26,Mona OBAIDLI,,
46,748258,18.19,,NFH,Udvisning,,26,Mona OBAIDLI,,,,,
47,748258,18.25,7-7,AHB,Mål på straffe,,15,Sofia DEEN,,,,12,Catharina BROCH
48,748258,19.08,,NFH,Skud reddet,ST,34,Sofie BARDRUM,Retur,0,86,86,Sabine ENGLERT
49,748258,19.41,,NFH,Regelfejl,,7,Amalie WULFF,,,,,
50,748258,20.01,8-7,AHB,Mål,Gbr,17,Line Berggren LARSEN,,,,1,Sofie BÖRJESSON
51,748258,20.43,8-8,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,86,Sabine ENGLERT
52,748258,20.52,,NFH,Udvisning (2x),,34,Sofie BARDRUM,,,,,
53,748258,21.13,,AHB,Skud på stolpe,HF,77,Alberte EBLER,,,,1,Sofie BÖRJESSON
54,748258,21.42,,NFH,Tilkendt straffe,,26,Mona OBAIDLI,Forårs. str.,17,Line Berggren LARSEN,,
55,748258,22.01,,NFH,Mål på straffe,,49,Aimée VON PEREIRA,,,,86,Sabine ENGLERT
56,748258,22.33,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
57,748258,23.19,8-10,NFH,Mål,PL,26,Mona OBAIDLI,,,,86,Sabine ENGLERT
58,748258,23.47,9-10,AHB,Mål,ST,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,1,Sofie BÖRJESSON
59,748258,24.21,,NFH,Skud på stolpe,Gbr,26,Mona OBAIDLI,,,,86,Sabine ENGLERT
60,748258,24.28,10-10,AHB,Mål,1:e,,,,,,86,Sabine ENGLERT
61,748258,24.53,,NFH,Time out,,,,,,,,
62,748258,25.05,,NFH,Tabt bold,,2,Caroline AAR,,,,,
63,748258,25.55,,AHB,Skud reddet,PL,23,Nikoline SAX,,,,1,Sofie BÖRJESSON
64,748258,26.25,10-11,NFH,Mål,Gbr,26,Mona OBAIDLI,,,,86,Sabine ENGLERT
65,748258,26.59,,AHB,Skud reddet,Gbr,14,Anna Berger WIERZBA,Retur,0,,1,Sofie BÖRJESSON
66,748258,27.27,,AHB,Tabt bold,,15,Sofia DEEN,,,,,
67,748258,28.07,,NFH,Skud reddet,PL,26,Mona OBAIDLI,,,,86,Sabine ENGLERT
68,748258,28.36,,AHB,Skud blokeret,PL,15,Sofia DEEN,Blok af (ret),8,Stine EIBERG,,
69,748258,28.46,,AHB,Regelfejl,,23,Nikoline SAX,,,,,
70,748258,29.13,10-12,NFH,Mål,VF,22,Zoë SPRENGERS,Assist,6,Moa HÖGDAHL,86,Sabine ENGLERT
71,748258,29.21,,AHB,Tabt bold,,15,Sofia DEEN,,,,,
72,748258,29.27,10-13,NFH,Mål,1:e,26,Mona OBAIDLI,Assist,20,Maja MAGNUSSEN,86,Sabine ENGLERT
73,748258,30.00,10-13,,Halvleg,,,,,,,,
74,748258,30.00,,,Start 2:e halvleg,,,,,,,,
75,748258,30.30,,AHB,Regelfejl,,10,Frederikke WAAGE-JENSEN,,,,,
76,748258,31.03,10-14,NFH,Mål,Gbr,6,Moa HÖGDAHL,,,,86,Sabine ENGLERT
77,748258,31.18,11-14,AHB,Mål,HB,17,Line Berggren LARSEN,,,,1,Sofie BÖRJESSON
78,748258,31.28,,NFH,Regelfejl,,79,Kristina KRISTIANSEN,,,,,
79,748258,31.32,12-14,AHB,Mål,1:e,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,1,Sofie BÖRJESSON
80,748258,31.59,12-15,NFH,Mål,PL,6,Moa HÖGDAHL,,,,86,Sabine ENGLERT
