id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748259,0.00,,,Start 1:e halvleg,,,,,,,,
2,748259,0.55,0-1,ODE,Mål,ST,3,Maren AARDAHL,Assist,32,Mie HØJLUND,2,Bianca SCHANSSEMA
3,748259,1.42,1-1,KBH,Mål,Gbr,21,Helene KINDBERG,,,,38,Yara TEN HOLTE
4,748259,1.54,,ODE,Tilkendt straffe,,32,Mie HØJLUND,Forårs. str.,17,Tabea SCHMID,,
5,748259,2.15,1-2,ODE,Mål på straffe,,22,Ragnhild DAHL,,,,2,Bianca SCHANSSEMA
6,748259,2.58,,KBH,Skud reddet,PL,15,Emma NAVNE,,,,38,Yara TEN HOLTE
7,748259,4.05,1-3,ODE,Mål,Gbr,68,Helena ELVER,,,,2,Bianca SCHANSSEMA
8,748259,4.16,2-3,KBH,Mål,2:e,7,Emilie Ytting PEDERSEN,Assist,11,Martha NICKELSEN,38,Yara TEN HOLTE
9,748259,4.28,,ODE,Skud forbi,2:e,33,Thale Rushfeldt DEILA,,,,2,Bianca SCHANSSEMA
10,748259,5.12,,KBH,Regelfejl,,11,Martha NICKELSEN,,,,,
11,748259,5.22,,ODE,Skud forbi,PL,33,Thale Rushfeldt DEILA,,,,2,Bianca SCHANSSEMA
12,748259,5.56,3-3,KBH,Mål,ST,17,Tabea SCHMID,,,,38,Yara TEN HOLTE
13,748259,6.43,,ODE,Skud reddet,VB,32,Mie HØJLUND,,,,2,Bianca SCHANSSEMA
14,748259,7.19,,KBH,Skud reddet,HF,5,Clara SKØTT,,,,38,Yara TEN HOLTE
15,748259,7.32,,ODE,Skud reddet,2:e,34,Andrea HANSEN,,,,2,Bianca SCHANSSEMA
16,748259,7.58,,KBH,Fejlaflevering,,21,Helene KINDBERG,Bold erobret,44,Nikita Van Der VLIET,,
17,748259,8.06,3-4,ODE,Mål,1:e,23,Elma HALILCEVIC,Assist,44,Nikita Van Der VLIET,2,Bianca SCHANSSEMA
18,748259,8.38,,KBH,Tabt bold,,11,Martha NICKELSEN,,,,,
19,748259,8.43,,ODE,Skud reddet,1:e,3,Maren AARDAHL,,,,2,Bianca SCHANSSEMA
20,748259,8.43,,ODE,Udvisning,,3,Maren AARDAHL,,,,,
21,748259,9.00,4-4,KBH,Mål,HF,5,Clara SKØTT,Assist,21,Helene KINDBERG,38,Yara TEN HOLTE
22,748259,9.39,,ODE,Skud forbi,Gbr,32,Mie HØJLUND,,,,2,Bianca SCHANSSEMA
23,748259,10.30,,KBH,Skud reddet,HF,5,Clara SKØTT,,,,38,Yara TEN HOLTE
