id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748260,0.00,,,Start 1:e halvleg,,,,,,,,
2,748260,0.46,,RIN,Fejlaflevering,,10,Frida Høgaard NIELSEN,,,,,
3,748260,1.55,0-1,EHA,Mål,PL,21,Frederikke GULMARK,,,,16,Stephanie ANDERSEN
4,748260,2.45,,RIN,Tabt bold,,18,Emilie ROSBORG,,,,,
5,748260,2.54,,EHA,Skud reddet,2:e,10,Sofie LASSEN,,,,16,Stephanie ANDERSEN
6,748260,3.10,1-1,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,15,Jane MEJLVANG,1,Annika FRIDHEIM
7,748260,3.44,1-2,EHA,Mål,PL,21,Frederikke GULMARK,,,,16,Stephanie ANDERSEN
8,748260,3.55,,RIN,Tilkendt straffe,,5,Caroline SVARRE,Forårs. str.,4,Cecilie TERMANSEN,,
9,748260,4.13,2-2,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,1,Annika FRIDHEIM
10,748260,4.43,,EHA,Fejlaflevering,,21,Frederikke GULMARK,,,,,
11,748260,5.01,,EHA,Advarsel,,21,Frederikke GULMARK,,,,,
12,748260,5.51,,RIN,Skud på stolpe,PL,15,Jane MEJLVANG,,,,1,Annika FRIDHEIM
13,748260,6.25,,EHA,Fejlaflevering,,3,Liv SVEINBJØRNSDÓTTIR,Bold erobret,23,Nanna HINNERFELDT,,
14,748260,6.32,3-2,RIN,Mål,1:e,18,Emilie ROSBORG,Assist,23,Nanna HINNERFELDT,1,Annika FRIDHEIM
15,748260,7.20,,EHA,Fejlaflevering,,3,Liv SVEINBJØRNSDÓTTIR,,,,,
16,748260,7.26,4-2,RIN,Mål,1:e,18,Emilie ROSBORG,Assist,16,Stephanie ANDERSEN,1,Annika FRIDHEIM
17,748260,8.02,,EHA,Skud reddet,HF,28,Maiken SKOV,,,,16,Stephanie ANDERSEN
18,748260,8.07,5-2,RIN,Mål,2:e,18,Emilie ROSBORG,Assist,3,Maria Berger WIERZBA,1,Annika FRIDHEIM
19,748260,9.07,,EHA,Skud reddet,Gbr,3,Liv SVEINBJØRNSDÓTTIR,,,,16,Stephanie ANDERSEN
20,748260,9.12,6-2,RIN,Mål,2:e,10,Frida Høgaard NIELSEN,,,,1,Annika FRIDHEIM
21,748260,9.19,,EHA,Time out,,,,,,,,
22,748260,9.38,6-3,EHA,Mål,Gbr,8,Tine GEERTSEN,,,,16,Stephanie ANDERSEN
23,748260,10.08,,RIN,Fejlaflevering,,15,Jane MEJLVANG,,,,,
24,748260,10.36,,RIN,Udvisning,,23,Nanna HINNERFELDT,,,,,
25,748260,11.10,6-4,EHA,Mål,ST,4,Cecilie TERMANSEN,Assist,19,Mette BRANDT,16,Stephanie ANDERSEN
26,748260,11.47,,RIN,Tilkendt straffe,,5,Caroline SVARRE,Forårs. str.,22,Mirja LYNGSØ,,
27,748260,12.01,7-4,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,1,Annika FRIDHEIM
28,748260,12.23,,EHA,Skud forbi,Gbr,8,Tine GEERTSEN,,,,16,Stephanie ANDERSEN
29,748260,12.55,,RIN,Fejlaflevering,,15,Jane MEJLVANG,,,,,
30,748260,13.35,7-5,EHA,Mål,VF,30,Clara LERBY,Assist,23,Silje BRØNS,16,Stephanie ANDERSEN
31,748260,14.05,,EHA,Udvisning,,4,Cecilie TERMANSEN,,,,,
32,748260,14.23,,RIN,Tilkendt straffe,,20,Stine Opstrup KRISTENSEN,Forårs. str.,22,Mirja LYNGSØ,,
33,748260,14.31,8-5,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,16,Johanne GRAUGAARD
34,748260,15.06,,EHA,Fejlaflevering,,19,Mette BRANDT,,,,,
35,748260,15.18,9-5,RIN,Mål,1:e,3,Maria Berger WIERZBA,,,,16,Johanne GRAUGAARD
36,748260,15.59,,EHA,Skud reddet,Gbr,8,Tine GEERTSEN,,,,16,Stephanie ANDERSEN
37,748260,16.48,,RIN,Skud reddet,PL,15,Jane MEJLVANG,,,,16,Johanne GRAUGAARD
38,748260,16.54,9-6,EHA,Mål,1:e,28,Maiken SKOV,Assist,16,Johanne GRAUGAARD,16,Stephanie ANDERSEN
39,748260,17.16,10-6,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,3,Maria Berger WIERZBA,16,Johanne GRAUGAARD
40,748260,17.28,10-7,EHA,Mål,Gbr,21,Frederikke GULMARK,,,,16,Stephanie ANDERSEN
41,748260,18.07,,RIN,Tilkendt straffe,,20,Stine Opstrup KRISTENSEN,Forårs. str.,22,Mirja LYNGSØ,,
42,748260,18.22,11-7,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,16,Johanne GRAUGAARD
43,748260,19.01,,EHA,Tilkendt straffe,,22,Mirja LYNGSØ,Forårs. str.,20,Stine Opstrup KRISTENSEN,,
44,748260,19.17,,EHA,Straffekast reddet,,30,Clara LERBY,,,,16,Stephanie ANDERSEN
45,748260,19.55,,RIN,Skud reddet,PL,2,Cecilie BJERRE,Retur,0,16,16,Johanne GRAUGAARD
46,748260,19.59,12-7,RIN,Mål,HF,22,Sofie ØSTERGAARD,,,,16,Johanne GRAUGAARD
47,748260,20.44,,EHA,Skud reddet,PL,19,Mette BRANDT,,,,16,Stephanie ANDERSEN
48,748260,21.21,,RIN,Skud på stolpe,PL,3,Maria Berger WIERZBA,,,,16,Johanne GRAUGAARD
49,748260,21.48,12-8,EHA,Mål,VF,30,Clara LERBY,Assist,23,Silje BRØNS,16,Stephanie ANDERSEN
50,748260,22.23,,RIN,Skud reddet,VB,2,Cecilie BJERRE,,,,16,Johanne GRAUGAARD
51,748260,22.33,,EHA,Fejlaflevering,,16,Johanne GRAUGAARD,,,,,
52,748260,22.39,13-8,RIN,Mål,2:e,18,Emilie ROSBORG,Assist,3,Maria Berger WIERZBA,16,Johanne GRAUGAARD
53,748260,23.18,,EHA,Fejlaflevering,,23,Silje BRØNS,,,,,
54,748260,23.27,,RIN,Tilkendt straffe,,23,Nanna HINNERFELDT,Forårs. str.,4,Cecilie TERMANSEN,,
55,748260,23.46,14-8,RIN,Mål på straffe,,15,Jane MEJLVANG,,,,16,Johanne GRAUGAARD
56,748260,23.50,,EHA,Time out,,,,,,,,
57,748260,24.20,,EHA,Skud reddet,PL,23,Silje BRØNS,,,,16,Stephanie ANDERSEN
58,748260,24.50,15-8,RIN,Mål,Gbr,20,Stine Opstrup KRISTENSEN,Assist,3,Maria Berger WIERZBA,16,Johanne GRAUGAARD
59,748260,25.00,15-9,EHA,Mål,2:e,10,Sofie LASSEN,Assist,21,Frederikke GULMARK,16,Stephanie ANDERSEN
60,748260,25.29,16-9,RIN,Mål,VF,18,Emilie ROSBORG,Assist,3,Maria Berger WIERZBA,16,Johanne GRAUGAARD
61,748260,25.39,,EHA,Tabt bold,,3,Liv SVEINBJØRNSDÓTTIR,,,,,
62,748260,26.16,,RIN,Skud forbi,PL,2,Cecilie BJERRE,,,,16,Johanne GRAUGAARD
63,748260,26.47,16-10,EHA,Mål,PL,23,Silje BRØNS,,,,16,Stephanie ANDERSEN
64,748260,27.00,,RIN,Time out,,,,,,,,
65,748260,27.27,,RIN,Regelfejl,,20,Stine Opstrup KRISTENSEN,,,,,
66,748260,28.31,16-11,EHA,Mål,VF,30,Clara LERBY,Assist,23,Silje BRØNS,16,Stephanie ANDERSEN
67,748260,29.00,,RIN,Skud reddet,PL,2,Cecilie BJERRE,,,,16,Johanne GRAUGAARD
68,748260,29.12,,EHA,Skud på stolpe,Gbr,21,Frederikke GULMARK,,,,16,Stephanie ANDERSEN
69,748260,29.15,,RIN,Udvisning,,2,Cecilie BJERRE,,,,,
70,748260,29.56,,RIN,Regelfejl,,15,Jane MEJLVANG,,,,,
71,748260,29.59,16-12,EHA,Mål,1:e,28,Maiken SKOV,,,,,
72,748260,30.00,16-12,,Halvleg,,,,,,,,
73,748260,30.00,,,Start 2:e halvleg,,,,,,,,
74,748260,30.34,16-13,EHA,Mål,Gbr,23,Silje BRØNS,,,,16,Stephanie ANDERSEN
75,748260,31.09,,EHA,Udvisning,,4,Cecilie TERMANSEN,,,,,
76,748260,31.32,17-13,RIN,Mål,VF,18,Emilie ROSBORG,Assist,15,Jane MEJLVANG,16,Johanne GRAUGAARD
77,748260,32.35,17-14,EHA,Mål,PL,21,Frederikke GULMARK,,,,16,Stephanie ANDERSEN
78,748260,33.05,18-14,RIN,Mål,Gbr,15,Jane MEJLVANG,,,,16,Johanne GRAUGAARD
79,748260,33.41,,EHA,Tabt bold,,22,Mirja LYNGSØ,,,,,
80,748260,33.46,19-14,RIN,Mål,1:e,15,Jane MEJLVANG,,,,16,Johanne GRAUGAARD
81,748260,34.15,19-15,EHA,Mål,Gbr,21,Frederikke GULMARK,,,,16,Stephanie ANDERSEN
82,748260,34.42,20-15,RIN,Mål,ST,23,Nanna HINNERFELDT,Assist,10,Frida Høgaard NIELSEN,16,Johanne GRAUGAARD
83,748260,35.23,20-16,EHA,Mål,Gbr,23,Silje BRØNS,Assist,19,Mette BRANDT,16,Stephanie ANDERSEN
84,748260,35.52,,RIN,Skud reddet,Gbr,15,Jane MEJLVANG,,,,16,Johanne GRAUGAARD
85,748260,36.04,,EHA,Tilkendt straffe,,21,Frederikke GULMARK,Forårs. str.,10,Frida Høgaard NIELSEN,,
86,748260,36.22,20-17,EHA,Mål på straffe,,19,Mette BRANDT,,,,16,Stephanie ANDERSEN
87,748260,36.56,,RIN,Skud forbi,HF,22,Sofie ØSTERGAARD,,,,16,Johanne GRAUGAARD
88,748260,37.09,,RIN,Udvisning,,18,Emilie ROSBORG,,,,,
89,748260,37.22,20-18,EHA,Mål,Gbr,23,Silje BRØNS,,,,16,Stephanie ANDERSEN
90,748260,38.15,21-18,RIN,Mål,HB,10,Frida Høgaard NIELSEN,,,,16,Johanne GRAUGAARD
91,748260,38.28,,EHA,Fejlaflevering,,10,Sofie LASSEN,Bold erobret,73,Karoline FAHLBERG,,
92,748260,38.56,,RIN,Skud reddet,Gbr,10,Frida Høgaard NIELSEN,,,,16,Johanne GRAUGAARD
93,748260,38.59,,EHA,Tilkendt straffe,,30,Clara LERBY,Forårs. str.,3,Maria Berger WIERZBA,,
