id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748262,0.00,,,Start 1:e halvleg,,,,,,,,
2,748262,0.36,,NFH,Skud reddet,Gbr,79,Kristina KRISTIANSEN,,,,2,Bianca SCHANSSEMA
3,748262,1.08,,KBH,Fejlaflevering,,11,Martha NICKELSEN,,,,,
4,748262,1.38,1-0,NFH,Mål,ST,2,Caroline AAR,Assist,26,Mona OBAIDLI,2,Bianca SCHANSSEMA
5,748262,2.11,,KBH,Regelfejl,,21,Helene KINDBERG,,,,,
6,748262,2.19,,NFH,Skud reddet,2:e,18,Alberte KIELSTRUP,,,,2,Bianca SCHANSSEMA
7,748262,2.23,,KBH,Fejlaflevering,,,,Bold erobret,26,Mona OBAIDLI,,
8,748262,2.48,2-0,NFH,Mål,PL,26,Mona OBAIDLI,,,,2,Bianca SCHANSSEMA
9,748262,3.17,2-1,KBH,Mål,HF,9,Ditte BACH,Assist,21,Helene KINDBERG,12,Catharina BROCH
10,748262,4.04,,NFH,Skud reddet,HB,26,Mona OBAIDLI,Retur,0,,2,Bianca SCHANSSEMA
11,748262,4.17,,NFH,Tilkendt straffe,,2,Caroline AAR,Forårs. str.,17,Tabea SCHMID,,
12,748262,4.25,3-1,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,2,Bianca SCHANSSEMA
13,748262,5.04,3-2,KBH,Mål,HF,9,Ditte BACH,Assist,21,Helene KINDBERG,12,Catharina BROCH
14,748262,5.40,4-2,NFH,Mål,Gbr,18,Alberte KIELSTRUP,,,,2,Bianca SCHANSSEMA
15,748262,6.21,,KBH,Tilkendt straffe,,11,Martha NICKELSEN,Forårs. str.,49,Aimée VON PEREIRA,,
16,748262,6.37,4-3,KBH,Mål på straffe,,17,Tabea SCHMID,,,,12,Catharina BROCH
17,748262,7.10,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
18,748262,7.43,,KBH,Fejlaflevering,,4,Catharina MOLENAAR,,,,,
19,748262,7.51,5-3,NFH,Mål,2:e,18,Alberte KIELSTRUP,,,,2,Bianca SCHANSSEMA
20,748262,8.28,5-4,KBH,Mål,PL,21,Helene KINDBERG,,,,12,Catharina BROCH
21,748262,8.48,,NFH,Tilkendt straffe,,2,Caroline AAR,Forårs. str.,10,Pernille BRANDENBORG,,
22,748262,8.51,,KBH,Udvisning,,10,Pernille BRANDENBORG,,,,,
23,748262,8.51,6-4,NFH,Mål på straffe,,34,Sofie BARDRUM,,,,2,Bianca SCHANSSEMA
24,748262,9.24,6-5,KBH,Mål,VB,11,Martha NICKELSEN,,,,12,Catharina BROCH
25,748262,9.33,7-5,NFH,Mål,2:e,2,Caroline AAR,,,,0,
26,748262,10.02,,KBH,Skud på stolpe,ST,17,Tabea SCHMID,,,,12,Catharina BROCH
27,748262,10.31,8-5,NFH,Mål,Gbr,79,Kristina KRISTIANSEN,,,,2,Bianca SCHANSSEMA
28,748262,11.14,,KBH,Skud reddet,ST,21,Helene KINDBERG,,,,12,Catharina BROCH
29,748262,11.44,9-5,NFH,Mål,ST,2,Caroline AAR,Assist,79,Kristina KRISTIANSEN,2,Bianca SCHANSSEMA
30,748262,12.34,9-6,KBH,Mål,ST,17,Tabea SCHMID,Assist,9,Ditte BACH,12,Catharina BROCH
31,748262,13.10,,NFH,Fejlaflevering,,26,Mona OBAIDLI,,,,,
32,748262,13.47,,KBH,Skud reddet,HB,21,Helene KINDBERG,,,,12,Catharina BROCH
33,748262,14.31,10-6,NFH,Mål,PL,79,Kristina KRISTIANSEN,,,,2,Bianca SCHANSSEMA
34,748262,14.43,,KBH,Time out,,,,,,,,
35,748262,14.58,10-7,KBH,Mål,HF,9,Ditte BACH,Assist,21,Helene KINDBERG,12,Catharina BROCH
36,748262,15.11,11-7,NFH,Mål,ST,2,Caroline AAR,Assist,18,Alberte KIELSTRUP,2,Bianca SCHANSSEMA
37,748262,15.42,,KBH,Skud forbi,HB,21,Helene KINDBERG,,,,12,Catharina BROCH
38,748262,16.14,,NFH,Skud reddet,HF,11,Rosa SCHMIDT,,,,2,Bianca SCHANSSEMA
39,748262,16.32,,KBH,Skud blokeret,PL,15,Emma NAVNE,Blok af (ret),49,Aimée VON PEREIRA,,
40,748262,16.56,,KBH,Tilkendt straffe,,4,Catharina MOLENAAR,Forårs. str.,34,Sofie BARDRUM,,
