id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748263,0.00,,,Start 1:e halvleg,,,,,,,,
2,748263,0.44,,HHE,Fejlaflevering,,39,Melanie BAK,Bold erobret,18,Mathilde ØSTERGAARD,,
3,748263,0.48,0-1,AHB,Mål,1:e,18,Mathilde ØSTERGAARD,,,,16,Andrea AUSTMO
4,748263,1.29,1-1,HHE,Mål,HB,19,Frida Haug HOEL,,,,86,Sabine ENGLERT
5,748263,2.10,,AHB,Skud på stolpe,Gbr,14,Anna Berger WIERZBA,Retur,18,Mathilde ØSTERGAARD,16,Andrea AUSTMO
6,748263,2.39,1-2,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,16,Andrea AUSTMO
7,748263,3.21,,HHE,Fejlaflevering,,14,Mai KRAGBALLE,,,,,
8,748263,4.07,1-3,AHB,Mål,PL,17,Line Berggren LARSEN,,,,16,Andrea AUSTMO
9,748263,4.54,2-3,HHE,Mål,PL,14,Mai KRAGBALLE,,,,86,Sabine ENGLERT
10,748263,5.41,2-4,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,14,Anna Berger WIERZBA,16,Andrea AUSTMO
11,748263,6.17,,HHE,Skud reddet,HF,22,Sille Cecilie SORTH,,,,86,Sabine ENGLERT
12,748263,6.27,,AHB,Skud reddet,2:e,18,Mathilde ØSTERGAARD,,,,16,Andrea AUSTMO
13,748263,6.39,,AHB,Advarsel,,3,Sarah Vest KIRKELØKKE,,,,,
14,748263,7.01,,HHE,Skud på stolpe,HB,19,Frida Haug HOEL,,,,86,Sabine ENGLERT
15,748263,7.13,,AHB,Regelfejl,,18,Mathilde ØSTERGAARD,,,,,
16,748263,7.23,,HHE,Skud på stolpe,2:e,19,Frida Haug HOEL,Retur,39,Melanie BAK,86,Sabine ENGLERT
17,748263,7.29,3-4,HHE,Mål,Gbr,39,Melanie BAK,,,,86,Sabine ENGLERT
18,748263,7.58,3-5,AHB,Mål,HB,77,Alberte EBLER,,,,16,Andrea AUSTMO
19,748263,8.38,,HHE,Regelfejl,,39,Melanie BAK,,,,,
20,748263,9.19,3-6,AHB,Mål,HF,25,Ida GÖTZSCHE,Assist,77,Alberte EBLER,16,Andrea AUSTMO
21,748263,9.56,4-6,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,7,Maria Palsdottir NÓLSOY,86,Sabine ENGLERT
22,748263,10.05,,AHB,Regelfejl,,14,Anna Berger WIERZBA,,,,,
