id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748264,0.00,,,Start 1:e halvleg,,,,,,,,
2,748264,0.40,,SVK,Skud blokeret,PL,4,Maria HOLM,Blok af (ret),2,Boline LAURSEN,,
3,748264,0.53,0-1,SVK,Mål,PL,6,Thea RASMUSSEN,,,,12,Sarah ERNEBJERG
4,748264,1.30,1-1,SKB,Mål,HF,4,Emilie BECH,Assist,20,Suna HANSEN,22,Stine BONDE
5,748264,1.40,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,,,,,
6,748264,2.20,,SKB,Tabt bold,,2,Boline LAURSEN,,,,,
7,748264,2.56,,SVK,Skud forbi,Gbr,6,Thea RASMUSSEN,,,,12,Sarah ERNEBJERG
8,748264,3.36,2-1,SKB,Mål,Gbr,20,Suna HANSEN,,,,22,Stine BONDE
9,748264,3.56,2-2,SVK,Mål,ST,15,Karen KLOKKER,Assist,6,Thea RASMUSSEN,12,Sarah ERNEBJERG
10,748264,4.06,,SKB,Fejlaflevering,,14,Verona REXHEPI,Bold erobret,15,Karen KLOKKER,,
11,748264,4.10,2-3,SVK,Mål,1:e,31,Andrea West BENDTSEN,Assist,15,Karen KLOKKER,12,Sarah ERNEBJERG
12,748264,4.45,,SKB,Fejlaflevering,,20,Suna HANSEN,,,,,
13,748264,4.53,,SVK,Skud reddet,2:e,3,Isabella POULSEN,,,,12,Sarah ERNEBJERG
14,748264,5.24,,SVK,Advarsel,,15,Karen KLOKKER,,,,,
15,748264,5.47,,SKB,Tabt bold,,14,Verona REXHEPI,Bold erobret,4,Maria HOLM,,
16,748264,6.23,,SVK,Skud reddet,ST,15,Karen KLOKKER,Retur,0,,12,Sarah ERNEBJERG
17,748264,6.44,,SVK,Skud forbi,VB,6,Thea RASMUSSEN,,,,12,Sarah ERNEBJERG
18,748264,6.55,,SKB,Regelfejl,,20,Suna HANSEN,,,,,
19,748264,7.25,2-4,SVK,Mål,HB,4,Maria HOLM,,,,12,Sarah ERNEBJERG
20,748264,7.30,,SKB,Time out,,,,,,,,
21,748264,7.58,,SKB,Skud reddet,Gbr,11,Mia LAGUMDZIJA,,,,22,Stine BONDE
22,748264,8.46,,SVK,Skud reddet,HB,4,Maria HOLM,,,,12,Sarah ERNEBJERG
23,748264,8.50,3-4,SKB,Mål,1:e,25,Astrid LYNNERUP,Assist,12,Sarah ERNEBJERG,22,Stine BONDE
24,748264,9.02,3-5,SVK,Mål,2:e,6,Thea RASMUSSEN,,,,12,Sarah ERNEBJERG
25,748264,9.43,,SKB,Skud reddet,HB,3,Clara BANG,,,,22,Stine BONDE
26,748264,9.48,3-6,SVK,Mål,1:e,15,Karen KLOKKER,Assist,4,Maria HOLM,12,Sarah ERNEBJERG
27,748264,10.23,,SKB,Skud reddet,HF,4,Emilie BECH,,,,22,Stine BONDE
28,748264,10.50,3-7,SVK,Mål,VB,31,Andrea West BENDTSEN,,,,12,Sarah ERNEBJERG
29,748264,11.28,,SKB,Tabt bold,,2,Boline LAURSEN,,,,,
30,748264,11.34,,SVK,Skud forbi,1:e,23,Thilde FRANDSEN,,,,12,Sarah ERNEBJERG
31,748264,12.01,,SKB,Skud reddet,PL,20,Suna HANSEN,,,,22,Stine BONDE
32,748264,12.27,3-8,SVK,Mål,PL,31,Andrea West BENDTSEN,,,,12,Sarah ERNEBJERG
