id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748265,0.00,,,Start 1:e halvleg,,,,,,,,
2,748265,0.49,,TES,Skud forbi,VB,4,Michala MØLLER,,,,16,Louise Bak JENSEN
3,748265,1.27,,VHK,Skud på stolpe,VF,14,Camilla DEGN,,,,12,Anna KRISTENSEN
4,748265,1.59,,TES,Tabt bold,,20,Marit Røsberg JACOBSEN,,,,,
5,748265,2.02,0-1,VHK,Mål,1:e,77,Jana MITTÚN,Assist,5,Marielle MARTINSEN,12,Anna KRISTENSEN
6,748265,2.26,1-1,TES,Mål,VF,17,Elin HANSSON,Assist,20,Marit Røsberg JACOBSEN,16,Louise Bak JENSEN
7,748265,3.17,,VHK,Skud blokeret,PL,26,Christina PEDERSEN,Blokeret af,11,Rikke IVERSEN,,
8,748265,3.57,,TES,Tilkendt straffe,,22,Line HAUGSTED,Forårs. str.,77,Jana MITTÚN,,
9,748265,4.12,2-1,TES,Mål på straffe,,4,Michala MØLLER,,,,16,Louise Bak JENSEN
10,748265,4.44,2-2,VHK,Mål,VB,26,Christina PEDERSEN,,,,12,Anna KRISTENSEN
11,748265,4.53,3-2,TES,Mål,2:e,20,Marit Røsberg JACOBSEN,Assist,8,Live RUSHFELDT DEILA,16,Louise Bak JENSEN
12,748265,5.07,,VHK,Tilkendt straffe,,19,Sara HALD,Forårs. str.,11,Rikke IVERSEN,,
13,748265,5.26,,VHK,Straffekast reddet,,62,Louise SØNDERGAARD,,,,12,Anna KRISTENSEN
14,748265,5.51,4-2,TES,Mål,Gbr,22,Line HAUGSTED,,,,16,Louise Bak JENSEN
15,748265,6.00,4-3,VHK,Mål,2:e,19,Sara HALD,Assist,26,Christina PEDERSEN,12,Anna KRISTENSEN
16,748265,6.14,,TES,Fejlaflevering,,22,Line HAUGSTED,Bold erobret,26,Christina PEDERSEN,,
17,748265,6.46,,VHK,Skud på stolpe,Gbr,62,Louise SØNDERGAARD,,,,12,Anna KRISTENSEN
18,748265,7.22,5-3,TES,Mål,PL,4,Michala MØLLER,,,,16,Louise Bak JENSEN
19,748265,8.45,,VHK,Skud blokeret,VB,26,Christina PEDERSEN,Blokeret af,22,Line HAUGSTED,,
20,748265,9.26,6-3,TES,Mål,VB,22,Line HAUGSTED,,,,16,Louise Bak JENSEN
21,748265,9.35,,VHK,Skud reddet,2:e,14,Camilla DEGN,,,,12,Anna KRISTENSEN
22,748265,10.52,,TES,Skud reddet,VB,4,Michala MØLLER,,,,16,Louise Bak JENSEN
23,748265,11.37,6-4,VHK,Mål,HF,18,Henriette HANSEN,Assist,62,Louise SØNDERGAARD,12,Anna KRISTENSEN
24,748265,11.47,7-4,TES,Mål,2:e,18,Mette TRANBORG,,,,16,Louise Bak JENSEN
25,748265,12.19,7-5,VHK,Mål,HB,62,Louise SØNDERGAARD,,,,12,Anna KRISTENSEN
26,748265,12.30,8-5,TES,Mål,2:e,17,Elin HANSSON,Assist,4,Michala MØLLER,16,Louise Bak JENSEN
27,748265,12.46,,VHK,Tilkendt straffe,,62,Louise SØNDERGAARD,Forårs. str.,22,Line HAUGSTED,,
28,748265,13.02,8-6,VHK,Mål på straffe,,26,Christina PEDERSEN,,,,12,Anna KRISTENSEN
29,748265,13.08,,TES,Time out,,,,,,,,
30,748265,13.25,9-6,TES,Mål,HB,8,Live RUSHFELDT DEILA,,,,12,Ida Marie KAYSEN
31,748265,14.07,,VHK,Skud reddet,HF,18,Henriette HANSEN,Retur,0,,12,Anna KRISTENSEN
32,748265,14.39,,VHK,Fejlaflevering,,77,Jana MITTÚN,Bold erobret,4,Michala MØLLER,,
33,748265,14.44,10-6,TES,Mål,2:e,8,Live RUSHFELDT DEILA,,,,12,Ida Marie KAYSEN
34,748265,15.30,10-7,VHK,Mål,ST,19,Sara HALD,Assist,62,Louise SØNDERGAARD,12,Anna KRISTENSEN
35,748265,15.42,11-7,TES,Mål,2:e,20,Marit Røsberg JACOBSEN,Assist,8,Live RUSHFELDT DEILA,12,Ida Marie KAYSEN
36,748265,15.55,,VHK,Time out,,,,,,,,
37,748265,16.22,,VHK,Fejlaflevering,,26,Christina PEDERSEN,,,,,
38,748265,16.33,12-7,TES,Mål,2:e,17,Elin HANSSON,Assist,22,Line HAUGSTED,12,Ida Marie KAYSEN
39,748265,17.08,,VHK,Tilkendt straffe,,62,Louise SØNDERGAARD,Forårs. str.,17,Elin HANSSON,,
40,748265,17.22,12-8,VHK,Mål på straffe,,26,Christina PEDERSEN,,,,12,Anna KRISTENSEN
41,748265,17.56,13-8,TES,Mål,Gbr,8,Live RUSHFELDT DEILA,,,,12,Ida Marie KAYSEN
42,748265,18.57,,VHK,Skud reddet,VF,3,Alberte SIMONSEN,Retur,0,,12,Anna KRISTENSEN
43,748265,19.26,,VHK,Skud på stolpe,HF,18,Henriette HANSEN,,,,12,Anna KRISTENSEN
44,748265,20.02,14-8,TES,Mål,VF,4,Michala MØLLER,Assist,22,Line HAUGSTED,12,Ida Marie KAYSEN
45,748265,21.03,,VHK,Skud reddet,VF,3,Alberte SIMONSEN,,,,12,Anna KRISTENSEN
46,748265,21.18,15-8,TES,Mål,HF,20,Marit Røsberg JACOBSEN,Assist,8,Live RUSHFELDT DEILA,12,Ida Marie KAYSEN
47,748265,21.25,,VHK,Time out,,,,,,,,
48,748265,21.46,15-9,VHK,Mål,VF,14,Camilla DEGN,Assist,8,Elma ÖRTEMARK,12,Anna KRISTENSEN
49,748265,22.15,16-9,TES,Mål,ST,3,Kaja Kamp NIELSEN,Assist,4,Michala MØLLER,12,Ida Marie KAYSEN
50,748265,22.44,,VHK,Skud reddet,Gbr,8,Elma ÖRTEMARK,,,,12,Anna KRISTENSEN
51,748265,22.53,17-9,TES,Mål,2:e,4,Michala MØLLER,,,,12,Ida Marie KAYSEN
52,748265,23.28,,VHK,Skud reddet,Gbr,26,Christina PEDERSEN,,,,12,Anna KRISTENSEN
53,748265,23.34,18-9,TES,Mål,1:e,20,Marit Røsberg JACOBSEN,Assist,8,Live RUSHFELDT DEILA,12,Ida Marie KAYSEN
54,748265,24.47,18-10,VHK,Mål,VB,26,Christina PEDERSEN,,,,12,Anna KRISTENSEN
55,748265,25.00,,TES,Skud blokeret,PL,22,Line HAUGSTED,Blok af (ret),0,,,
56,748265,25.10,19-10,TES,Mål,ST,22,Line HAUGSTED,,,,16,Louise Bak JENSEN
57,748265,26.02,,VHK,Skud forbi,PL,8,Elma ÖRTEMARK,,,,12,Anna KRISTENSEN
58,748265,27.02,,TES,Regelfejl,,4,Michala MØLLER,,,,,
59,748265,27.41,,VHK,Skud på stolpe,HB,26,Christina PEDERSEN,,,,12,Anna KRISTENSEN
60,748265,28.39,20-10,TES,Mål,VF,17,Elin HANSSON,Assist,22,Line HAUGSTED,16,Louise Bak JENSEN
61,748265,29.14,20-11,VHK,Mål,Gbr,77,Jana MITTÚN,Assist,8,Elma ÖRTEMARK,12,Anna KRISTENSEN
62,748265,29.49,,TES,Skud reddet,PL,14,Judith VAN DER HELM,,,,16,Louise Bak JENSEN
63,748265,29.58,,VHK,Skud reddet,2:e,9,Laura THESTRUP,,,,12,Anna KRISTENSEN
64,748265,30.00,20-11,,Halvleg,,,,,,,,
65,748265,30.00,,,Start 2:e halvleg,,,,,,,,
66,748265,30.27,20-12,VHK,Mål,VF,14,Camilla DEGN,Assist,77,Jana MITTÚN,16,Amalie MILLING
67,748265,30.38,21-12,TES,Mål,HF,29,Sarah DEKKER,Assist,8,Live RUSHFELDT DEILA,16,Louise Bak JENSEN
68,748265,30.50,,VHK,Skud reddet,2:e,76,Frida JOHANNESEN,Retur,16,Amalie MILLING,,
69,748265,31.27,,VHK,Fejlaflevering,,5,Marielle MARTINSEN,,,,,
70,748265,31.50,22-12,TES,Mål,Gbr,18,Mette TRANBORG,Assist,8,Live RUSHFELDT DEILA,16,Louise Bak JENSEN
71,748265,32.00,,VHK,Skud reddet,2:e,5,Marielle MARTINSEN,,,,16,Amalie MILLING
