id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748267,0.00,,,Start 1:e halvleg,,,,,,,,
2,748267,0.34,,EHA,Skud reddet,HF,7,Marlene DAHLMANN,,,,12,Filippa IDÉHN
3,748267,1.04,0-1,IKA,Mål,Gbr,21,Ingvild BAKKERUD,,,,16,Johanne GRAUGAARD
4,748267,1.36,1-1,EHA,Mål,PL,19,Mette BRANDT,,,,12,Filippa IDÉHN
5,748267,1.44,1-2,IKA,Mål,2:e,14,Emma LINDQVIST,,,,0,
6,748267,2.22,2-2,EHA,Mål,Gbr,23,Silje BRØNS,,,,12,Filippa IDÉHN
7,748267,3.10,,IKA,Tilkendt straffe,,14,Emma LINDQVIST,Forårs. str.,4,Cecilie TERMANSEN,,
8,748267,3.30,2-3,IKA,Mål på straffe,,17,Simone PETERSEN,,,,16,Johanne GRAUGAARD
9,748267,3.58,3-3,EHA,Mål,Gbr,23,Silje BRØNS,,,,12,Filippa IDÉHN
10,748267,4.06,,IKA,Skud reddet,2:e,21,Ingvild BAKKERUD,,,,16,Johanne GRAUGAARD
11,748267,4.56,,EHA,Skud reddet,VF,30,Clara LERBY,,,,12,Filippa IDÉHN
12,748267,5.13,,IKA,Fejlaflevering,,7,Stine SKOGRAND,,,,,
13,748267,5.23,,EHA,Fejlaflevering,,3,Liv SVEINBJØRNSDÓTTIR,,,,,
14,748267,5.28,3-4,IKA,Mål,2:e,18,Maria LYKKEGAARD,Assist,14,Emma LINDQVIST,16,Johanne GRAUGAARD
15,748267,6.33,4-4,EHA,Mål,ST,9,Camilla THORHAUGE,Assist,23,Silje BRØNS,12,Filippa IDÉHN
16,748267,6.44,,IKA,Fejlaflevering,,21,Ingvild BAKKERUD,,,,,
17,748267,6.50,5-4,EHA,Mål,1:e,9,Camilla THORHAUGE,Assist,4,Cecilie TERMANSEN,12,Filippa IDÉHN
18,748267,7.43,,EHA,Advarsel,,21,Frederikke GULMARK,,,,,
19,748267,7.57,,IKA,Regelfejl,,18,Maria LYKKEGAARD,,,,,
20,748267,8.41,6-4,EHA,Mål,PL,19,Mette BRANDT,,,,12,Filippa IDÉHN
21,748267,9.00,6-5,IKA,Mål,2:e,14,Emma LINDQVIST,,,,0,
22,748267,9.17,7-5,EHA,Mål,ST,9,Camilla THORHAUGE,Assist,19,Mette BRANDT,12,Filippa IDÉHN
23,748267,9.51,7-6,IKA,Mål,VF,22,Lærke NOLSØE,Assist,21,Ingvild BAKKERUD,16,Johanne GRAUGAARD
24,748267,10.05,8-6,EHA,Mål,ST,30,Clara LERBY,Assist,21,Frederikke GULMARK,12,Filippa IDÉHN
25,748267,10.15,,IKA,Skud reddet,2:e,22,Lærke NOLSØE,,,,16,Johanne GRAUGAARD
26,748267,10.55,9-6,EHA,Mål,HF,7,Marlene DAHLMANN,Assist,19,Mette BRANDT,12,Filippa IDÉHN
27,748267,11.04,,IKA,Time out,,,,,,,,
