id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748270,0.00,,,Start 1:e halvleg,,,,,,,,
2,748270,0.32,1-0,HHE,Mål,Gbr,7,Maria Palsdottir NÓLSOY,,,,2,Bianca SCHANSSEMA
3,748270,1.44,,KBH,Skud reddet,Gbr,4,Catharina MOLENAAR,,,,16,Andrea AUSTMO
4,748270,1.58,,HHE,Regelfejl,,39,Melanie BAK,,,,,
5,748270,2.26,1-1,KBH,Mål,VB,4,Catharina MOLENAAR,,,,16,Andrea AUSTMO
6,748270,2.39,,HHE,Skud reddet,HF,22,Sille Cecilie SORTH,,,,2,Bianca SCHANSSEMA
7,748270,3.18,,KBH,Skud reddet,HF,9,Ditte BACH,Retur,0,,16,Andrea AUSTMO
8,748270,3.37,1-2,KBH,Mål,PL,4,Catharina MOLENAAR,Assist,9,Ditte BACH,16,Andrea AUSTMO
9,748270,4.15,2-2,HHE,Mål,Gbr,39,Melanie BAK,,,,2,Bianca SCHANSSEMA
10,748270,4.26,,KBH,Skud på stolpe,2:e,7,Emilie YTTING,,,,16,Andrea AUSTMO
11,748270,5.04,3-2,HHE,Mål,PL,14,Mai KRAGBALLE,,,,2,Bianca SCHANSSEMA
12,748270,5.12,,KBH,Regelfejl,,17,Tabea SCHMID,,,,,
13,748270,5.21,,HHE,Skud reddet,Gbr,14,Mai KRAGBALLE,,,,2,Bianca SCHANSSEMA
14,748270,5.49,3-3,KBH,Mål,ST,17,Tabea SCHMID,Assist,21,Helene KINDBERG,16,Andrea AUSTMO
15,748270,6.04,4-3,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,14,Mai KRAGBALLE,2,Bianca SCHANSSEMA
16,748270,6.32,,KBH,Fejlaflevering,,21,Helene KINDBERG,Bold erobret,21,Romee MAARSCHALKEWEERD,,
17,748270,6.36,5-3,HHE,Mål,1:e,21,Romee MAARSCHALKEWEERD,,,,2,Bianca SCHANSSEMA
18,748270,7.19,5-4,KBH,Mål,ST,7,Emilie YTTING,Assist,15,Emma NAVNE,16,Andrea AUSTMO
19,748270,7.51,,HHE,Fejlaflevering,,7,Maria Palsdottir NÓLSOY,,,,,
20,748270,8.16,,KBH,Regelfejl,,4,Catharina MOLENAAR,,,,,
21,748270,8.55,,HHE,Skud reddet,ST,21,Romee MAARSCHALKEWEERD,,,,2,Bianca SCHANSSEMA
22,748270,9.05,5-5,KBH,Mål,2:e,15,Emma NAVNE,Assist,21,Helene KINDBERG,16,Andrea AUSTMO
23,748270,9.33,6-5,HHE,Mål,HF,22,Sille Cecilie SORTH,Assist,7,Maria Palsdottir NÓLSOY,2,Bianca SCHANSSEMA
24,748270,10.02,,KBH,Skud reddet,ST,17,Tabea SCHMID,Retur,0,,16,Andrea AUSTMO
25,748270,10.45,,KBH,Passivt spil,,0,,,,,,
26,748270,11.22,7-5,HHE,Mål,Gbr,39,Melanie BAK,Assist,7,Maria Palsdottir NÓLSOY,2,Bianca SCHANSSEMA
27,748270,11.57,,KBH,Fejlaflevering,,4,Catharina MOLENAAR,,,,,
28,748270,12.58,,HHE,Tabt bold,,21,Romee MAARSCHALKEWEERD,,,,,
29,748270,13.14,,HHE,Advarsel,,39,Melanie BAK,,,,,
30,748270,14.01,,KBH,Skud blokeret,PL,15,Emma NAVNE,Blokeret af,21,Romee MAARSCHALKEWEERD,,
31,748270,14.11,,HHE,Udvisning,,7,Maria Palsdottir NÓLSOY,,,,,
32,748270,14.11,,HHE,Regelfejl,,7,Maria Palsdottir NÓLSOY,,,,,
33,748270,14.42,7-6,KBH,Mål,HF,9,Ditte BACH,Assist,21,Helene KINDBERG,16,Andrea AUSTMO
34,748270,15.24,8-6,HHE,Mål,VF,33,Laura Holm ANDERSEN,Assist,14,Mai KRAGBALLE,2,Bianca SCHANSSEMA
35,748270,15.41,,KBH,Skud reddet,VF,7,Emilie YTTING,,,,16,Andrea AUSTMO
36,748270,16.10,,HHE,Skud reddet,PL,11,Fanny ELOVSSON,,,,2,Bianca SCHANSSEMA
37,748270,16.15,8-7,KBH,Mål,1:e,9,Ditte BACH,,,,0,
38,748270,16.59,,HHE,Skud reddet,ST,21,Romee MAARSCHALKEWEERD,,,,2,Bianca SCHANSSEMA
39,748270,17.09,,KBH,Skud reddet,2:e,9,Ditte BACH,,,,16,Andrea AUSTMO
40,748270,18.00,9-7,HHE,Mål,PL,14,Mai KRAGBALLE,,,,2,Bianca SCHANSSEMA
41,748270,18.40,,KBH,Tilkendt straffe,,17,Tabea SCHMID,Forårs. str.,11,Fanny ELOVSSON,,
42,748270,18.59,9-8,KBH,Mål på straffe,,17,Tabea SCHMID,,,,16,Andrea AUSTMO
43,748270,19.41,10-8,HHE,Mål,ST,3,Alma SKRETTING,Assist,7,Maria Palsdottir NÓLSOY,2,Bianca SCHANSSEMA
44,748270,19.55,,KBH,Regelfejl,,11,Martha NICKELSEN,,,,,
45,748270,20.35,11-8,HHE,Mål,Gbr,7,Maria Palsdottir NÓLSOY,,,,2,Bianca SCHANSSEMA
46,748270,21.06,,KBH,Fejlaflevering,,11,Martha NICKELSEN,,,,,
47,748270,21.10,12-8,HHE,Mål,1:e,33,Laura Holm ANDERSEN,Assist,39,Melanie BAK,2,Bianca SCHANSSEMA
48,748270,21.17,,KBH,Time out,,,,,,,,
49,748270,21.46,,KBH,Fejlaflevering,,11,Martha NICKELSEN,Bold erobret,3,Alma SKRETTING,,
50,748270,22.35,,HHE,Skud reddet,PL,14,Mai KRAGBALLE,,,,2,Bianca SCHANSSEMA
51,748270,23.06,,KBH,Skud reddet,HF,9,Ditte BACH,,,,16,Andrea AUSTMO
52,748270,24.10,,HHE,Skud blokeret,PL,7,Maria Palsdottir NÓLSOY,Blok af (ret),11,Martha NICKELSEN,,
53,748270,24.15,,KBH,Udvisning,,10,Pernille BRANDENBORG,,,,,
54,748270,24.24,,HHE,Fejlaflevering,,14,Mai KRAGBALLE,Bold erobret,25,Tonje LØSETH,,
55,748270,25.04,,KBH,Skud reddet,PL,15,Emma NAVNE,,,,16,Andrea AUSTMO
56,748270,25.24,13-8,HHE,Mål,VB,14,Mai KRAGBALLE,,,,2,Bianca SCHANSSEMA
57,748270,25.54,,KBH,Regelfejl,,4,Catharina MOLENAAR,,,,,
58,748270,26.15,,HHE,Tilkendt straffe,,21,Romee MAARSCHALKEWEERD,Forårs. str.,4,Catharina MOLENAAR,,
59,748270,26.15,,KBH,Udvisning,,4,Catharina MOLENAAR,,,,,
60,748270,26.18,14-8,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,2,Bianca SCHANSSEMA
61,748270,27.08,14-9,KBH,Mål,HF,9,Ditte BACH,Assist,21,Helene KINDBERG,16,Andrea AUSTMO
62,748270,27.21,,HHE,Skud på stolpe,1:e,39,Melanie BAK,,,,2,Bianca SCHANSSEMA
63,748270,27.40,14-10,KBH,Mål,Gbr,21,Helene KINDBERG,,,,16,Andrea AUSTMO
64,748270,27.47,15-10,HHE,Mål,2:e,21,Romee MAARSCHALKEWEERD,,,,0,
65,748270,28.20,15-11,KBH,Mål,ST,17,Tabea SCHMID,Assist,21,Helene KINDBERG,16,Andrea AUSTMO
66,748270,29.05,,KBH,Udvisning,,10,Pernille BRANDENBORG,,,,,
67,748270,29.05,,KBH,Advarsel,B,,Bo SPELLERBERG,,,,,
