id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748271,0.00,,,Start 1:e halvleg,,,,,,,,
2,748271,0.35,0-1,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,1,Isabella MATHORNE
3,748271,0.43,1-1,SKB,Mål,2:e,20,Suna HANSEN,,,,86,Sabine ENGLERT
4,748271,0.58,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,,,,1,Isabella MATHORNE
5,748271,1.41,,SKB,Skud reddet,PL,3,Clara BANG,,,,86,Sabine ENGLERT
6,748271,1.49,,AHB,Skud reddet,2:e,14,Anna Berger WIERZBA,,,,1,Isabella MATHORNE
7,748271,1.55,,SKB,Skud reddet,1:e,22,Anne-Sofie FILTENBORG,,,,86,Sabine ENGLERT
8,748271,2.05,1-2,AHB,Mål,2:e,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,1,Isabella MATHORNE
9,748271,3.01,,SKB,Skud forbi,VF,25,Astrid LYNNERUP,,,,86,Sabine ENGLERT
10,748271,3.39,,AHB,Skud på stolpe,VF,18,Mathilde ØSTERGAARD,,,,1,Isabella MATHORNE
11,748271,3.52,,SKB,Tabt bold,,20,Suna HANSEN,,,,,
12,748271,4.03,,AHB,Skud blokeret,2:e,14,Anna Berger WIERZBA,Blokeret af,10,Filippa NEDOVIC,,
13,748271,4.40,,SKB,Skud reddet,VF,25,Astrid LYNNERUP,,,,86,Sabine ENGLERT
14,748271,4.52,,AHB,Skud forbi,2:e,14,Anna Berger WIERZBA,,,,1,Isabella MATHORNE
15,748271,5.40,,SKB,Skud reddet,HB,3,Clara BANG,,,,86,Sabine ENGLERT
16,748271,5.49,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
17,748271,6.18,2-2,SKB,Mål,Gbr,3,Clara BANG,,,,86,Sabine ENGLERT
18,748271,6.26,2-3,AHB,Mål,2:e,3,Sarah Vest KIRKELØKKE,Assist,17,Line Berggren LARSEN,1,Isabella MATHORNE
19,748271,6.41,3-3,SKB,Mål,ST,2,Boline LAURSEN,Assist,20,Suna HANSEN,86,Sabine ENGLERT
20,748271,7.10,3-4,AHB,Mål,Gbr 77,77,Alberte EBLER,,,,1,Isabella MATHORNE
21,748271,7.49,,SKB,Skud forbi,Gbr 14,14,Verona REXHEPI,,,,86,Sabine ENGLERT
22,748271,8.23,3-5,AHB,Mål,HF,10,Frederikke WAAGE-JENSEN,Assist,14,Anna Berger WIERZBA,1,Isabella MATHORNE
23,748271,8.46,,SKB,Skud reddet,PL,20,Suna HANSEN,Retur,25,Astrid LYNNERUP,86,Sabine ENGLERT
24,748271,8.51,4-5,SKB,Mål,VF,25,Astrid LYNNERUP,,,,86,Sabine ENGLERT
25,748271,9.38,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,Retur,0,,1,Isabella MATHORNE
26,748271,9.57,4-6,AHB,Mål,HB 77,77,Alberte EBLER,,,,1,Isabella MATHORNE
27,748271,10.08,,SKB,Skud blokeret,PL,20,Suna HANSEN,Blok af (ret),7,Emma MOGENSEN,,
28,748271,11.12,,SKB,Fejlaflevering,,14,Verona REXHEPI,,,,,
29,748271,11.42,4-7,AHB,Mål,Gbr 77,77,Alberte EBLER,Assist,14,Anna Berger WIERZBA,1,Isabella MATHORNE
30,748271,11.52,5-7,SKB,Mål,2:e,2,Boline LAURSEN,Assist,20,Suna HANSEN,86,Sabine ENGLERT
31,748271,12.08,5-8,AHB,Mål,Gbr 17,17,Line Berggren LARSEN,Assist,14,Anna Berger WIERZBA,1,Isabella MATHORNE
32,748271,12.42,6-8,SKB,Mål,PL,14,Verona REXHEPI,,,,86,Sabine ENGLERT
33,748271,13.03,,AHB,Skud på stolpe,VF,18,Mathilde ØSTERGAARD,,,,1,Isabella MATHORNE
34,748271,13.31,7-8,SKB,Mål,VF,25,Astrid LYNNERUP,Assist,20,Suna HANSEN,86,Sabine ENGLERT
35,748271,13.57,7-9,AHB,Mål,PL,17,Line Berggren LARSEN,,,,1,Isabella MATHORNE
36,748271,14.29,,SKB,Skud reddet,PL,14,Verona REXHEPI,,,,86,Sabine ENGLERT
37,748271,14.43,,AHB,Skud på stolpe,VF,2,Majken Hedegaard NIELSEN,,,,1,Isabella MATHORNE
38,748271,15.16,,AHB,Advarsel,,77,Alberte EBLER,,,,,
39,748271,15.44,8-9,SKB,Mål,PL,14,Verona REXHEPI,,,,86,Sabine ENGLERT
40,748271,15.44,,AHB,Udvisning,,3,Sarah Vest KIRKELØKKE,,,,,
