id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748272,0.00,,,Start 1:e halvleg,,,,,,,,
2,748272,0.40,,TES,Skud på stolpe,VB,22,Line HAUGSTED,,,,16,Anna VENG
3,748272,1.16,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,Bold erobret,3,Kaja Kamp NIELSEN,,
4,748272,1.50,1-0,TES,Mål,Gbr,22,Line HAUGSTED,,,,16,Anna VENG
5,748272,2.32,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,Bold erobret,3,Kaja Kamp NIELSEN,,
6,748272,2.35,,TES,Skud forbi,1:e,14,Judith VAN DER HELM,,,,0,
7,748272,3.06,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,Bold erobret,24,Sanna SOLBERG,,
8,748272,3.09,2-0,TES,Mål,1:e,24,Sanna SOLBERG,,,,0,
9,748272,3.38,,SVK,Skud forbi,Gbr,4,Maria HOLM,,,,16,Amalie MILLING
10,748272,3.48,3-0,TES,Mål,2:e,8,Live RUSHFELDT DEILA,,,,16,Anna VENG
11,748272,4.09,3-1,SVK,Mål,VB,31,Andrea West BENDTSEN,,,,16,Amalie MILLING
12,748272,4.15,4-1,TES,Mål,2:e,22,Line HAUGSTED,,,,0,
13,748272,4.41,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,,,,,
14,748272,4.44,5-1,TES,Mål,1:e,4,Michala MØLLER,,,,0,
15,748272,5.29,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,Bold erobret,24,Sanna SOLBERG,,
16,748272,5.32,6-1,TES,Mål,1:e,24,Sanna SOLBERG,,,,0,
17,748272,6.33,,SVK,Skud reddet,VF,7,Maja Munch LAURSEN,,,,16,Amalie MILLING
18,748272,6.47,7-1,TES,Mål,2:e,29,Sarah DEKKER,Assist,8,Live RUSHFELDT DEILA,16,Anna VENG
19,748272,6.56,,SVK,Skud reddet,2:e,4,Maria HOLM,,,,16,Amalie MILLING
