id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748274,0.00,,,Start 1:e halvleg,,,,,,,,
2,748274,0.32,0-1,ODE,Mål,Gbr,27,Louise BURGAARD,Assist,22,Ragnhild DAHL,1,Annika FRIDHEIM
3,748274,0.51,,EHA,Skud forbi,2:e,5,Anna Hviid BANG,,,,38,Yara TEN HOLTE
4,748274,1.01,0-2,ODE,Mål,2:e,22,Ragnhild DAHL,,,,1,Annika FRIDHEIM
5,748274,1.31,,EHA,Skud reddet,PL,23,Silje BRØNS,Retur,0,,38,Yara TEN HOLTE
6,748274,1.46,1-2,EHA,Mål,ST,4,Cecilie TERMANSEN,Assist,5,Anna Hviid BANG,38,Yara TEN HOLTE
7,748274,2.17,1-3,ODE,Mål,ST,20,Lysa DEFO,Assist,22,Ragnhild DAHL,1,Annika FRIDHEIM
8,748274,2.54,,EHA,Skud reddet,Gbr,5,Anna Hviid BANG,,,,38,Yara TEN HOLTE
9,748274,3.25,1-4,ODE,Mål,VB,8,Helene FAUSKE,,,,1,Annika FRIDHEIM
10,748274,3.57,,ODE,Udvisning,,27,Louise BURGAARD,,,,,
11,748274,4.30,,EHA,Fejlaflevering,,5,Anna Hviid BANG,,,,,
12,748274,5.01,,ODE,Tilkendt straffe,,28,Clara Skyum THOMSEN,Forårs. str.,4,Cecilie TERMANSEN,,
13,748274,5.14,1-5,ODE,Mål på straffe,,22,Ragnhild DAHL,,,,1,Annika FRIDHEIM
14,748274,5.41,2-5,EHA,Mål,HF,7,Marlene DAHLMANN,Assist,19,Mette BRANDT,38,Yara TEN HOLTE
15,748274,6.08,,ODE,Fejlaflevering,,22,Ragnhild DAHL,,,,,
16,748274,6.14,3-5,EHA,Mål,1:e,17,Lin JOHANNSEN,Assist,4,Cecilie TERMANSEN,38,Yara TEN HOLTE
17,748274,6.41,,ODE,Skud forbi,PL,22,Ragnhild DAHL,,,,1,Annika FRIDHEIM
18,748274,6.47,4-5,EHA,Mål,1:e,17,Lin JOHANNSEN,Assist,1,Annika FRIDHEIM,38,Yara TEN HOLTE
19,748274,7.13,4-6,ODE,Mål,PL,27,Louise BURGAARD,,,,1,Annika FRIDHEIM
20,748274,8.15,,EHA,Skud på stolpe,PL,19,Mette BRANDT,,,,38,Yara TEN HOLTE
21,748274,8.55,4-7,ODE,Mål,PL,8,Helene FAUSKE,,,,1,Annika FRIDHEIM
22,748274,9.34,,EHA,Skud reddet,PL,23,Silje BRØNS,Retur,0,,38,Yara TEN HOLTE
23,748274,9.43,5-7,EHA,Mål,VF,17,Lin JOHANNSEN,,,,38,Yara TEN HOLTE
24,748274,9.51,,ODE,Skud reddet,2:e,20,Lysa DEFO,,,,1,Annika FRIDHEIM
25,748274,10.34,6-7,EHA,Mål,ST,4,Cecilie TERMANSEN,Assist,5,Anna Hviid BANG,38,Yara TEN HOLTE
26,748274,10.50,,ODE,Fejlaflevering,,27,Louise BURGAARD,,,,,
27,748274,11.13,,EHA,Skud reddet,PL,5,Anna Hviid BANG,,,,38,Yara TEN HOLTE
28,748274,11.26,6-8,ODE,Mål,2:e,20,Lysa DEFO,Assist,27,Louise BURGAARD,1,Annika FRIDHEIM
29,748274,12.07,,EHA,Fejlaflevering,,23,Silje BRØNS,Bold erobret,0,,,
30,748274,12.58,,ODE,Skud reddet,PL,27,Louise BURGAARD,Retur,0,,1,Annika FRIDHEIM
31,748274,13.09,6-9,ODE,Mål,ST,20,Lysa DEFO,Assist,27,Louise BURGAARD,1,Annika FRIDHEIM
32,748274,14.03,,ODE,Advarsel,,22,Ragnhild DAHL,,,,,
33,748274,14.24,,EHA,Fejlaflevering,,19,Mette BRANDT,,,,,
34,748274,14.30,6-10,ODE,Mål,1:e,44,Nikita Van Der VLIET,,,,,
35,748274,15.24,,EHA,Skud forbi,PL,19,Mette BRANDT,,,,38,Yara TEN HOLTE
36,748274,15.34,6-11,ODE,Mål,2:e,20,Lysa DEFO,Assist,27,Louise BURGAARD,1,Annika FRIDHEIM
37,748274,15.43,,EHA,Time out,,,,,,,,
38,748274,15.58,7-11,EHA,Mål,Gbr,8,Tine GEERTSEN,,,,38,Yara TEN HOLTE
39,748274,16.06,,ODE,Skud forbi,2:e,20,Lysa DEFO,,,,16,Johanne GRAUGAARD
40,748274,16.40,,EHA,Regelfejl,,22,Mirja LYNGSØ,,,,,
41,748274,17.04,,ODE,Regelfejl,,20,Lysa DEFO,,,,,
42,748274,17.45,8-11,EHA,Mål,PL,19,Mette BRANDT,,,,38,Yara TEN HOLTE
43,748274,17.55,,EHA,Udvisning,,8,Tine GEERTSEN,,,,,
44,748274,18.10,,ODE,Skud reddet,PL,28,Clara Skyum THOMSEN,,,,16,Johanne GRAUGAARD
45,748274,19.00,9-11,EHA,Mål,Gbr,23,Silje BRØNS,,,,38,Yara TEN HOLTE
46,748274,19.02,,ODE,Udvisning,,22,Ragnhild DAHL,,,,,
47,748274,19.28,,ODE,Skud på stolpe,HF,6,Malin AUNE,,,,16,Johanne GRAUGAARD
48,748274,19.57,,EHA,Skud reddet,HF,7,Marlene DAHLMANN,,,,38,Yara TEN HOLTE
49,748274,20.33,,ODE,Skud reddet,Gbr,8,Helene FAUSKE,,,,16,Johanne GRAUGAARD
50,748274,21.10,,EHA,Fejlaflevering,,19,Mette BRANDT,,,,,
51,748274,21.18,9-12,ODE,Mål,2:e,32,Mie HØJLUND,,,,16,Johanne GRAUGAARD
52,748274,22.47,,EHA,Skud reddet,VB,10,Sofie LASSEN,,,,38,Yara TEN HOLTE
53,748274,22.53,,ODE,Fejlaflevering,,38,Yara TEN HOLTE,,,,,
54,748274,23.22,,EHA,Fejlaflevering,,19,Mette BRANDT,,,,,
55,748274,23.29,,ODE,Time out,,,,,,,,
56,748274,23.47,,ODE,Regelfejl,,8,Helene FAUSKE,,,,,
57,748274,24.15,,EHA,Fejlaflevering,,3,Liv SVEINBJØRNSDÓTTIR,Bold erobret,44,Nikita Van Der VLIET,,
58,748274,24.20,9-13,ODE,Mål,1:e,44,Nikita Van Der VLIET,,,,0,
59,748274,25.00,,EHA,Fejlaflevering,,3,Liv SVEINBJØRNSDÓTTIR,Bold erobret,44,Nikita Van Der VLIET,,
60,748274,25.06,9-14,ODE,Mål,1:e,44,Nikita Van Der VLIET,,,,0,
61,748274,25.35,,EHA,Skud reddet,VF,17,Lin JOHANNSEN,,,,38,Yara TEN HOLTE
62,748274,26.11,9-15,ODE,Mål,HB,22,Ragnhild DAHL,,,,16,Johanne GRAUGAARD
63,748274,26.48,,EHA,Regelfejl,,23,Silje BRØNS,,,,,
64,748274,26.56,,ODE,Skud på stolpe,2:e,28,Clara Skyum THOMSEN,,,,16,Johanne GRAUGAARD
65,748274,27.00,10-15,EHA,Mål,1:e,7,Marlene DAHLMANN,Assist,10,Sofie LASSEN,38,Yara TEN HOLTE
66,748274,27.29,,EHA,Advarsel,,4,Cecilie TERMANSEN,,,,,
67,748274,27.42,,EHA,Udvisning,,4,Cecilie TERMANSEN,,,,,
68,748274,27.53,,ODE,Regelfejl,,28,Clara Skyum THOMSEN,,,,,
69,748274,28.41,,EHA,Skud reddet,PL,8,Tine GEERTSEN,Retur,0,,38,Yara TEN HOLTE
