id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748276,0.00,,,Start 1:e halvleg,,,,,,,,
2,748276,1.23,,VHK,Skud forbi,PL,9,Laura THESTRUP,,,,12,Filippa IDÉHN
3,748276,1.54,0-1,IKA,Mål,HB,7,Stine SKOGRAND,,,,12,Ida Marie KAYSEN
4,748276,2.21,,VHK,Fejlaflevering,,62,Louise SØNDERGAARD,Bold erobret,21,Ingvild BAKKERUD,,
5,748276,2.24,0-2,IKA,Mål,1:e,21,Ingvild BAKKERUD,,,,12,Ida Marie KAYSEN
6,748276,2.44,,VHK,Skud reddet,HB,62,Louise SØNDERGAARD,,,,12,Filippa IDÉHN
7,748276,3.53,,IKA,Skud blokeret,VB,21,Ingvild BAKKERUD,Blok af (ret),9,Laura THESTRUP,,
8,748276,4.00,,IKA,Skud blokeret,PL,17,Simone PETERSEN,Blokeret af,19,Sara HALD,,
9,748276,4.44,1-2,VHK,Mål,Gbr,77,Jana MITTÚN,Assist,12,Filippa IDÉHN,,
10,748276,4.55,,IKA,Tilkendt straffe,,7,Stine SKOGRAND,Forårs. str.,9,Laura THESTRUP,,
11,748276,4.55,,VHK,Udvisning,,9,Laura THESTRUP,,,,,
12,748276,4.59,1-3,IKA,Mål på straffe,,17,Simone PETERSEN,,,,12,Ida Marie KAYSEN
13,748276,5.33,2-3,VHK,Mål,Gbr,62,Louise SØNDERGAARD,,,,12,Filippa IDÉHN
14,748276,5.38,2-4,IKA,Mål,2:e,21,Ingvild BAKKERUD,,,,0,
15,748276,6.15,3-4,VHK,Mål,VF,3,Alberte SIMONSEN,Assist,62,Louise SØNDERGAARD,12,Filippa IDÉHN
16,748276,6.36,3-5,IKA,Mål,VF,22,Lærke NOLSØE,Assist,17,Simone PETERSEN,12,Ida Marie KAYSEN
17,748276,7.07,4-5,VHK,Mål,Gbr,62,Louise SØNDERGAARD,,,,12,Filippa IDÉHN
