id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748277,0.00,,,Start 1:e halvleg,,,,,,,,
2,748277,0.49,,SJE,Skud reddet,VB,14,Louise ELLEBÆK,,,,16,Anna VENG
3,748277,1.26,,SVK,Skud reddet,PL,6,Thea RASMUSSEN,,,,12,Stine BROLØS
4,748277,1.34,,SJE,Skud blokeret,2:e,28,Sarah PAULSEN,Blokeret af,4,Maria HOLM,,
5,748277,1.40,,SVK,Skud reddet,1:e,23,Thilde FRANDSEN,,,,12,Stine BROLØS
6,748277,1.49,,SJE,Fejlaflevering,,28,Sarah PAULSEN,Bold erobret,21,Maja EDLING,,
7,748277,3.08,,SVK,Fejlaflevering,,4,Maria HOLM,Bold erobret,6,Lea HANSEN,,
8,748277,3.33,,SVK,Udvisning,,4,Maria HOLM,,,,,
9,748277,3.50,,SJE,Skud reddet,Gbr,10,Nicoline OLSEN,,,,16,Anna VENG
10,748277,4.39,,SVK,Passivt spil,,0,,,,,,
11,748277,5.10,0-1,SJE,Mål,ST,24,Josefine DRAGENBERG,Assist,7,Melissa PETRÉN,16,Anna VENG
12,748277,5.34,,SVK,Tabt bold,,31,Andrea West BENDTSEN,,,,,
13,748277,5.45,0-2,SJE,Mål,1:e,28,Sarah PAULSEN,Assist,31,Ida-Marie DAHL,16,Anna VENG
14,748277,6.13,,SJE,Advarsel,,31,Ida-Marie DAHL,,,,,
15,748277,6.55,,SVK,Skud på stolpe,PL,6,Thea RASMUSSEN,,,,12,Stine BROLØS
16,748277,7.20,,SJE,Skud reddet,PL,28,Sarah PAULSEN,,,,16,Anna VENG
17,748277,7.30,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,,,,,
18,748277,7.38,0-3,SJE,Mål,1:e,31,Ida-Marie DAHL,Assist,14,Louise ELLEBÆK,16,Anna VENG
19,748277,7.40,,SVK,Time out,,0,,,,,,
20,748277,8.02,,SVK,Fejlaflevering,,31,Andrea West BENDTSEN,,,,,
21,748277,8.12,0-4,SJE,Mål,2:e,28,Sarah PAULSEN,Assist,14,Louise ELLEBÆK,16,Anna VENG
22,748277,8.37,1-4,SVK,Mål,HB,4,Maria HOLM,,,,12,Stine BROLØS
23,748277,9.06,1-5,SJE,Mål,HF,6,Lea HANSEN,Assist,10,Nicoline OLSEN,16,Anna VENG
24,748277,9.31,2-5,SVK,Mål,ST,15,Karen KLOKKER,Assist,6,Thea RASMUSSEN,12,Stine BROLØS
25,748277,10.02,2-6,SJE,Mål,VB,14,Louise ELLEBÆK,,,,16,Anna VENG
26,748277,10.11,,SVK,Skud reddet,2:e,31,Andrea West BENDTSEN,Retur,0,,12,Stine BROLØS
27,748277,10.30,3-6,SVK,Mål,HB,4,Maria HOLM,,,,12,Stine BROLØS
