id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748278,0.00,,,Start 1:e halvleg,,,,,,,,
2,748278,0.36,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
3,748278,0.42,0-1,TES,Mål,1:e,3,Kaja Kamp NIELSEN,Assist,12,Anna KRISTENSEN,1,Elin THORSTEINSDOTTIR
4,748278,1.34,,AHB,Skud blokeret,HB,14,Anna Berger WIERZBA,Blok af (ret),25,Henny REISTAD,,
5,748278,1.47,1-1,AHB,Mål,PL,17,Line Berggren LARSEN,,,,12,Anna KRISTENSEN
6,748278,2.25,,TES,Skud reddet,HF,29,Sarah DEKKER,Retur,0,,1,Elin THORSTEINSDOTTIR
7,748278,2.55,,TES,Fejlaflevering,,25,Henny REISTAD,Bold erobret,14,Anna Berger WIERZBA,,
8,748278,3.00,,AHB,Fejlaflevering,,14,Anna Berger WIERZBA,Bold erobret,8,Live RUSHFELDT DEILA,,
9,748278,3.04,,TES,Skud reddet,1:e,29,Sarah DEKKER,,,,1,Elin THORSTEINSDOTTIR
10,748278,3.41,2-1,AHB,Mål,VF,18,Mathilde ØSTERGAARD,Assist,17,Line Berggren LARSEN,,
11,748278,3.51,,TES,Fejlaflevering,,22,Line HAUGSTED,Bold erobret,18,Mathilde ØSTERGAARD,,
12,748278,3.56,3-1,AHB,Mål,1:e,18,Mathilde ØSTERGAARD,,,,12,Anna KRISTENSEN
13,748278,4.24,,TES,Skud blokeret,HB,8,Live RUSHFELDT DEILA,Blokeret af,17,Line Berggren LARSEN,,
14,748278,5.00,,AHB,Skud reddet,VB,15,Sofia DEEN,,,,12,Anna KRISTENSEN
15,748278,5.08,3-2,TES,Mål,1:e,25,Henny REISTAD,,,,1,Elin THORSTEINSDOTTIR
16,748278,5.18,,AHB,Tilkendt straffe,,14,Anna Berger WIERZBA,Forårs. str.,17,Elin HANSSON,,
17,748278,5.38,,AHB,Straffekast reddet,,15,Sofia DEEN,,,,12,Anna KRISTENSEN
18,748278,6.12,3-3,TES,Mål,PL,8,Live RUSHFELDT DEILA,,,,1,Elin THORSTEINSDOTTIR
19,748278,6.21,,AHB,Tabt bold,,15,Sofia DEEN,,,,,
20,748278,6.27,3-4,TES,Mål,1:e,29,Sarah DEKKER,Assist,25,Henny REISTAD,1,Elin THORSTEINSDOTTIR
21,748278,6.37,4-4,AHB,Mål,2:e,18,Mathilde ØSTERGAARD,Assist,15,Sofia DEEN,,
22,748278,7.20,,TES,Regelfejl,,17,Elin HANSSON,,,,,
23,748278,7.54,,AHB,Skud på stolpe,VF,18,Mathilde ØSTERGAARD,,,,12,Anna KRISTENSEN
24,748278,8.03,,TES,Skud reddet,2:e,22,Line HAUGSTED,,,,1,Elin THORSTEINSDOTTIR
25,748278,8.33,5-4,AHB,Mål,Gbr,15,Sofia DEEN,,,,12,Anna KRISTENSEN
26,748278,9.02,,TES,Skud på stolpe,ST,3,Kaja Kamp NIELSEN,,,,1,Elin THORSTEINSDOTTIR
27,748278,9.15,,AHB,Skud forbi,2:e,17,Line Berggren LARSEN,,,,12,Anna KRISTENSEN
28,748278,9.30,,TES,Time out,,,,,,,,
29,748278,10.10,,TES,Skud reddet,VF,17,Elin HANSSON,,,,1,Elin THORSTEINSDOTTIR
30,748278,10.20,,AHB,Skud forbi,2:e,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
31,748278,10.46,5-5,TES,Mål,Gbr,25,Henny REISTAD,,,,1,Elin THORSTEINSDOTTIR
32,748278,10.57,,AHB,Skud reddet,Gbr,15,Sofia DEEN,,,,12,Anna KRISTENSEN
33,748278,11.07,5-6,TES,Mål,2:e,17,Elin HANSSON,Assist,25,Henny REISTAD,1,Elin THORSTEINSDOTTIR
34,748278,11.36,6-6,AHB,Mål,Gbr,17,Line Berggren LARSEN,,,,12,Anna KRISTENSEN
35,748278,12.02,6-7,TES,Mål,Gbr,8,Live RUSHFELDT DEILA,,,,1,Elin THORSTEINSDOTTIR
36,748278,12.36,,AHB,Tilkendt straffe,,18,Mathilde ØSTERGAARD,Forårs. str.,29,Sarah DEKKER,,
37,748278,12.59,7-7,AHB,Mål på straffe,,15,Sofia DEEN,,,,12,Anna KRISTENSEN
38,748278,13.28,7-8,TES,Mål,Gbr,25,Henny REISTAD,,,,1,Elin THORSTEINSDOTTIR
39,748278,14.19,,AHB,Skud reddet,Gbr,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
40,748278,15.21,,TES,Tilkendt straffe,,4,Michala MØLLER,Forårs. str.,4,Katrine JACOBSEN,,
41,748278,15.36,,TES,Straffekast reddet,,25,Henny REISTAD,,,,1,Elin THORSTEINSDOTTIR
42,748278,16.07,,AHB,Tilkendt straffe,,14,Anna Berger WIERZBA,Forårs. str.,25,Henny REISTAD,,
43,748278,16.24,,AHB,Straffekast på stolpe,,15,Sofia DEEN,,12,Anna KRISTENSEN,,
44,748278,17.07,,TES,Skud blokeret,VB,22,Line HAUGSTED,Blokeret af,17,Line Berggren LARSEN,,
45,748278,17.20,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,Bold erobret,24,Sanna SOLBERG,,
46,748278,17.25,7-9,TES,Mål,1:e,24,Sanna SOLBERG,,,,1,Elin THORSTEINSDOTTIR
47,748278,18.01,,AHB,Skud reddet,Gbr,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
48,748278,18.46,,TES,Skud reddet,PL,4,Michala MØLLER,,,,1,Elin THORSTEINSDOTTIR
49,748278,18.59,,AHB,Skud reddet,2:e,4,Katrine JACOBSEN,,,,12,Anna KRISTENSEN
50,748278,19.14,,TES,Tilkendt straffe,,4,Michala MØLLER,Forårs. str.,7,Emma MOGENSEN,,
51,748278,19.32,,AHB,Advarsel,,10,Frederikke WAAGE-JENSEN,,,,,
52,748278,19.42,7-10,TES,Mål på straffe,,4,Michala MØLLER,,,,1,Elin THORSTEINSDOTTIR
53,748278,20.26,,AHB,Skud forbi,Gbr,14,Anna Berger WIERZBA,,,,12,Anna KRISTENSEN
54,748278,20.38,,TES,Skud reddet,2:e,4,Michala MØLLER,,,,1,Elin THORSTEINSDOTTIR
55,748278,21.16,,AHB,Skud på stolpe,VB,17,Line Berggren LARSEN,Retur,0,Anna KRISTENSEN,12,Anna KRISTENSEN
56,748278,21.23,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,,,,12,Anna KRISTENSEN
57,748278,21.30,,TES,Skud på stolpe,2:e,29,Sarah DEKKER,,,,1,Elin THORSTEINSDOTTIR
58,748278,21.49,,AHB,Time out,,,,,,,,
59,748278,22.06,,AHB,Tabt bold,,15,Sofia DEEN,Bold erobret,25,Henny REISTAD,,
60,748278,22.59,,TES,Regelfejl,,29,Sarah DEKKER,,,,,
61,748278,23.47,8-10,AHB,Mål,PL,23,Nikoline SAX,,,,12,Anna KRISTENSEN
62,748278,23.56,8-11,TES,Mål,2:e,14,Judith VAN DER HELM,,,,1,Elin THORSTEINSDOTTIR
63,748278,24.45,,TES,Udvisning,,14,Judith VAN DER HELM,,,,,
64,748278,24.59,9-11,AHB,Mål,HF,10,Frederikke WAAGE-JENSEN,Assist,17,Line Berggren LARSEN,12,Anna KRISTENSEN
65,748278,25.40,,TES,Fejlaflevering,,8,Live RUSHFELDT DEILA,,,,,
66,748278,26.05,,AHB,Skud reddet,VF,18,Mathilde ØSTERGAARD,Retur,0,Anna KRISTENSEN,12,Anna KRISTENSEN
67,748278,26.23,,AHB,Fejlaflevering,,17,Line Berggren LARSEN,,,,,
68,748278,27.07,9-12,TES,Mål,HF,29,Sarah DEKKER,Assist,4,Michala MØLLER,1,Elin THORSTEINSDOTTIR
69,748278,28.39,,AHB,Skud blokeret,VB,15,Sofia DEEN,Blokeret af,11,Rikke IVERSEN,,
70,748278,28.46,9-13,TES,Mål,2:e,25,Henny REISTAD,,,,1,Elin THORSTEINSDOTTIR
71,748278,28.56,10-13,AHB,Mål,2:e,15,Sofia DEEN,,,,12,Anna KRISTENSEN
72,748278,29.04,10-14,TES,Mål,2:e,14,Judith VAN DER HELM,,,,1,Elin THORSTEINSDOTTIR
73,748278,29.37,11-14,AHB,Mål,PL,17,Line Berggren LARSEN,,,,12,Anna KRISTENSEN
74,748278,29.42,,TES,Regelfejl,,11,Rikke IVERSEN,,,,,
75,748278,29.59,,AHB,Skud forbi,HB,23,Nikoline SAX,,,,12,Anna KRISTENSEN
76,748278,30.00,11-14,,Halvleg,,,,,,,,
77,748278,30.00,,,Start 2:e halvleg,,,,,,,,
78,748278,30.27,11-15,TES,Mål,VB,4,Michala MØLLER,,,,1,Elin THORSTEINSDOTTIR
79,748278,30.36,,AHB,Fejlaflevering,,23,Nikoline SAX,,,,,
80,748278,30.44,11-16,TES,Mål,2:e,25,Henny REISTAD,,,,1,Elin THORSTEINSDOTTIR
