id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748280,0.00,,,Start 1:e halvleg,,,,,,,,
2,748280,0.43,,HHE,Fejlaflevering,,14,Mai KRAGBALLE,,,,,
3,748280,0.47,,RIN,Fejlaflevering,,16,Stephanie ANDERSEN,,,,,
4,748280,1.38,,HHE,Tabt bold,,22,Sille Cecilie SORTH,,,,,
5,748280,2.04,1-0,RIN,Mål,VB,3,Maria Berger WIERZBA,,,,1,Mathilde BISGAARD
6,748280,3.02,1-1,HHE,Mål,Gbr,39,Melanie BAK,,,,16,Stephanie ANDERSEN
7,748280,3.57,,RIN,Fejlaflevering,,3,Maria Berger WIERZBA,,,,,
8,748280,4.09,1-2,HHE,Mål,2:e,21,Romee MAARSCHALKEWEERD,Assist,39,Melanie BAK,16,Stephanie ANDERSEN
9,748280,4.22,,RIN,Skud reddet,2:e,18,Emilie ROSBORG,,,,1,Mathilde BISGAARD
10,748280,5.08,,HHE,Regelfejl,,21,Romee MAARSCHALKEWEERD,,,,,
11,748280,6.53,,RIN,Skud blokeret,PL,3,Maria Berger WIERZBA,Blokeret af,21,Romee MAARSCHALKEWEERD,,
12,748280,7.20,1-3,HHE,Mål,Gbr,39,Melanie BAK,Assist,14,Mai KRAGBALLE,16,Stephanie ANDERSEN
13,748280,7.30,2-3,RIN,Mål,2:e,20,Stine Opstrup KRISTENSEN,Assist,23,Nanna HINNERFELDT,1,Mathilde BISGAARD
14,748280,8.07,2-4,HHE,Mål,PL,14,Mai KRAGBALLE,,,,16,Stephanie ANDERSEN
15,748280,8.23,,HHE,Udvisning,,3,Alma SKRETTING,,,,,
16,748280,8.35,3-4,RIN,Mål,Gbr,20,Stine Opstrup KRISTENSEN,Assist,3,Maria Berger WIERZBA,1,Mathilde BISGAARD
17,748280,9.08,,HHE,Skud reddet,ST,21,Romee MAARSCHALKEWEERD,,,,16,Stephanie ANDERSEN
18,748280,9.34,4-4,RIN,Mål,HF,33,Emma LAURSEN,Assist,20,Stine Opstrup KRISTENSEN,1,Mathilde BISGAARD
19,748280,10.06,4-5,HHE,Mål,Gbr,14,Mai KRAGBALLE,,,,16,Stephanie ANDERSEN
20,748280,10.22,,HHE,Advarsel,,20,Ditte TOKKESDAL,,,,,
21,748280,10.32,5-5,RIN,Mål,VF,18,Emilie ROSBORG,Assist,15,Jane MEJLVANG,1,Mathilde BISGAARD
22,748280,11.05,,HHE,Skud forbi,PL,14,Mai KRAGBALLE,,,,16,Stephanie ANDERSEN
23,748280,11.14,,RIN,Fejlaflevering,,15,Jane MEJLVANG,Bold erobret,39,Melanie BAK,,
24,748280,12.03,,HHE,Tilkendt straffe,,7,Maria Palsdottir NÓLSOY,Forårs. str.,23,Nanna HINNERFELDT,,
25,748280,12.21,5-6,HHE,Mål på straffe,,14,Mai KRAGBALLE,,,,16,Stephanie ANDERSEN
26,748280,12.54,6-6,RIN,Mål,VF,18,Emilie ROSBORG,Assist,15,Jane MEJLVANG,1,Mathilde BISGAARD
27,748280,13.31,,HHE,Skud reddet,Gbr,7,Maria Palsdottir NÓLSOY,,,,16,Stephanie ANDERSEN
28,748280,14.11,,RIN,Tabt bold,,10,Frida Høgaard NIELSEN,,,,,
29,748280,14.48,,HHE,Skud forbi,VB,14,Mai KRAGBALLE,,,,16,Stephanie ANDERSEN
